"Status","Year","Ethnicity","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Operational Delivery","180","160","26660","24640"
"In post","2021","Asian","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Policy","70","70","44830","40050"
"In post","2021","Asian","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","LGBO","Tax","50","40","[c]","[c]"
"In post","2021","Asian","LGBO","Unknown","150","140","30410","27570"
"In post","2021","Asian","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","Asian","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Finance","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Legal","30","30","[c]","[c]"
"In post","2021","Asian","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Operational Delivery","670","590","27250","25630"
"In post","2021","Asian","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Other","50","50","32330","28180"
"In post","2021","Asian","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Policy","90","90","39510","35060"
"In post","2021","Asian","Undeclared","Project Delivery","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Tax","70","60","30740","30690"
"In post","2021","Asian","Undeclared","Unknown","450","400","27730","27570"
"In post","2021","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Digital, Data and Technology","110","100","42120","39040"
"In post","2021","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Finance","50","40","[c]","[c]"
"In post","2021","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Legal","120","110","50400","51470"
"In post","2021","Asian","Unknown","Medicine","30","30","[c]","[c]"
"In post","2021","Asian","Unknown","Operational Delivery","790","690","27220","24920"
"In post","2021","Asian","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Other","70","70","39580","33300"
"In post","2021","Asian","Unknown","Policy","90","90","44900","38580"
"In post","2021","Asian","Unknown","Project Delivery","50","50","41630","38630"
"In post","2021","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Science and Engineering","80","80","38300","37420"
"In post","2021","Asian","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Tax","230","220","33750","32520"
"In post","2021","Asian","Unknown","Unknown","1440","1210","27120","27570"
"In post","2021","Black","Heterosexual / straight","Commercial","150","150","38970","36950"
"In post","2021","Black","Heterosexual / straight","Communications","90","80","39650","37280"
"In post","2021","Black","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Digital, Data and Technology","350","350","40110","37110"
"In post","2021","Black","Heterosexual / straight","Economics","60","60","37790","33390"
"In post","2021","Black","Heterosexual / straight","Finance","340","330","40030","37150"
"In post","2021","Black","Heterosexual / straight","Human Resources","260","250","38290","35050"
"In post","2021","Black","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Intelligence Analysis","60","50","33700","30560"
"In post","2021","Black","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","International Trade","40","40","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Knowledge and Information Management","70","60","34320","31000"
"In post","2021","Black","Heterosexual / straight","Legal","320","310","47870","50500"
"In post","2021","Black","Heterosexual / straight","Medicine","50","40","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Operational Delivery","4960","4720","29320","27510"
"In post","2021","Black","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Other","450","430","30540","27750"
"In post","2021","Black","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Policy","970","960","39190","35070"
"In post","2021","Black","Heterosexual / straight","Project Delivery","450","440","39740","37460"
"In post","2021","Black","Heterosexual / straight","Property","100","90","37030","33740"
"In post","2021","Black","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Science and Engineering","230","220","35420","33550"
"In post","2021","Black","Heterosexual / straight","Security","100","100","30910","25630"
"In post","2021","Black","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Statistics","50","50","[c]","[c]"
"In post","2021","Black","Heterosexual / straight","Tax","350","340","31960","31810"
"In post","2021","Black","Heterosexual / straight","Unknown","3390","3250","30430","31060"
"In post","2021","Black","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Operational Delivery","90","90","27400","25630"
"In post","2021","Black","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Policy","40","30","[c]","[c]"
"In post","2021","Black","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Black","LGBO","Unknown","110","110","31090","29930"
"In post","2021","Black","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Operational Delivery","320","290","30130","28650"
"In post","2021","Black","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Policy","50","40","[c]","[c]"
"In post","2021","Black","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Unknown","230","210","29250","28000"
"In post","2021","Black","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2021","Black","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Legal","70","60","51150","54390"
"In post","2021","Black","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Operational Delivery","490","450","29130","26830"
"In post","2021","Black","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Other","40","40","[c]","[c]"
"In post","2021","Black","Unknown","Policy","50","50","[c]","[c]"
"In post","2021","Black","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Tax","50","50","34200","36160"
"In post","2021","Black","Unknown","Unknown","640","570","29080","30330"
"In post","2021","Chinese","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Finance","40","40","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Legal","40","40","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Operational Delivery","270","250","28020","25410"
"In post","2021","Chinese","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Other","40","40","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Policy","100","100","44420","40220"
"In post","2021","Chinese","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Science and Engineering","40","30","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Tax","30","30","[c]","[c]"
"In post","2021","Chinese","Heterosexual / straight","Unknown","150","140","31760","27570"
"In post","2021","Chinese","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Chinese","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Chinese","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Commercial","70","70","39130","35180"
"In post","2021","Mixed","Heterosexual / straight","Communications","90","80","42530","39120"
"In post","2021","Mixed","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Digital, Data and Technology","160","160","42890","40300"
"In post","2021","Mixed","Heterosexual / straight","Economics","80","70","45600","45660"
"In post","2021","Mixed","Heterosexual / straight","Finance","120","120","41430","38070"
"In post","2021","Mixed","Heterosexual / straight","Human Resources","120","120","40540","36970"
"In post","2021","Mixed","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Intelligence Analysis","50","50","39300","35130"
"In post","2021","Mixed","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","International Trade","30","30","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Legal","210","200","50440","51250"
"In post","2021","Mixed","Heterosexual / straight","Medicine","40","30","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Operational Delivery","2170","2040","29650","26810"
"In post","2021","Mixed","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Other","230","220","33060","28670"
"In post","2021","Mixed","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Policy","690","670","45300","41950"
