"Status","Year","Sex","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Dorset and Somerset","40","30","[c]","[c]"
"In post","2021","Female","Commercial","East Anglia","200","190","38740","35760"
"In post","2021","Female","Commercial","East Wales","90","90","36440","34030"
"In post","2021","Female","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","500","470","39590","34800"
"In post","2021","Female","Commercial","Greater Manchester","170","160","43050","38630"
"In post","2021","Female","Commercial","Hampshire and Isle of Wight","210","200","34880","33300"
"In post","2021","Female","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Inner London - East","110","100","51000","50470"
"In post","2021","Female","Commercial","Inner London - West","670","650","56720","53360"
"In post","2021","Female","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Lancashire","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Merseyside","170","170","39660","34800"
"In post","2021","Female","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","North Yorkshire","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Outer London - South","70","70","46880","45070"
"In post","2021","Female","Commercial","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Shropshire and Staffordshire","110","100","36000","33300"
"In post","2021","Female","Commercial","South Yorkshire","60","60","44510","40780"
"In post","2021","Female","Commercial","Southern Scotland","60","60","46170","43320"
"In post","2021","Female","Commercial","Surrey, East and West Sussex","50","40","[c]","[c]"
"In post","2021","Female","Commercial","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","West Central Scotland","70","70","35540","33150"
"In post","2021","Female","Commercial","West Midlands","70","60","45560","38280"
"In post","2021","Female","Commercial","West Wales and The Valleys","100","80","31840","31040"
"In post","2021","Female","Commercial","West Yorkshire","160","150","45750","39290"
"In post","2021","Female","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Berkshire, Buckinghamshire and Oxfordshire","40","40","[c]","[c]"
"In post","2021","Female","Communications","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Cumbria","50","40","27920","26030"
"In post","2021","Female","Communications","Derbyshire and Nottinghamshire","230","220","30700","26700"
"In post","2021","Female","Communications","Devon","30","30","[c]","[c]"
"In post","2021","Female","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","East Wales","440","410","29680","25560"
"In post","2021","Female","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Eastern Scotland","80","80","34130","31810"
"In post","2021","Female","Communications","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","120","110","36550","33950"
"In post","2021","Female","Communications","Greater Manchester","210","200","30080","27510"
"In post","2021","Female","Communications","Hampshire and Isle of Wight","120","110","33500","33000"
"In post","2021","Female","Communications","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Inner London - East","140","130","44990","40810"
"In post","2021","Female","Communications","Inner London - West","1170","1130","45870","41890"
"In post","2021","Female","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Merseyside","60","50","39630","35410"
"In post","2021","Female","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Northumberland and Tyne and Wear","780","710","27920","25560"
"In post","2021","Female","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Outer London - West and North West","50","50","28950","27220"
"In post","2021","Female","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Communications","West Midlands","140","140","33830","31810"
"In post","2021","Female","Communications","West Wales and The Valleys","50","50","29740","26470"
"In post","2021","Female","Communications","West Yorkshire","250","250","31270","25560"
"In post","2021","Female","Counter Fraud","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","40","40","[c]","[c]"
"In post","2021","Female","Counter Fraud","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Derbyshire and Nottinghamshire","230","210","31980","31810"
"In post","2021","Female","Counter Fraud","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","East Anglia","200","180","26780","25560"
"In post","2021","Female","Counter Fraud","East Wales","190","170","29800","27130"
"In post","2021","Female","Counter Fraud","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Eastern Scotland","110","100","30060","28130"
"In post","2021","Female","Counter Fraud","Essex","30","30","[c]","[c]"
"In post","2021","Female","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","160","150","34140","31810"
"In post","2021","Female","Counter Fraud","Greater Manchester","490","450","32650","31810"
"In post","2021","Female","Counter Fraud","Hampshire and Isle of Wight","70","60","31840","31810"
"In post","2021","Female","Counter Fraud","Inner London - East","100","90","38350","36160"
"In post","2021","Female","Counter Fraud","Inner London - West","620","580","38150","36160"
"In post","2021","Female","Counter Fraud","Kent","80","80","29150","28130"
"In post","2021","Female","Counter Fraud","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Merseyside","300","270","30990","28130"
"In post","2021","Female","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Northern Ireland","190","170","30810","28130"
"In post","2021","Female","Counter Fraud","Northumberland and Tyne and Wear","260","240","31380","31810"
"In post","2021","Female","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Outer London - South","270","250","36090","32520"
"In post","2021","Female","Counter Fraud","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Southern Scotland","60","50","29060","28130"
"In post","2021","Female","Counter Fraud","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","West Central Scotland","270","240","29310","28130"
"In post","2021","Female","Counter Fraud","West Midlands","360","320","30710","28130"
"In post","2021","Female","Counter Fraud","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","West Yorkshire","380","340","31050","28130"
"In post","2021","Female","Debt","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Derbyshire and Nottinghamshire","130","110","21690","20140"
"In post","2021","Female","Debt","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","East Wales","160","150","23090","20140"
"In post","2021","Female","Debt","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Eastern Scotland","310","280","21420","20140"
"In post","2021","Female","Debt","Essex","40","30","[c]","[c]"
"In post","2021","Female","Debt","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Inner London - East","150","130","27070","25630"
"In post","2021","Female","Debt","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Merseyside","170","150","23270","21440"
"In post","2021","Female","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Northumberland and Tyne and Wear","320","280","21310","20140"
"In post","2021","Female","Debt","Outer London - South","160","140","26640","25180"
"In post","2021","Female","Debt","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Southern Scotland","180","160","21820","20140"
"In post","2021","Female","Debt","Surrey, East and West Sussex","40","30","[c]","[c]"
"In post","2021","Female","Debt","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","West Central Scotland","340","270","22750","20640"
"In post","2021","Female","Debt","West Midlands","250","210","22010","20140"
"In post","2021","Female","Debt","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","West Yorkshire","230","190","24080","21440"
"In post","2021","Female","Digital, Data & Technology","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","90","80","40030","38200"
"In post","2021","Female","Digital, Data & Technology","Cheshire","60","50","40530","36740"
"In post","2021","Female","Digital, Data & Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Derbyshire and Nottinghamshire","80","70","42170","39670"
"In post","2021","Female","Digital, Data & Technology","Devon","420","380","37380","38450"
"In post","2021","Female","Digital, Data & Technology","Dorset and Somerset","50","50","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","East Anglia","60","60","33220","29760"
"In post","2021","Female","Digital, Data & Technology","East Wales","360","340","38280","36070"
"In post","2021","Female","Digital, Data & Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Eastern Scotland","70","70","37810","34150"
"In post","2021","Female","Digital, Data & Technology","Essex","80","80","38710","35000"
"In post","2021","Female","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","280","260","36860","33390"
"In post","2021","Female","Digital, Data & Technology","Greater Manchester","130","130","41390","38630"
"In post","2021","Female","Digital, Data & Technology","Hampshire and Isle of Wight","130","130","35250","32100"
"In post","2021","Female","Digital, Data & Technology","Herefordshire, Worcestershire and Warwickshire","40","30","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Inner London - East","560","550","48230","46350"
"In post","2021","Female","Digital, Data & Technology","Inner London - West","740","720","47400","44500"
"In post","2021","Female","Digital, Data & Technology","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Leicestershire, Rutland and Northamptonshire","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Merseyside","130","120","36730","33300"
"In post","2021","Female","Digital, Data & Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","North Yorkshire","60","60","36960","34680"
"In post","2021","Female","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Northumberland and Tyne and Wear","260","240","39410","35290"
"In post","2021","Female","Digital, Data & Technology","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Outer London - West and North West","50","50","38580","36800"
"In post","2021","Female","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Shropshire and Staffordshire","190","180","38020","35000"
"In post","2021","Female","Digital, Data & Technology","South Yorkshire","90","80","42550","38290"
"In post","2021","Female","Digital, Data & Technology","Southern Scotland","90","90","37490","33930"
"In post","2021","Female","Digital, Data & Technology","Surrey, East and West Sussex","120","110","35500","31810"
"In post","2021","Female","Digital, Data & Technology","Tees Valley and Durham","50","50","34550","34830"
"In post","2021","Female","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","West Midlands","190","180","40840","37000"
"In post","2021","Female","Digital, Data & Technology","West Wales and The Valleys","240","220","34230","31380"
"In post","2021","Female","Digital, Data & Technology","West Yorkshire","190","180","36490","31810"
"In post","2021","Female","Finance","Bedfordshire and Hertfordshire","60","60","42410","38620"
"In post","2021","Female","Finance","Berkshire, Buckinghamshire and Oxfordshire","170","160","37060","33000"
"In post","2021","Female","Finance","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Derbyshire and Nottinghamshire","110","110","35150","31810"
"In post","2021","Female","Finance","Devon","40","40","[c]","[c]"
"In post","2021","Female","Finance","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","East Anglia","90","80","32240","26930"
"In post","2021","Female","Finance","East Wales","110","100","31560","27290"
"In post","2021","Female","Finance","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Eastern Scotland","120","120","35410","31810"
"In post","2021","Female","Finance","Essex","150","130","29730","28130"
"In post","2021","Female","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","630","580","37030","33300"
"In post","2021","Female","Finance","Greater Manchester","140","130","39950","36900"
"In post","2021","Female","Finance","Hampshire and Isle of Wight","250","230","36240","33300"
"In post","2021","Female","Finance","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Inner London - East","200","190","45240","40850"
"In post","2021","Female","Finance","Inner London - West","960","920","46880","41870"
"In post","2021","Female","Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Lancashire","50","40","[c]","[c]"
"In post","2021","Female","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Merseyside","110","100","34290","28970"
"In post","2021","Female","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","North Yorkshire","80","70","37730","36520"
"In post","2021","Female","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Northumberland and Tyne and Wear","170","160","33600","31810"
"In post","2021","Female","Finance","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Outer London - South","60","60","43340","36160"
"In post","2021","Female","Finance","Outer London - West and North West","30","30","[c]","[c]"
"In post","2021","Female","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Shropshire and Staffordshire","100","90","39950","38630"
"In post","2021","Female","Finance","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Female","Finance","Southern Scotland","80","70","36790","33930"
"In post","2021","Female","Finance","Surrey, East and West Sussex","170","150","30610","27230"
"In post","2021","Female","Finance","Tees Valley and Durham","50","50","37160","30660"
"In post","2021","Female","Finance","West Central Scotland","410","320","24320","21440"
"In post","2021","Female","Finance","West Midlands","160","150","39070","36780"
"In post","2021","Female","Finance","West Wales and The Valleys","110","110","32590","30730"
"In post","2021","Female","Finance","West Yorkshire","430","370","29640","25070"
"In post","2021","Female","Grants Management","Berkshire, Buckinghamshire and Oxfordshire","80","70","26380","21050"
"In post","2021","Female","Grants Management","Cheshire","60","60","24150","22980"
"In post","2021","Female","Grants Management","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Cumbria","430","360","23900","21050"
"In post","2021","Female","Grants Management","Derbyshire and Nottinghamshire","40","30","[c]","[c]"
"In post","2021","Female","Grants Management","Devon","90","80","25420","25190"
"In post","2021","Female","Grants Management","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Herefordshire, Worcestershire and Warwickshire","80","70","24700","22980"
"In post","2021","Female","Grants Management","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","North Yorkshire","60","60","27650","24920"
"In post","2021","Female","Grants Management","Northumberland and Tyne and Wear","150","130","25750","22980"
"In post","2021","Female","Grants Management","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","100","100","37010","31500"
"In post","2021","Female","Human Resources","Cheshire","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Derbyshire and Nottinghamshire","300","280","37800","33690"
"In post","2021","Female","Human Resources","Devon","80","70","36150","32810"
"In post","2021","Female","Human Resources","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","East Anglia","90","90","34070","30000"
"In post","2021","Female","Human Resources","East Wales","320","290","35830","31000"
"In post","2021","Female","Human Resources","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Eastern Scotland","190","180","34840","32930"
"In post","2021","Female","Human Resources","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","680","620","35180","32490"
"In post","2021","Female","Human Resources","Greater Manchester","450","420","34820","31930"
"In post","2021","Female","Human Resources","Hampshire and Isle of Wight","210","200","34020","30500"
"In post","2021","Female","Human Resources","Herefordshire, Worcestershire and Warwickshire","60","60","36650","30450"
"In post","2021","Female","Human Resources","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Inner London - East","310","300","47910","42270"
"In post","2021","Female","Human Resources","Inner London - West","1410","1360","46100","41000"
"In post","2021","Female","Human Resources","Kent","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Lancashire","170","150","27810","26670"
"In post","2021","Female","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Merseyside","230","220","33420","30130"
"In post","2021","Female","Human Resources","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","North Yorkshire","70","60","38330","33300"
"In post","2021","Female","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Northumberland and Tyne and Wear","350","320","27740","25550"
"In post","2021","Female","Human Resources","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Outer London - South","60","60","48820","50230"
"In post","2021","Female","Human Resources","Outer London - West and North West","40","30","[c]","[c]"
"In post","2021","Female","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Shropshire and Staffordshire","40","30","[c]","[c]"
"In post","2021","Female","Human Resources","South Yorkshire","70","70","37900","36640"
"In post","2021","Female","Human Resources","Southern Scotland","60","60","34800","33650"
"In post","2021","Female","Human Resources","Surrey, East and West Sussex","90","70","32200","28130"
"In post","2021","Female","Human Resources","Tees Valley and Durham","50","40","[c]","[c]"
"In post","2021","Female","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","West Central Scotland","440","400","25490","21580"
"In post","2021","Female","Human Resources","West Midlands","130","130","38630","36960"
"In post","2021","Female","Human Resources","West Wales and The Valleys","170","150","33050","31380"
"In post","2021","Female","Human Resources","West Yorkshire","190","180","39700","37140"
"In post","2021","Female","Internal Audit","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
