"Status","Year","Sexual_orientation","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Undeclared","Property","220","210","34090","32860"
"In post","2021","Heterosexual / straight","Undeclared","Security","310","300","32380","30440"
"In post","2021","Heterosexual / straight","Undeclared","Unknown","3590","3360","28910","27570"
"In post","2021","Heterosexual / straight","Unknown","Analysis","550","530","38860","36030"
"In post","2021","Heterosexual / straight","Unknown","Commercial","380","370","36860","34800"
"In post","2021","Heterosexual / straight","Unknown","Communications","350","340","36290","32790"
"In post","2021","Heterosexual / straight","Unknown","Counter Fraud","290","260","32720","31810"
"In post","2021","Heterosexual / straight","Unknown","Debt","100","80","24090","21400"
"In post","2021","Heterosexual / straight","Unknown","Digital, Data & Technology","730","710","40490","36840"
"In post","2021","Heterosexual / straight","Unknown","Finance","410","400","39690","36740"
"In post","2021","Heterosexual / straight","Unknown","Human Resources","540","510","35090","30750"
"In post","2021","Heterosexual / straight","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Legal","960","920","37600","38000"
"In post","2021","Heterosexual / straight","Unknown","No function","8360","7850","34960","32770"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","1260","1210","41280","38630"
"In post","2021","Heterosexual / straight","Unknown","Property","340","330","31850","28870"
"In post","2021","Heterosexual / straight","Unknown","Security","690","670","30490","27680"
"In post","2021","Heterosexual / straight","Unknown","Unknown","4030","3860","37150","32140"
"In post","2021","LGBO","Declared disabled","Analysis","80","70","40430","36900"
"In post","2021","LGBO","Declared disabled","Commercial","40","30","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Communications","60","60","34790","31810"
"In post","2021","LGBO","Declared disabled","Counter Fraud","60","50","34060","31810"
"In post","2021","LGBO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Digital, Data & Technology","100","100","38380","35880"
"In post","2021","LGBO","Declared disabled","Finance","40","30","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Human Resources","120","110","40280","35000"
"In post","2021","LGBO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Legal","100","100","46720","43920"
"In post","2021","LGBO","Declared disabled","No function","1560","1520","32200","28990"
"In post","2021","LGBO","Declared disabled","Project Delivery","180","180","39030","34570"
"In post","2021","LGBO","Declared disabled","Property","50","40","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Security","30","30","[c]","[c]"
"In post","2021","LGBO","Declared disabled","Unknown","1570","1490","29880","27570"
"In post","2021","LGBO","Declared non-disabled","Analysis","280","270","42520","37020"
"In post","2021","LGBO","Declared non-disabled","Commercial","120","120","38400","33300"
"In post","2021","LGBO","Declared non-disabled","Communications","270","260","36340","31810"
"In post","2021","LGBO","Declared non-disabled","Counter Fraud","210","200","34170","31810"
"In post","2021","LGBO","Declared non-disabled","Debt","110","110","22990","20140"
"In post","2021","LGBO","Declared non-disabled","Digital, Data & Technology","330","330","43240","38650"
"In post","2021","LGBO","Declared non-disabled","Finance","190","180","40810","36960"
"In post","2021","LGBO","Declared non-disabled","Grants Management","50","50","[c]","[c]"
"In post","2021","LGBO","Declared non-disabled","Human Resources","290","280","40830","37000"
"In post","2021","LGBO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Declared non-disabled","Legal","390","380","48420","50990"
"In post","2021","LGBO","Declared non-disabled","No function","5320","5180","34850","30850"
"In post","2021","LGBO","Declared non-disabled","Project Delivery","640","630","42250","38610"
"In post","2021","LGBO","Declared non-disabled","Property","160","150","35330","32060"
"In post","2021","LGBO","Declared non-disabled","Security","160","160","31510","28780"
"In post","2021","LGBO","Declared non-disabled","Unknown","4090","3950","31190","27570"
"In post","2021","LGBO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","LGBO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","No function","490","480","32290","30990"
"In post","2021","LGBO","Undeclared","Project Delivery","60","60","40370","40030"
"In post","2021","LGBO","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Undeclared","Security","30","30","[c]","[c]"
"In post","2021","LGBO","Undeclared","Unknown","280","270","28740","27570"
"In post","2021","LGBO","Unknown","Analysis","50","50","35290","30130"
"In post","2021","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Digital, Data & Technology","50","50","39400","36030"
"In post","2021","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Human Resources","30","30","[c]","[c]"
"In post","2021","LGBO","Unknown","Legal","60","60","31810","26970"
"In post","2021","LGBO","Unknown","No function","580","570","34640","31810"
"In post","2021","LGBO","Unknown","Project Delivery","60","60","44360","40760"
"In post","2021","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Security","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","Unknown","180","180","36010","31640"
"In post","2021","Undeclared","Declared disabled","Analysis","40","40","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Commercial","70","60","38960","36400"
"In post","2021","Undeclared","Declared disabled","Communications","40","40","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Counter Fraud","90","80","34040","31470"
"In post","2021","Undeclared","Declared disabled","Debt","40","30","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Digital, Data & Technology","120","110","39370","35310"
"In post","2021","Undeclared","Declared disabled","Finance","80","70","37930","31780"
"In post","2021","Undeclared","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Human Resources","90","90","37760","33300"
"In post","2021","Undeclared","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Declared disabled","Legal","110","100","45850","45050"
"In post","2021","Undeclared","Declared disabled","No function","1790","1610","30460","27130"
"In post","2021","Undeclared","Declared disabled","Project Delivery","300","280","39040","37680"
"In post","2021","Undeclared","Declared disabled","Property","80","80","36770","33460"
"In post","2021","Undeclared","Declared disabled","Security","90","90","34180","34550"
"In post","2021","Undeclared","Declared disabled","Unknown","2370","2100","28460","27570"
"In post","2021","Undeclared","Declared non-disabled","Analysis","260","250","45140","39260"
"In post","2021","Undeclared","Declared non-disabled","Commercial","290","270","40290","34810"
"In post","2021","Undeclared","Declared non-disabled","Communications","260","250","33980","31810"
"In post","2021","Undeclared","Declared non-disabled","Counter Fraud","370","340","34920","31810"
"In post","2021","Undeclared","Declared non-disabled","Debt","160","140","23920","21440"
"In post","2021","Undeclared","Declared non-disabled","Digital, Data & Technology","600","580","42340","39110"
"In post","2021","Undeclared","Declared non-disabled","Finance","470","440","39070","35850"
"In post","2021","Undeclared","Declared non-disabled","Grants Management","30","30","[c]","[c]"
"In post","2021","Undeclared","Declared non-disabled","Human Resources","330","310","35770","32290"
"In post","2021","Undeclared","Declared non-disabled","Internal Audit","50","40","[c]","[c]"
"In post","2021","Undeclared","Declared non-disabled","Legal","500","460","48540","47100"
"In post","2021","Undeclared","Declared non-disabled","No function","8520","7750","32860","28400"
"In post","2021","Undeclared","Declared non-disabled","Project Delivery","1350","1300","42210","39100"
"In post","2021","Undeclared","Declared non-disabled","Property","440","410","36080","33300"
"In post","2021","Undeclared","Declared non-disabled","Security","420","410","34450","36470"
"In post","2021","Undeclared","Declared non-disabled","Unknown","9170","8320","30730","27570"
"In post","2021","Undeclared","Undeclared","Analysis","120","120","42580","40400"
"In post","2021","Undeclared","Undeclared","Commercial","160","160","40050","36520"
"In post","2021","Undeclared","Undeclared","Communications","140","130","33490","29780"
"In post","2021","Undeclared","Undeclared","Counter Fraud","420","390","36570","31870"
"In post","2021","Undeclared","Undeclared","Debt","100","90","24760","21440"
"In post","2021","Undeclared","Undeclared","Digital, Data & Technology","350","340","40460","38450"
"In post","2021","Undeclared","Undeclared","Finance","230","220","39350","34460"
"In post","2021","Undeclared","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Human Resources","180","170","36810","31820"
"In post","2021","Undeclared","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Legal","160","150","51380","51250"
"In post","2021","Undeclared","Undeclared","No function","4550","4240","33800","31630"
"In post","2021","Undeclared","Undeclared","Project Delivery","970","930","39700","37320"
"In post","2021","Undeclared","Undeclared","Property","280","260","37740","33300"
"In post","2021","Undeclared","Undeclared","Security","330","320","35850","38630"
"In post","2021","Undeclared","Undeclared","Unknown","2880","2720","32310","27570"
"In post","2021","Undeclared","Unknown","Analysis","70","70","46940","39940"
"In post","2021","Undeclared","Unknown","Commercial","60","50","41200","40000"
"In post","2021","Undeclared","Unknown","Communications","60","50","40010","33300"
"In post","2021","Undeclared","Unknown","Counter Fraud","60","50","35200","32100"
"In post","2021","Undeclared","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Digital, Data & Technology","160","160","38090","35230"
"In post","2021","Undeclared","Unknown","Finance","90","90","39620","38930"
"In post","2021","Undeclared","Unknown","Human Resources","80","70","31990","29350"
"In post","2021","Undeclared","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Legal","1610","1450","27640","22820"
"In post","2021","Undeclared","Unknown","No function","1030","960","37040","33610"
"In post","2021","Undeclared","Unknown","Project Delivery","300","290","42450","40080"
"In post","2021","Undeclared","Unknown","Property","70","70","34040","33000"
"In post","2021","Undeclared","Unknown","Security","120","120","33920","39070"
"In post","2021","Undeclared","Unknown","Unknown","500","480","36590","32980"
"In post","2021","Unknown","Declared disabled","Analysis","50","40","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Commercial","30","30","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Communications","30","30","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Counter Fraud","100","90","30740","28130"
"In post","2021","Unknown","Declared disabled","Debt","50","40","22770","21440"
"In post","2021","Unknown","Declared disabled","Digital, Data & Technology","100","90","35710","33730"
"In post","2021","Unknown","Declared disabled","Finance","60","50","31580","27420"
"In post","2021","Unknown","Declared disabled","Grants Management","50","40","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Human Resources","60","50","34540","30920"
"In post","2021","Unknown","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Legal","120","110","40850","34480"
"In post","2021","Unknown","Declared disabled","No function","1270","1120","30580","28130"
"In post","2021","Unknown","Declared disabled","Project Delivery","150","140","38670","35000"
"In post","2021","Unknown","Declared disabled","Property","70","70","31310","26670"
"In post","2021","Unknown","Declared disabled","Security","40","40","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Unknown","1720","1460","27300","27570"
"In post","2021","Unknown","Declared non-disabled","Analysis","440","420","40780","36580"
"In post","2021","Unknown","Declared non-disabled","Commercial","380","370","47890","40060"
"In post","2021","Unknown","Declared non-disabled","Communications","340","320","35580","31810"
"In post","2021","Unknown","Declared non-disabled","Counter Fraud","520","480","33200","31810"
"In post","2021","Unknown","Declared non-disabled","Debt","310","260","24500","21440"
"In post","2021","Unknown","Declared non-disabled","Digital, Data & Technology","1400","1330","40790","39650"
"In post","2021","Unknown","Declared non-disabled","Finance","510","470","34910","30730"
"In post","2021","Unknown","Declared non-disabled","Grants Management","910","840","24450","21050"
"In post","2021","Unknown","Declared non-disabled","Human Resources","360","330","35150","31810"
"In post","2021","Unknown","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Legal","1460","1300","48300","52060"
"In post","2021","Unknown","Declared non-disabled","No function","9450","8400","32950","30620"
"In post","2021","Unknown","Declared non-disabled","Project Delivery","1350","1300","40570","38630"
"In post","2021","Unknown","Declared non-disabled","Property","940","890","31880","29440"
"In post","2021","Unknown","Declared non-disabled","Security","230","220","35660","35440"
"In post","2021","Unknown","Declared non-disabled","Unknown","17690","15150","27980","27570"
"In post","2021","Unknown","Undeclared","Analysis","110","100","41740","41090"
"In post","2021","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Communications","60","60","46710","42890"
"In post","2021","Unknown","Undeclared","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Unknown","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Digital, Data & Technology","50","50","38840","35060"
"In post","2021","Unknown","Undeclared","Finance","60","60","40260","38630"
"In post","2021","Unknown","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Human Resources","50","50","39250","34710"
"In post","2021","Unknown","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Legal","30","30","[c]","[c]"
"In post","2021","Unknown","Undeclared","No function","3230","2920","32920","31650"
"In post","2021","Unknown","Undeclared","Project Delivery","170","170","44550","40580"
"In post","2021","Unknown","Undeclared","Property","120","110","34840","31100"
"In post","2021","Unknown","Undeclared","Security","30","30","[c]","[c]"
"In post","2021","Unknown","Undeclared","Unknown","890","800","28040","27570"
"In post","2021","Unknown","Unknown","Analysis","1050","1010","41150","36780"
"In post","2021","Unknown","Unknown","Commercial","1590","1550","58810","54700"
"In post","2021","Unknown","Unknown","Communications","2140","2090","32730","25560"
"In post","2021","Unknown","Unknown","Counter Fraud","1860","1770","31390","29570"
"In post","2021","Unknown","Unknown","Debt","1660","1550","21940","20140"
"In post","2021","Unknown","Unknown","Digital, Data & Technology","2370","2330","40750","37730"
"In post","2021","Unknown","Unknown","Finance","1220","1150","35470","31810"
"In post","2021","Unknown","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Human Resources","880","830","34030","31380"
"In post","2021","Unknown","Unknown","Internal Audit","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Legal","1440","1350","45650","48080"
"In post","2021","Unknown","Unknown","No function","30220","28520","30260","25950"
"In post","2021","Unknown","Unknown","Project Delivery","2620","2530","42220","38630"
"In post","2021","Unknown","Unknown","Property","1190","1140","29410","25860"
"In post","2021","Unknown","Unknown","Security","1220","1200","30580","27130"
"In post","2021","Unknown","Unknown","Unknown","10790","10430","34550","29290"
"In post","2022","Heterosexual / straight","Declared disabled","Analysis","480","460","42380","38340"
"In post","2022","Heterosexual / straight","Declared disabled","Commercial","340","330","39970","37850"
"In post","2022","Heterosexual / straight","Declared disabled","Communications","440","420","34760","33080"
"In post","2022","Heterosexual / straight","Declared disabled","Counter Fraud","1410","1270","31240","27570"
"In post","2022","Heterosexual / straight","Declared disabled","Debt","590","500","23490","21260"
"In post","2022","Heterosexual / straight","Declared disabled","Digital, Data & Technology","1450","1390","39130","35110"
"In post","2022","Heterosexual / straight","Declared disabled","Finance","880","820","38210","34220"
"In post","2022","Heterosexual / straight","Declared disabled","Grants Management","110","100","26230","24920"
"In post","2022","Heterosexual / straight","Declared disabled","Human Resources","1240","1170","38560","34160"
"In post","2022","Heterosexual / straight","Declared disabled","Internal Audit","70","70","44630","39980"
"In post","2022","Heterosexual / straight","Declared disabled","Legal","910","840","44040","41750"
"In post","2022","Heterosexual / straight","Declared disabled","No function","24450","22120","30080","27570"
"In post","2022","Heterosexual / straight","Declared disabled","Project Delivery","1980","1890","39740","37300"
"In post","2022","Heterosexual / straight","Declared disabled","Property","600","570","36710","33300"
"In post","2022","Heterosexual / straight","Declared disabled","Security","670","650","32710","30730"
"In post","2022","Heterosexual / straight","Declared disabled","Unknown","5020","4720","33370","29080"
"In post","2022","Heterosexual / straight","Declared non-disabled","Analysis","4200","4030","45240","40270"
"In post","2022","Heterosexual / straight","Declared non-disabled","Commercial","2920","2830","43690","39450"
"In post","2022","Heterosexual / straight","Declared non-disabled","Communications","4200","4050","36820","33080"
"In post","2022","Heterosexual / straight","Declared non-disabled","Counter Fraud","8660","8070","33070","30750"
"In post","2022","Heterosexual / straight","Declared non-disabled","Debt","3180","2820","24020","21260"
"In post","2022","Heterosexual / straight","Declared non-disabled","Digital, Data & Technology","11760","11430","41990","38880"
"In post","2022","Heterosexual / straight","Declared non-disabled","Finance","6760","6430","40330","36500"
"In post","2022","Heterosexual / straight","Declared non-disabled","Grants Management","920","830","26130","24920"
"In post","2022","Heterosexual / straight","Declared non-disabled","Human Resources","6700","6340","38490","33530"
"In post","2022","Heterosexual / straight","Declared non-disabled","Internal Audit","480","450","46300","43710"
"In post","2022","Heterosexual / straight","Declared non-disabled","Legal","6510","6090","47340","50500"
"In post","2022","Heterosexual / straight","Declared non-disabled","No function","136780","127410","32420","27570"
"In post","2022","Heterosexual / straight","Declared non-disabled","Project Delivery","15290","14730","42450","40000"
"In post","2022","Heterosexual / straight","Declared non-disabled","Property","5250","5040","37900","33370"
"In post","2022","Heterosexual / straight","Declared non-disabled","Security","5690","5550","32450","29890"
"In post","2022","Heterosexual / straight","Declared non-disabled","Unknown","45340","42840","34740","29430"
"In post","2022","Heterosexual / straight","Undeclared","Analysis","140","140","44730","40720"
"In post","2022","Heterosexual / straight","Undeclared","Commercial","140","140","42900","37350"
"In post","2022","Heterosexual / straight","Undeclared","Communications","150","140","36070","33080"
"In post","2022","Heterosexual / straight","Undeclared","Counter Fraud","320","300","31630","27570"
"In post","2022","Heterosexual / straight","Undeclared","Debt","160","140","23300","21260"
"In post","2022","Heterosexual / straight","Undeclared","Digital, Data & Technology","500","480","40110","37040"
"In post","2022","Heterosexual / straight","Undeclared","Finance","280","270","39420","35310"
"In post","2022","Heterosexual / straight","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Human Resources","350","330","36570","33370"
"In post","2022","Heterosexual / straight","Undeclared","Internal Audit","40","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Undeclared","Legal","140","130","50510","52980"
"In post","2022","Heterosexual / straight","Undeclared","No function","7640","7060","31150","27570"
"In post","2022","Heterosexual / straight","Undeclared","Project Delivery","590","560","40510","39140"
"In post","2022","Heterosexual / straight","Undeclared","Property","270","260","37090","33680"
"In post","2022","Heterosexual / straight","Undeclared","Security","390","380","32380","29960"
"In post","2022","Heterosexual / straight","Undeclared","Unknown","1480","1400","31970","27400"
"In post","2022","Heterosexual / straight","Unknown","Analysis","660","640","41710","38340"
"In post","2022","Heterosexual / straight","Unknown","Commercial","460","450","38890","36780"
"In post","2022","Heterosexual / straight","Unknown","Communications","350","340","39590","36660"
"In post","2022","Heterosexual / straight","Unknown","Counter Fraud","320","300","34430","33080"
"In post","2022","Heterosexual / straight","Unknown","Debt","80","70","25010","22080"
"In post","2022","Heterosexual / straight","Unknown","Digital, Data & Technology","1070","1050","40780","37100"
"In post","2022","Heterosexual / straight","Unknown","Finance","620","600","39090","36500"
"In post","2022","Heterosexual / straight","Unknown","Human Resources","530","510","35600","32330"
"In post","2022","Heterosexual / straight","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Legal","980","940","39840","38090"
"In post","2022","Heterosexual / straight","Unknown","No function","9680","9110","36240","33370"
"In post","2022","Heterosexual / straight","Unknown","Project Delivery","1060","1020","42770","40220"
"In post","2022","Heterosexual / straight","Unknown","Property","430","420","34820","32650"
"In post","2022","Heterosexual / straight","Unknown","Security","770","750","32160","30890"
"In post","2022","Heterosexual / straight","Unknown","Unknown","4360","4200","37820","32390"
"In post","2022","LGBO","Declared disabled","Analysis","110","110","39530","37930"
"In post","2022","LGBO","Declared disabled","Commercial","30","30","[c]","[c]"
"In post","2022","LGBO","Declared disabled","Communications","80","80","35610","33370"
"In post","2022","LGBO","Declared disabled","Counter Fraud","150","140","31860","28840"
"In post","2022","LGBO","Declared disabled","Debt","70","60","23380","21260"
"In post","2022","LGBO","Declared disabled","Digital, Data & Technology","230","220","38600","36050"
"In post","2022","LGBO","Declared disabled","Finance","70","70","37300","31990"
"In post","2022","LGBO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Declared disabled","Human Resources","190","180","38210","33370"
"In post","2022","LGBO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Declared disabled","Legal","110","100","45280","49650"
"In post","2022","LGBO","Declared disabled","No function","2940","2820","30880","27570"
"In post","2022","LGBO","Declared disabled","Project Delivery","210","200","40570","35990"
"In post","2022","LGBO","Declared disabled","Property","50","50","38350","35190"
"In post","2022","LGBO","Declared disabled","Security","50","50","[c]","[c]"
"In post","2022","LGBO","Declared disabled","Unknown","580","550","35550","30830"
"In post","2022","LGBO","Declared non-disabled","Analysis","360","360","42170","37930"
"In post","2022","LGBO","Declared non-disabled","Commercial","130","130","39160","34710"
"In post","2022","LGBO","Declared non-disabled","Communications","310","310","36390","33080"
"In post","2022","LGBO","Declared non-disabled","Counter Fraud","410","390","32480","28920"
"In post","2022","LGBO","Declared non-disabled","Debt","210","200","23720","21260"
"In post","2022","LGBO","Declared non-disabled","Digital, Data & Technology","640","630","41330","37970"
"In post","2022","LGBO","Declared non-disabled","Finance","290","280","40590","36500"
"In post","2022","LGBO","Declared non-disabled","Grants Management","70","60","25820","24920"
"In post","2022","LGBO","Declared non-disabled","Human Resources","390","380","39830","34550"
"In post","2022","LGBO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Declared non-disabled","Legal","380","370","48710","50500"
"In post","2022","LGBO","Declared non-disabled","No function","8400","8160","33390","28140"
"In post","2022","LGBO","Declared non-disabled","Project Delivery","660","650","42300","39650"
"In post","2022","LGBO","Declared non-disabled","Property","190","180","36160","32890"
"In post","2022","LGBO","Declared non-disabled","Security","240","240","33280","31990"
"In post","2022","LGBO","Declared non-disabled","Unknown","1840","1790","36310","31210"
"In post","2022","LGBO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Counter Fraud","40","40","[c]","[c]"
"In post","2022","LGBO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Digital, Data & Technology","60","60","39320","33370"
"In post","2022","LGBO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Undeclared","No function","710","680","31430","27570"
"In post","2022","LGBO","Undeclared","Project Delivery","50","50","[c]","[c]"
