"Status","Year","Sexual_orientation","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Project Delivery","Asian","980","960","41250","38080"
"In post","2021","Heterosexual / straight","Project Delivery","Black","600","590","38890","36440"
"In post","2021","Heterosexual / straight","Project Delivery","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Mixed","360","350","41910","38600"
"In post","2021","Heterosexual / straight","Project Delivery","Other ethnicity","110","110","43180","39800"
"In post","2021","Heterosexual / straight","Project Delivery","Undeclared","100","100","41260","40100"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","140","130","43530","38950"
"In post","2021","Heterosexual / straight","Project Delivery","White","17920","17300","41200","38630"
"In post","2021","Heterosexual / straight","Property","Asian","240","230","35400","31030"
"In post","2021","Heterosexual / straight","Property","Black","120","110","36450","33740"
"In post","2021","Heterosexual / straight","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Mixed","80","80","33680","32780"
"In post","2021","Heterosexual / straight","Property","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Undeclared","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Unknown","70","70","35070","30710"
"In post","2021","Heterosexual / straight","Property","White","5310","5070","35580","33300"
"In post","2021","Heterosexual / straight","Security","Asian","190","190","32040","30500"
"In post","2021","Heterosexual / straight","Security","Black","100","100","30760","27630"
"In post","2021","Heterosexual / straight","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Mixed","80","70","36080","33200"
"In post","2021","Heterosexual / straight","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","White","5540","5410","30920","26670"
"In post","2021","Heterosexual / straight","Unknown","Asian","10240","9490","30030","27570"
"In post","2021","Heterosexual / straight","Unknown","Black","5040","4810","30650","29290"
"In post","2021","Heterosexual / straight","Unknown","Chinese","290","270","31850","28670"
"In post","2021","Heterosexual / straight","Unknown","Mixed","2160","2030","31260","27570"
"In post","2021","Heterosexual / straight","Unknown","Other ethnicity","590","550","31560","28670"
"In post","2021","Heterosexual / straight","Unknown","Undeclared","1100","1010","30250","27570"
"In post","2021","Heterosexual / straight","Unknown","Unknown","450","420","30270","27570"
"In post","2021","Heterosexual / straight","Unknown","White","94730","87110","30930","27570"
"In post","2021","LGBO","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","White","370","360","40450","36160"
"In post","2021","LGBO","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","White","170","160","38820","34490"
"In post","2021","LGBO","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","White","330","320","36090","31810"
"In post","2021","LGBO","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","White","270","260","34010","31810"
"In post","2021","LGBO","Debt","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","White","120","110","23190","20140"
"In post","2021","LGBO","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","White","440","430","41400","38030"
"In post","2021","LGBO","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","White","210","210","40930","36790"
"In post","2021","LGBO","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","White","50","50","26210","24920"
"In post","2021","LGBO","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","White","400","390","40130","35990"
"In post","2021","LGBO","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","White","470","450","46700","48810"
"In post","2021","LGBO","No function","Asian","230","220","32720","27710"
"In post","2021","LGBO","No function","Black","130","130","32950","28030"
"In post","2021","LGBO","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Mixed","280","270","35240","31800"
"In post","2021","LGBO","No function","Other ethnicity","70","70","37770","33210"
"In post","2021","LGBO","No function","Undeclared","130","120","30690","28500"
"In post","2021","LGBO","No function","Unknown","110","110","34190","30810"
"In post","2021","LGBO","No function","White","6980","6810","34210","30670"
"In post","2021","LGBO","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Mixed","40","40","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","White","810","800","41070","37000"
"In post","2021","LGBO","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","White","200","190","34690","32060"
"In post","2021","LGBO","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","White","240","240","32680","29370"
"In post","2021","LGBO","Unknown","Asian","180","160","29020","27570"
"In post","2021","LGBO","Unknown","Black","120","120","30410","29540"
"In post","2021","LGBO","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Mixed","230","220","31770","27570"
"In post","2021","LGBO","Unknown","Other ethnicity","50","50","32480","30170"
"In post","2021","LGBO","Unknown","Undeclared","90","90","29030","27570"
"In post","2021","LGBO","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","White","5380","5190","30910","27570"
"In post","2021","Undeclared","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Undeclared","160","160","44560","41780"
"In post","2021","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","White","280","260","44310","38550"
"In post","2021","Undeclared","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Undeclared","220","210","40190","36300"
"In post","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","White","300","290","40240","36410"
"In post","2021","Undeclared","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Undeclared","150","150","34240","31810"
"In post","2021","Undeclared","Communications","Unknown","30","30","[c]","[c]"
"In post","2021","Undeclared","Communications","White","260","250","33080","31040"
"In post","2021","Undeclared","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Undeclared","420","390","36560","31950"
"In post","2021","Undeclared","Counter Fraud","Unknown","60","50","35020","31810"
"In post","2021","Undeclared","Counter Fraud","White","400","370","34770","31810"
"In post","2021","Undeclared","Debt","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Undeclared","90","80","25080","21440"
"In post","2021","Undeclared","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","White","170","140","23520","21440"
"In post","2021","Undeclared","Digital, Data & Technology","Asian","40","30","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Undeclared","450","430","41770","39010"
"In post","2021","Undeclared","Digital, Data & Technology","Unknown","100","90","35790","30900"
"In post","2021","Undeclared","Digital, Data & Technology","White","620","590","40820","38450"
"In post","2021","Undeclared","Finance","Asian","40","40","[c]","[c]"
"In post","2021","Undeclared","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Undeclared","280","260","40790","36790"
"In post","2021","Undeclared","Finance","Unknown","50","40","[c]","[c]"
"In post","2021","Undeclared","Finance","White","480","440","38850","33680"
"In post","2021","Undeclared","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","White","40","30","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Undeclared","210","200","36150","32300"
"In post","2021","Undeclared","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","Human Resources","White","380","360","35840","31810"
"In post","2021","Undeclared","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Undeclared","30","30","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","White","40","40","[c]","[c]"
"In post","2021","Undeclared","Legal","Asian","40","30","[c]","[c]"
"In post","2021","Undeclared","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Undeclared","Legal","Undeclared","230","210","47240","46530"
"In post","2021","Undeclared","Legal","Unknown","1560","1400","27270","22820"
"In post","2021","Undeclared","Legal","White","480","440","48370","46530"
"In post","2021","Undeclared","No function","Asian","500","460","31070","26880"
"In post","2021","Undeclared","No function","Black","300","280","32260","30220"
"In post","2021","Undeclared","No function","Chinese","40","40","[c]","[c]"
"In post","2021","Undeclared","No function","Mixed","240","230","34750","31650"
"In post","2021","Undeclared","No function","Other ethnicity","80","80","37350","34000"
"In post","2021","Undeclared","No function","Undeclared","4300","4040","35210","31810"
"In post","2021","Undeclared","No function","Unknown","890","820","32140","28590"
"In post","2021","Undeclared","No function","White","9540","8610","32330","28130"
"In post","2021","Undeclared","Project Delivery","Asian","40","40","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Mixed","30","30","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Undeclared","1250","1210","41910","40050"
"In post","2021","Undeclared","Project Delivery","Unknown","80","70","43050","41540"
"In post","2021","Undeclared","Project Delivery","White","1490","1410","40110","35590"
"In post","2021","Undeclared","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Undeclared","360","340","36850","33300"
"In post","2021","Undeclared","Property","Unknown","50","40","[c]","[c]"
"In post","2021","Undeclared","Property","White","410","390","36480","33300"
"In post","2021","Undeclared","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Mixed","[c]","[c]","[c]","[c]"
