"Status","Year","Sexual_orientation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Operational Delivery","950","890","30540","28130"
"In post","2021","Heterosexual / straight","Communications","Other","190","190","25360","21700"
"In post","2021","Heterosexual / straight","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Tax","1020","980","27910","25560"
"In post","2021","Heterosexual / straight","Communications","Unknown","380","380","39240","34550"
"In post","2021","Heterosexual / straight","Counter Fraud","Counter Fraud","420","400","41080","38510"
"In post","2021","Heterosexual / straight","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Intelligence Analysis","120","120","38640","36160"
"In post","2021","Heterosexual / straight","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Legal","1940","1860","31410","29570"
"In post","2021","Heterosexual / straight","Counter Fraud","Operational Delivery","1830","1690","31130","29570"
"In post","2021","Heterosexual / straight","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Other","190","170","40360","36160"
"In post","2021","Heterosexual / straight","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Tax","1180","1110","39800","36160"
"In post","2021","Heterosexual / straight","Counter Fraud","Unknown","140","140","40750","35790"
"In post","2021","Heterosexual / straight","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Operational Delivery","1850","1630","24380","21440"
"In post","2021","Heterosexual / straight","Debt","Tax","270","260","21100","20140"
"In post","2021","Heterosexual / straight","Debt","Unknown","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Digital, Data and Technology","6500","6310","41430","38450"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Knowledge and Information Management","110","100","37610","35510"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Operational Delivery","300","290","36200","31810"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Project Delivery","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Security","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Tax","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Unknown","830","810","50360","54700"
"In post","2021","Heterosexual / straight","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Corporate Finance","90","90","47570","46080"
"In post","2021","Heterosexual / straight","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Economics","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Finance","5360","5100","40390","36740"
"In post","2021","Heterosexual / straight","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Operational Delivery","460","430","30750","28130"
"In post","2021","Heterosexual / straight","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Other","130","120","44990","35910"
"In post","2021","Heterosexual / straight","Finance","Policy","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Project Delivery","60","60","43790","39940"
"In post","2021","Heterosexual / straight","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Unknown","180","170","47030","40600"
"In post","2021","Heterosexual / straight","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Operational Delivery","790","710","26530","25190"
"In post","2021","Heterosexual / straight","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Human Resources","5260","4980","38700","33700"
"In post","2021","Heterosexual / straight","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Operational Delivery","630","580","30490","26370"
"In post","2021","Heterosexual / straight","Human Resources","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Other","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Policy","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Tax","110","110","36080","31810"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","970","920","40240","35590"
"In post","2021","Heterosexual / straight","Internal Audit","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Internal Audit","570","550","46170","43450"
"In post","2021","Heterosexual / straight","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Legal","5660","5260","53840","52330"
"In post","2021","Heterosexual / straight","Legal","Operational Delivery","2550","2370","28030","25820"
"In post","2021","Heterosexual / straight","Legal","Other","240","230","30790","27350"
"In post","2021","Heterosexual / straight","Legal","Policy","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Tax","230","220","39010","35000"
"In post","2021","Heterosexual / straight","Legal","Unknown","110","100","57100","59160"
"In post","2021","Heterosexual / straight","No function","Commercial","200","190","44500","37280"
"In post","2021","Heterosexual / straight","No function","Communications","80","80","42340","40050"
"In post","2021","Heterosexual / straight","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","Digital, Data and Technology","130","120","37300","33100"
"In post","2021","Heterosexual / straight","No function","Economics","330","320","47680","50780"
"In post","2021","Heterosexual / straight","No function","Finance","270","250","41990","36980"
"In post","2021","Heterosexual / straight","No function","Human Resources","50","50","40910","36330"
"In post","2021","Heterosexual / straight","No function","Inspector of Education and Training","720","700","66390","74730"
"In post","2021","Heterosexual / straight","No function","Intelligence Analysis","350","340","31350","28080"
"In post","2021","Heterosexual / straight","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","International Trade","830","820","47820","44030"
"In post","2021","Heterosexual / straight","No function","Knowledge and Information Management","620","580","39040","36330"
"In post","2021","Heterosexual / straight","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","Medicine","280","240","96480","96920"
"In post","2021","Heterosexual / straight","No function","Operational Delivery","81800","75630","29130","26520"
"In post","2021","Heterosexual / straight","No function","Operational Research","240","230","44830","46080"
"In post","2021","Heterosexual / straight","No function","Other","1240","1180","39560","32480"
"In post","2021","Heterosexual / straight","No function","Planning","110","110","47780","41850"
"In post","2021","Heterosexual / straight","No function","Planning Inspectors","260","240","57870","58810"
"In post","2021","Heterosexual / straight","No function","Policy","13750","13390","47350","42520"
"In post","2021","Heterosexual / straight","No function","Project Delivery","160","150","41540","36800"
"In post","2021","Heterosexual / straight","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","Psychology","1030","990","35630","30450"
"In post","2021","Heterosexual / straight","No function","Science and Engineering","4280","4050","39590","37320"
"In post","2021","Heterosexual / straight","No function","Security","130","120","47330","44450"
"In post","2021","Heterosexual / straight","No function","Social Research","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","Tax","6620","6200","36450","31810"
"In post","2021","Heterosexual / straight","No function","Unknown","3050","2960","39370","33250"
"In post","2021","Heterosexual / straight","No function","Veterinarian","270","260","44620","40260"
"In post","2021","Heterosexual / straight","Project Delivery","Commercial","620","600","38510","34770"
"In post","2021","Heterosexual / straight","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Digital, Data and Technology","330","320","43200","43000"
"In post","2021","Heterosexual / straight","Project Delivery","Economics","60","60","55740","55990"
"In post","2021","Heterosexual / straight","Project Delivery","Finance","310","300","42720","39860"
"In post","2021","Heterosexual / straight","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Knowledge and Information Management","140","140","36790","35790"
"In post","2021","Heterosexual / straight","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Operational Delivery","1100","1030","35500","31810"
"In post","2021","Heterosexual / straight","Project Delivery","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Other","2620","2510","34060","29700"
"In post","2021","Heterosexual / straight","Project Delivery","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Policy","1510","1450","52000","53000"
"In post","2021","Heterosexual / straight","Project Delivery","Project Delivery","10330","10010","42080","38630"
"In post","2021","Heterosexual / straight","Project Delivery","Property","230","230","48730","50400"
"In post","2021","Heterosexual / straight","Project Delivery","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Science and Engineering","2480","2440","37960","37200"
"In post","2021","Heterosexual / straight","Project Delivery","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Tax","80","80","43500","38630"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","280","270","58760","54700"
"In post","2021","Heterosexual / straight","Property","Commercial","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Operational Delivery","850","790","30460","25500"
"In post","2021","Heterosexual / straight","Property","Other","140","130","35000","32770"
"In post","2021","Heterosexual / straight","Property","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Project Delivery","60","60","50490","50580"
"In post","2021","Heterosexual / straight","Property","Property","4480","4300","36030","33300"
"In post","2021","Heterosexual / straight","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Unknown","240","230","38560","35330"
"In post","2021","Heterosexual / straight","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Intelligence Analysis","140","140","44680","38860"
"In post","2021","Heterosexual / straight","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Security","5370","5250","30280","26610"
"In post","2021","Heterosexual / straight","Security","Unknown","470","450","34980","33300"
"In post","2021","Heterosexual / straight","Unknown","Commercial","90","90","40460","41940"
"In post","2021","Heterosexual / straight","Unknown","Communications","270","260","44250","41730"
"In post","2021","Heterosexual / straight","Unknown","Counter Fraud","160","140","27010","25310"
"In post","2021","Heterosexual / straight","Unknown","Digital, Data and Technology","1090","1070","48040","44470"
"In post","2021","Heterosexual / straight","Unknown","Economics","120","120","47630","41760"
"In post","2021","Heterosexual / straight","Unknown","Finance","530","510","43560","37430"
"In post","2021","Heterosexual / straight","Unknown","Human Resources","630","600","41400","37410"
"In post","2021","Heterosexual / straight","Unknown","Intelligence Analysis","1720","1640","32430","29490"
"In post","2021","Heterosexual / straight","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Knowledge and Information Management","150","150","38330","37410"
"In post","2021","Heterosexual / straight","Unknown","Legal","120","110","56660","60830"
"In post","2021","Heterosexual / straight","Unknown","Medicine","1410","1280","45850","37890"
"In post","2021","Heterosexual / straight","Unknown","Operational Delivery","22250","20390","28470","25630"
"In post","2021","Heterosexual / straight","Unknown","Operational Research","120","120","45920","42130"
"In post","2021","Heterosexual / straight","Unknown","Other","10250","9820","27620","22210"
"In post","2021","Heterosexual / straight","Unknown","Planning","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Policy","4010","3880","47040","42200"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","1150","1120","44890","41950"
"In post","2021","Heterosexual / straight","Unknown","Property","120","120","43440","37410"
"In post","2021","Heterosexual / straight","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Science and Engineering","1720","1680","36140","33000"
"In post","2021","Heterosexual / straight","Unknown","Security","300","290","30970","28670"
"In post","2021","Heterosexual / straight","Unknown","Social Research","200","200","46180","47000"
"In post","2021","Heterosexual / straight","Unknown","Statistics","130","120","41910","39310"
"In post","2021","Heterosexual / straight","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Unknown","67960","61930","29660","27570"
"In post","2021","Heterosexual / straight","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Economics","80","80","43700","35640"
"In post","2021","LGBO","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Operational Research","50","40","[c]","[c]"
"In post","2021","LGBO","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Social Research","60","60","40440","37020"
"In post","2021","LGBO","Analysis","Statistics","130","130","40940","37020"
"In post","2021","LGBO","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Commercial","130","120","38090","34490"
"In post","2021","LGBO","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Communications","180","170","42070","40310"
"In post","2021","LGBO","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Operational Delivery","50","50","29260","31810"
"In post","2021","LGBO","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","Tax","90","80","27750","25560"
"In post","2021","LGBO","Communications","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Legal","100","100","31020","29570"
"In post","2021","LGBO","Counter Fraud","Operational Delivery","70","70","28610","25560"
"In post","2021","LGBO","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","Tax","60","60","42290","36160"
"In post","2021","LGBO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","Operational Delivery","110","100","24110","21440"
"In post","2021","LGBO","Debt","Tax","40","40","[c]","[c]"
"In post","2021","LGBO","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Digital, Data and Technology","400","390","40460","36800"
"In post","2021","LGBO","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
