"Status","Year","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","80","70","72500","74650"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","40","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","160","150","27760","22720"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","70","70","23640","22570"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","210","200","41250","35420"
"In post","2021","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","520","510","36260","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","100","100","37590","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","1800","1670","35540","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","70","70","41450","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","720","660","42200","38180"
"In post","2021","Crown Prosecution Service","Declared non-disabled","4550","4200","42620","38760"
"In post","2021","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","1470","1400","37100","31560"
"In post","2021","Crown Prosecution Service Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Unknown","110","110","58840","51550"
"In post","2021","Defence Electronics and Components Agency","Declared disabled","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Declared non-disabled","210","210","28560","28750"
"In post","2021","Defence Electronics and Components Agency","Undeclared","190","180","28230","28110"
"In post","2021","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Declared disabled","1090","1040","35460","33070"
"In post","2021","Defence Equipment and Support","Declared non-disabled","7840","7580","36570","33740"
"In post","2021","Defence Equipment and Support","Undeclared","690","670","38560","37690"
"In post","2021","Defence Equipment and Support","Unknown","1080","1040","34560","32290"
"In post","2021","Defence Science and Technology Laboratory","Declared disabled","460","450","37970","37320"
"In post","2021","Defence Science and Technology Laboratory","Declared non-disabled","2770","2660","40610","37360"
"In post","2021","Defence Science and Technology Laboratory","Undeclared","410","400","42400","46080"
"In post","2021","Defence Science and Technology Laboratory","Unknown","740","710","40190","37360"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","470","460","46860","40620"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","3690","3600","50020","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","280","270","50500","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","890","880","44800","40050"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","120","110","47040","39280"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","1330","1300","49620","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","70","70","46060","51440"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","260","260","48520","51610"
"In post","2021","Department for Education (excl. agencies)","Declared disabled","520","500","41820","37100"
"In post","2021","Department for Education (excl. agencies)","Declared non-disabled","3860","3700","45890","42660"
"In post","2021","Department for Education (excl. agencies)","Undeclared","270","260","44800","40300"
"In post","2021","Department for Education (excl. agencies)","Unknown","1050","1030","39990","36500"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","590","570","40420","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","3770","3630","42700","38640"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","220","210","41230","37240"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","830","790","43190","38750"
"In post","2021","Department for International Trade","Declared disabled","200","200","45110","39200"
"In post","2021","Department for International Trade","Declared non-disabled","1410","1400","46700","41160"
"In post","2021","Department for International Trade","Undeclared","70","70","47320","51710"
"In post","2021","Department for International Trade","Unknown","1000","990","44640","38540"
"In post","2021","Department for Transport (excl. agencies)","Declared disabled","200","190","45810","43360"
"In post","2021","Department for Transport (excl. agencies)","Declared non-disabled","2360","2290","49650","45130"
"In post","2021","Department for Transport (excl. agencies)","Undeclared","730","710","42650","36340"
"In post","2021","Department for Transport (excl. agencies)","Unknown","230","230","46280","42890"
"In post","2021","Department for Work and Pensions (excl. agencies)","Declared disabled","15220","13360","27040","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Declared non-disabled","68510","61280","27750","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Undeclared","4030","3730","27380","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Unknown","3190","3050","28740","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Declared disabled","140","130","46200","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","Declared non-disabled","860","830","49900","50620"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","2520","2480","45640","40650"
"In post","2021","Disclosure Scotland","Declared disabled","30","30","[c]","[c]"
"In post","2021","Disclosure Scotland","Declared non-disabled","130","120","28110","22230"
"In post","2021","Disclosure Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Unknown","150","140","28380","24110"
"In post","2021","Driver and Vehicle Licensing Agency","Declared disabled","660","540","24060","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","4430","3930","26540","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Undeclared","470","420","27160","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Unknown","670","600","24430","21590"
"In post","2021","Driver and Vehicle Standards Agency","Declared disabled","450","420","29260","26780"
"In post","2021","Driver and Vehicle Standards Agency","Declared non-disabled","3250","3040","30110","27680"
"In post","2021","Driver and Vehicle Standards Agency","Undeclared","260","250","29730","27680"
"In post","2021","Driver and Vehicle Standards Agency","Unknown","830","810","28100","26700"
"In post","2021","Education and Skills Funding Agency","Declared disabled","160","150","39590","36960"
"In post","2021","Education and Skills Funding Agency","Declared non-disabled","1390","1350","42730","37100"
"In post","2021","Education and Skills Funding Agency","Undeclared","80","80","40810","36780"
"In post","2021","Education and Skills Funding Agency","Unknown","190","180","37980","36500"
"In post","2021","Education Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Declared non-disabled","130","120","57550","66290"
"In post","2021","Education Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Unknown","170","160","54820","56120"
"In post","2021","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Declared non-disabled","100","90","58270","74730"
"In post","2021","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Declared disabled","80","80","36780","32810"
"In post","2021","FCDO Services","Declared non-disabled","900","870","40640","37900"
"In post","2021","FCDO Services","Undeclared","50","40","[c]","[c]"
"In post","2021","FCDO Services","Unknown","50","50","[c]","[c]"
"In post","2021","Food Standards Agency","Declared disabled","70","70","34990","30810"
"In post","2021","Food Standards Agency","Declared non-disabled","810","780","36740","31240"
"In post","2021","Food Standards Agency","Undeclared","430","420","38670","37350"
"In post","2021","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Declared non-disabled","110","110","35710","30650"
"In post","2021","Food Standards Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Unknown","130","120","34740","32140"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","720","700","44370","38600"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","4940","4850","48970","44770"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","300","290","49720","45160"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","1520","1490","49090","51420"
"In post","2021","Forestry and Land Scotland","Declared disabled","40","40","[c]","[c]"
"In post","2021","Forestry and Land Scotland","Declared non-disabled","910","870","31700","30160"
"In post","2021","Forestry and Land Scotland","Unknown","50","40","[c]","[c]"
"In post","2021","Government Actuary's Department","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Declared non-disabled","150","140","69800","65470"
"In post","2021","Government Actuary's Department","Unknown","50","40","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Declared disabled","50","50","44710","42720"
"In post","2021","Government Internal Audit Agency","Declared non-disabled","360","340","48930","47170"
"In post","2021","Government Internal Audit Agency","Undeclared","50","40","[c]","[c]"
"In post","2021","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Declared disabled","190","180","52980","52040"
"In post","2021","Government Legal Department","Declared non-disabled","1860","1730","54010","51830"
"In post","2021","Government Legal Department","Undeclared","120","110","57580","64680"
"In post","2021","Government Legal Department","Unknown","370","340","57230","61000"
"In post","2021","Government Property Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Declared non-disabled","160","150","50100","49700"
"In post","2021","Government Property Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Declared disabled","320","300","39350","35910"
"In post","2021","Health and Safety Executive","Declared non-disabled","2040","1910","43820","41480"
"In post","2021","Health and Safety Executive","Undeclared","170","160","45730","45870"
"In post","2021","Health and Safety Executive","Unknown","50","50","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Declared disabled","2080","1870","23730","20650"
"In post","2021","HM Courts and Tribunals Service","Declared non-disabled","11710","10490","25200","21270"
"In post","2021","HM Courts and Tribunals Service","Undeclared","1180","1060","24900","21170"
"In post","2021","HM Courts and Tribunals Service","Unknown","1640","1590","22530","19930"
"In post","2021","HM Land Registry","Declared disabled","490","420","30520","27130"
"In post","2021","HM Land Registry","Declared non-disabled","3690","3260","33100","30600"
"In post","2021","HM Land Registry","Undeclared","230","210","32430","31740"
"In post","2021","HM Land Registry","Unknown","1950","1880","27260","22350"
"In post","2021","HM Prison and Probation Service","Declared disabled","5960","5590","30620","29110"
"In post","2021","HM Prison and Probation Service","Declared non-disabled","35880","33980","30500","28350"
"In post","2021","HM Prison and Probation Service","Undeclared","7200","6620","31400","31650"
"In post","2021","HM Prison and Probation Service","Unknown","5000","4840","26120","24920"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared disabled","5490","4910","30940","27810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Declared non-disabled","35110","32350","32720","29570"
"In post","2021","HM Revenue and Customs (excl. agencies)","Undeclared","2970","2730","33230","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","Unknown","19370","17820","28130","25560"
"In post","2021","HM Treasury (excl. agencies)","Declared disabled","190","180","46160","42900"
"In post","2021","HM Treasury (excl. agencies)","Declared non-disabled","1450","1410","48160","52500"
"In post","2021","HM Treasury (excl. agencies)","Undeclared","330","330","43540","35980"
"In post","2021","HM Treasury (excl. agencies)","Unknown","60","60","48900","52500"
"In post","2021","Home Office (incl. agencies)","Declared disabled","3060","2810","31320","27370"
"In post","2021","Home Office (incl. agencies)","Declared non-disabled","28490","26420","32000","27370"
"In post","2021","Home Office (incl. agencies)","Undeclared","1810","1680","32620","28930"
"In post","2021","Home Office (incl. agencies)","Unknown","2010","1970","32040","25770"
"In post","2021","Insolvency Service","Declared disabled","180","170","32860","29940"
"In post","2021","Insolvency Service","Declared non-disabled","1080","1020","34600","32060"
"In post","2021","Insolvency Service","Undeclared","30","30","[c]","[c]"
"In post","2021","Insolvency Service","Unknown","520","510","28360","23560"
"In post","2021","Institute for Apprenticeships and Technical Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Declared non-disabled","190","180","48750","50260"
"In post","2021","Institute for Apprenticeships and Technical Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Declared disabled","130","130","25680","21170"
"In post","2021","Legal Aid Agency","Declared non-disabled","890","840","29240","22990"
"In post","2021","Legal Aid Agency","Undeclared","100","90","29110","21170"
"In post","2021","Legal Aid Agency","Unknown","60","60","22510","19930"
"In post","2021","Maritime and Coastguard Agency","Declared disabled","70","60","34190","30730"
"In post","2021","Maritime and Coastguard Agency","Declared non-disabled","820","790","38850","35860"
"In post","2021","Maritime and Coastguard Agency","Undeclared","80","80","37520","35180"
"In post","2021","Maritime and Coastguard Agency","Unknown","260","250","32080","29350"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Declared disabled","50","50","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Declared non-disabled","540","520","51090","50800"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","700","680","45880","40850"
"In post","2021","Met Office","Declared disabled","100","100","36210","33860"
"In post","2021","Met Office","Declared non-disabled","2000","1910","40290","39650"
"In post","2021","Ministry of Defence (excl. agencies)","Declared disabled","3460","3320","31720","28190"
"In post","2021","Ministry of Defence (excl. agencies)","Declared non-disabled","25530","24690","32180","28390"
"In post","2021","Ministry of Defence (excl. agencies)","Undeclared","2720","2640","32060","29200"
"In post","2021","Ministry of Defence (excl. agencies)","Unknown","6000","5780","32700","29200"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","280","270","42990","39100"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","1870","1810","46570","42900"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","130","130","44570","41540"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","230","220","45660","39600"
"In post","2021","Ministry of Justice (excl. agencies)","Declared disabled","560","540","40400","36720"
"In post","2021","Ministry of Justice (excl. agencies)","Declared non-disabled","3600","3500","42240","37000"
"In post","2021","Ministry of Justice (excl. agencies)","Undeclared","440","420","41700","37650"
"In post","2021","Ministry of Justice (excl. agencies)","Unknown","750","740","42070","36910"
"In post","2021","National Crime Agency","Declared disabled","200","190","38020","36410"
"In post","2021","National Crime Agency","Declared non-disabled","1750","1700","43290","40210"
"In post","2021","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","3520","3450","38560","36720"
"In post","2021","National Infrastructure Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","National Records of Scotland","Declared disabled","50","40","[c]","[c]"
"In post","2021","National Records of Scotland","Declared non-disabled","200","190","36460","35110"
"In post","2021","National Records of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","National Records of Scotland","Unknown","180","170","33200","28170"
"In post","2021","National Savings and Investments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Declared non-disabled","180","180","51680","45860"
"In post","2021","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","80","80","45530","38980"
"In post","2021","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","60","60","40830","37030"
"In post","2021","Office for Budget Responsibility","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","Unknown","40","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","140","130","45350","42850"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","1480","1420","50470","51360"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","170","160","42510","42850"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","50","50","39210","31720"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","1020","1010","44860","38550"
"In post","2021","Office of Gas and Electricity Markets","Unknown","110","100","46990","41320"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared non-disabled","160","150","44400","38760"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","70","60","50580","46660"
"In post","2021","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared non-disabled","290","280","54650","55430"
"In post","2021","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Public Guardian","Declared disabled","200","190","22800","20650"
"In post","2021","Office of the Public Guardian","Declared non-disabled","950","880","22150","19930"
"In post","2021","Office of the Public Guardian","Undeclared","110","100","22230","20420"
"In post","2021","Office of the Public Guardian","Unknown","160","150","20560","19930"
"In post","2021","Office of the Scottish Charity Regulator","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectorate","Declared disabled","60","50","34380","24310"
"In post","2021","Planning Inspectorate","Declared non-disabled","610","550","44550","47660"
"In post","2021","Planning Inspectorate","Undeclared","30","30","[c]","[c]"
"In post","2021","Planning Inspectorate","Unknown","160","140","41620","40720"
"In post","2021","Public Health England","Declared disabled","340","310","38640","32650"
"In post","2021","Public Health England","Declared non-disabled","4470","4090","41760","36330"
"In post","2021","Public Health England","Undeclared","510","450","46580","40070"
"In post","2021","Public Health England","Unknown","1590","1470","50190","43220"
"In post","2021","Queen Elizabeth II Centre","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Queen Elizabeth II Centre","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Registers of Scotland","Declared disabled","140","130","32380","30080"
"In post","2021","Registers of Scotland","Declared non-disabled","540","530","33620","30080"
"In post","2021","Registers of Scotland","Undeclared","50","50","34980","32140"
"In post","2021","Registers of Scotland","Unknown","430","400","31860","30080"
"In post","2021","Revenue Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Revenue Scotland","Unknown","30","30","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Royal Fleet Auxiliary","Unknown","1830","1830","37620","34460"
"In post","2021","Rural Payments Agency","Declared disabled","180","160","26230","24920"
"In post","2021","Rural Payments Agency","Declared non-disabled","1940","1770","26500","24920"
"In post","2021","Rural Payments Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","Rural Payments Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","60","60","46210","43960"
"In post","2021","Scottish Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","Declared non-disabled","110","110","30940","22820"
"In post","2021","Scottish Courts and Tribunals Service","Unknown","1670","1510","27730","22820"
"In post","2021","Scottish Fiscal Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","Declared non-disabled","170","160","35280","35330"
"In post","2021","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government (excl. agencies)","Declared disabled","690","660","40320","35110"
"In post","2021","Scottish Government (excl. agencies)","Declared non-disabled","4380","4190","44440","39660"
"In post","2021","Scottish Government (excl. agencies)","Undeclared","120","120","42810","39660"
"In post","2021","Scottish Government (excl. agencies)","Unknown","2630","2520","41600","37620"
"In post","2021","Scottish Housing Regulator","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Declared disabled","380","350","33790","33650"
"In post","2021","Scottish Prison Service","Declared non-disabled","70","70","38740","33650"
"In post","2021","Scottish Prison Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","Unknown","4020","3770","31420","33650"
"In post","2021","Scottish Public Pensions Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","Declared non-disabled","130","120","31000","29190"
"In post","2021","Scottish Public Pensions Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","Unknown","120","110","27820","24110"
"In post","2021","Serious Fraud Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Declared non-disabled","320","320","45910","40950"
"In post","2021","Serious Fraud Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","Unknown","130","120","47590","41240"
"In post","2021","Social Security Scotland","Declared disabled","120","120","28130","24510"
"In post","2021","Social Security Scotland","Declared non-disabled","660","650","31670","27150"
"In post","2021","Social Security Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Social Security Scotland","Unknown","330","320","32890","27150"
"In post","2021","Standards and Testing Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","Declared non-disabled","100","90","43110","41690"
"In post","2021","Standards and Testing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","Declared non-disabled","80","80","35220","31150"
"In post","2021","Student Awards Agency for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","Unknown","150","140","27110","22230"
"In post","2021","Submarine Delivery Agency","Declared disabled","170","170","39470","38380"
"In post","2021","Submarine Delivery Agency","Declared non-disabled","1290","1260","41450","39860"
"In post","2021","Submarine Delivery Agency","Undeclared","120","120","43680","41570"
"In post","2021","Submarine Delivery Agency","Unknown","210","200","42540","40860"
"In post","2021","Teaching Regulation Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Declared non-disabled","50","50","32530","29550"
"In post","2021","Teaching Regulation Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Declared disabled","30","30","[c]","[c]"
"In post","2021","The National Archives","Declared non-disabled","340","330","35890","34260"
"In post","2021","The National Archives","Unknown","170","160","36230","32200"
"In post","2021","Transport Scotland","Declared disabled","50","50","38580","36340"
"In post","2021","Transport Scotland","Declared non-disabled","260","250","44870","40930"
"In post","2021","Transport Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Transport Scotland","Unknown","190","180","45010","44160"
"In post","2021","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Declared non-disabled","380","370","54030","49200"
"In post","2021","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Hydrographic Office","Declared disabled","70","60","34970","33290"
"In post","2021","UK Hydrographic Office","Declared non-disabled","500","480","34870","33290"
