"Status","Year","Function_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Analysis","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Chancellor's other departments","60","50","41480","41210"
"In post","2021","Analysis","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Department for Business, Energy and Industrial Strategy","190","190","37380","35640"
"In post","2021","Analysis","SEO/HEO","Department for Digital, Culture, Media and Sport","70","60","42770","42020"
"In post","2021","Analysis","SEO/HEO","Department for Education","240","230","40060","41990"
"In post","2021","Analysis","SEO/HEO","Department for Environment, Food and Rural Affairs","310","290","32890","30660"
"In post","2021","Analysis","SEO/HEO","Department for International Trade","110","100","33040","31800"
"In post","2021","Analysis","SEO/HEO","Department for Transport","210","210","36460","35060"
"In post","2021","Analysis","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Department of Health and Social Care","50","50","34900","32790"
"In post","2021","Analysis","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","HM Revenue and Customs","380","370","36520","36160"
"In post","2021","Analysis","SEO/HEO","HM Treasury","50","50","35510","33710"
"In post","2021","Analysis","SEO/HEO","Ministry of Defence","360","350","35760","37320"
"In post","2021","Analysis","SEO/HEO","Ministry of Housing, Communities and Local Government","80","80","35740","34000"
"In post","2021","Analysis","SEO/HEO","Ministry of Justice","210","210","38030","39870"
"In post","2021","Analysis","SEO/HEO","Office for Standards in Education","100","100","35860","35010"
"In post","2021","Analysis","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","United Kingdom Statistics Authority","1060","1020","33600","32540"
"In post","2021","Analysis","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Transport","40","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Ministry of Defence","240","230","21890","21130"
"In post","2021","Commercial","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Ministry of Justice","90","90","21710","20890"
"In post","2021","Commercial","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Scottish Government","60","50","23570","24450"
"In post","2021","Commercial","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Transport","50","40","[c]","[c]"
"In post","2021","Commercial","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Ministry of Defence","400","380","27190","26670"
"In post","2021","Commercial","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Ministry of Justice","140","130","26580","26430"
"In post","2021","Commercial","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Other Cabinet Office Agencies","60","50","23490","22400"
"In post","2021","Commercial","EO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Cabinet Office","800","780","63320","56920"
"In post","2021","Commercial","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Business, Energy and Industrial Strategy","110","100","53050","48540"
"In post","2021","Commercial","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Education","50","50","54580","52620"
"In post","2021","Commercial","G6/G7","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department of Health and Social Care","60","60","56220","53360"
"In post","2021","Commercial","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Foreign, Commonwealth and Development Office","50","50","59400","55990"
"In post","2021","Commercial","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Ministry of Defence","190","180","59340","56490"
"In post","2021","Commercial","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Ministry of Justice","190","180","69300","69570"
"In post","2021","Commercial","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","UK Export Finance","60","60","67590","65320"
"In post","2021","Commercial","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Cabinet Office","480","470","93150","74000"
"In post","2021","Commercial","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department of Health and Social Care","40","30","[c]","[c]"
"In post","2021","Commercial","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Cabinet Office","110","110","38140","38420"
"In post","2021","Commercial","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Business, Energy and Industrial Strategy","120","110","37260","37420"
"In post","2021","Commercial","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Education","130","130","36360","36780"
"In post","2021","Commercial","SEO/HEO","Department for Environment, Food and Rural Affairs","130","120","35580","36700"
"In post","2021","Commercial","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Transport","100","90","36720","35060"
"In post","2021","Commercial","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department of Health and Social Care","120","110","36880","38670"
"In post","2021","Commercial","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Foreign, Commonwealth and Development Office","80","80","38660","39600"
"In post","2021","Commercial","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","HM Revenue and Customs","90","80","36030","38630"
"In post","2021","Commercial","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Ministry of Defence","1040","1010","37730","37320"
"In post","2021","Commercial","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Ministry of Justice","580","570","42650","42550"
"In post","2021","Commercial","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Other Cabinet Office Agencies","270","260","33250","34800"
"In post","2021","Commercial","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","UK Export Finance","100","100","42940","43700"
"In post","2021","Commercial","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Defence","200","190","40890","37400"
"In post","2021","Commercial","Unknown","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Communications","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Transport","40","30","[c]","[c]"
"In post","2021","Communications","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","HM Revenue and Customs","260","220","20790","20660"
"In post","2021","Communications","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Ministry of Defence","100","90","21350","21020"
"In post","2021","Communications","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Communications","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Education","80","80","27360","26000"
"In post","2021","Communications","EO","Department for Environment, Food and Rural Affairs","60","50","25980","25450"
"In post","2021","Communications","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Transport","60","60","26580","26470"
"In post","2021","Communications","EO","Department of Health and Social Care","70","70","27490","27270"
"In post","2021","Communications","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","HM Revenue and Customs","2390","2310","25750","25560"
"In post","2021","Communications","EO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Ministry of Defence","330","320","23960","25040"
"In post","2021","Communications","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Cabinet Office","120","120","59330","56610"
"In post","2021","Communications","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
