"Status","Year","Function_of_post","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","White","460","450","38670","35900"
"In post","2021","Commercial","Declared non-disabled","Asian","210","210","41860","35670"
"In post","2021","Commercial","Declared non-disabled","Black","140","130","40490","36500"
"In post","2021","Commercial","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Mixed","70","60","41050","34800"
"In post","2021","Commercial","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Undeclared","100","100","41690","36760"
"In post","2021","Commercial","Declared non-disabled","Unknown","130","130","54640","39650"
"In post","2021","Commercial","Declared non-disabled","White","3300","3190","43240","38630"
"In post","2021","Commercial","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Undeclared","110","110","40040","37530"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","White","240","230","43610","39790"
"In post","2021","Commercial","Unknown","Asian","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","1450","1420","59950","54700"
"In post","2021","Commercial","Unknown","White","490","470","39960","36300"
"In post","2021","Communications","Declared disabled","Asian","30","30","[c]","[c]"
"In post","2021","Communications","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","White","460","430","32320","28650"
"In post","2021","Communications","Declared non-disabled","Asian","400","390","32850","29810"
"In post","2021","Communications","Declared non-disabled","Black","140","140","32920","29350"
"In post","2021","Communications","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Mixed","130","120","36870","33120"
"In post","2021","Communications","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Undeclared","80","80","34770","31810"
"In post","2021","Communications","Declared non-disabled","Unknown","120","120","34700","31040"
"In post","2021","Communications","Declared non-disabled","White","3800","3650","36160","31810"
"In post","2021","Communications","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Undeclared","100","100","32800","30980"
"In post","2021","Communications","Undeclared","Unknown","50","50","47490","43360"
"In post","2021","Communications","Undeclared","White","180","170","34760","28150"
"In post","2021","Communications","Unknown","Asian","60","60","33410","31330"
"In post","2021","Communications","Unknown","Black","40","40","[c]","[c]"
"In post","2021","Communications","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","1990","1940","32590","25560"
"In post","2021","Communications","Unknown","White","450","430","36340","32100"
"In post","2021","Counter Fraud","Declared disabled","Asian","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Undeclared","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Unknown","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","White","660","600","33130","31810"
"In post","2021","Counter Fraud","Declared non-disabled","Asian","450","440","32760","31810"
"In post","2021","Counter Fraud","Declared non-disabled","Black","190","180","31710","30360"
"In post","2021","Counter Fraud","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Mixed","100","100","34760","31810"
"In post","2021","Counter Fraud","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Undeclared","110","100","36620","32520"
"In post","2021","Counter Fraud","Declared non-disabled","Unknown","150","140","38010","36060"
"In post","2021","Counter Fraud","Declared non-disabled","White","4880","4590","34640","31810"
"In post","2021","Counter Fraud","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Undeclared","350","330","36680","32100"
"In post","2021","Counter Fraud","Undeclared","Unknown","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","White","230","210","34860","31810"
"In post","2021","Counter Fraud","Unknown","Asian","90","90","30380","29570"
"In post","2021","Counter Fraud","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Undeclared","90","80","34970","32520"
"In post","2021","Counter Fraud","Unknown","Unknown","1460","1400","31400","29570"
"In post","2021","Counter Fraud","Unknown","White","540","490","32210","31810"
"In post","2021","Debt","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared disabled","White","310","260","22830","21440"
"In post","2021","Debt","Declared non-disabled","Asian","270","240","23260","21440"
"In post","2021","Debt","Declared non-disabled","Black","110","100","25030","24120"
"In post","2021","Debt","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Declared non-disabled","Undeclared","40","30","[c]","[c]"
"In post","2021","Debt","Declared non-disabled","Unknown","60","50","24490","24670"
"In post","2021","Debt","Declared non-disabled","White","1780","1590","24250","21440"
"In post","2021","Debt","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Undeclared","80","70","25130","21440"
"In post","2021","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","White","100","90","23710","21440"
"In post","2021","Debt","Unknown","Asian","50","40","[c]","[c]"
"In post","2021","Debt","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Unknown","1460","1380","21320","20140"
"In post","2021","Debt","Unknown","White","220","190","25340","21440"
"In post","2021","Digital, Data & Technology","Declared disabled","Asian","60","50","37220","32970"
"In post","2021","Digital, Data & Technology","Declared disabled","Black","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Undeclared","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared disabled","White","890","850","39030","35900"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Asian","600","590","42030","38000"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Black","290","290","38780","34560"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Chinese","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Mixed","170","170","43250","39780"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Other ethnicity","70","70","43970","39650"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Undeclared","270","260","42950","40450"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Unknown","330","320","40110","39650"
"In post","2021","Digital, Data & Technology","Declared non-disabled","White","6750","6520","42500","38650"
"In post","2021","Digital, Data & Technology","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Undeclared","260","250","41130","38630"
"In post","2021","Digital, Data & Technology","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","White","340","330","40200","38210"
"In post","2021","Digital, Data & Technology","Unknown","Asian","130","130","39770","36500"
"In post","2021","Digital, Data & Technology","Unknown","Black","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","80","80","40280","38630"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","2080","2050","40520","36780"
"In post","2021","Digital, Data & Technology","Unknown","White","930","910","40670","38180"
"In post","2021","Finance","Declared disabled","Asian","40","40","[c]","[c]"
"In post","2021","Finance","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Undeclared","30","30","[c]","[c]"
"In post","2021","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","White","670","620","37740","33140"
"In post","2021","Finance","Declared non-disabled","Asian","590","570","38630","35300"
"In post","2021","Finance","Declared non-disabled","Black","290","290","39830","36800"
"In post","2021","Finance","Declared non-disabled","Chinese","40","40","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Mixed","120","120","42360","39750"
"In post","2021","Finance","Declared non-disabled","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Undeclared","130","120","40750","37050"
"In post","2021","Finance","Declared non-disabled","Unknown","110","100","35580","32870"
"In post","2021","Finance","Declared non-disabled","White","5010","4730","40250","36160"
"In post","2021","Finance","Undeclared","Asian","40","40","[c]","[c]"
"In post","2021","Finance","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Undeclared","170","160","39420","35330"
"In post","2021","Finance","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Finance","Undeclared","White","250","230","38720","34400"
"In post","2021","Finance","Unknown","Asian","80","80","35720","33140"
"In post","2021","Finance","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","1040","980","35670","32010"
"In post","2021","Finance","Unknown","White","540","500","38290","33300"
"In post","2021","Grants Management","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","White","130","120","25520","21050"
"In post","2021","Grants Management","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared non-disabled","Undeclared","60","50","27590","26370"
"In post","2021","Grants Management","Declared non-disabled","Unknown","670","630","24140","21050"
"In post","2021","Grants Management","Declared non-disabled","White","920","820","26290","25100"
"In post","2021","Grants Management","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Asian","60","60","40290","36220"
"In post","2021","Human Resources","Declared disabled","Black","40","40","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Mixed","40","40","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Undeclared","30","30","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","White","1020","960","38430","33300"
"In post","2021","Human Resources","Declared non-disabled","Asian","340","320","36750","32960"
"In post","2021","Human Resources","Declared non-disabled","Black","230","220","37170","33870"
"In post","2021","Human Resources","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Mixed","120","110","39560","35060"
"In post","2021","Human Resources","Declared non-disabled","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Undeclared","100","90","34860","33300"
"In post","2021","Human Resources","Declared non-disabled","Unknown","110","100","39490","34770"
"In post","2021","Human Resources","Declared non-disabled","White","5390","5100","38350","33300"
"In post","2021","Human Resources","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Undeclared","120","110","37410","31820"
"In post","2021","Human Resources","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2021","Human Resources","Undeclared","White","290","270","37050","33290"
"In post","2021","Human Resources","Unknown","Asian","50","50","34640","31680"
"In post","2021","Human Resources","Unknown","Black","30","30","[c]","[c]"
"In post","2021","Human Resources","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","790","750","34220","31590"
"In post","2021","Human Resources","Unknown","White","620","580","34090","29540"
"In post","2021","Internal Audit","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","White","70","70","44640","40230"
"In post","2021","Internal Audit","Declared non-disabled","Asian","60","60","45850","44020"
"In post","2021","Internal Audit","Declared non-disabled","Black","30","30","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","White","440","420","46770","43990"
"In post","2021","Internal Audit","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","White","30","30","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","Asian","110","100","42080","38190"
"In post","2021","Legal","Declared disabled","Black","60","60","40580","35020"
"In post","2021","Legal","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","Mixed","40","30","[c]","[c]"
"In post","2021","Legal","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","Unknown","50","50","[c]","[c]"
"In post","2021","Legal","Declared disabled","White","940","860","44230","42520"
"In post","2021","Legal","Declared non-disabled","Asian","840","790","43280","43090"
"In post","2021","Legal","Declared non-disabled","Black","490","470","42390","36240"
"In post","2021","Legal","Declared non-disabled","Chinese","50","40","[c]","[c]"
"In post","2021","Legal","Declared non-disabled","Mixed","250","230","48030","50880"
"In post","2021","Legal","Declared non-disabled","Other ethnicity","100","90","51230","52660"
"In post","2021","Legal","Declared non-disabled","Undeclared","180","170","46570","47100"
"In post","2021","Legal","Declared non-disabled","Unknown","420","390","44690","42620"
"In post","2021","Legal","Declared non-disabled","White","6840","6290","48010","50500"
"In post","2021","Legal","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Undeclared","100","100","49150","46530"
"In post","2021","Legal","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","White","180","170","50620","50940"
"In post","2021","Legal","Unknown","Asian","170","160","37670","38000"
"In post","2021","Legal","Unknown","Black","80","80","35500","27760"
"In post","2021","Legal","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Mixed","50","50","[c]","[c]"
"In post","2021","Legal","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","2690","2470","35090","29350"
"In post","2021","Legal","Unknown","White","1020","960","39380","38000"
"In post","2021","No function","Declared disabled","Asian","790","740","30980","28200"
"In post","2021","No function","Declared disabled","Black","660","630","31660","29570"
"In post","2021","No function","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","No function","Declared disabled","Mixed","450","430","32140","30170"
"In post","2021","No function","Declared disabled","Other ethnicity","140","140","34900","32650"
"In post","2021","No function","Declared disabled","Undeclared","610","560","31920","29270"
"In post","2021","No function","Declared disabled","Unknown","600","530","30640","28200"
"In post","2021","No function","Declared disabled","White","14230","13080","31060","27490"
"In post","2021","No function","Declared non-disabled","Asian","7140","6700","32250","28220"
"In post","2021","No function","Declared non-disabled","Black","4340","4190","31850","29570"
"In post","2021","No function","Declared non-disabled","Chinese","350","330","36070","32300"
"In post","2021","No function","Declared non-disabled","Mixed","2330","2240","35270","31650"
"In post","2021","No function","Declared non-disabled","Other ethnicity","660","630","36550","32690"
"In post","2021","No function","Declared non-disabled","Undeclared","2390","2250","34280","30780"
"In post","2021","No function","Declared non-disabled","Unknown","3220","2940","33540","30400"
"In post","2021","No function","Declared non-disabled","White","92960","86510","33740","29750"
"In post","2021","No function","Undeclared","Asian","460","430","32650","29570"
"In post","2021","No function","Undeclared","Black","430","400","32300","31650"
"In post","2021","No function","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Mixed","210","200","33250","31650"
"In post","2021","No function","Undeclared","Other ethnicity","70","60","34280","31650"
"In post","2021","No function","Undeclared","Undeclared","2630","2470","35270","31810"
"In post","2021","No function","Undeclared","Unknown","1320","1230","34250","31650"
"In post","2021","No function","Undeclared","White","8720","7980","31710","31650"
"In post","2021","No function","Unknown","Asian","920","860","36020","31810"
"In post","2021","No function","Unknown","Black","400","380","36350","32260"
"In post","2021","No function","Unknown","Chinese","60","60","43580","39720"
"In post","2021","No function","Unknown","Mixed","280","270","37000","32910"
"In post","2021","No function","Unknown","Other ethnicity","110","110","39930","33610"
"In post","2021","No function","Unknown","Undeclared","1290","1200","37420","33650"
"In post","2021","No function","Unknown","Unknown","26050","24760","29520","25850"
