"Status","Year","Ethnicity","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Human Resources","Declared non-disabled","340","320","36750","32960"
"In post","2021","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","50","50","34640","31680"
"In post","2021","Asian","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Declared non-disabled","60","60","45850","44020"
"In post","2021","Asian","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Declared disabled","110","100","42080","38190"
"In post","2021","Asian","Legal","Declared non-disabled","840","790","43280","43090"
"In post","2021","Asian","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","170","160","37670","38000"
"In post","2021","Asian","No function","Declared disabled","790","740","30980","28200"
"In post","2021","Asian","No function","Declared non-disabled","7140","6700","32250","28220"
"In post","2021","Asian","No function","Undeclared","460","430","32650","29570"
"In post","2021","Asian","No function","Unknown","920","860","36020","31810"
"In post","2021","Asian","Project Delivery","Declared disabled","90","80","41140","38630"
"In post","2021","Asian","Project Delivery","Declared non-disabled","890","870","41440","38340"
"In post","2021","Asian","Project Delivery","Undeclared","40","40","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","110","110","44010","38630"
"In post","2021","Asian","Property","Declared disabled","30","30","[c]","[c]"
"In post","2021","Asian","Property","Declared non-disabled","240","230","33830","30680"
"In post","2021","Asian","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Declared non-disabled","160","160","31810","30230"
"In post","2021","Asian","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","40","30","[c]","[c]"
"In post","2021","Asian","Unknown","Declared disabled","1400","1260","29150","27570"
"In post","2021","Asian","Unknown","Declared non-disabled","10460","9570","29480","27570"
"In post","2021","Asian","Unknown","Undeclared","520","470","29110","27570"
"In post","2021","Asian","Unknown","Unknown","350","340","37420","32140"
"In post","2021","Black","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Declared non-disabled","130","130","40080","37400"
"In post","2021","Black","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","30","30","[c]","[c]"
"In post","2021","Black","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Declared non-disabled","140","130","40490","36500"
"In post","2021","Black","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Declared non-disabled","140","140","32920","29350"
"In post","2021","Black","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Declared non-disabled","190","180","31710","30360"
"In post","2021","Black","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Declared non-disabled","110","100","25030","24120"
"In post","2021","Black","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Declared disabled","30","30","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Declared non-disabled","290","290","38780","34560"
"In post","2021","Black","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Declared non-disabled","290","290","39830","36800"
"In post","2021","Black","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Declared disabled","40","40","[c]","[c]"
"In post","2021","Black","Human Resources","Declared non-disabled","230","220","37170","33870"
"In post","2021","Black","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","30","30","[c]","[c]"
"In post","2021","Black","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Declared disabled","60","60","40580","35020"
"In post","2021","Black","Legal","Declared non-disabled","490","470","42390","36240"
"In post","2021","Black","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Unknown","80","80","35500","27760"
"In post","2021","Black","No function","Declared disabled","660","630","31660","29570"
"In post","2021","Black","No function","Declared non-disabled","4340","4190","31850","29570"
"In post","2021","Black","No function","Undeclared","430","400","32300","31650"
"In post","2021","Black","No function","Unknown","400","380","36350","32260"
"In post","2021","Black","Project Delivery","Declared disabled","60","60","36640","33260"
"In post","2021","Black","Project Delivery","Declared non-disabled","510","510","39010","36530"
"In post","2021","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Unknown","60","60","43450","40900"
"In post","2021","Black","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Declared non-disabled","110","100","36190","33300"
"In post","2021","Black","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Declared non-disabled","80","80","31840","28000"
"In post","2021","Black","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Declared disabled","810","750","30180","29370"
"In post","2021","Black","Unknown","Declared non-disabled","4990","4740","30470","29290"
"In post","2021","Black","Unknown","Undeclared","220","210","28970","29290"
"In post","2021","Black","Unknown","Unknown","140","140","34150","31060"
"In post","2021","Chinese","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Declared non-disabled","50","50","46870","42890"
"In post","2021","Chinese","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Chinese","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","No function","Declared non-disabled","350","330","36070","32300"
"In post","2021","Chinese","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","No function","Unknown","60","60","43580","39720"
"In post","2021","Chinese","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared non-disabled","310","290","32310","28160"
"In post","2021","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Analysis","Declared non-disabled","130","130","43290","40180"
"In post","2021","Mixed","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Analysis","Unknown","40","40","[c]","[c]"
"In post","2021","Mixed","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","Declared non-disabled","70","60","41050","34800"
"In post","2021","Mixed","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","Declared non-disabled","130","120","36870","33120"
"In post","2021","Mixed","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","Declared non-disabled","100","100","34760","31810"
"In post","2021","Mixed","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data & Technology","Declared non-disabled","170","170","43250","39780"
"In post","2021","Mixed","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","Declared non-disabled","120","120","42360","39750"
"In post","2021","Mixed","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","Declared disabled","40","40","[c]","[c]"
"In post","2021","Mixed","Human Resources","Declared non-disabled","120","110","39560","35060"
"In post","2021","Mixed","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","Declared disabled","40","30","[c]","[c]"
"In post","2021","Mixed","Legal","Declared non-disabled","250","230","48030","50880"
"In post","2021","Mixed","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","Unknown","50","50","[c]","[c]"
"In post","2021","Mixed","No function","Declared disabled","450","430","32140","30170"
"In post","2021","Mixed","No function","Declared non-disabled","2330","2240","35270","31650"
"In post","2021","Mixed","No function","Undeclared","210","200","33250","31650"
"In post","2021","Mixed","No function","Unknown","280","270","37000","32910"
"In post","2021","Mixed","Project Delivery","Declared disabled","60","50","38890","36800"
"In post","2021","Mixed","Project Delivery","Declared non-disabled","340","340","42030","38570"
"In post","2021","Mixed","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Mixed","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","Declared non-disabled","90","90","33200","32480"
"In post","2021","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","Declared non-disabled","60","60","36830","34080"
"In post","2021","Mixed","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Declared disabled","480","440","29510","27570"
"In post","2021","Mixed","Unknown","Declared non-disabled","2080","1960","31160","27570"
"In post","2021","Mixed","Unknown","Undeclared","130","120","30020","27570"
"In post","2021","Mixed","Unknown","Unknown","100","100","37660","34560"
"In post","2021","Other ethnicity","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Digital, Data & Technology","Declared non-disabled","70","70","43970","39650"
"In post","2021","Other ethnicity","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Finance","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Other ethnicity","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Human Resources","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Legal","Declared non-disabled","100","90","51230","52660"
"In post","2021","Other ethnicity","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","No function","Declared disabled","140","140","34900","32650"
"In post","2021","Other ethnicity","No function","Declared non-disabled","660","630","36550","32690"
"In post","2021","Other ethnicity","No function","Undeclared","70","60","34280","31650"
"In post","2021","Other ethnicity","No function","Unknown","110","110","39930","33610"
"In post","2021","Other ethnicity","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Project Delivery","Declared non-disabled","100","100","43550","39830"
"In post","2021","Other ethnicity","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Declared disabled","130","130","30140","27570"
"In post","2021","Other ethnicity","Unknown","Declared non-disabled","630","590","31320","28670"
"In post","2021","Other ethnicity","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Unknown","50","50","47020","42180"
"In post","2021","Undeclared","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Declared non-disabled","90","90","47460","42250"
"In post","2021","Undeclared","Analysis","Undeclared","100","100","43390","41780"
"In post","2021","Undeclared","Analysis","Unknown","50","40","[c]","[c]"
"In post","2021","Undeclared","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Declared non-disabled","100","100","41690","36760"
"In post","2021","Undeclared","Commercial","Undeclared","110","110","40040","37530"
"In post","2021","Undeclared","Commercial","Unknown","50","40","[c]","[c]"
"In post","2021","Undeclared","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Declared non-disabled","80","80","34770","31810"
"In post","2021","Undeclared","Communications","Undeclared","100","100","32800","30980"
"In post","2021","Undeclared","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Declared disabled","30","30","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Declared non-disabled","110","100","36620","32520"
"In post","2021","Undeclared","Counter Fraud","Undeclared","350","330","36680","32100"
"In post","2021","Undeclared","Counter Fraud","Unknown","90","80","34970","32520"
"In post","2021","Undeclared","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Undeclared","Debt","Undeclared","80","70","25130","21440"
"In post","2021","Undeclared","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Declared disabled","50","50","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Declared non-disabled","270","260","42950","40450"
"In post","2021","Undeclared","Digital, Data & Technology","Undeclared","260","250","41130","38630"
"In post","2021","Undeclared","Digital, Data & Technology","Unknown","80","80","40280","38630"
"In post","2021","Undeclared","Finance","Declared disabled","30","30","[c]","[c]"
"In post","2021","Undeclared","Finance","Declared non-disabled","130","120","40750","37050"
"In post","2021","Undeclared","Finance","Undeclared","170","160","39420","35330"
"In post","2021","Undeclared","Finance","Unknown","50","40","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Declared non-disabled","60","50","27590","26370"
"In post","2021","Undeclared","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Declared disabled","30","30","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Declared non-disabled","100","90","34860","33300"
"In post","2021","Undeclared","Human Resources","Undeclared","120","110","37410","31820"
"In post","2021","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Declared non-disabled","180","170","46570","47100"
"In post","2021","Undeclared","Legal","Undeclared","100","100","49150","46530"
"In post","2021","Undeclared","Legal","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","No function","Declared disabled","610","560","31920","29270"
"In post","2021","Undeclared","No function","Declared non-disabled","2390","2250","34280","30780"
"In post","2021","Undeclared","No function","Undeclared","2630","2470","35270","31810"
"In post","2021","Undeclared","No function","Unknown","1290","1200","37420","33650"
"In post","2021","Undeclared","Project Delivery","Declared disabled","140","130","40690","39980"
"In post","2021","Undeclared","Project Delivery","Declared non-disabled","500","480","41820","39980"
"In post","2021","Undeclared","Project Delivery","Undeclared","680","660","42210","40300"
"In post","2021","Undeclared","Project Delivery","Unknown","200","200","42710","40050"
"In post","2021","Undeclared","Property","Declared disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","Property","Declared non-disabled","150","150","36640","33300"
"In post","2021","Undeclared","Property","Undeclared","220","210","37990","33630"
"In post","2021","Undeclared","Property","Unknown","50","50","[c]","[c]"
"In post","2021","Undeclared","Security","Declared disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","Security","Declared non-disabled","140","140","33380","33300"
"In post","2021","Undeclared","Security","Undeclared","230","220","35330","35670"
"In post","2021","Undeclared","Security","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Declared disabled","970","860","28210","27570"
"In post","2021","Undeclared","Unknown","Declared non-disabled","4590","4090","29690","27570"
