"Status","Year","Organisation","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","No function","120","110","28990","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","No function","130","120","29400","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","No function","90","80","29490","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","No function","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","No function","80","80","29610","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","No function","80","70","29880","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","No function","60","60","30390","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","No function","60","60","34420","31920"
"In post","2021","Animal and Plant Health Agency","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","No function","150","140","31240","29180"
"In post","2021","Animal and Plant Health Agency","London","No function","110","100","37060","31800"
"In post","2021","Animal and Plant Health Agency","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","No function","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","No function","250","230","28480","24920"
"In post","2021","Animal and Plant Health Agency","North West (England)","Project Delivery","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","No function","130","120","31600","26520"
"In post","2021","Animal and Plant Health Agency","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","No function","660","630","32900","28630"
"In post","2021","Animal and Plant Health Agency","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","No function","420","390","29000","25100"
"In post","2021","Animal and Plant Health Agency","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","No function","310","290","28060","25100"
"In post","2021","Animal and Plant Health Agency","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","No function","220","200","28790","25190"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","No function","210","200","29360","25520"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Legal","30","30","[c]","[c]"
"In post","2021","Attorney General's Office","London","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Commercial","70","60","57360","54800"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Commercial","770","760","75440","67440"
"In post","2021","Cabinet Office (excl. agencies)","London","Communications","320","320","47710","42990"
"In post","2021","Cabinet Office (excl. agencies)","London","Counter Fraud","80","80","48820","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Digital, Data & Technology","880","870","52220","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Finance","90","90","46340","41820"
"In post","2021","Cabinet Office (excl. agencies)","London","Human Resources","530","520","46890","41080"
"In post","2021","Cabinet Office (excl. agencies)","London","Legal","60","50","79760","79760"
"In post","2021","Cabinet Office (excl. agencies)","London","No function","3320","3280","42580","34550"
"In post","2021","Cabinet Office (excl. agencies)","London","Project Delivery","180","180","70510","64500"
"In post","2021","Cabinet Office (excl. agencies)","London","Property","70","70","53610","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Security","180","170","44930","38580"
"In post","2021","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Human Resources","340","320","26930","23850"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","No function","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Commercial","190","190","61760","55870"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Human Resources","110","100","38400","37300"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","No function","90","90","32640","29250"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Security","50","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","Commercial","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","No function","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Commercial","70","60","67440","65640"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South East (England)","Security","110","100","30960","33300"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Commercial","80","80","73540","64500"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","No function","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","No function","470","470","34850","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Security","60","60","33480","33300"
"In post","2021","Cabinet Office (excl. agencies)","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Wales","No function","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Midlands (England)","Commercial","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Midlands (England)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Commercial","110","100","64390","62210"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Human Resources","90","80","40390","38420"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","No function","70","70","31910","29250"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Security","430","410","28870","26670"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Analysis","350","330","34300","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","East of England","Project Delivery","50","50","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Analysis","130","120","32530","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Unknown","30","30","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","Unknown","180","170","30790","29160"
"In post","2021","Charity Commission","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","No function","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Scotland","No function","40","40","[c]","[c]"
"In post","2021","Companies House","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Digital, Data & Technology","260","250","38840","38000"
"In post","2021","Companies House","Wales","Finance","60","50","30930","27460"
"In post","2021","Companies House","Wales","Human Resources","90","80","33040","27460"
"In post","2021","Companies House","Wales","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","No function","550","490","25630","22490"
"In post","2021","Companies House","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Analysis","130","120","60780","56360"
"In post","2021","Competition and Markets Authority","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Communications","40","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Digital, Data & Technology","60","60","57200","55860"
"In post","2021","Competition and Markets Authority","London","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Legal","150","150","69090","72430"
"In post","2021","Competition and Markets Authority","London","Project Delivery","340","330","61360","56630"
"In post","2021","Competition and Markets Authority","London","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Project Delivery","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Scotland","No function","290","270","25500","22570"
"In post","2021","Crown Commercial Service","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Commercial","90","80","34770","34800"
"In post","2021","Crown Commercial Service","East of England","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Commercial","190","180","33650","34800"
"In post","2021","Crown Commercial Service","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","No function","100","100","43810","46920"
"In post","2021","Crown Commercial Service","North West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","South West (England)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Commercial","70","60","31160","28540"
"In post","2021","Crown Commercial Service","Wales","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","West Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Yorkshire and The Humber","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Legal","600","560","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","No function","1310","1210","26860","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
