"Status","Year","Sex","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Centre for Environment, Fisheries and Aquaculture Science","Unknown","160","150","30630","29270"
"In post","2021","Female","Charity Commission","Heterosexual / straight","130","120","34350","29160"
"In post","2021","Female","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Unknown","100","90","34130","29320"
"In post","2021","Female","Companies House","Heterosexual / straight","430","380","30060","24900"
"In post","2021","Female","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Companies House","Undeclared","40","30","[c]","[c]"
"In post","2021","Female","Companies House","Unknown","130","100","26020","22490"
"In post","2021","Female","Competition and Markets Authority","Heterosexual / straight","360","350","58160","55860"
"In post","2021","Female","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","Heterosexual / straight","120","100","27150","22710"
"In post","2021","Female","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","Heterosexual / straight","300","280","37040","34800"
"In post","2021","Female","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Commercial Service","Unknown","80","80","34970","31000"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Heterosexual / straight","1270","1160","34420","29040"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Undeclared","70","60","37190","33550"
"In post","2021","Female","Crown Office and Procurator Fiscal Service","Unknown","80","70","43220","52490"
"In post","2021","Female","Crown Prosecution Service","Heterosexual / straight","3240","2960","39340","33310"
"In post","2021","Female","Crown Prosecution Service","LGBO","120","110","37240","28430"
"In post","2021","Female","Crown Prosecution Service","Undeclared","120","110","39780","34170"
"In post","2021","Female","Crown Prosecution Service","Unknown","1010","870","41150","34480"
"In post","2021","Female","Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt Management Office","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","Female","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Defence Equipment and Support","Heterosexual / straight","2920","2730","34070","31600"
"In post","2021","Female","Defence Equipment and Support","LGBO","120","110","30080","27540"
"In post","2021","Female","Defence Equipment and Support","Undeclared","400","380","36190","33920"
"In post","2021","Female","Defence Equipment and Support","Unknown","210","200","32750","31950"
"In post","2021","Female","Defence Science and Technology Laboratory","Heterosexual / straight","1190","1100","37900","37320"
"In post","2021","Female","Defence Science and Technology Laboratory","LGBO","70","70","34120","33240"
"In post","2021","Female","Defence Science and Technology Laboratory","Undeclared","80","80","37640","37320"
"In post","2021","Female","Defence Science and Technology Laboratory","Unknown","200","190","38010","37320"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","1900","1820","48160","47780"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","200","200","45960","40220"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","240","230","48820","53380"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","270","260","43450","40050"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Heterosexual / straight","700","670","48940","51730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","LGBO","80","80","41960","34130"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Undeclared","60","60","47810","51730"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Unknown","120","120","48210","51730"
"In post","2021","Female","Department for Education (excl. agencies)","Heterosexual / straight","2430","2290","43600","40230"
"In post","2021","Female","Department for Education (excl. agencies)","LGBO","160","160","42200","39780"
"In post","2021","Female","Department for Education (excl. agencies)","Undeclared","230","210","43600","40230"
"In post","2021","Female","Department for Education (excl. agencies)","Unknown","550","520","44830","40780"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","2120","2000","41430","36970"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","130","130","43180","38750"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","200","190","40370","36520"
"In post","2021","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","510","470","42520","38750"
"In post","2021","Female","Department for International Trade","Heterosexual / straight","740","720","45780","40290"
"In post","2021","Female","Department for International Trade","LGBO","60","60","43870","38540"
"In post","2021","Female","Department for International Trade","Undeclared","70","70","44980","39340"
"In post","2021","Female","Department for International Trade","Unknown","400","390","42510","38540"
"In post","2021","Female","Department for Transport (excl. agencies)","Heterosexual / straight","1070","1020","47240","43360"
"In post","2021","Female","Department for Transport (excl. agencies)","LGBO","80","80","43640","40480"
"In post","2021","Female","Department for Transport (excl. agencies)","Undeclared","80","80","45120","42470"
"In post","2021","Female","Department for Transport (excl. agencies)","Unknown","310","300","41610","35430"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","39010","34060","27530","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","LGBO","1690","1590","27670","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Undeclared","4620","3940","26670","27570"
"In post","2021","Female","Department for Work and Pensions (excl. agencies)","Unknown","14220","11710","26540","27570"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","840","790","46900","42000"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","LGBO","80","80","42650","36820"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Undeclared","60","60","45710","40650"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Unknown","1130","1100","44580","40650"
"In post","2021","Female","Disclosure Scotland","Heterosexual / straight","90","80","29290","26030"
"In post","2021","Female","Disclosure Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","Unknown","60","50","26060","22230"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Heterosexual / straight","2270","1930","24890","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","LGBO","90","80","23080","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Undeclared","1000","750","23430","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Unknown","400","340","22760","21590"
"In post","2021","Female","Driver and Vehicle Standards Agency","Heterosexual / straight","790","730","29710","26780"
"In post","2021","Female","Driver and Vehicle Standards Agency","LGBO","50","50","27440","26610"
"In post","2021","Female","Driver and Vehicle Standards Agency","Undeclared","270","230","29090","26780"
"In post","2021","Female","Driver and Vehicle Standards Agency","Unknown","320","300","27500","26470"
"In post","2021","Female","Education and Skills Funding Agency","Heterosexual / straight","700","660","41010","36960"
"In post","2021","Female","Education and Skills Funding Agency","LGBO","40","30","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","Undeclared","50","50","40320","36780"
"In post","2021","Female","Education and Skills Funding Agency","Unknown","230","220","41630","37100"
"In post","2021","Female","Education Scotland","Heterosexual / straight","130","130","57450","65650"
"In post","2021","Female","Education Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","Unknown","90","80","51000","52480"
"In post","2021","Female","ESTYN","Heterosexual / straight","60","50","53540","62360"
"In post","2021","Female","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Heterosexual / straight","250","240","39210","32670"
"In post","2021","Female","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Heterosexual / straight","390","370","39120","37910"
"In post","2021","Female","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Undeclared","60","60","40570","40350"
"In post","2021","Female","Food Standards Agency","Unknown","60","60","38570","33150"
"In post","2021","Female","Food Standards Scotland","Heterosexual / straight","70","70","35600","33620"
"In post","2021","Female","Food Standards Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","2720","2630","47070","41000"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","130","130","43550","38600"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","250","250","47640","42880"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","750","720","47120","45490"
"In post","2021","Female","Forestry and Land Scotland","Heterosexual / straight","90","90","33980","30160"
"In post","2021","Female","Forestry and Land Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Forestry and Land Scotland","Unknown","230","210","30440","28120"
"In post","2021","Female","Government Actuary's Department","Heterosexual / straight","60","60","61570","64100"
"In post","2021","Female","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Heterosexual / straight","200","190","45600","42720"
"In post","2021","Female","Government Internal Audit Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Legal Department","Heterosexual / straight","1090","1000","53390","51830"
"In post","2021","Female","Government Legal Department","LGBO","60","60","50820","51250"
"In post","2021","Female","Government Legal Department","Undeclared","110","100","53650","52080"
"In post","2021","Female","Government Legal Department","Unknown","380","330","57850","63730"
"In post","2021","Female","Government Property Agency","Heterosexual / straight","80","70","46050","45200"
"In post","2021","Female","Government Property Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Health and Safety Executive","Heterosexual / straight","950","860","38260","35510"
"In post","2021","Female","Health and Safety Executive","LGBO","50","50","37920","31710"
"In post","2021","Female","Health and Safety Executive","Undeclared","200","180","39270","39330"
"In post","2021","Female","Health and Safety Executive","Unknown","100","90","38960","35280"
"In post","2021","Female","HM Courts and Tribunals Service","Heterosexual / straight","8620","7520","24450","21170"
"In post","2021","Female","HM Courts and Tribunals Service","LGBO","260","250","23710","20650"
"In post","2021","Female","HM Courts and Tribunals Service","Undeclared","1360","1190","25240","21180"
"In post","2021","Female","HM Courts and Tribunals Service","Unknown","1490","1350","23440","21300"
"In post","2021","Female","HM Land Registry","Heterosexual / straight","2170","1910","31080","27130"
"In post","2021","Female","HM Land Registry","LGBO","60","50","27730","22350"
"In post","2021","Female","HM Land Registry","Undeclared","430","370","31780","27130"
"In post","2021","Female","HM Land Registry","Unknown","1150","1030","27860","27130"
"In post","2021","Female","HM Prison and Probation Service","Heterosexual / straight","19080","17730","29680","27380"
"In post","2021","Female","HM Prison and Probation Service","LGBO","1820","1770","29510","27380"
"In post","2021","Female","HM Prison and Probation Service","Undeclared","1930","1780","30620","29750"
"In post","2021","Female","HM Prison and Probation Service","Unknown","4140","3770","27830","25790"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","18710","16600","31730","28130"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","LGBO","880","820","31730","28130"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","Undeclared","2280","1970","31470","28130"
"In post","2021","Female","HM Revenue and Customs (excl. agencies)","Unknown","11360","9880","27020","24120"
"In post","2021","Female","HM Treasury (excl. agencies)","Heterosexual / straight","760","740","46810","42900"
"In post","2021","Female","HM Treasury (excl. agencies)","LGBO","70","70","47210","52500"
"In post","2021","Female","HM Treasury (excl. agencies)","Undeclared","110","110","40380","33820"
"In post","2021","Female","HM Treasury (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Home Office (incl. agencies)","Heterosexual / straight","14900","13410","31300","27240"
"In post","2021","Female","Home Office (incl. agencies)","LGBO","490","470","31680","25960"
"In post","2021","Female","Home Office (incl. agencies)","Undeclared","2080","1850","31740","27370"
"In post","2021","Female","Home Office (incl. agencies)","Unknown","840","810","31540","27060"
"In post","2021","Female","Insolvency Service","Heterosexual / straight","550","510","33050","29940"
"In post","2021","Female","Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Insolvency Service","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Insolvency Service","Unknown","420","400","28350","25060"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","Heterosexual / straight","80","80","47940","49960"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Institute for Apprenticeships and Technical Education","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Legal Aid Agency","Heterosexual / straight","580","530","27790","22570"
"In post","2021","Female","Legal Aid Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal Aid Agency","Undeclared","70","60","25440","20860"
"In post","2021","Female","Legal Aid Agency","Unknown","50","40","[c]","[c]"
"In post","2021","Female","Maritime and Coastguard Agency","Heterosexual / straight","350","320","32930","31040"
"In post","2021","Female","Maritime and Coastguard Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Maritime and Coastguard Agency","Undeclared","60","60","32390","29080"
"In post","2021","Female","Maritime and Coastguard Agency","Unknown","50","40","[c]","[c]"
"In post","2021","Female","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","480","470","45200","40850"
"In post","2021","Female","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Medicines and Healthcare Products Regulatory Agency","Undeclared","90","80","49340","45570"
"In post","2021","Female","Medicines and Healthcare Products Regulatory Agency","Unknown","210","200","48750","42930"
"In post","2021","Female","Met Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Met Office","Unknown","790","730","38220","38200"
"In post","2021","Female","Ministry of Defence (excl. agencies)","Heterosexual / straight","12820","12120","30740","26670"
"In post","2021","Female","Ministry of Defence (excl. agencies)","LGBO","410","410","30490","26670"
"In post","2021","Female","Ministry of Defence (excl. agencies)","Undeclared","1810","1710","31810","27420"
"In post","2021","Female","Ministry of Defence (excl. agencies)","Unknown","1490","1390","33420","30200"
"In post","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Heterosexual / straight","1040","1000","45450","40400"
"In post","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","LGBO","100","100","42750","39600"
"In post","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","90","90","45540","40760"
"In post","2021","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","60","60","48260","48200"
"In post","2021","Female","Ministry of Justice (excl. agencies)","Heterosexual / straight","2180","2090","40530","36800"
"In post","2021","Female","Ministry of Justice (excl. agencies)","LGBO","130","130","38250","35290"
"In post","2021","Female","Ministry of Justice (excl. agencies)","Undeclared","250","240","42190","36800"
"In post","2021","Female","Ministry of Justice (excl. agencies)","Unknown","500","480","40580","36800"
"In post","2021","Female","National Crime Agency","Heterosexual / straight","1840","1760","37210","36200"
"In post","2021","Female","National Crime Agency","LGBO","110","110","36350","36410"
"In post","2021","Female","National Crime Agency","Undeclared","150","150","36610","34140"
"In post","2021","Female","National Crime Agency","Unknown","350","330","39420","37520"
"In post","2021","Female","National Infrastructure Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Infrastructure Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Infrastructure Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Records of Scotland","Heterosexual / straight","110","100","38920","35110"
"In post","2021","Female","National Records of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Records of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Records of Scotland","Unknown","110","90","30950","26160"
"In post","2021","Female","National Savings and Investments","Heterosexual / straight","80","70","46710","43180"
"In post","2021","Female","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Heterosexual / straight","50","50","44140","36860"
"In post","2021","Female","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Office for Budget Responsibility","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","990","940","49150","51360"
"In post","2021","Female","Office for Standards in Education, Children's Services and Skills","LGBO","50","50","50620","46360"
"In post","2021","Female","Office for Standards in Education, Children's Services and Skills","Undeclared","70","70","47120","39850"
"In post","2021","Female","Office for Standards in Education, Children's Services and Skills","Unknown","80","70","40910","39850"
"In post","2021","Female","Office of Gas and Electricity Markets","Heterosexual / straight","220","220","42830","38000"
"In post","2021","Female","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","Unknown","270","260","44040","38550"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Heterosexual / straight","100","100","41930","38510"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","Unknown","40","30","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Heterosexual / straight","80","70","49590","50810"
"In post","2021","Female","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Office of the Public Guardian","Heterosexual / straight","610","550","22170","20440"
"In post","2021","Female","Office of the Public Guardian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of the Public Guardian","Undeclared","70","60","23180","19930"
"In post","2021","Female","Office of the Public Guardian","Unknown","90","80","20780","19930"
"In post","2021","Female","Office of the Scottish Charity Regulator","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of the Scottish Charity Regulator","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectorate","Heterosexual / straight","280","250","42050","40720"
"In post","2021","Female","Planning Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectorate","Unknown","90","70","33280","26050"
"In post","2021","Female","Public Health England","Heterosexual / straight","3340","3010","40420","36330"
"In post","2021","Female","Public Health England","LGBO","140","130","36130","31280"
"In post","2021","Female","Public Health England","Undeclared","510","450","42420","37470"
"In post","2021","Female","Public Health England","Unknown","810","720","48610","40810"
"In post","2021","Female","Queen Elizabeth II Centre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Queen Elizabeth II Centre","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Queen Elizabeth II Centre","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Registers of Scotland","Heterosexual / straight","320","300","33440","30080"
"In post","2021","Female","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Registers of Scotland","Unknown","220","190","31850","30080"
"In post","2021","Female","Revenue Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Revenue Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Revenue Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Royal Fleet Auxiliary","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Royal Fleet Auxiliary","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Royal Fleet Auxiliary","Unknown","160","160","33120","32700"
"In post","2021","Female","Rural Payments Agency","Heterosexual / straight","550","470","27530","25190"
"In post","2021","Female","Rural Payments Agency","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Rural Payments Agency","Undeclared","40","30","[c]","[c]"
"In post","2021","Female","Rural Payments Agency","Unknown","610","540","24750","21050"
"In post","2021","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Scottish Courts and Tribunals Service","Heterosexual / straight","60","60","30910","26550"
"In post","2021","Female","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Courts and Tribunals Service","Undeclared","1150","1010","27410","22820"
"In post","2021","Female","Scottish Fiscal Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Fiscal Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Fiscal Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Forestry","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Female","Scottish Forestry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Forestry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Forestry","Unknown","60","50","30240","29140"
"In post","2021","Female","Scottish Government (excl. agencies)","Heterosexual / straight","2950","2770","43200","39110"
"In post","2021","Female","Scottish Government (excl. agencies)","LGBO","180","180","39910","35110"
"In post","2021","Female","Scottish Government (excl. agencies)","Undeclared","180","170","44060","39660"
"In post","2021","Female","Scottish Government (excl. agencies)","Unknown","1000","930","40870","35110"
"In post","2021","Female","Scottish Housing Regulator","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Housing Regulator","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Housing Regulator","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Prison Service","Heterosexual / straight","440","410","32600","33650"
"In post","2021","Female","Scottish Prison Service","LGBO","50","50","31970","33650"
"In post","2021","Female","Scottish Prison Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Prison Service","Unknown","1010","950","28880","25980"
"In post","2021","Female","Scottish Public Pensions Agency","Heterosexual / straight","80","70","28920","26160"
