"Status","Year","Region_ITL3","Age","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Ards and North Down","20-29","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","AA/AO","50","50","[c]","[c]"
"In post","2021","Ards and North Down","40-49","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","AA/AO","80","80","21230","20310"
"In post","2021","Ards and North Down","50-59","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","40-49","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","50-59","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","20-29","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","20-29","EO","60","60","30950","31060"
"In post","2021","Barking & Dagenham and Havering","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","30-39","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","30-39","EO","70","60","30930","31060"
"In post","2021","Barking & Dagenham and Havering","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","40-49","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","40-49","EO","80","80","30970","31060"
"In post","2021","Barking & Dagenham and Havering","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","40-49","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","AA/AO","40","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","EO","130","120","30950","31060"
"In post","2021","Barking & Dagenham and Havering","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","EO","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","AA/AO","80","70","23990","23530"
"In post","2021","Barnet","20-29","EO","120","110","28920","27720"
"In post","2021","Barnet","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","SEO/HEO","120","120","35180","32880"
"In post","2021","Barnet","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","AA/AO","40","30","[c]","[c]"
"In post","2021","Barnet","30-39","EO","80","80","29380","30500"
"In post","2021","Barnet","30-39","G6/G7","70","70","56770","53860"
"In post","2021","Barnet","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","SEO/HEO","150","140","37620","38700"
"In post","2021","Barnet","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","40-49","AA/AO","40","40","[c]","[c]"
"In post","2021","Barnet","40-49","EO","70","60","30170","31060"
"In post","2021","Barnet","40-49","G6/G7","110","110","59160","56340"
"In post","2021","Barnet","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","40-49","SEO/HEO","130","120","40810","41030"
"In post","2021","Barnet","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","AA/AO","70","60","23730","23670"
"In post","2021","Barnet","50-59","EO","120","110","30980","31060"
"In post","2021","Barnet","50-59","G6/G7","100","90","62300","59700"
"In post","2021","Barnet","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","SEO/HEO","140","130","40950","40510"
"In post","2021","Barnet","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","60-64","EO","40","30","[c]","[c]"
"In post","2021","Barnet","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","AA/AO","300","300","23480","22850"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","EO","70","70","28080","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","Unknown","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","AA/AO","290","260","23440","21550"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","EO","160","150","28800","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","SEO/HEO","60","50","35950","31990"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Unknown","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","AA/AO","290","260","22680","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","EO","240","210","28170","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","SEO/HEO","100","90","38430","35630"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Unknown","50","50","31430","32690"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","AA/AO","430","380","23260","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","EO","360","320","28320","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","SEO/HEO","130","120","38300","36480"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Unknown","60","50","30290","29200"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","AA/AO","150","110","22710","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","EO","90","60","28180","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","AA/AO","30","20","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","EO","90","90","18130","17780"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","AA/AO","190","180","21710","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","EO","1130","1120","23810","25310"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","SEO/HEO","1150","1140","32000","31600"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Unknown","340","340","28720","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","AA/AO","150","140","23460","21130"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","EO","470","430","25350","25750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","G6/G7","380","370","54310","54030"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","SEO/HEO","1780","1710","35980","35930"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Unknown","370","360","39100","39860"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","AA/AO","130","120","24100","21430"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","EO","370","330","26130","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","G6/G7","640","630","57680","55710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","SCS","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","SEO/HEO","1380","1330","37620","38870"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Unknown","330","320","46420","41860"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","AA/AO","210","200","23960","21430"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","EO","420","390","26760","26790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","G6/G7","720","720","58710","55870"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","SCS","90","90","100830","93640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","SEO/HEO","1560","1520","38750","40050"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Unknown","370","360","50380","46010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","AA/AO","60","50","22210","21070"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","EO","100","80","25970","26470"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","G6/G7","140","120","58320","55930"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","SEO/HEO","440","390","39260","40400"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Unknown","80","70","45480","42040"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","EO","50","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","SEO/HEO","80","60","38910","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","Unknown","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","20-29","AA/AO","110","110","27580","29920"
"In post","2021","Bedford","20-29","EO","30","30","[c]","[c]"
"In post","2021","Bedford","20-29","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","30-39","AA/AO","60","60","25370","23490"
"In post","2021","Bedford","30-39","EO","50","50","27470","27570"
"In post","2021","Bedford","30-39","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","30-39","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","40-49","AA/AO","40","40","[c]","[c]"
"In post","2021","Bedford","40-49","EO","70","70","27590","27570"
"In post","2021","Bedford","40-49","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","40-49","SEO/HEO","50","50","38160","36950"
"In post","2021","Bedford","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","50-59","AA/AO","60","50","24530","22430"
"In post","2021","Bedford","50-59","EO","90","80","27840","27570"
"In post","2021","Bedford","50-59","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","50-59","SEO/HEO","60","60","39310","38030"
"In post","2021","Bedford","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","60-64","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","60-64","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","65+","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","20-29","AA/AO","240","220","20360","20140"
"In post","2021","Belfast","20-29","EO","100","100","25450","25560"
"In post","2021","Belfast","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","20-29","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Belfast","30-39","AA/AO","250","220","20520","20140"
"In post","2021","Belfast","30-39","EO","220","210","25600","25560"
"In post","2021","Belfast","30-39","G6/G7","60","50","53810","52580"
"In post","2021","Belfast","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","30-39","SEO/HEO","210","200","33080","31810"
"In post","2021","Belfast","40-49","AA/AO","230","210","20930","21430"
"In post","2021","Belfast","40-49","EO","220","200","25980","25560"
"In post","2021","Belfast","40-49","G6/G7","60","60","54170","52580"
"In post","2021","Belfast","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","40-49","SEO/HEO","210","200","34000","31810"
"In post","2021","Belfast","50-59","AA/AO","190","160","20860","21430"
"In post","2021","Belfast","50-59","EO","220","200","27320","27370"
"In post","2021","Belfast","50-59","G6/G7","80","80","55990","52580"
"In post","2021","Belfast","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","50-59","SEO/HEO","260","250","35330","34170"
"In post","2021","Belfast","60-64","AA/AO","70","60","20810","21430"
"In post","2021","Belfast","60-64","EO","50","40","[c]","[c]"
"In post","2021","Belfast","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","60-64","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","65+","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","65+","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","65+","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","65+","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","20-29","AA/AO","210","210","26640","26610"
"In post","2021","Berkshire","20-29","EO","100","100","29080","29290"
"In post","2021","Berkshire","20-29","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","20-29","SEO/HEO","60","60","33680","32120"
"In post","2021","Berkshire","20-29","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire","30-39","AA/AO","210","210","30310","27680"
"In post","2021","Berkshire","30-39","EO","150","140","32130","29290"
"In post","2021","Berkshire","30-39","G6/G7","60","60","54900","51970"
"In post","2021","Berkshire","30-39","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","30-39","SEO/HEO","120","110","37120","36520"
"In post","2021","Berkshire","30-39","Unknown","70","60","31850","32690"
"In post","2021","Berkshire","40-49","AA/AO","210","190","28440","24180"
"In post","2021","Berkshire","40-49","EO","190","180","31280","29290"
"In post","2021","Berkshire","40-49","G6/G7","90","90","57400","55000"
"In post","2021","Berkshire","40-49","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","40-49","SEO/HEO","140","130","37510","36870"
"In post","2021","Berkshire","40-49","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire","50-59","AA/AO","250","240","26700","22450"
"In post","2021","Berkshire","50-59","EO","260","250","31520","29290"
"In post","2021","Berkshire","50-59","G6/G7","100","90","57960","58120"
"In post","2021","Berkshire","50-59","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","50-59","SEO/HEO","250","240","38910","38130"
"In post","2021","Berkshire","50-59","Unknown","40","30","[c]","[c]"
"In post","2021","Berkshire","60-64","AA/AO","80","70","25000","21580"
"In post","2021","Berkshire","60-64","EO","80","70","29010","29290"
"In post","2021","Berkshire","60-64","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","60-64","SEO/HEO","60","50","38910","38780"
"In post","2021","Berkshire","60-64","Unknown","[c]","[c]","[c]","[c]"
