"Status","Year","Parent_department","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Communications","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Westminster","70","70","44370","39750"
"In post","2021","Attorney General's Departments","Communications","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Westminster","250","240","45590","40000"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","Westminster","90","90","41730","35290"
"In post","2021","Attorney General's Departments","Digital, Data & Technology","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Westminster","80","70","43360","33930"
"In post","2021","Attorney General's Departments","Finance","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Liverpool","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Westminster","110","110","41340","35010"
"In post","2021","Attorney General's Departments","Human Resources","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Bath and North East Somerset, North Somerset and South Gloucestershire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Berkshire","130","120","43640","40000"
"In post","2021","Attorney General's Departments","Legal","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Birmingham","470","440","39930","38000"
"In post","2021","Attorney General's Departments","Legal","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Brighton and Hove","110","100","42630","35630"
"In post","2021","Attorney General's Departments","Legal","Bristol, City of","150","140","41970","38760"
"In post","2021","Attorney General's Departments","Legal","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Cardiff and Vale of Glamorgan","210","190","41090","38760"
"In post","2021","Attorney General's Departments","Legal","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Croydon","90","80","39370","31710"
"In post","2021","Attorney General's Departments","Legal","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Devon CC","100","90","40460","38760"
"In post","2021","Attorney General's Departments","Legal","East Cumbria","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","East Kent","120","120","39420","30110"
"In post","2021","Attorney General's Departments","Legal","Flintshire and Wrexham","70","60","42030","38000"
"In post","2021","Attorney General's Departments","Legal","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Heart of Essex","180","170","41280","35020"
"In post","2021","Attorney General's Departments","Legal","Hertfordshire","170","150","42580","40000"
"In post","2021","Attorney General's Departments","Legal","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Kingston upon Hull, City of","70","60","38660","28430"
"In post","2021","Attorney General's Departments","Legal","Leeds","380","350","41910","38760"
"In post","2021","Attorney General's Departments","Legal","Leicester","140","130","38930","38090"
"In post","2021","Attorney General's Departments","Legal","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Liverpool","320","300","37390","30130"
"In post","2021","Attorney General's Departments","Legal","Manchester","360","330","41310","38000"
"In post","2021","Attorney General's Departments","Legal","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Mid Lancashire","170","160","40120","38000"
"In post","2021","Attorney General's Departments","Legal","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Norwich and East Norfolk","70","60","35220","28430"
"In post","2021","Attorney General's Departments","Legal","Nottingham","230","220","38760","32370"
"In post","2021","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Portsmouth","110","100","38780","30110"
"In post","2021","Attorney General's Departments","Legal","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Sheffield","140","120","35470","28430"
"In post","2021","Attorney General's Departments","Legal","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","South Hampshire","140","130","46220","50520"
"In post","2021","Attorney General's Departments","Legal","South Teesside","90","80","38340","32370"
"In post","2021","Attorney General's Departments","Legal","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Stoke-on-Trent","60","60","41680","48080"
"In post","2021","Attorney General's Departments","Legal","Suffolk","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Swansea","70","60","42060","48080"
"In post","2021","Attorney General's Departments","Legal","Tyneside","230","210","38020","32050"
"In post","2021","Attorney General's Departments","Legal","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","West Surrey","60","50","41350","40000"
"In post","2021","Attorney General's Departments","Legal","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Westminster","3720","3480","51860","51830"
"In post","2021","Attorney General's Departments","Legal","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","York","220","200","50820","55610"
"In post","2021","Attorney General's Departments","No function","Westminster","90","80","41110","38450"
"In post","2021","Attorney General's Departments","Project Delivery","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Westminster","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Westminster","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","York","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Analysis","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Blackpool","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Greater Manchester South West","50","50","61190","53460"
"In post","2021","Cabinet Office","Commercial","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Leeds","60","60","67060","64500"
"In post","2021","Cabinet Office","Commercial","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Liverpool","70","70","64390","55840"
"In post","2021","Cabinet Office","Commercial","Manchester","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Norwich and East Norfolk","60","50","55100","52050"
"In post","2021","Cabinet Office","Commercial","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Sheffield","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Tower Hamlets","100","100","53630","54700"
"In post","2021","Cabinet Office","Commercial","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Commercial","Westminster","640","630","78260","69150"
"In post","2021","Cabinet Office","Commercial","Wiltshire","50","50","69720","63870"
"In post","2021","Cabinet Office","Commercial","York","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Westminster","320","320","47710","42990"
"In post","2021","Cabinet Office","Counter Fraud","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Counter Fraud","Westminster","80","70","49870","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Camden and City of London","80","80","55580","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Tower Hamlets","650","640","52720","54700"
"In post","2021","Cabinet Office","Digital, Data & Technology","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data & Technology","Westminster","150","150","48160","42230"
"In post","2021","Cabinet Office","Digital, Data & Technology","York","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Westminster","90","90","46340","41820"
"In post","2021","Cabinet Office","Human Resources","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Greater Manchester South West","100","90","38880","37300"
"In post","2021","Cabinet Office","Human Resources","Leeds","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Sheffield","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Tyneside","340","320","26930","23850"
"In post","2021","Cabinet Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Westminster","500","490","47000","41690"
"In post","2021","Cabinet Office","Legal","Westminster","60","50","79760","79760"
"In post","2021","Cabinet Office","No function","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Croydon","30","30","[c]","[c]"
"In post","2021","Cabinet Office","No function","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Leeds","40","40","[c]","[c]"
"In post","2021","Cabinet Office","No function","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Manchester","30","30","[c]","[c]"
"In post","2021","Cabinet Office","No function","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","No function","Tower Hamlets","50","50","[c]","[c]"
"In post","2021","Cabinet Office","No function","Tyneside","30","30","[c]","[c]"
