"Status","Year","Region_ITL3","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Unknown","60","60","30420","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Heterosexual / straight","60","60","40940","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Heterosexual / straight","580","540","33710","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Undeclared","70","60","29980","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","190","180","33880","29920"
"In post","2021","Angus and Dundee City","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Undeclared","60","50","25280","22820"
"In post","2021","Angus and Dundee City","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","Heterosexual / straight","190","170","24690","21490"
"In post","2021","Angus and Dundee City","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","Unknown","140","130","22390","20140"
"In post","2021","Angus and Dundee City","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Heterosexual / straight","970","900","26960","23340"
"In post","2021","Angus and Dundee City","Unknown","LGBO","60","60","23820","21070"
"In post","2021","Angus and Dundee City","Unknown","Undeclared","90","80","23430","21010"
"In post","2021","Angus and Dundee City","Unknown","Unknown","310","280","25560","21010"
"In post","2021","Antrim and Newtownabbey","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Heterosexual / straight","60","60","21210","20310"
"In post","2021","Antrim and Newtownabbey","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Heterosexual / straight","80","80","25120","21670"
"In post","2021","Antrim and Newtownabbey","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Ards and North Down","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Heterosexual / straight","80","80","20760","20310"
"In post","2021","Ards and North Down","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Heterosexual / straight","90","80","28670","26410"
"In post","2021","Barking & Dagenham and Havering","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Heterosexual / straight","310","280","30810","31060"
"In post","2021","Barking & Dagenham and Havering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Unknown","120","100","31520","31060"
"In post","2021","Barnet","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","No function","Heterosexual / straight","720","670","38190","32650"
"In post","2021","Barnet","No function","LGBO","50","40","[c]","[c]"
"In post","2021","Barnet","No function","Undeclared","90","90","42930","33100"
"In post","2021","Barnet","No function","Unknown","240","220","50040","44950"
"In post","2021","Barnet","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Heterosexual / straight","330","320","35590","31060"
"In post","2021","Barnet","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Barnet","Unknown","Unknown","70","60","32100","31060"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Heterosexual / straight","1030","950","28400","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","LGBO","70","60","28310","26300"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Undeclared","120","110","29960","28860"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Unknown","240","230","26340","25400"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Heterosexual / straight","920","790","25310","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","LGBO","50","50","26490","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Undeclared","100","80","24520","25720"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Unknown","330","270","24650","26120"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Heterosexual / straight","460","450","42360","40290"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Undeclared","80","80","44040","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Unknown","80","70","54820","43180"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Heterosexual / straight","60","60","38980","36240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Heterosexual / straight","120","110","36760","36620"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Heterosexual / straight","550","520","40660","35660"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Undeclared","70","70","39980","36920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Unknown","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Heterosexual / straight","490","460","35990","32030"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Undeclared","60","50","35430","32710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Unknown","50","50","31040","22600"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Heterosexual / straight","700","660","31870","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","LGBO","50","50","28860","28530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Undeclared","100","90","30790","29460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Unknown","170","150","30010","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Heterosexual / straight","6540","6340","38710","36590"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","LGBO","240","240","33560","31700"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Undeclared","950","910","42040","40880"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Unknown","600","580","35110","32700"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Heterosexual / straight","240","230","39240","37490"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Undeclared","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Heterosexual / straight","80","80","27640","19560"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Heterosexual / straight","980","920","33840","28430"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","LGBO","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Undeclared","160","150","34140","30580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","100","90","29890","27570"
"In post","2021","Bedford","Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","No function","Heterosexual / straight","330","310","31620","30400"
"In post","2021","Bedford","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","No function","Undeclared","40","40","[c]","[c]"
"In post","2021","Bedford","No function","Unknown","100","90","27040","26750"
"In post","2021","Bedford","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","Undeclared","[c]","[c]","[c]","[c]"
