"Status","Year","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","90","90","40850","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","1080","1060","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","210","210","48690","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Commercial","190","180","39800","38000"
"In post","2021","Department for Education (excl. agencies)","Communications","240","230","37810","33510"
"In post","2021","Department for Education (excl. agencies)","Digital, Data and Technology","580","560","40690","37100"
"In post","2021","Department for Education (excl. agencies)","Finance","470","450","43130","40940"
"In post","2021","Department for Education (excl. agencies)","Human Resources","140","130","34780","29730"
"In post","2021","Department for Education (excl. agencies)","Legal","60","60","54720","57570"
"In post","2021","Department for Education (excl. agencies)","Operational Delivery","580","560","41110","36780"
"In post","2021","Department for Education (excl. agencies)","Policy","2800","2680","45800","41190"
"In post","2021","Department for Education (excl. agencies)","Project Delivery","50","50","47790","49860"
"In post","2021","Department for Education (excl. agencies)","Property","560","550","51020","51910"
"In post","2021","Department for Education (excl. agencies)","Security","30","30","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","140","140","39210","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","260","250","41570","37790"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","670","650","43890","47550"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","160","160","44720","47550"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","400","390","43210","38060"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","260","250","42830","38710"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","100","100","38900","35900"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","2470","2390","43010","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","230","230","42220","37110"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","390","370","36760","32560"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","160","150","43590","39610"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","70","70","38190","32840"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","140","140","43060","38540"
"In post","2021","Department for International Trade","Digital, Data and Technology","120","120","47030","44020"
"In post","2021","Department for International Trade","Economics","150","150","43500","33220"
"In post","2021","Department for International Trade","Finance","90","90","49850","51970"
"In post","2021","Department for International Trade","Human Resources","130","130","43380","38540"
"In post","2021","Department for International Trade","International Trade","1300","1280","48330","50430"
"In post","2021","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","110","110","36650","32120"
"In post","2021","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","180","180","39470","32120"
"In post","2021","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","220","220","45630","39000"
"In post","2021","Department for International Trade","Project Delivery","70","70","45830","41500"
"In post","2021","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","50","50","43250","39690"
"In post","2021","Department for Transport (excl. agencies)","Commercial","90","90","50180","46920"
"In post","2021","Department for Transport (excl. agencies)","Communications","110","110","47530","43360"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","120","120","42370","40280"
"In post","2021","Department for Transport (excl. agencies)","Economics","170","170","47750","54110"
"In post","2021","Department for Transport (excl. agencies)","Finance","200","200","48680","49010"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","100","90","48930","48770"
"In post","2021","Department for Transport (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Operational Delivery","90","80","37560","34710"
"In post","2021","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Other","460","430","42940","32740"
"In post","2021","Department for Transport (excl. agencies)","Policy","970","950","48120","44480"
"In post","2021","Department for Transport (excl. agencies)","Project Delivery","480","470","53110","54110"
"In post","2021","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Science and Engineering","60","60","49510","45920"
"In post","2021","Department for Transport (excl. agencies)","Security","170","170","45050","43360"
"In post","2021","Department for Transport (excl. agencies)","Social Research","40","40","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Statistics","120","110","45060","42890"
"In post","2021","Department for Transport (excl. agencies)","Unknown","210","210","52840","44030"
"In post","2021","Department for Work and Pensions (excl. agencies)","Unknown","90950","81420","27650","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Commercial","200","200","48750","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","Communications","190","180","43490","38360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","170","170","43630","36820"
"In post","2021","Department of Health and Social Care (excl. agencies)","Economics","90","90","43100","36820"
"In post","2021","Department of Health and Social Care (excl. agencies)","Finance","340","330","39300","36070"
"In post","2021","Department of Health and Social Care (excl. agencies)","Human Resources","130","130","39780","32790"
"In post","2021","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","230","230","53190","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Operational Delivery","130","130","48860","33700"
"In post","2021","Department of Health and Social Care (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Policy","1820","1780","47250","41890"
"In post","2021","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Statistics","50","50","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","60","60","52120","53360"
"In post","2021","Disclosure Scotland","Unknown","310","290","28110","23170"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","160","140","32760","31040"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","70","60","29810","26740"
"In post","2021","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data and Technology","730","720","39810","38230"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","140","130","32910","30730"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","170","160","32650","31380"
"In post","2021","Driver and Vehicle Licensing Agency","Medicine","50","50","79860","86520"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","4440","3800","21780","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Other","50","50","34410","31860"
"In post","2021","Driver and Vehicle Licensing Agency","Policy","140","130","30230","26780"
"In post","2021","Driver and Vehicle Licensing Agency","Project Delivery","90","80","39900","39040"
"In post","2021","Driver and Vehicle Licensing Agency","Property","60","50","30360","30540"
"In post","2021","Driver and Vehicle Licensing Agency","Security","120","110","30490","26350"
"In post","2021","Driver and Vehicle Standards Agency","Commercial","40","40","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Communications","90","80","31290","30730"
"In post","2021","Driver and Vehicle Standards Agency","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Digital, Data and Technology","190","190","36190","32180"
"In post","2021","Driver and Vehicle Standards Agency","Finance","90","80","38780","34040"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","100","90","35290","33350"
"In post","2021","Driver and Vehicle Standards Agency","Knowledge and Information Management","50","50","35650","33350"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","3910","3670","28400","26780"
"In post","2021","Driver and Vehicle Standards Agency","Operational Research","50","50","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
