"Status","Year","Disability","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","Public Health England","250","230","39050","33290"
"In post","2021","Declared disabled","Heterosexual / straight","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Registers of Scotland","90","90","32450","30080"
"In post","2021","Declared disabled","Heterosexual / straight","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Rural Payments Agency","100","90","27380","25880"
"In post","2021","Declared disabled","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Scottish Government (excl. agencies)","480","460","40680","38540"
"In post","2021","Declared disabled","Heterosexual / straight","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Scottish Prison Service","180","170","34430","33650"
"In post","2021","Declared disabled","Heterosexual / straight","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Social Security Scotland","90","90","29160","26160"
"In post","2021","Declared disabled","Heterosexual / straight","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Submarine Delivery Agency","130","130","39110","37530"
"In post","2021","Declared disabled","Heterosexual / straight","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Transport Scotland","40","40","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","UK Hydrographic Office","60","60","35140","33290"
"In post","2021","Declared disabled","Heterosexual / straight","UK Intellectual Property Office","50","50","36290","30040"
"In post","2021","Declared disabled","Heterosexual / straight","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","United Kingdom Statistics Authority","380","330","31410","29540"
"In post","2021","Declared disabled","Heterosexual / straight","Valuation Office Agency","170","160","32770","28950"
"In post","2021","Declared disabled","Heterosexual / straight","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Welsh Government (excl. agencies)","260","240","38070","37410"
"In post","2021","Declared disabled","Heterosexual / straight","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Heterosexual / straight","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Animal and Plant Health Agency","40","30","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Cabinet Office (excl. agencies)","90","90","44810","40600"
"In post","2021","Declared disabled","LGBO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Crown Prosecution Service","40","40","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Defence Equipment and Support","60","60","30580","28700"
"In post","2021","Declared disabled","LGBO","Defence Science and Technology Laboratory","50","40","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","45270","40050"
"In post","2021","Declared disabled","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Department for Education (excl. agencies)","50","50","41090","33810"
"In post","2021","Declared disabled","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","40850","36520"
"In post","2021","Declared disabled","LGBO","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Department for Work and Pensions (excl. agencies)","1090","1030","27590","27570"
"In post","2021","Declared disabled","LGBO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","45510","44620"
"In post","2021","Declared disabled","LGBO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","HM Courts and Tribunals Service","150","140","22450","20100"
"In post","2021","Declared disabled","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","HM Prison and Probation Service","540","530","30070","28380"
"In post","2021","Declared disabled","LGBO","HM Revenue and Customs (excl. agencies)","410","380","31730","31810"
"In post","2021","Declared disabled","LGBO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Home Office (incl. agencies)","230","220","33680","30010"
"In post","2021","Declared disabled","LGBO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Ministry of Defence (excl. agencies)","150","150","32900","29250"
"In post","2021","Declared disabled","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Ministry of Justice (excl. agencies)","60","60","41110","35300"
"In post","2021","Declared disabled","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Public Health England","50","50","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Scottish Government (excl. agencies)","100","100","39530","33620"
"In post","2021","Declared disabled","LGBO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","United Kingdom Statistics Authority","50","50","33800","30130"
"In post","2021","Declared disabled","LGBO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","LGBO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Cabinet Office (excl. agencies)","80","80","44900","40580"
"In post","2021","Declared disabled","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Defence Equipment and Support","160","160","37850","36940"
"In post","2021","Declared disabled","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Education (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Work and Pensions (excl. agencies)","1600","1390","26520","27570"
"In post","2021","Declared disabled","Undeclared","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Driver and Vehicle Licensing Agency","240","190","22960","21590"
"In post","2021","Declared disabled","Undeclared","Driver and Vehicle Standards Agency","110","100","29140","26780"
"In post","2021","Declared disabled","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","60","60","44680","38600"
"In post","2021","Declared disabled","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Health and Safety Executive","50","40","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","HM Courts and Tribunals Service","230","210","24150","20420"
"In post","2021","Declared disabled","Undeclared","HM Land Registry","70","60","31130","27130"
"In post","2021","Declared disabled","Undeclared","HM Prison and Probation Service","520","480","31850","31480"
"In post","2021","Declared disabled","Undeclared","HM Revenue and Customs (excl. agencies)","480","430","31360","28130"
"In post","2021","Declared disabled","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Home Office (incl. agencies)","420","380","31840","28650"
"In post","2021","Declared disabled","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Ministry of Defence (excl. agencies)","460","440","33080","32200"
"In post","2021","Declared disabled","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Ministry of Justice (excl. agencies)","60","60","42410","36800"
"In post","2021","Declared disabled","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scottish Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
