"Status","Year","Profession_of_post","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","White","LGBO","150","150","36730","33350"
"In post","2021","Commercial","White","Undeclared","280","260","40300","37400"
"In post","2021","Commercial","White","Unknown","350","330","42100","39650"
"In post","2021","Communications","Asian","Heterosexual / straight","150","150","39740","36660"
"In post","2021","Communications","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Heterosexual / straight","90","80","39650","37280"
"In post","2021","Communications","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Heterosexual / straight","90","80","42530","39120"
"In post","2021","Communications","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Undeclared","90","80","39640","38540"
"In post","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","640","630","42610","38750"
"In post","2021","Communications","White","Heterosexual / straight","2190","2110","41730","38310"
"In post","2021","Communications","White","LGBO","180","170","41630","39470"
"In post","2021","Communications","White","Undeclared","170","160","37960","36750"
"In post","2021","Communications","White","Unknown","180","170","43460","39250"
"In post","2021","Corporate Finance","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Heterosexual / straight","90","90","47620","46080"
"In post","2021","Corporate Finance","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","150","140","40570","38200"
"In post","2021","Counter Fraud","White","Heterosexual / straight","490","460","37760","34820"
"In post","2021","Counter Fraud","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","White","Undeclared","30","30","[c]","[c]"
"In post","2021","Counter Fraud","White","Unknown","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Heterosexual / straight","690","680","42420","38630"
"In post","2021","Digital, Data and Technology","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Undeclared","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","Unknown","110","100","42120","39040"
"In post","2021","Digital, Data and Technology","Black","Heterosexual / straight","350","350","40110","37110"
"In post","2021","Digital, Data and Technology","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","Unknown","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Heterosexual / straight","160","160","42890","40300"
"In post","2021","Digital, Data and Technology","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Heterosexual / straight","60","60","42700","39850"
"In post","2021","Digital, Data and Technology","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Heterosexual / straight","70","70","40900","38870"
"In post","2021","Digital, Data and Technology","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Undeclared","510","490","42180","39540"
"In post","2021","Digital, Data and Technology","Undeclared","Unknown","110","110","41810","38630"
"In post","2021","Digital, Data and Technology","Unknown","Heterosexual / straight","90","90","38780","35990"
"In post","2021","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","100","90","35500","30850"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","2020","1990","40790","37420"
"In post","2021","Digital, Data and Technology","White","Heterosexual / straight","6820","6610","42440","38630"
"In post","2021","Digital, Data and Technology","White","LGBO","420","420","41040","37550"
"In post","2021","Digital, Data and Technology","White","Undeclared","640","620","40700","38450"
"In post","2021","Digital, Data and Technology","White","Unknown","880","850","40530","38310"
"In post","2021","Economics","Asian","Heterosexual / straight","160","150","44050","39300"
"In post","2021","Economics","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","Heterosexual / straight","60","60","37790","33390"
"In post","2021","Economics","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","Heterosexual / straight","80","70","45600","45660"
"In post","2021","Economics","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Undeclared","60","50","47540","49100"
"In post","2021","Economics","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","400","390","42880","36160"
"In post","2021","Economics","White","Heterosexual / straight","1060","1030","48900","49280"
"In post","2021","Economics","White","LGBO","110","100","45220","36980"
"In post","2021","Economics","White","Undeclared","80","80","48680","47580"
"In post","2021","Economics","White","Unknown","50","50","60870","61340"
"In post","2021","Finance","Asian","Heterosexual / straight","660","640","40010","36500"
"In post","2021","Finance","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Asian","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","Asian","Unknown","50","40","[c]","[c]"
"In post","2021","Finance","Black","Heterosexual / straight","340","330","40030","37150"
"In post","2021","Finance","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Finance","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Heterosexual / straight","120","120","41430","38070"
"In post","2021","Finance","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Finance","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Finance","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Undeclared","310","300","41820","38150"
"In post","2021","Finance","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Heterosexual / straight","50","50","37890","36070"
"In post","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","870","830","37690","33550"
"In post","2021","Finance","White","Heterosexual / straight","5280","5010","41010","36980"
"In post","2021","Finance","White","LGBO","210","200","43940","40580"
"In post","2021","Finance","White","Undeclared","490","450","39820","35260"
"In post","2021","Finance","White","Unknown","450","420","37850","32890"
"In post","2021","Human Resources","Asian","Heterosexual / straight","370","350","37200","33870"
"In post","2021","Human Resources","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","Heterosexual / straight","260","250","38290","35050"
"In post","2021","Human Resources","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","Heterosexual / straight","120","120","40540","36970"
"In post","2021","Human Resources","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Undeclared","180","170","36190","32650"
"In post","2021","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","40","30","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","590","570","35760","31810"
"In post","2021","Human Resources","White","Heterosexual / straight","5140","4850","39220","34270"
"In post","2021","Human Resources","White","LGBO","310","310","41350","36780"
"In post","2021","Human Resources","White","Undeclared","340","320","36910","33300"
"In post","2021","Human Resources","White","Unknown","260","240","37440","33090"
"In post","2021","Inspector of Education and Training","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","White","Heterosexual / straight","670","650","66650","74730"
"In post","2021","Inspector of Education and Training","White","LGBO","50","50","[c]","[c]"
"In post","2021","Inspector of Education and Training","White","Undeclared","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Asian","Heterosexual / straight","160","160","32700","29310"
"In post","2021","Intelligence Analysis","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Black","Heterosexual / straight","60","50","33700","30560"
"In post","2021","Intelligence Analysis","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Mixed","Heterosexual / straight","50","50","39300","35130"
"In post","2021","Intelligence Analysis","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Undeclared","190","180","34690","31870"
"In post","2021","Intelligence Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Unknown","280","270","43950","41860"
"In post","2021","Intelligence Analysis","White","Heterosexual / straight","2140","2050","34240","30980"
"In post","2021","Intelligence Analysis","White","LGBO","110","110","35180","30500"
"In post","2021","Intelligence Analysis","White","Undeclared","200","190","34170","31180"
"In post","2021","Intelligence Analysis","White","Unknown","90","80","35130","31870"
"In post","2021","Internal Audit","Asian","Heterosexual / straight","70","60","46900","44310"
"In post","2021","Internal Audit","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Heterosexual / straight","480","460","45970","43230"
"In post","2021","Internal Audit","White","LGBO","30","30","[c]","[c]"
"In post","2021","Internal Audit","White","Undeclared","40","40","[c]","[c]"
"In post","2021","Internal Audit","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Asian","Heterosexual / straight","100","100","42310","38160"
"In post","2021","International Trade","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Black","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","International Trade","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Mixed","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","International Trade","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","Undeclared","40","40","[c]","[c]"
"In post","2021","International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Unknown","410","400","44800","38630"
