"Status","Year","Disability","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Internal Audit","White","70","70","43820","39980"
"In post","2021","Declared disabled","International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","White","70","70","48120","51710"
"In post","2021","Declared disabled","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","White","220","210","34490","33150"
"In post","2021","Declared disabled","Legal","Asian","70","60","50620","50130"
"In post","2021","Declared disabled","Legal","Black","40","40","[c]","[c]"
"In post","2021","Declared disabled","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Mixed","30","30","[c]","[c]"
"In post","2021","Declared disabled","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Legal","White","750","690","48270","50520"
"In post","2021","Declared disabled","Medicine","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","White","90","80","54150","38890"
"In post","2021","Declared disabled","Operational Delivery","Asian","880","800","27910","25630"
"In post","2021","Declared disabled","Operational Delivery","Black","650","610","29480","27490"
"In post","2021","Declared disabled","Operational Delivery","Chinese","30","30","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Mixed","390","360","28890","26810"
"In post","2021","Declared disabled","Operational Delivery","Other ethnicity","120","110","31950","30080"
"In post","2021","Declared disabled","Operational Delivery","Undeclared","660","610","28790","27280"
"In post","2021","Declared disabled","Operational Delivery","Unknown","560","490","27590","25870"
"In post","2021","Declared disabled","Operational Delivery","White","14050","12740","27880","25560"
"In post","2021","Declared disabled","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","White","130","120","42230","38800"
"In post","2021","Declared disabled","Other","Asian","50","50","28390","26270"
"In post","2021","Declared disabled","Other","Black","60","50","30710","28880"
"In post","2021","Declared disabled","Other","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Mixed","30","30","[c]","[c]"
"In post","2021","Declared disabled","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Undeclared","100","100","29220","25140"
"In post","2021","Declared disabled","Other","Unknown","60","50","30190","28870"
"In post","2021","Declared disabled","Other","White","1590","1510","28180","24910"
"In post","2021","Declared disabled","Planning","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Asian","170","160","41540","36300"
"In post","2021","Declared disabled","Policy","Black","130","130","37110","34080"
"In post","2021","Declared disabled","Policy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Mixed","100","100","39880","38130"
"In post","2021","Declared disabled","Policy","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Declared disabled","Policy","Undeclared","80","80","42630","38670"
"In post","2021","Declared disabled","Policy","Unknown","70","70","44250","40650"
"In post","2021","Declared disabled","Policy","White","1870","1820","46180","40940"
"In post","2021","Declared disabled","Project Delivery","Asian","80","70","40480","38600"
"In post","2021","Declared disabled","Project Delivery","Black","40","40","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Mixed","30","30","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Undeclared","70","70","43180","40090"
"In post","2021","Declared disabled","Project Delivery","Unknown","40","30","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","White","1200","1160","40410","38020"
"In post","2021","Declared disabled","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","Property","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Property","White","470","440","34890","33250"
"In post","2021","Declared disabled","Psychology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","White","100","100","32510","29750"
"In post","2021","Declared disabled","Science and Engineering","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Undeclared","80","70","39930","38260"
"In post","2021","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","White","960","920","36640","34490"
"In post","2021","Declared disabled","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","White","490","480","31560","28610"
"In post","2021","Declared disabled","Social Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","White","100","100","42110","39460"
"In post","2021","Declared disabled","Statistics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","White","140","130","43070","38750"
"In post","2021","Declared disabled","Tax","Asian","100","100","34580","31880"
"In post","2021","Declared disabled","Tax","Black","50","40","[c]","[c]"
"In post","2021","Declared disabled","Tax","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Tax","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Tax","Undeclared","50","40","[c]","[c]"
"In post","2021","Declared disabled","Tax","Unknown","50","40","[c]","[c]"
"In post","2021","Declared disabled","Tax","White","1080","1000","35210","31810"
"In post","2021","Declared disabled","Unknown","Asian","1090","980","28680","27570"
"In post","2021","Declared disabled","Unknown","Black","630","590","30050","30330"
"In post","2021","Declared disabled","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Mixed","400","370","29610","27570"
"In post","2021","Declared disabled","Unknown","Other ethnicity","120","110","30350","28400"
"In post","2021","Declared disabled","Unknown","Undeclared","700","620","27840","27570"
"In post","2021","Declared disabled","Unknown","Unknown","240","210","29190","27570"
"In post","2021","Declared disabled","Unknown","White","14290","12640","28500","27570"
"In post","2021","Declared disabled","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Asian","180","170","38590","36730"
"In post","2021","Declared non-disabled","Commercial","Black","140","140","38040","35050"
"In post","2021","Declared non-disabled","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Mixed","60","60","36970","33300"
"In post","2021","Declared non-disabled","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Undeclared","80","70","39000","37920"
"In post","2021","Declared non-disabled","Commercial","Unknown","90","90","39340","37400"
"In post","2021","Declared non-disabled","Commercial","White","2950","2840","41280","38200"
"In post","2021","Declared non-disabled","Communications","Asian","130","130","40310","37640"
"In post","2021","Declared non-disabled","Communications","Black","80","80","39140","36300"
"In post","2021","Declared non-disabled","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","Mixed","90","80","42420","39270"
"In post","2021","Declared non-disabled","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","Undeclared","50","50","41180","39850"
"In post","2021","Declared non-disabled","Communications","Unknown","70","70","40660","37690"
"In post","2021","Declared non-disabled","Communications","White","2110","2030","42110","38630"
"In post","2021","Declared non-disabled","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","White","100","90","47070","46080"
"In post","2021","Declared non-disabled","Counter Fraud","Asian","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Unknown","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","White","470","450","37990","35070"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Asian","640","640","43010","39800"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Black","320","320","39930","36780"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Chinese","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Mixed","160","160","42110","39460"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Other ethnicity","60","60","41460","38900"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Undeclared","260","260","42960","40860"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Unknown","250","240","38020","35730"
"In post","2021","Declared non-disabled","Digital, Data and Technology","White","6640","6440","42720","38900"
"In post","2021","Declared non-disabled","Economics","Asian","140","130","44330","39300"
"In post","2021","Declared non-disabled","Economics","Black","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Mixed","70","70","45320","44030"
"In post","2021","Declared non-disabled","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","White","1070","1040","50020","51970"
"In post","2021","Declared non-disabled","Finance","Asian","600","580","40190","36460"
"In post","2021","Declared non-disabled","Finance","Black","310","300","40430","37150"
"In post","2021","Declared non-disabled","Finance","Chinese","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Mixed","120","110","42420","40000"
"In post","2021","Declared non-disabled","Finance","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Undeclared","150","140","42850","39300"
"In post","2021","Declared non-disabled","Finance","Unknown","110","100","38180","36430"
"In post","2021","Declared non-disabled","Finance","White","5090","4820","41320","37410"
"In post","2021","Declared non-disabled","Human Resources","Asian","300","280","37830","35050"
"In post","2021","Declared non-disabled","Human Resources","Black","210","210","37770","35000"
"In post","2021","Declared non-disabled","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Mixed","120","110","40180","37000"
"In post","2021","Declared non-disabled","Human Resources","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Undeclared","80","80","34550","33150"
"In post","2021","Declared non-disabled","Human Resources","Unknown","70","70","39300","33350"
"In post","2021","Declared non-disabled","Human Resources","White","4470","4230","39500","35000"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","White","660","640","68060","74730"
"In post","2021","Declared non-disabled","Intelligence Analysis","Asian","170","160","31970","29080"
"In post","2021","Declared non-disabled","Intelligence Analysis","Black","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Mixed","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Undeclared","80","70","34660","30500"
"In post","2021","Declared non-disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","White","2010","1930","33970","30830"
"In post","2021","Declared non-disabled","Internal Audit","Asian","60","50","46240","44310"
"In post","2021","Declared non-disabled","Internal Audit","Black","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","White","450","430","46440","43440"
"In post","2021","Declared non-disabled","International Trade","Asian","80","80","42500","38160"
"In post","2021","Declared non-disabled","International Trade","Black","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Mixed","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Unknown","50","50","47490","43060"
"In post","2021","Declared non-disabled","International Trade","White","550","540","48670","50940"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Asian","90","90","35160","32800"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Black","60","60","34430","31870"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Undeclared","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Unknown","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","White","1330","1270","36820","33380"
"In post","2021","Declared non-disabled","Legal","Asian","680","640","47520","50500"
"In post","2021","Declared non-disabled","Legal","Black","320","320","49550","51120"
"In post","2021","Declared non-disabled","Legal","Chinese","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Mixed","210","200","50790","51250"
