"Status","Year","Function_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data & Technology","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","HM Land Registry","50","50","36970","38450"
"In post","2022","Digital, Data & Technology","Declared disabled","HM Revenue and Customs (excl. agencies)","240","230","40220","35980"
"In post","2022","Digital, Data & Technology","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Met Office","70","70","33530","33520"
"In post","2022","Digital, Data & Technology","Declared disabled","Ministry of Defence (excl. agencies)","290","290","32930","33000"
"In post","2022","Digital, Data & Technology","Declared disabled","Ministry of Justice (excl. agencies)","80","80","45940","43480"
"In post","2022","Digital, Data & Technology","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","UK Statistics Authority","50","50","40600","36840"
"In post","2022","Digital, Data & Technology","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Cabinet Office (excl. agencies)","850","840","51110","54700"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","50","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Companies House","170","160","40160","38000"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Competition and Markets Authority","70","60","57550","58030"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Crown Commercial Service","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Crown Office and Procurator Fiscal Service","50","50","42470","38600"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Crown Prosecution Service","100","90","39530","38180"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Defence Equipment and Support","270","260","37060","33400"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","130","130","47280","42900"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Department for Education (excl. agencies)","500","480","42070","37950"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","610","600","43520","47550"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Department for International Trade","80","80","46830","44200"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","100","90","47620","48200"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Department for Transport (excl. agencies)","90","90","43120","40140"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Department for Work and Pensions (excl. agencies)","3040","2910","42250","36900"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Department of Health and Social Care (excl. agencies)","60","50","44810","40650"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Driver and Vehicle Licensing Agency","600","590","40040","38650"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Driver and Vehicle Standards Agency","130","130","37030","32180"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","FCDO Services","100","100","45190","42980"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Food Standards Agency","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","90","90","43380","40100"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Health and Safety Executive","60","60","44420","39440"
"In post","2022","Digital, Data & Technology","Declared non-disabled","HM Courts and Tribunals Service","240","230","39490","36050"
"In post","2022","Digital, Data & Technology","Declared non-disabled","HM Land Registry","420","400","39560","38450"
"In post","2022","Digital, Data & Technology","Declared non-disabled","HM Revenue and Customs (excl. agencies)","1780","1720","42330","40180"
"In post","2022","Digital, Data & Technology","Declared non-disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Intellectual Property Office","140","130","47330","47940"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Maritime and Coastguard Agency","70","70","39570","36040"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","40","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Met Office","1280","1210","38590","39160"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Ministry of Defence (excl. agencies)","1680","1640","33390","33000"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Ministry of Justice (excl. agencies)","610","600","49220","50430"
"In post","2022","Digital, Data & Technology","Declared non-disabled","National Crime Agency","90","80","45270","45480"
"In post","2022","Digital, Data & Technology","Declared non-disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","60","50","47570","39850"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Office of Gas and Electricity Markets","60","60","55180","52000"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Registers of Scotland","50","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Serious Fraud Office","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","The Insolvency Service","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","The National Archives","90","90","39620","38120"
"In post","2022","Digital, Data & Technology","Declared non-disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","UK Health Security Agency","100","100","43110","36330"
"In post","2022","Digital, Data & Technology","Declared non-disabled","UK Hydrographic Office","100","90","40780","42510"
"In post","2022","Digital, Data & Technology","Declared non-disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","UK Statistics Authority","270","260","43470","40750"
"In post","2022","Digital, Data & Technology","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Department for Education (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","43410","47550"
"In post","2022","Digital, Data & Technology","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Department for Work and Pensions (excl. agencies)","210","200","43170","37710"
"In post","2022","Digital, Data & Technology","Undeclared","Driver and Vehicle Licensing Agency","90","90","42720","41140"
"In post","2022","Digital, Data & Technology","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","HM Land Registry","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","HM Revenue and Customs (excl. agencies)","170","160","40530","35980"
"In post","2022","Digital, Data & Technology","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Ministry of Defence (excl. agencies)","260","260","33560","33300"
"In post","2022","Digital, Data & Technology","Undeclared","Ministry of Justice (excl. agencies)","60","60","45360","43110"
"In post","2022","Digital, Data & Technology","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Cabinet Office (excl. agencies)","130","130","49930","49700"
"In post","2022","Digital, Data & Technology","Unknown","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Companies House","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Crown Commercial Service","80","80","46980","46980"
"In post","2022","Digital, Data & Technology","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Defence Equipment and Support","40","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Department for Education (excl. agencies)","340","330","41730","37590"
"In post","2022","Digital, Data & Technology","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","43340","44290"
"In post","2022","Digital, Data & Technology","Unknown","Department for International Trade","60","60","49910","51710"
"In post","2022","Digital, Data & Technology","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Department for Work and Pensions (excl. agencies)","390","390","43580","39960"
"In post","2022","Digital, Data & Technology","Unknown","Department of Health and Social Care (excl. agencies)","120","120","41900","36820"
"In post","2022","Digital, Data & Technology","Unknown","Driver and Vehicle Licensing Agency","70","70","41970","39280"
"In post","2022","Digital, Data & Technology","Unknown","Driver and Vehicle Standards Agency","60","50","33430","30730"
"In post","2022","Digital, Data & Technology","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","100","100","41140","38500"
"In post","2022","Digital, Data & Technology","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","HM Courts and Tribunals Service","60","60","39320","36050"
"In post","2022","Digital, Data & Technology","Unknown","HM Land Registry","190","190","34130","33840"
"In post","2022","Digital, Data & Technology","Unknown","HM Revenue and Customs (excl. agencies)","790","760","41120","37930"
"In post","2022","Digital, Data & Technology","Unknown","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Intellectual Property Office","70","70","42650","40140"
"In post","2022","Digital, Data & Technology","Unknown","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Medicines and Healthcare Products Regulatory Agency","70","70","43810","40850"
"In post","2022","Digital, Data & Technology","Unknown","Ministry of Defence (excl. agencies)","320","310","36090","33300"
"In post","2022","Digital, Data & Technology","Unknown","Ministry of Justice (excl. agencies)","160","160","50860","50430"
"In post","2022","Digital, Data & Technology","Unknown","National Crime Agency","170","160","41880","36740"
"In post","2022","Digital, Data & Technology","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Scottish Courts and Tribunals Service","60","60","37950","34950"
"In post","2022","Digital, Data & Technology","Unknown","Scottish Prison Service","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","UK Debt Management Office","30","30","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","UK Health Security Agency","40","40","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","UK Hydrographic Office","60","50","40310","41200"
"In post","2022","Digital, Data & Technology","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","UK Statistics Authority","330","320","41010","36840"
"In post","2022","Digital, Data & Technology","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Defence Equipment and Support","40","40","[c]","[c]"
"In post","2022","Finance","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Finance","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","40830","36970"
"In post","2022","Finance","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Department for Work and Pensions (excl. agencies)","260","230","34660","31990"
"In post","2022","Finance","Declared disabled","Department of Health and Social Care (excl. agencies)","30","30","[c]","[c]"
"In post","2022","Finance","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Education and Skills Funding Agency","80","70","37600","36500"
"In post","2022","Finance","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","HM Revenue and Customs (excl. agencies)","230","200","33570","28920"
"In post","2022","Finance","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
