"Status","Year","Sexual_orientation","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Female","Water Services Regulation Authority","60","50","57100","51460"
"In post","2021","Heterosexual / straight","Female","Welsh Government","2830","2610","39650","37410"
"In post","2021","Heterosexual / straight","Male","Attorney General's Departments","2280","2230","46660","48830"
"In post","2021","Heterosexual / straight","Male","Cabinet Office","1940","1920","50540","49700"
"In post","2021","Heterosexual / straight","Male","Chancellor's other departments","160","150","64840","55220"
"In post","2021","Heterosexual / straight","Male","Charity Commission","100","100","34560","29160"
"In post","2021","Heterosexual / straight","Male","Competition and Markets Authority","320","320","61680","58320"
"In post","2021","Heterosexual / straight","Male","Department for Business, Energy and Industrial Strategy","3260","3200","45730","40940"
"In post","2021","Heterosexual / straight","Male","Department for Digital, Culture, Media and Sport","550","550","50570","51730"
"In post","2021","Heterosexual / straight","Male","Department for Education","2190","2170","44780","40510"
"In post","2021","Heterosexual / straight","Male","Department for Environment, Food and Rural Affairs","2940","2890","38780","35900"
"In post","2021","Heterosexual / straight","Male","Department for International Trade","810","800","47070","42160"
"In post","2021","Heterosexual / straight","Male","Department for Transport","5420","5270","36120","30780"
"In post","2021","Heterosexual / straight","Male","Department for Work and Pensions","20600","19840","29480","27570"
"In post","2021","Heterosexual / straight","Male","Department of Health and Social Care","2160","2090","47580","40850"
"In post","2021","Heterosexual / straight","Male","ESTYN","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Food Standards Agency","470","460","37490","32830"
"In post","2021","Heterosexual / straight","Male","Foreign, Commonwealth and Development Office","2960","2930","48500","44230"
"In post","2021","Heterosexual / straight","Male","HM Land Registry","1370","1300","33680","31740"
"In post","2021","Heterosexual / straight","Male","HM Revenue and Customs","16910","16270","34130","31810"
"In post","2021","Heterosexual / straight","Male","HM Treasury","970","960","49550","52500"
"In post","2021","Heterosexual / straight","Male","Home Office","13290","12720","32440","27370"
"In post","2021","Heterosexual / straight","Male","Ministry of Defence","24670","24250","35070","33300"
"In post","2021","Heterosexual / straight","Male","Ministry of Housing, Communities and Local Government","1230","1200","47170","46320"
"In post","2021","Heterosexual / straight","Male","Ministry of Justice","23970","23190","31120","28800"
"In post","2021","Heterosexual / straight","Male","National Crime Agency","2260","2250","42390","40170"
"In post","2021","Heterosexual / straight","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Office for Standards in Education","450","440","52440","51360"
"In post","2021","Heterosexual / straight","Male","Office of Gas and Electricity Markets","250","240","43170","37130"
"In post","2021","Heterosexual / straight","Male","Office of Qualifications and Examinations Regulation","60","60","49940","46660"
"In post","2021","Heterosexual / straight","Male","Office of Rail and Road","90","80","52380","51730"
"In post","2021","Heterosexual / straight","Male","Other Cabinet Office Agencies","350","350","44070","37010"
"In post","2021","Heterosexual / straight","Male","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Scottish Government","5230","5070","39580","34150"
"In post","2021","Heterosexual / straight","Male","The National Archives","100","90","38400","35130"
"In post","2021","Heterosexual / straight","Male","UK Export Finance","200","190","55450","50430"
"In post","2021","Heterosexual / straight","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","United Kingdom Statistics Authority","1440","1300","34100","30130"
"In post","2021","Heterosexual / straight","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Male","Welsh Government","1840","1800","42480","37410"
"In post","2021","Heterosexual / straight","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Attorney General's Departments","190","180","42110","33310"
"In post","2021","LGBO","Female","Cabinet Office","170","160","41470","34640"
"In post","2021","LGBO","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Department for Business, Energy and Industrial Strategy","310","310","41820","39170"
"In post","2021","LGBO","Female","Department for Digital, Culture, Media and Sport","80","80","41960","34130"
"In post","2021","LGBO","Female","Department for Education","200","200","42050","38620"
"In post","2021","LGBO","Female","Department for Environment, Food and Rural Affairs","250","240","36000","32560"
"In post","2021","LGBO","Female","Department for International Trade","60","60","43870","38540"
"In post","2021","LGBO","Female","Department for Transport","240","230","31720","26780"
"In post","2021","LGBO","Female","Department for Work and Pensions","1740","1640","27970","27570"
"In post","2021","LGBO","Female","Department of Health and Social Care","230","220","39370","32790"
"In post","2021","LGBO","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Foreign, Commonwealth and Development Office","150","150","42470","37530"
"In post","2021","LGBO","Female","HM Land Registry","60","50","27730","22350"
"In post","2021","LGBO","Female","HM Revenue and Customs","930","870","31720","28130"
"In post","2021","LGBO","Female","HM Treasury","80","80","47470","52500"
"In post","2021","LGBO","Female","Home Office","490","470","31680","25960"
"In post","2021","LGBO","Female","Ministry of Defence","630","610","31000","27540"
"In post","2021","LGBO","Female","Ministry of Housing, Communities and Local Government","100","100","42250","39600"
"In post","2021","LGBO","Female","Ministry of Justice","2250","2190","29220","26810"
"In post","2021","LGBO","Female","National Crime Agency","110","110","36350","36410"
"In post","2021","LGBO","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Office for Standards in Education","50","50","50620","46360"
"In post","2021","LGBO","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Scottish Government","390","390","35220","32140"
"In post","2021","LGBO","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","United Kingdom Statistics Authority","110","110","31450","29540"
"In post","2021","LGBO","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Welsh Government","100","90","39740","37410"
"In post","2021","LGBO","Male","Attorney General's Departments","250","240","47650","50510"
"In post","2021","LGBO","Male","Cabinet Office","270","270","46990","43890"
"In post","2021","LGBO","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","LGBO","Male","Department for Business, Energy and Industrial Strategy","370","360","45110","40220"
"In post","2021","LGBO","Male","Department for Digital, Culture, Media and Sport","100","100","51280","51730"
"In post","2021","LGBO","Male","Department for Education","220","220","43910","37100"
"In post","2021","LGBO","Male","Department for Environment, Food and Rural Affairs","260","260","37090","32830"
"In post","2021","LGBO","Male","Department for International Trade","130","120","48750","51710"
"In post","2021","LGBO","Male","Department for Transport","340","330","38130","33990"
"In post","2021","LGBO","Male","Department for Work and Pensions","2000","1940","28320","27570"
"In post","2021","LGBO","Male","Department of Health and Social Care","240","230","46400","40650"
"In post","2021","LGBO","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Foreign, Commonwealth and Development Office","260","260","50630","53000"
"In post","2021","LGBO","Male","HM Land Registry","80","80","30370","27130"
"In post","2021","LGBO","Male","HM Revenue and Customs","1290","1260","32620","28130"
"In post","2021","LGBO","Male","HM Treasury","90","90","48970","52500"
"In post","2021","LGBO","Male","Home Office","680","660","33710","28760"
"In post","2021","LGBO","Male","Ministry of Defence","770","760","33940","32670"
"In post","2021","LGBO","Male","Ministry of Housing, Communities and Local Government","140","130","48480","48680"
"In post","2021","LGBO","Male","Ministry of Justice","1300","1270","31550","28200"
"In post","2021","LGBO","Male","National Crime Agency","80","80","38330","36410"
"In post","2021","LGBO","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Office for Standards in Education","80","80","46510","35010"
"In post","2021","LGBO","Male","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","LGBO","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Scottish Government","400","390","38310","33620"
"In post","2021","LGBO","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","United Kingdom Statistics Authority","110","100","35330","30130"
"In post","2021","LGBO","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Welsh Government","110","110","43500","38360"
"In post","2021","LGBO","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Attorney General's Departments","230","210","46170","50520"
"In post","2021","Undeclared","Female","Cabinet Office","230","220","45300","40580"
"In post","2021","Undeclared","Female","Chancellor's other departments","30","30","[c]","[c]"
"In post","2021","Undeclared","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Undeclared","Female","Department for Business, Energy and Industrial Strategy","430","400","42580","39580"
"In post","2021","Undeclared","Female","Department for Digital, Culture, Media and Sport","60","60","47810","51730"
"In post","2021","Undeclared","Female","Department for Education","300","280","43130","38150"
"In post","2021","Undeclared","Female","Department for Environment, Food and Rural Affairs","450","410","35680","32560"
"In post","2021","Undeclared","Female","Department for International Trade","70","70","44980","39340"
"In post","2021","Undeclared","Female","Department for Transport","1410","1120","26160","21590"
"In post","2021","Undeclared","Female","Department for Work and Pensions","4810","4120","27190","27570"
"In post","2021","Undeclared","Female","Department of Health and Social Care","660","580","43630","38890"
"In post","2021","Undeclared","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Food Standards Agency","60","60","40570","40350"
"In post","2021","Undeclared","Female","Foreign, Commonwealth and Development Office","280","270","46460","40120"
"In post","2021","Undeclared","Female","HM Land Registry","430","370","31780","27130"
"In post","2021","Undeclared","Female","HM Revenue and Customs","2450","2120","31640","28130"
"In post","2021","Undeclared","Female","HM Treasury","140","140","41810","37080"
"In post","2021","Undeclared","Female","Home Office","2080","1850","31740","27370"
"In post","2021","Undeclared","Female","Ministry of Defence","2430","2290","32820","30380"
"In post","2021","Undeclared","Female","Ministry of Housing, Communities and Local Government","110","110","45430","41650"
"In post","2021","Undeclared","Female","Ministry of Justice","3700","3350","29160","25790"
"In post","2021","Undeclared","Female","National Crime Agency","150","150","36610","34140"
"In post","2021","Undeclared","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Office for Standards in Education","70","70","47120","39850"
"In post","2021","Undeclared","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Scottish Government","1500","1350","30370","26850"
"In post","2021","Undeclared","Female","The National Archives","30","30","[c]","[c]"
"In post","2021","Undeclared","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","United Kingdom Statistics Authority","110","100","31640","29540"
"In post","2021","Undeclared","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Welsh Government","390","360","41020","37410"
"In post","2021","Undeclared","Male","Attorney General's Departments","150","150","49080","51250"
"In post","2021","Undeclared","Male","Cabinet Office","280","270","49780","47050"
"In post","2021","Undeclared","Male","Chancellor's other departments","60","50","62710","50540"
"In post","2021","Undeclared","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Department for Business, Energy and Industrial Strategy","500","480","46620","43470"
"In post","2021","Undeclared","Male","Department for Digital, Culture, Media and Sport","50","50","49250","51730"
"In post","2021","Undeclared","Male","Department for Education","240","240","45500","42420"
"In post","2021","Undeclared","Male","Department for Environment, Food and Rural Affairs","400","390","37400","34010"
"In post","2021","Undeclared","Male","Department for International Trade","70","70","46650","40780"
"In post","2021","Undeclared","Male","Department for Transport","1510","1420","32820","27680"
"In post","2021","Undeclared","Male","Department for Work and Pensions","2800","2670","29480","27570"
"In post","2021","Undeclared","Male","Department of Health and Social Care","340","320","50500","43360"
"In post","2021","Undeclared","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Food Standards Agency","60","60","38990","35630"
"In post","2021","Undeclared","Male","Foreign, Commonwealth and Development Office","400","390","49340","43850"
"In post","2021","Undeclared","Male","HM Land Registry","270","250","34720","33840"
"In post","2021","Undeclared","Male","HM Revenue and Customs","2480","2340","35180","31810"
"In post","2021","Undeclared","Male","HM Treasury","170","170","46700","46280"
"In post","2021","Undeclared","Male","Home Office","2150","2030","33720","29080"
"In post","2021","Undeclared","Male","Ministry of Defence","4150","4050","36570","34640"
"In post","2021","Undeclared","Male","Ministry of Housing, Communities and Local Government","140","130","45650","46670"
"In post","2021","Undeclared","Male","Ministry of Justice","3080","2940","32090","31650"
"In post","2021","Undeclared","Male","National Crime Agency","190","190","39160","36740"
"In post","2021","Undeclared","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Undeclared","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Scottish Government","880","840","32990","29350"
"In post","2021","Undeclared","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","United Kingdom Statistics Authority","90","80","32990","31270"
"In post","2021","Undeclared","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Welsh Government","290","290","44930","39680"
"In post","2021","Undeclared","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Attorney General's Departments","1470","1280","45870","50520"
"In post","2021","Unknown","Female","Cabinet Office","2170","2130","42670","32000"
"In post","2021","Unknown","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Charity Commission","100","90","34130","29320"
"In post","2021","Unknown","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Department for Business, Energy and Industrial Strategy","1990","1850","34440","32730"
"In post","2021","Unknown","Female","Department for Digital, Culture, Media and Sport","120","120","48210","51730"
"In post","2021","Unknown","Female","Department for Education","840","790","43820","40230"
"In post","2021","Unknown","Female","Department for Environment, Food and Rural Affairs","1470","1340","32250","28170"
"In post","2021","Unknown","Female","Department for International Trade","400","390","42510","38540"
"In post","2021","Unknown","Female","Department for Transport","1090","1000","29740","26130"
"In post","2021","Unknown","Female","Department for Work and Pensions","14320","11800","26620","27570"
"In post","2021","Unknown","Female","Department of Health and Social Care","2150","2020","46520","40650"
"In post","2021","Unknown","Female","Food Standards Agency","60","60","38570","33150"
"In post","2021","Unknown","Female","Foreign, Commonwealth and Development Office","770","750","46740","43970"
"In post","2021","Unknown","Female","HM Land Registry","1150","1030","27860","27130"
"In post","2021","Unknown","Female","HM Revenue and Customs","11880","10350","27080","24120"
"In post","2021","Unknown","Female","HM Treasury","100","90","45800","39690"
"In post","2021","Unknown","Female","Home Office","840","810","31540","27060"
"In post","2021","Unknown","Female","Ministry of Defence","2180","2030","33870","32020"
"In post","2021","Unknown","Female","Ministry of Housing, Communities and Local Government","160","150","39150","32780"
"In post","2021","Unknown","Female","Ministry of Justice","6290","5760","27650","24440"
"In post","2021","Unknown","Female","National Crime Agency","350","330","39420","37520"
"In post","2021","Unknown","Female","Northern Ireland Office","40","40","[c]","[c]"
"In post","2021","Unknown","Female","Office for Standards in Education","80","70","40910","39850"
"In post","2021","Unknown","Female","Office of Gas and Electricity Markets","270","260","44040","38550"
"In post","2021","Unknown","Female","Office of Qualifications and Examinations Regulation","40","30","[c]","[c]"
"In post","2021","Unknown","Female","Office of Rail and Road","40","40","[c]","[c]"
"In post","2021","Unknown","Female","Other Cabinet Office Agencies","90","90","35590","32000"
"In post","2021","Unknown","Female","Scotland Office","30","30","[c]","[c]"
"In post","2021","Unknown","Female","Scottish Government","3240","3000","34190","30080"
"In post","2021","Unknown","Female","The National Archives","120","110","36060","33450"
"In post","2021","Unknown","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","United Kingdom Statistics Authority","840","730","29890","29540"
"In post","2021","Unknown","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Water Services Regulation Authority","70","60","55290","44680"
"In post","2021","Unknown","Female","Welsh Government","110","100","39770","34490"
"In post","2021","Unknown","Male","Attorney General's Departments","780","760","49980","55450"
"In post","2021","Unknown","Male","Cabinet Office","1930","1920","48310","34640"
"In post","2021","Unknown","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Charity Commission","80","70","37100","30980"
"In post","2021","Unknown","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Department for Business, Energy and Industrial Strategy","2560","2500","39030","38980"
"In post","2021","Unknown","Male","Department for Digital, Culture, Media and Sport","110","110","48200","46050"
"In post","2021","Unknown","Male","Department for Education","630","630","44710","40430"
"In post","2021","Unknown","Male","Department for Environment, Food and Rural Affairs","1260","1220","34430","29750"
"In post","2021","Unknown","Male","Department for International Trade","420","420","46100","39440"
"In post","2021","Unknown","Male","Department for Transport","1430","1380","32800","28000"
"In post","2021","Unknown","Male","Department for Work and Pensions","7290","6920","28610","27570"
"In post","2021","Unknown","Male","Department of Health and Social Care","1330","1310","50490","47560"
"In post","2021","Unknown","Male","Food Standards Agency","230","220","31320","26750"
"In post","2021","Unknown","Male","Foreign, Commonwealth and Development Office","790","780","47930","47430"
"In post","2021","Unknown","Male","HM Land Registry","810","780","30010","27130"
"In post","2021","Unknown","Male","HM Revenue and Customs","10750","10310","29520","25560"
"In post","2021","Unknown","Male","HM Treasury","140","140","59350","57070"
"In post","2021","Unknown","Male","Home Office","940","930","32010","25630"
"In post","2021","Unknown","Male","Ministry of Defence","5280","5220","35500","33290"
"In post","2021","Unknown","Male","Ministry of Housing, Communities and Local Government","200","190","41240","34860"
"In post","2021","Unknown","Male","Ministry of Justice","7120","6730","29480","28860"
"In post","2021","Unknown","Male","National Crime Agency","510","500","42940","40210"
"In post","2021","Unknown","Male","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","Unknown","Male","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Unknown","Male","Office of Gas and Electricity Markets","330","330","49260","44520"
"In post","2021","Unknown","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Office of Rail and Road","90","80","63920","62340"
"In post","2021","Unknown","Male","Other Cabinet Office Agencies","100","100","35730","33780"
"In post","2021","Unknown","Male","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Scottish Government","4170","3980","34520","33650"
"In post","2021","Unknown","Male","The National Archives","120","120","34270","31390"
"In post","2021","Unknown","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","United Kingdom Statistics Authority","750","690","33680","29560"
"In post","2021","Unknown","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Water Services Regulation Authority","80","80","56350","51630"
"In post","2021","Unknown","Male","Welsh Government","110","110","42620","37410"
"In post","2021","Unknown","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Female","Attorney General's Departments","4850","4460","42880","41490"
"In post","2022","Heterosexual / straight","Female","Cabinet Office","3080","2960","44830","40250"
"In post","2022","Heterosexual / straight","Female","Chancellor's other departments","140","130","55110","47520"
"In post","2022","Heterosexual / straight","Female","Charity Commission","150","140","35370","29160"
"In post","2022","Heterosexual / straight","Female","Competition and Markets Authority","360","340","58570","55930"
"In post","2022","Heterosexual / straight","Female","Department for Business, Energy and Industrial Strategy","5020","4710","40660","38200"
"In post","2022","Heterosexual / straight","Female","Department for Digital, Culture, Media and Sport","830","810","46790","47070"
"In post","2022","Heterosexual / straight","Female","Department for Education","3840","3630","42770","37290"
"In post","2022","Heterosexual / straight","Female","Department for Environment, Food and Rural Affairs","4820","4500","35750","32560"
"In post","2022","Heterosexual / straight","Female","Department for International Trade","840","830","46550","42930"
"In post","2022","Heterosexual / straight","Female","Department for Levelling Up, Housing and Communities","1560","1480","45070","40720"
"In post","2022","Heterosexual / straight","Female","Department for Transport","4800","4310","32060","26780"
"In post","2022","Heterosexual / straight","Female","Department for Work and Pensions","41820","36540","28040","27570"
"In post","2022","Heterosexual / straight","Female","Department of Health and Social Care","4600","4280","42580","38200"
"In post","2022","Heterosexual / straight","Female","Estyn","60","50","55510","64520"
"In post","2022","Heterosexual / straight","Female","Food Standards Agency","490","480","39290","37350"
"In post","2022","Heterosexual / straight","Female","Foreign, Commonwealth and Development Office","2880","2780","46940","42190"
"In post","2022","Heterosexual / straight","Female","HM Land Registry","2470","2190","31350","27130"
"In post","2022","Heterosexual / straight","Female","HM Revenue and Customs","22500","20280","33710","31020"
"In post","2022","Heterosexual / straight","Female","HM Treasury","1060","1010","46530","42950"
"In post","2022","Heterosexual / straight","Female","Home Office","14280","12920","32070","28650"
"In post","2022","Heterosexual / straight","Female","Ministry of Defence","16830","15870","32580","29000"
"In post","2022","Heterosexual / straight","Female","Ministry of Justice","35170","32340","29840","26400"
"In post","2022","Heterosexual / straight","Female","National Crime Agency","1940","1860","38190","36410"
"In post","2022","Heterosexual / straight","Female","Northern Ireland Office","60","60","46640","41750"
"In post","2022","Heterosexual / straight","Female","Office for Standards in Education, Children's Services and Skills","1050","1000","50260","51360"
"In post","2022","Heterosexual / straight","Female","Office of Gas and Electricity Markets","350","340","41510","35500"
"In post","2022","Heterosexual / straight","Female","Office of Qualifications and Examinations Regulation","130","120","41380","38000"
"In post","2022","Heterosexual / straight","Female","Office of Rail and Road","100","90","50790","50810"
"In post","2022","Heterosexual / straight","Female","Office of the Secretary of State for Scotland","40","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Female","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Female","Scottish Government","7770","7320","39130","34600"
