"Status","Year","Function_of_post","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Human Resources","SCS","Declared disabled","40","40","[c]","[c]"
"In post","2021","Human Resources","SCS","Declared non-disabled","150","150","89460","83660"
"In post","2021","Human Resources","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Declared disabled","490","470","36860","36460"
"In post","2021","Human Resources","SEO/HEO","Declared non-disabled","2560","2450","36360","35590"
"In post","2021","Human Resources","SEO/HEO","Undeclared","220","210","37740","36750"
"In post","2021","Human Resources","SEO/HEO","Unknown","570","550","35600","35230"
"In post","2021","Human Resources","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Declared non-disabled","180","170","37960","32710"
"In post","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Declared non-disabled","160","150","58610","56610"
"In post","2021","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Declared disabled","70","60","39590","39200"
"In post","2021","Internal Audit","SEO/HEO","Declared non-disabled","340","320","40880","40910"
"In post","2021","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Declared disabled","200","180","22460","21950"
"In post","2021","Legal","AA/AO","Declared non-disabled","1020","910","22640","21950"
"In post","2021","Legal","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Unknown","1350","1220","21610","21950"
"In post","2021","Legal","EO","Declared disabled","220","200","28050","28430"
"In post","2021","Legal","EO","Declared non-disabled","1370","1270","28060","28430"
"In post","2021","Legal","EO","Undeclared","40","30","[c]","[c]"
"In post","2021","Legal","EO","Unknown","820","770","28070","29350"
"In post","2021","Legal","G6/G7","Declared disabled","500","450","59700","58040"
"In post","2021","Legal","G6/G7","Declared non-disabled","4280","3960","59590","58150"
"In post","2021","Legal","G6/G7","Undeclared","160","140","63030","64890"
"In post","2021","Legal","G6/G7","Unknown","1100","1020","58410","57000"
"In post","2021","Legal","SCS","Declared disabled","30","30","[c]","[c]"
"In post","2021","Legal","SCS","Declared non-disabled","350","330","89380","83460"
"In post","2021","Legal","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","SCS","Unknown","60","60","89500","80580"
"In post","2021","Legal","SEO/HEO","Declared disabled","300","280","38880","38000"
"In post","2021","Legal","SEO/HEO","Declared non-disabled","2150","1990","39180","38180"
"In post","2021","Legal","SEO/HEO","Undeclared","140","130","40330","40590"
"In post","2021","Legal","SEO/HEO","Unknown","740","710","36120","36160"
"In post","2021","Legal","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Declared disabled","6700","5930","22540","21440"
"In post","2021","No function","AA/AO","Declared non-disabled","40740","36880","23210","21590"
"In post","2021","No function","AA/AO","Undeclared","6290","5590","25580","23270"
"In post","2021","No function","AA/AO","Unknown","16780","15400","22100","21300"
"In post","2021","No function","EO","Declared disabled","3130","2910","27940","27130"
"In post","2021","No function","EO","Declared non-disabled","19250","17980","27680","27080"
"In post","2021","No function","EO","Undeclared","2510","2360","29400","28130"
"In post","2021","No function","EO","Unknown","8230","7840","29180","28170"
"In post","2021","No function","G6/G7","Declared disabled","1490","1440","57740","54730"
"In post","2021","No function","G6/G7","Declared non-disabled","14470","13980","58590","55940"
"In post","2021","No function","G6/G7","Undeclared","1250","1210","57750","54760"
"In post","2021","No function","G6/G7","Unknown","3870","3770","57650","54700"
"In post","2021","No function","SCS","Declared disabled","150","150","87230","77870"
"In post","2021","No function","SCS","Declared non-disabled","2090","1990","88270","79980"
"In post","2021","No function","SCS","Undeclared","150","130","91680","82100"
"In post","2021","No function","SCS","Unknown","570","540","99260","93000"
"In post","2021","No function","SEO/HEO","Declared disabled","3810","3640","36690","35890"
"In post","2021","No function","SEO/HEO","Declared non-disabled","28280","27060","36930","36000"
"In post","2021","No function","SEO/HEO","Undeclared","3140","3010","37430","36710"
"In post","2021","No function","SEO/HEO","Unknown","10030","9700","35620","34020"
"In post","2021","No function","Unknown","Declared disabled","2230","2060","30490","30210"
"In post","2021","No function","Unknown","Declared non-disabled","8540","7890","30180","30210"
"In post","2021","No function","Unknown","Undeclared","530","500","30240","30210"
"In post","2021","No function","Unknown","Unknown","720","650","24140","22920"
"In post","2021","Project Delivery","AA/AO","Declared disabled","60","60","21790","21490"
"In post","2021","Project Delivery","AA/AO","Declared non-disabled","400","370","21640","21440"
"In post","2021","Project Delivery","AA/AO","Undeclared","60","50","21480","21130"
"In post","2021","Project Delivery","AA/AO","Unknown","100","100","21700","21440"
"In post","2021","Project Delivery","EO","Declared disabled","500","470","25080","26000"
"In post","2021","Project Delivery","EO","Declared non-disabled","3060","2920","24790","25720"
"In post","2021","Project Delivery","EO","Undeclared","330","310","26260","26670"
"In post","2021","Project Delivery","EO","Unknown","720","680","24380","25560"
"In post","2021","Project Delivery","G6/G7","Declared disabled","570","560","57000","55620"
"In post","2021","Project Delivery","G6/G7","Declared non-disabled","5090","4960","57480","55620"
"In post","2021","Project Delivery","G6/G7","Undeclared","410","400","57340","55720"
"In post","2021","Project Delivery","G6/G7","Unknown","1310","1270","57160","55620"
"In post","2021","Project Delivery","SCS","Declared disabled","40","40","[c]","[c]"
"In post","2021","Project Delivery","SCS","Declared non-disabled","540","530","91870","83630"
"In post","2021","Project Delivery","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","SCS","Unknown","90","90","91880","84400"
"In post","2021","Project Delivery","SEO/HEO","Declared disabled","1350","1290","36200","35790"
"In post","2021","Project Delivery","SEO/HEO","Declared non-disabled","9660","9340","36250","36340"
"In post","2021","Project Delivery","SEO/HEO","Undeclared","890","860","36870","37320"
"In post","2021","Project Delivery","SEO/HEO","Unknown","1850","1790","36680","37320"
"In post","2021","Project Delivery","Unknown","Declared disabled","120","120","40450","39860"
"In post","2021","Project Delivery","Unknown","Declared non-disabled","970","960","42230","40100"
"In post","2021","Project Delivery","Unknown","Undeclared","100","100","44340","42530"
"In post","2021","Project Delivery","Unknown","Unknown","170","160","42880","40940"
"In post","2021","Property","AA/AO","Declared disabled","160","150","21430","21100"
"In post","2021","Property","AA/AO","Declared non-disabled","1390","1290","21740","21100"
"In post","2021","Property","AA/AO","Undeclared","110","100","20400","21100"
"In post","2021","Property","AA/AO","Unknown","700","660","21230","20880"
"In post","2021","Property","EO","Declared disabled","160","140","27110","26670"
"In post","2021","Property","EO","Declared non-disabled","1330","1260","27630","26670"
"In post","2021","Property","EO","Undeclared","130","130","27360","26530"
"In post","2021","Property","EO","Unknown","330","310","26910","25930"
"In post","2021","Property","G6/G7","Declared disabled","100","100","57660","56360"
"In post","2021","Property","G6/G7","Declared non-disabled","940","910","57700","55900"
"In post","2021","Property","G6/G7","Undeclared","90","80","57510","55930"
"In post","2021","Property","G6/G7","Unknown","140","130","56490","54540"
"In post","2021","Property","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Property","SCS","Declared non-disabled","60","60","90880","81670"
"In post","2021","Property","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","SEO/HEO","Declared disabled","310","290","36380","34640"
"In post","2021","Property","SEO/HEO","Declared non-disabled","2590","2480","37410","36520"
"In post","2021","Property","SEO/HEO","Undeclared","290","280","37480","36460"
"In post","2021","Property","SEO/HEO","Unknown","440","430","37060","36460"
"In post","2021","Property","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","AA/AO","Declared disabled","350","340","26690","21130"
"In post","2021","Security","AA/AO","Declared non-disabled","3280","3210","25830","21030"
"In post","2021","Security","AA/AO","Undeclared","370","360","28000","21880"
"In post","2021","Security","AA/AO","Unknown","1520","1490","28320","25540"
"In post","2021","Security","EO","Declared disabled","120","110","31780","27500"
"In post","2021","Security","EO","Declared non-disabled","740","730","32530","28210"
"In post","2021","Security","EO","Undeclared","110","110","36010","40190"
"In post","2021","Security","EO","Unknown","210","210","30070","26670"
"In post","2021","Security","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Security","G6/G7","Declared non-disabled","260","260","60350","57860"
"In post","2021","Security","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","Security","G6/G7","Unknown","60","60","57660","54540"
"In post","2021","Security","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Security","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Declared disabled","150","150","39100","35630"
"In post","2021","Security","SEO/HEO","Declared non-disabled","980","960","39730","36890"
"In post","2021","Security","SEO/HEO","Undeclared","180","170","41530","38160"
"In post","2021","Security","SEO/HEO","Unknown","270","260","36980","34640"
"In post","2021","Security","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Declared disabled","7040","6070","21290","21010"
"In post","2021","Unknown","AA/AO","Declared non-disabled","36050","31690","21390","21010"
"In post","2021","Unknown","AA/AO","Undeclared","2280","2070","21330","21010"
"In post","2021","Unknown","AA/AO","Unknown","3690","3490","21760","21150"
"In post","2021","Unknown","EO","Declared disabled","10190","9120","27980","27570"
"In post","2021","Unknown","EO","Declared non-disabled","52430","47800","27860","27570"
"In post","2021","Unknown","EO","Undeclared","3340","3110","27990","27570"
"In post","2021","Unknown","EO","Unknown","4140","4000","28000","27570"
"In post","2021","Unknown","G6/G7","Declared disabled","910","880","59840","57680"
"In post","2021","Unknown","G6/G7","Declared non-disabled","8740","8410","60620","59730"
"In post","2021","Unknown","G6/G7","Undeclared","470","460","60910","59590"
"In post","2021","Unknown","G6/G7","Unknown","1920","1830","62190","61010"
"In post","2021","Unknown","SCS","Declared disabled","90","90","88990","83230"
"In post","2021","Unknown","SCS","Declared non-disabled","1000","970","89910","83230"
"In post","2021","Unknown","SCS","Undeclared","40","30","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","210","210","92470","85000"
"In post","2021","Unknown","SEO/HEO","Declared disabled","3240","3050","36300","35110"
"In post","2021","Unknown","SEO/HEO","Declared non-disabled","23380","22380","36850","35310"
"In post","2021","Unknown","SEO/HEO","Undeclared","1470","1430","37020","36140"
"In post","2021","Unknown","SEO/HEO","Unknown","3620","3500","38620","37890"
"In post","2021","Unknown","Unknown","Declared disabled","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Declared non-disabled","470","470","38160","35530"
"In post","2021","Unknown","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","1920","1920","37650","34460"
"In post","2022","Analysis","AA/AO","Declared disabled","30","30","[c]","[c]"
"In post","2022","Analysis","AA/AO","Declared non-disabled","180","180","21760","21380"
"In post","2022","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Unknown","40","40","[c]","[c]"
"In post","2022","Analysis","EO","Declared disabled","80","70","27260","26820"
"In post","2022","Analysis","EO","Declared non-disabled","570","550","26910","26520"
"In post","2022","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Unknown","200","190","26380","26000"
"In post","2022","Analysis","G6/G7","Declared disabled","190","180","59730","57990"
"In post","2022","Analysis","G6/G7","Declared non-disabled","2000","1910","59110","57150"
"In post","2022","Analysis","G6/G7","Undeclared","100","90","60140","59730"
"In post","2022","Analysis","G6/G7","Unknown","530","510","57990","54170"
"In post","2022","Analysis","SCS","Declared disabled","[c]","[c]","[c]","[c]"
