"Status","Year","Responsibility_level","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Human Resources","Heterosexual / straight","910","830","21700","21130"
"In post","2021","AA/AO","Human Resources","LGBO","40","40","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Undeclared","120","110","21490","21140"
"In post","2021","AA/AO","Human Resources","Unknown","130","120","21430","20920"
"In post","2021","AA/AO","Intelligence Analysis","Heterosexual / straight","110","100","23050","21580"
"In post","2021","AA/AO","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Heterosexual / straight","250","230","22130","21130"
"In post","2021","AA/AO","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Undeclared","40","40","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Heterosexual / straight","190","170","21540","21440"
"In post","2021","AA/AO","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Unknown","90","80","21470","21240"
"In post","2021","AA/AO","Medicine","Heterosexual / straight","230","220","22430","22640"
"In post","2021","AA/AO","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Unknown","90","80","21050","21140"
"In post","2021","AA/AO","Operational Delivery","Heterosexual / straight","49420","44500","22960","21440"
"In post","2021","AA/AO","Operational Delivery","LGBO","2890","2760","23490","21590"
"In post","2021","AA/AO","Operational Delivery","Undeclared","7620","6630","22570","21440"
"In post","2021","AA/AO","Operational Delivery","Unknown","21010","18800","23020","21440"
"In post","2021","AA/AO","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Heterosexual / straight","5970","5680","21060","20920"
"In post","2021","AA/AO","Other","LGBO","180","170","20950","20920"
"In post","2021","AA/AO","Other","Undeclared","830","790","21130","21130"
"In post","2021","AA/AO","Other","Unknown","870","810","22720","20920"
"In post","2021","AA/AO","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Heterosexual / straight","570","540","23450","23510"
"In post","2021","AA/AO","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Undeclared","60","50","23690","23830"
"In post","2021","AA/AO","Policy","Unknown","140","140","23200","23090"
"In post","2021","AA/AO","Project Delivery","Heterosexual / straight","240","220","21790","21430"
"In post","2021","AA/AO","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Unknown","50","40","[c]","[c]"
"In post","2021","AA/AO","Property","Heterosexual / straight","670","640","19610","18800"
"In post","2021","AA/AO","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Undeclared","100","100","20130","20340"
"In post","2021","AA/AO","Property","Unknown","230","200","19550","18760"
"In post","2021","AA/AO","Psychology","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","AA/AO","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","Heterosexual / straight","940","900","21590","21580"
"In post","2021","AA/AO","Science and Engineering","LGBO","50","50","21470","21720"
"In post","2021","AA/AO","Science and Engineering","Undeclared","120","120","21690","21610"
"In post","2021","AA/AO","Science and Engineering","Unknown","290","280","22220","21710"
"In post","2021","AA/AO","Security","Heterosexual / straight","3840","3760","26050","21370"
"In post","2021","AA/AO","Security","LGBO","150","150","27180","25540"
"In post","2021","AA/AO","Security","Undeclared","580","570","29580","25680"
"In post","2021","AA/AO","Security","Unknown","850","840","28490","26610"
"In post","2021","AA/AO","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Heterosexual / straight","1230","1150","20300","20140"
"In post","2021","AA/AO","Tax","LGBO","140","130","20190","20140"
"In post","2021","AA/AO","Tax","Undeclared","100","90","20640","20140"
"In post","2021","AA/AO","Tax","Unknown","2320","2200","20240","20140"
"In post","2021","AA/AO","Unknown","Heterosexual / straight","20090","17610","21280","21010"
"In post","2021","AA/AO","Unknown","LGBO","1300","1230","21330","21010"
"In post","2021","AA/AO","Unknown","Undeclared","2740","2360","21220","21010"
"In post","2021","AA/AO","Unknown","Unknown","10220","8650","21360","21010"
"In post","2021","AA/AO","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Heterosexual / straight","510","490","25970","26400"
"In post","2021","EO","Commercial","LGBO","30","30","[c]","[c]"
"In post","2021","EO","Commercial","Undeclared","70","60","26510","26700"
"In post","2021","EO","Commercial","Unknown","100","100","25730","25890"
"In post","2021","EO","Communications","Heterosexual / straight","400","380","27420","26930"
"In post","2021","EO","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Undeclared","50","40","[c]","[c]"
"In post","2021","EO","Communications","Unknown","160","160","27450","27270"
"In post","2021","EO","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Heterosexual / straight","140","130","26450","25580"
"In post","2021","EO","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Heterosexual / straight","1340","1290","27550","26670"
"In post","2021","EO","Digital, Data and Technology","LGBO","90","80","26870","26350"
"In post","2021","EO","Digital, Data and Technology","Undeclared","240","230","28320","27940"
"In post","2021","EO","Digital, Data and Technology","Unknown","560","540","27110","26370"
"In post","2021","EO","Economics","Heterosexual / straight","70","70","27320","27680"
"In post","2021","EO","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Unknown","30","30","[c]","[c]"
"In post","2021","EO","Finance","Heterosexual / straight","1220","1160","26510","26670"
"In post","2021","EO","Finance","LGBO","40","40","[c]","[c]"
"In post","2021","EO","Finance","Undeclared","160","150","27300","26930"
"In post","2021","EO","Finance","Unknown","210","200","26470","26350"
"In post","2021","EO","Human Resources","Heterosexual / straight","1020","960","27040","26670"
"In post","2021","EO","Human Resources","LGBO","50","50","[c]","[c]"
"In post","2021","EO","Human Resources","Undeclared","120","110","28040","27380"
"In post","2021","EO","Human Resources","Unknown","200","190","27070","26930"
"In post","2021","EO","Intelligence Analysis","Heterosexual / straight","1180","1120","27730","27370"
"In post","2021","EO","Intelligence Analysis","LGBO","60","60","27270","26880"
"In post","2021","EO","Intelligence Analysis","Undeclared","200","190","28000","27370"
"In post","2021","EO","Intelligence Analysis","Unknown","120","120","28340","27380"
"In post","2021","EO","Internal Audit","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","EO","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Heterosexual / straight","60","60","26570","26250"
"In post","2021","EO","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Unknown","30","30","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Heterosexual / straight","330","320","26860","26670"
"In post","2021","EO","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Undeclared","70","70","27210","26670"
"In post","2021","EO","Knowledge and Information Management","Unknown","80","70","27030","26670"
"In post","2021","EO","Legal","Heterosexual / straight","1140","1100","27400","25820"
"In post","2021","EO","Legal","LGBO","80","80","28050","25560"
"In post","2021","EO","Legal","Undeclared","150","140","27730","27230"
"In post","2021","EO","Legal","Unknown","580","550","27230","25560"
"In post","2021","EO","Medicine","Heterosexual / straight","250","230","30510","30620"
"In post","2021","EO","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Unknown","50","50","30640","30620"
"In post","2021","EO","Operational Delivery","Heterosexual / straight","30010","27880","27600","26780"
"In post","2021","EO","Operational Delivery","LGBO","1530","1480","27530","26410"
"In post","2021","EO","Operational Delivery","Undeclared","5070","4600","27910","27230"
"In post","2021","EO","Operational Delivery","Unknown","8480","7880","28240","27130"
"In post","2021","EO","Operational Research","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","EO","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other","Heterosexual / straight","3800","3610","26220","26670"
"In post","2021","EO","Other","LGBO","170","160","26070","26670"
"In post","2021","EO","Other","Undeclared","530","500","26870","26670"
"In post","2021","EO","Other","Unknown","660","630","27200","27580"
"In post","2021","EO","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","Heterosexual / straight","1830","1770","28400","28670"
"In post","2021","EO","Policy","LGBO","150","150","27860","27850"
"In post","2021","EO","Policy","Undeclared","220","210","28580","28670"
"In post","2021","EO","Policy","Unknown","490","480","27940","27690"
"In post","2021","EO","Project Delivery","Heterosexual / straight","1450","1390","26530","26670"
"In post","2021","EO","Project Delivery","LGBO","80","70","25710","26350"
"In post","2021","EO","Project Delivery","Undeclared","150","140","27080","26670"
"In post","2021","EO","Project Delivery","Unknown","230","220","26530","26350"
"In post","2021","EO","Property","Heterosexual / straight","990","930","27050","26670"
"In post","2021","EO","Property","LGBO","50","50","[c]","[c]"
"In post","2021","EO","Property","Undeclared","150","140","27370","26670"
"In post","2021","EO","Property","Unknown","320","300","26870","26000"
"In post","2021","EO","Psychology","Heterosexual / straight","310","300","26590","26330"
"In post","2021","EO","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Psychology","Unknown","70","70","28410","27380"
"In post","2021","EO","Science and Engineering","Heterosexual / straight","1280","1250","25750","26370"
"In post","2021","EO","Science and Engineering","LGBO","90","80","26060","26370"
"In post","2021","EO","Science and Engineering","Undeclared","270","260","27340","27490"
"In post","2021","EO","Science and Engineering","Unknown","360","350","25150","25720"
"In post","2021","EO","Security","Heterosexual / straight","820","800","32550","28720"
"In post","2021","EO","Security","LGBO","40","40","[c]","[c]"
"In post","2021","EO","Security","Undeclared","120","110","37310","42660"
"In post","2021","EO","Security","Unknown","120","120","30170","26760"
"In post","2021","EO","Social Research","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","EO","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","Heterosexual / straight","160","150","28090","28410"
"In post","2021","EO","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","Unknown","50","40","[c]","[c]"
"In post","2021","EO","Tax","Heterosexual / straight","2050","1890","26640","25560"
"In post","2021","EO","Tax","LGBO","150","140","26100","25560"
"In post","2021","EO","Tax","Undeclared","280","250","27250","27230"
"In post","2021","EO","Tax","Unknown","1570","1490","26350","25560"
"In post","2021","EO","Unknown","Heterosexual / straight","34780","31850","28080","27570"
"In post","2021","EO","Unknown","LGBO","2270","2190","28070","27570"
"In post","2021","EO","Unknown","Undeclared","3980","3580","28040","27570"
"In post","2021","EO","Unknown","Unknown","12200","10840","28050","27570"
"In post","2021","EO","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","EO","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Heterosexual / straight","700","680","60090","57530"
"In post","2021","G6/G7","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Undeclared","80","80","61720","57860"
"In post","2021","G6/G7","Commercial","Unknown","220","210","54570","52340"
"In post","2021","G6/G7","Communications","Heterosexual / straight","600","580","58280","57270"
"In post","2021","G6/G7","Communications","LGBO","50","50","59100","57440"
"In post","2021","G6/G7","Communications","Undeclared","60","60","56100","55590"
"In post","2021","G6/G7","Communications","Unknown","230","220","57830","55210"
"In post","2021","G6/G7","Corporate Finance","Heterosexual / straight","60","60","57220","56350"
"In post","2021","G6/G7","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Heterosexual / straight","80","80","62080","59050"
"In post","2021","G6/G7","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Unknown","30","30","[c]","[c]"
"In post","2021","G6/G7","Digital, Data and Technology","Heterosexual / straight","2200","2160","58410","57280"
"In post","2021","G6/G7","Digital, Data and Technology","LGBO","130","130","58890","57430"
"In post","2021","G6/G7","Digital, Data and Technology","Undeclared","310","310","58970","57680"
"In post","2021","G6/G7","Digital, Data and Technology","Unknown","810","800","57790","55710"
"In post","2021","G6/G7","Economics","Heterosexual / straight","630","610","59730","58030"
"In post","2021","G6/G7","Economics","LGBO","50","50","58760","57940"
"In post","2021","G6/G7","Economics","Undeclared","70","70","60210","59540"
"In post","2021","G6/G7","Economics","Unknown","200","190","59150","57250"
"In post","2021","G6/G7","Finance","Heterosexual / straight","1540","1510","59220","58120"
"In post","2021","G6/G7","Finance","LGBO","80","80","58300","57460"
"In post","2021","G6/G7","Finance","Undeclared","220","210","59780","58390"
"In post","2021","G6/G7","Finance","Unknown","310","300","58100","55220"
"In post","2021","G6/G7","Human Resources","Heterosexual / straight","1310","1260","58420","57460"
"In post","2021","G6/G7","Human Resources","LGBO","90","90","58520","58590"
"In post","2021","G6/G7","Human Resources","Undeclared","90","90","58800","57190"
"In post","2021","G6/G7","Human Resources","Unknown","170","170","57110","55250"
"In post","2021","G6/G7","Inspector of Education and Training","Heterosexual / straight","430","420","75450","75500"
"In post","2021","G6/G7","Inspector of Education and Training","LGBO","40","40","[c]","[c]"
"In post","2021","G6/G7","Inspector of Education and Training","Undeclared","30","30","[c]","[c]"
"In post","2021","G6/G7","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Intelligence Analysis","Heterosexual / straight","240","230","58440","57860"
"In post","2021","G6/G7","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Intelligence Analysis","Undeclared","30","30","[c]","[c]"
"In post","2021","G6/G7","Intelligence Analysis","Unknown","130","120","58060","54010"
"In post","2021","G6/G7","Internal Audit","Heterosexual / straight","160","160","58510","56610"
"In post","2021","G6/G7","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","International Trade","Heterosexual / straight","350","350","55850","53550"
"In post","2021","G6/G7","International Trade","LGBO","40","40","[c]","[c]"
"In post","2021","G6/G7","International Trade","Undeclared","30","30","[c]","[c]"
"In post","2021","G6/G7","International Trade","Unknown","180","170","55180","52940"
"In post","2021","G6/G7","Knowledge and Information Management","Heterosexual / straight","280","260","57710","55550"
"In post","2021","G6/G7","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Knowledge and Information Management","Undeclared","50","50","58610","57370"
"In post","2021","G6/G7","Knowledge and Information Management","Unknown","70","60","55800","54740"
"In post","2021","G6/G7","Legal","Heterosexual / straight","3890","3610","58660","57000"
"In post","2021","G6/G7","Legal","LGBO","230","220","60150","58040"
"In post","2021","G6/G7","Legal","Undeclared","380","350","60990","60830"
"In post","2021","G6/G7","Legal","Unknown","1430","1300","60970","59930"
"In post","2021","G6/G7","Medicine","Heterosexual / straight","460","410","73960","74490"
"In post","2021","G6/G7","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Medicine","Undeclared","60","50","80490","83530"
"In post","2021","G6/G7","Medicine","Unknown","140","110","73060","76160"
"In post","2021","G6/G7","Operational Delivery","Heterosexual / straight","4600","4470","58750","56400"
"In post","2021","G6/G7","Operational Delivery","LGBO","260","250","59310","57430"
"In post","2021","G6/G7","Operational Delivery","Undeclared","660","640","59560","57460"
"In post","2021","G6/G7","Operational Delivery","Unknown","1030","1000","58200","55460"
"In post","2021","G6/G7","Operational Research","Heterosexual / straight","390","360","53910","52580"
"In post","2021","G6/G7","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Operational Research","Undeclared","40","40","[c]","[c]"
"In post","2021","G6/G7","Operational Research","Unknown","60","60","54730","55240"
"In post","2021","G6/G7","Other","Heterosexual / straight","1280","1250","62150","59650"
"In post","2021","G6/G7","Other","LGBO","70","60","59290","57460"
"In post","2021","G6/G7","Other","Undeclared","200","190","63650","60830"
"In post","2021","G6/G7","Other","Unknown","400","380","59640","57430"
"In post","2021","G6/G7","Planning","Heterosexual / straight","50","50","58470","57110"
"In post","2021","G6/G7","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Planning Inspectors","Heterosexual / straight","260","240","57660","58810"
"In post","2021","G6/G7","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Planning Inspectors","Undeclared","30","30","[c]","[c]"
"In post","2021","G6/G7","Planning Inspectors","Unknown","40","30","[c]","[c]"
"In post","2021","G6/G7","Policy","Heterosexual / straight","7660","7430","58610","57460"
"In post","2021","G6/G7","Policy","LGBO","780","770","57600","55430"
"In post","2021","G6/G7","Policy","Undeclared","1040","1010","58920","57460"
"In post","2021","G6/G7","Policy","Unknown","1900","1850","58080","55620"
"In post","2021","G6/G7","Project Delivery","Heterosexual / straight","3170","3100","56950","54940"
"In post","2021","G6/G7","Project Delivery","LGBO","160","160","56850","54650"
"In post","2021","G6/G7","Project Delivery","Undeclared","400","390","58310","56500"
"In post","2021","G6/G7","Project Delivery","Unknown","600","590","55600","53700"
"In post","2021","G6/G7","Property","Heterosexual / straight","850","830","58040","55930"
"In post","2021","G6/G7","Property","LGBO","30","30","[c]","[c]"
"In post","2021","G6/G7","Property","Undeclared","120","120","59000","57130"
"In post","2021","G6/G7","Property","Unknown","150","150","57860","55930"
"In post","2021","G6/G7","Psychology","Heterosexual / straight","90","90","64810","65520"
"In post","2021","G6/G7","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Science and Engineering","Heterosexual / straight","1820","1740","55760","54540"
"In post","2021","G6/G7","Science and Engineering","LGBO","70","70","57610","55930"
"In post","2021","G6/G7","Science and Engineering","Undeclared","350","330","56570","55240"
"In post","2021","G6/G7","Science and Engineering","Unknown","890","840","54910","53270"
"In post","2021","G6/G7","Security","Heterosexual / straight","230","230","59920","57460"
"In post","2021","G6/G7","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Security","Undeclared","40","40","[c]","[c]"
"In post","2021","G6/G7","Security","Unknown","60","60","58310","54810"
"In post","2021","G6/G7","Social Research","Heterosexual / straight","250","240","56190","56530"
"In post","2021","G6/G7","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Social Research","Unknown","30","30","[c]","[c]"
"In post","2021","G6/G7","Statistics","Heterosexual / straight","500","470","57310","57620"
"In post","2021","G6/G7","Statistics","LGBO","40","40","[c]","[c]"
"In post","2021","G6/G7","Statistics","Undeclared","40","40","[c]","[c]"
"In post","2021","G6/G7","Statistics","Unknown","90","90","55660","55070"
"In post","2021","G6/G7","Tax","Heterosexual / straight","1830","1750","56810","52580"
"In post","2021","G6/G7","Tax","LGBO","120","110","55100","52580"
"In post","2021","G6/G7","Tax","Undeclared","320","300","58110","53150"
"In post","2021","G6/G7","Tax","Unknown","450","430","56990","52580"
"In post","2021","G6/G7","Unknown","Heterosexual / straight","5990","5790","59280","57580"
"In post","2021","G6/G7","Unknown","LGBO","430","420","58770","56870"
"In post","2021","G6/G7","Unknown","Undeclared","580","560","59710","58020"
"In post","2021","G6/G7","Unknown","Unknown","2640","2560","60430","58450"
"In post","2021","G6/G7","Veterinarian","Heterosexual / straight","100","90","55610","54360"
"In post","2021","G6/G7","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Veterinarian","Undeclared","30","30","[c]","[c]"
"In post","2021","G6/G7","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Heterosexual / straight","70","70","90420","83090"
"In post","2021","SCS","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Heterosexual / straight","80","80","86670","81370"
"In post","2021","SCS","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Communications","Unknown","30","30","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Heterosexual / straight","170","160","92200","85350"
"In post","2021","SCS","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Digital, Data and Technology","Unknown","40","40","[c]","[c]"
"In post","2021","SCS","Economics","Heterosexual / straight","70","70","87430","81750"
"In post","2021","SCS","Economics","LGBO","[c]","[c]","[c]","[c]"
