"Status","Year","Profession_of_post","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Declared non-disabled","80","80","42320","40220"
"In post","2021","Communications","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Declared non-disabled","290","280","44550","41970"
"In post","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Declared non-disabled","100","100","45950","45740"
"In post","2021","Corporate Finance","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Declared disabled","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Declared non-disabled","430","410","41340","39490"
"In post","2021","Counter Fraud","Counter Fraud","Undeclared","60","60","38190","34450"
"In post","2021","Counter Fraud","Counter Fraud","Unknown","130","120","41020","35070"
"In post","2021","Counter Fraud","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Counter Fraud","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Declared non-disabled","150","140","26820","25310"
"In post","2021","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Declared non-disabled","180","180","42350","42220"
"In post","2021","Digital, Data and Technology","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Declared disabled","860","820","38380","35000"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Declared non-disabled","6540","6350","41580","38630"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Undeclared","580","570","40220","38100"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Unknown","2870","2820","40410","36840"
"In post","2021","Digital, Data and Technology","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Declared non-disabled","170","170","39960","36370"
"In post","2021","Digital, Data and Technology","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Declared disabled","50","50","37760","36640"
"In post","2021","Digital, Data and Technology","Project Delivery","Declared non-disabled","300","290","43730","43460"
"In post","2021","Digital, Data and Technology","Project Delivery","Undeclared","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Unknown","60","50","41410","38630"
"In post","2021","Digital, Data and Technology","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Declared disabled","90","90","50000","46280"
"In post","2021","Digital, Data and Technology","Unknown","Declared non-disabled","1120","1100","48080","44670"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","60","60","48220","45410"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","170","170","47830","44950"
"In post","2021","Economics","Analysis","Declared disabled","60","60","46070","41250"
"In post","2021","Economics","Analysis","Declared non-disabled","830","810","49140","49100"
"In post","2021","Economics","Analysis","Undeclared","90","90","44730","36120"
"In post","2021","Economics","Analysis","Unknown","300","290","39580","33880"
"In post","2021","Economics","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Unknown","70","60","40500","32970"
"In post","2021","Economics","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Declared non-disabled","360","350","47690","48240"
"In post","2021","Economics","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Unknown","70","70","49640","52290"
"In post","2021","Economics","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Declared non-disabled","50","50","54320","55620"
"In post","2021","Economics","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Unknown","50","40","[c]","[c]"
"In post","2021","Economics","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Declared non-disabled","130","130","48650","47000"
"In post","2021","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","60","60","43700","35340"
"In post","2021","Finance","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Finance","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Declared non-disabled","50","50","34410","31070"
"In post","2021","Finance","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Declared disabled","640","600","37540","33440"
"In post","2021","Finance","Finance","Declared non-disabled","5190","4930","40630","36820"
"In post","2021","Finance","Finance","Undeclared","430","410","38970","35300"
"In post","2021","Finance","Finance","Unknown","1300","1230","37750","33300"
"In post","2021","Finance","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Declared disabled","40","30","[c]","[c]"
"In post","2021","Finance","No function","Declared non-disabled","310","300","43870","37580"
"In post","2021","Finance","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Unknown","40","40","[c]","[c]"
"In post","2021","Finance","Project Delivery","Declared disabled","30","30","[c]","[c]"
"In post","2021","Finance","Project Delivery","Declared non-disabled","300","290","43020","39860"
"In post","2021","Finance","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Finance","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Declared non-disabled","540","510","44080","37660"
"In post","2021","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Human Resources","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Declared disabled","860","810","39540","35000"
"In post","2021","Human Resources","Human Resources","Declared non-disabled","4610","4370","38930","33930"
"In post","2021","Human Resources","Human Resources","Undeclared","370","350","38140","33630"
"In post","2021","Human Resources","Human Resources","Unknown","1090","1040","34680","31020"
"In post","2021","Human Resources","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Declared non-disabled","50","50","41640","36650"
"In post","2021","Human Resources","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Declared disabled","100","90","43670","37410"
"In post","2021","Human Resources","Unknown","Declared non-disabled","600","570","40800","36700"
"In post","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","50","50","37550","32820"
"In post","2021","Inspector of Education and Training","No function","Declared disabled","60","60","62000","64500"
"In post","2021","Inspector of Education and Training","No function","Declared non-disabled","720","700","67650","74730"
"In post","2021","Inspector of Education and Training","No function","Unknown","80","70","58960","51360"
"In post","2021","Intelligence Analysis","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Declared non-disabled","90","90","49540","49760"
"In post","2021","Intelligence Analysis","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Unknown","170","170","53890","53360"
"In post","2021","Intelligence Analysis","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Counter Fraud","Declared non-disabled","120","120","39760","36160"
"In post","2021","Intelligence Analysis","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Counter Fraud","Unknown","50","50","[c]","[c]"
"In post","2021","Intelligence Analysis","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","No function","Declared disabled","60","60","30910","28120"
"In post","2021","Intelligence Analysis","No function","Declared non-disabled","340","330","31640","28330"
"In post","2021","Intelligence Analysis","No function","Undeclared","80","80","30770","28400"
"In post","2021","Intelligence Analysis","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","Declared non-disabled","150","140","45110","38860"
"In post","2021","Intelligence Analysis","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Declared disabled","210","190","32340","30560"
"In post","2021","Intelligence Analysis","Unknown","Declared non-disabled","1700","1620","32130","29250"
"In post","2021","Intelligence Analysis","Unknown","Undeclared","170","160","33900","31420"
"In post","2021","Intelligence Analysis","Unknown","Unknown","160","160","35900","33300"
"In post","2021","Internal Audit","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Declared disabled","90","90","44070","40020"
"In post","2021","Internal Audit","Internal Audit","Declared non-disabled","560","530","46160","43250"
"In post","2021","Internal Audit","Internal Audit","Undeclared","60","50","49930","49540"
"In post","2021","Internal Audit","Internal Audit","Unknown","50","40","[c]","[c]"
"In post","2021","Internal Audit","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","No function","Declared disabled","100","100","46130","40840"
"In post","2021","International Trade","No function","Declared non-disabled","780","760","47850","44990"
"In post","2021","International Trade","No function","Undeclared","50","50","[c]","[c]"
"In post","2021","International Trade","No function","Unknown","540","530","45730","38630"
"In post","2021","International Trade","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Commercial","Declared disabled","100","100","34070","30870"
"In post","2021","Knowledge and Information Management","Commercial","Declared non-disabled","450","430","32500","29200"
"In post","2021","Knowledge and Information Management","Commercial","Undeclared","70","60","34750","33300"
"In post","2021","Knowledge and Information Management","Commercial","Unknown","70","70","37960","33300"
"In post","2021","Knowledge and Information Management","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","Declared non-disabled","100","100","37110","35230"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","No function","Declared disabled","80","80","35100","32720"
"In post","2021","Knowledge and Information Management","No function","Declared non-disabled","640","610","38280","35570"
"In post","2021","Knowledge and Information Management","No function","Undeclared","50","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","No function","Unknown","200","180","39890","37490"
"In post","2021","Knowledge and Information Management","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
