"Status","Year","Parent_department","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","20-29","60","60","36580","36230"
"In post","2021","Chancellor's other departments","Other","30-39","80","70","63520","65470"
"In post","2021","Chancellor's other departments","Other","40-49","70","70","74440","73600"
"In post","2021","Chancellor's other departments","Other","50-59","50","50","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","65+","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","20-29","30","30","[c]","[c]"
"In post","2021","Charity Commission","Unknown","30-39","50","50","[c]","[c]"
"In post","2021","Charity Commission","Unknown","40-49","60","60","33890","29160"
"In post","2021","Charity Commission","Unknown","50-59","60","60","34700","29160"
"In post","2021","Charity Commission","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","20-29","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","30-39","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","30-39","60","60","67620","71370"
"In post","2021","Competition and Markets Authority","Legal","40-49","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","20-29","60","60","35910","33610"
"In post","2021","Competition and Markets Authority","Project Delivery","30-39","120","120","58370","55930"
"In post","2021","Competition and Markets Authority","Project Delivery","40-49","100","100","71760","74480"
"In post","2021","Competition and Markets Authority","Project Delivery","50-59","90","80","69100","60850"
"In post","2021","Competition and Markets Authority","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","30-39","70","70","40700","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","40-49","80","80","45570","47960"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","50-59","60","60","46670","47960"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","20-29","50","50","38230","38620"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","30-39","100","90","46610","43750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","40-49","60","50","46420","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","50-59","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","30-39","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","40-49","80","80","38780","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","50-59","90","90","41230","39490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","60-64","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","20-29","140","140","30190","29910"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","30-39","260","250","38790","37120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","40-49","300","290","43930","40250"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","50-59","260","250","44550","41910"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","60-64","60","50","41700","41530"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","20-29","180","180","39270","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","30-39","60","60","59210","57970"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","40-49","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","65+","[c]","[c]","[c]","[c]"
