"Status","Year","Parent_department","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office","Black","Heterosexual / straight","230","230","42050","35590"
"In post","2021","Cabinet Office","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Heterosexual / straight","150","150","46320","40250"
"In post","2021","Cabinet Office","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Heterosexual / straight","50","50","46880","39020"
"In post","2021","Cabinet Office","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Undeclared","180","170","48680","43890"
"In post","2021","Cabinet Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Heterosexual / straight","50","50","58940","54700"
"In post","2021","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","3970","3920","44920","32000"
"In post","2021","Cabinet Office","White","Heterosexual / straight","3440","3340","48600","41820"
"In post","2021","Cabinet Office","White","LGBO","370","360","45140","40600"
"In post","2021","Cabinet Office","White","Undeclared","260","250","47400","40600"
"In post","2021","Cabinet Office","White","Unknown","100","100","59860","56720"
"In post","2021","Chancellor's other departments","Asian","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Heterosexual / straight","220","210","63560","53300"
"In post","2021","Chancellor's other departments","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Undeclared","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","80","80","36230","29160"
"In post","2021","Charity Commission","White","Heterosexual / straight","210","200","33920","29160"
"In post","2021","Charity Commission","White","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","White","Unknown","90","80","35270","30580"
"In post","2021","Competition and Markets Authority","Asian","Heterosexual / straight","100","90","45380","36990"
"In post","2021","Competition and Markets Authority","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Heterosexual / straight","490","470","64260","59940"
"In post","2021","Competition and Markets Authority","White","LGBO","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Undeclared","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Heterosexual / straight","580","560","40160","36120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Unknown","80","80","30630","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Heterosexual / straight","340","340","38740","35090"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Heterosexual / straight","190","190","45320","40470"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","LGBO","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Heterosexual / straight","70","60","45140","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Heterosexual / straight","70","70","41040","40140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Undeclared","380","360","47870","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Unknown","150","140","38190","38310"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","130","120","39080","36060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","2120","2050","35290","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Heterosexual / straight","5580","5330","43740","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","LGBO","570","570","43640","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Undeclared","430","400","43650","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Unknown","2100","1990","38970","39490"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Heterosexual / straight","110","110","46790","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Heterosexual / straight","80","80","40260","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Heterosexual / straight","60","60","44140","40570"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","190","190","47720","46050"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Heterosexual / straight","970","950","51080","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","White","LGBO","160","160","47150","44680"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Undeclared","60","60","48940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Asian","Heterosexual / straight","600","580","39350","36500"
"In post","2021","Department for Education","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Asian","Unknown","70","70","43040","40300"
"In post","2021","Department for Education","Black","Heterosexual / straight","240","240","39760","36780"
"In post","2021","Department for Education","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Heterosexual / straight","160","150","41950","40230"
"In post","2021","Department for Education","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Heterosexual / straight","50","50","41480","36500"
"In post","2021","Department for Education","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Undeclared","190","180","45090","41990"
"In post","2021","Department for Education","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2021","Department for Education","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","850","820","42450","37100"
"In post","2021","Department for Education","White","Heterosexual / straight","4340","4160","44620","40510"
"In post","2021","Department for Education","White","LGBO","370","370","43210","37100"
"In post","2021","Department for Education","White","Undeclared","270","260","44600","40780"
"In post","2021","Department for Education","White","Unknown","460","440","47490","49510"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Heterosexual / straight","300","300","37110","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Heterosexual / straight","180","180","35480","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Heterosexual / straight","150","140","38360","33790"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Heterosexual / straight","60","60","35480","32680"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Undeclared","300","290","36660","33800"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Unknown","90","80","31860","26520"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","70","60","38190","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Unknown","1790","1700","33990","29400"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Heterosexual / straight","6140","5820","37000","32770"
"In post","2021","Department for Environment, Food and Rural Affairs","White","LGBO","460","440","36530","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Undeclared","480","450","36420","33150"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Unknown","800","730","31910","29270"
"In post","2021","Department for International Trade","Asian","Heterosexual / straight","190","190","41790","38300"
"In post","2021","Department for International Trade","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Black","Heterosexual / straight","110","110","38500","36860"
"In post","2021","Department for International Trade","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Chinese","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","Heterosexual / straight","70","70","46800","43600"
"In post","2021","Department for International Trade","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Undeclared","60","60","44000","40050"
"In post","2021","Department for International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Unknown","730","730","44210","38540"
"In post","2021","Department for International Trade","White","Heterosexual / straight","1090","1070","47970","48840"
"In post","2021","Department for International Trade","White","LGBO","150","150","46960","41070"
"In post","2021","Department for International Trade","White","Undeclared","70","70","48680","51710"
"In post","2021","Department for International Trade","White","Unknown","50","50","[c]","[c]"
"In post","2021","Department for Transport","Asian","Heterosexual / straight","450","440","40890","35430"
"In post","2021","Department for Transport","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Asian","Undeclared","40","30","[c]","[c]"
"In post","2021","Department for Transport","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Black","Heterosexual / straight","210","200","38060","35430"
"In post","2021","Department for Transport","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Department for Transport","Chinese","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Heterosexual / straight","160","150","36040","33350"
"In post","2021","Department for Transport","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Heterosexual / straight","50","50","37810","34710"
"In post","2021","Department for Transport","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Heterosexual / straight","290","280","31560","27680"
