"Status","Year","Ethnicity","Age","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","50-59","Heterosexual / straight","4670","4410","34990","30600"
"In post","2022","Asian","50-59","LGBO","100","90","32400","27960"
"In post","2022","Asian","50-59","Undeclared","470","440","31830","29080"
"In post","2022","Asian","50-59","Unknown","820","740","32810","27570"
"In post","2022","Asian","60-64","Heterosexual / straight","1140","990","32850","29080"
"In post","2022","Asian","60-64","LGBO","40","40","[c]","[c]"
"In post","2022","Asian","60-64","Undeclared","180","150","29280","27570"
"In post","2022","Asian","60-64","Unknown","250","210","31250","27570"
"In post","2022","Asian","65+","Heterosexual / straight","500","400","31030","27570"
"In post","2022","Asian","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","65+","Undeclared","100","70","27830","26400"
"In post","2022","Asian","65+","Unknown","140","110","32200","26400"
"In post","2022","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","20-29","Heterosexual / straight","2130","2100","30480","29300"
"In post","2022","Black","20-29","LGBO","90","90","31820","30520"
"In post","2022","Black","20-29","Undeclared","80","80","30080","28670"
"In post","2022","Black","20-29","Unknown","70","70","31670","30100"
"In post","2022","Black","30-39","Heterosexual / straight","3160","3060","33280","31060"
"In post","2022","Black","30-39","LGBO","90","80","35960","31060"
"In post","2022","Black","30-39","Undeclared","120","110","35820","32330"
"In post","2022","Black","30-39","Unknown","170","150","32200","31060"
"In post","2022","Black","40-49","Heterosexual / straight","3360","3240","34790","31060"
"In post","2022","Black","40-49","LGBO","60","60","36130","31060"
"In post","2022","Black","40-49","Undeclared","160","150","34900","31060"
"In post","2022","Black","40-49","Unknown","260","240","34880","31060"
"In post","2022","Black","50-59","Heterosexual / straight","4450","4310","34530","31060"
"In post","2022","Black","50-59","LGBO","90","80","36870","30330"
"In post","2022","Black","50-59","Undeclared","340","320","32580","30370"
"In post","2022","Black","50-59","Unknown","630","600","32840","31060"
"In post","2022","Black","60-64","Heterosexual / straight","1120","1040","31950","29470"
"In post","2022","Black","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","60-64","Undeclared","90","80","29410","27570"
"In post","2022","Black","60-64","Unknown","200","170","31310","28210"
"In post","2022","Black","65+","Heterosexual / straight","300","270","30240","27220"
"In post","2022","Black","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","65+","Undeclared","30","30","[c]","[c]"
"In post","2022","Black","65+","Unknown","70","50","31600","28410"
"In post","2022","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","20-29","Heterosexual / straight","1900","1860","31140","29000"
"In post","2022","Mixed","20-29","LGBO","300","300","31420","28690"
"In post","2022","Mixed","20-29","Undeclared","160","150","32160","30750"
"In post","2022","Mixed","20-29","Unknown","80","80","31970","29260"
"In post","2022","Mixed","30-39","Heterosexual / straight","2080","1990","37240","33080"
"In post","2022","Mixed","30-39","LGBO","240","240","38160","34260"
"In post","2022","Mixed","30-39","Undeclared","160","150","35480","31540"
"In post","2022","Mixed","30-39","Unknown","130","130","36870","33370"
"In post","2022","Mixed","40-49","Heterosexual / straight","1500","1410","39280","34260"
"In post","2022","Mixed","40-49","LGBO","150","140","41830","36010"
"In post","2022","Mixed","40-49","Undeclared","120","110","38170","31650"
"In post","2022","Mixed","40-49","Unknown","150","140","37610","31740"
"In post","2022","Mixed","50-59","Heterosexual / straight","1250","1190","36910","31990"
"In post","2022","Mixed","50-59","LGBO","100","90","35940","31650"
"In post","2022","Mixed","50-59","Undeclared","160","140","36140","31020"
"In post","2022","Mixed","50-59","Unknown","150","140","36670","30110"
"In post","2022","Mixed","60-64","Heterosexual / straight","290","260","34680","28920"
"In post","2022","Mixed","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","60-64","Undeclared","50","40","[c]","[c]"
"In post","2022","Mixed","60-64","Unknown","40","30","[c]","[c]"
"In post","2022","Mixed","65+","Heterosexual / straight","100","80","32460","27570"
"In post","2022","Mixed","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","16-19","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","20-29","Heterosexual / straight","420","410","31550","30270"
"In post","2022","Other ethnicity","20-29","LGBO","50","50","32440","31060"
"In post","2022","Other ethnicity","20-29","Undeclared","40","30","[c]","[c]"
"In post","2022","Other ethnicity","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","30-39","Heterosexual / straight","500","490","37610","33550"
"In post","2022","Other ethnicity","30-39","LGBO","50","50","39160","33560"
"In post","2022","Other ethnicity","30-39","Undeclared","40","40","[c]","[c]"
"In post","2022","Other ethnicity","30-39","Unknown","30","30","[c]","[c]"
"In post","2022","Other ethnicity","40-49","Heterosexual / straight","450","420","37410","32890"
"In post","2022","Other ethnicity","40-49","LGBO","50","50","[c]","[c]"
"In post","2022","Other ethnicity","40-49","Undeclared","70","70","46040","40050"
"In post","2022","Other ethnicity","40-49","Unknown","70","60","38480","31880"
"In post","2022","Other ethnicity","50-59","Heterosexual / straight","400","390","36830","31880"
"In post","2022","Other ethnicity","50-59","LGBO","40","40","[c]","[c]"
"In post","2022","Other ethnicity","50-59","Undeclared","90","80","38160","32010"
"In post","2022","Other ethnicity","50-59","Unknown","90","80","38380","31880"
"In post","2022","Other ethnicity","60-64","Heterosexual / straight","100","90","36490","31400"
"In post","2022","Other ethnicity","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","60-64","Undeclared","30","30","[c]","[c]"
"In post","2022","Other ethnicity","60-64","Unknown","40","30","[c]","[c]"
"In post","2022","Other ethnicity","65+","Heterosexual / straight","50","40","[c]","[c]"
"In post","2022","Other ethnicity","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Heterosexual / straight","280","270","30220","27950"
"In post","2022","Undeclared","20-29","LGBO","30","30","[c]","[c]"
"In post","2022","Undeclared","20-29","Undeclared","910","900","32180","30640"
"In post","2022","Undeclared","20-29","Unknown","130","120","32860","31960"
"In post","2022","Undeclared","30-39","Heterosexual / straight","640","610","34470","31020"
"In post","2022","Undeclared","30-39","LGBO","80","80","32140","28750"
"In post","2022","Undeclared","30-39","Undeclared","2230","2170","37270","33370"
"In post","2022","Undeclared","30-39","Unknown","500","460","35420","33330"
"In post","2022","Undeclared","40-49","Heterosexual / straight","700","670","34550","30830"
"In post","2022","Undeclared","40-49","LGBO","60","60","39300","33900"
"In post","2022","Undeclared","40-49","Undeclared","3170","3040","37840","33370"
"In post","2022","Undeclared","40-49","Unknown","890","830","34920","31060"
"In post","2022","Undeclared","50-59","Heterosexual / straight","1050","1010","34740","30740"
"In post","2022","Undeclared","50-59","LGBO","90","80","35380","31650"
"In post","2022","Undeclared","50-59","Undeclared","4950","4720","36300","33000"
"In post","2022","Undeclared","50-59","Unknown","1580","1430","32910","28920"
"In post","2022","Undeclared","60-64","Heterosexual / straight","290","250","30210","27570"
"In post","2022","Undeclared","60-64","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Undeclared","1380","1160","34410","30720"
"In post","2022","Undeclared","60-64","Unknown","490","390","32860","27570"
"In post","2022","Undeclared","65+","Heterosexual / straight","90","70","29760","27570"
"In post","2022","Undeclared","65+","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Undeclared","430","330","34510","29270"
"In post","2022","Undeclared","65+","Unknown","180","130","30890","27570"
"In post","2022","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Unknown","490","470","21470","21250"
"In post","2022","Unknown","20-29","Heterosexual / straight","500","490","29460","27570"
"In post","2022","Unknown","20-29","LGBO","60","50","31440","28990"
"In post","2022","Unknown","20-29","Undeclared","600","590","36080","32790"
"In post","2022","Unknown","20-29","Unknown","20120","19830","28720","26820"
"In post","2022","Unknown","30-39","Heterosexual / straight","810","760","34880","31540"
"In post","2022","Unknown","30-39","LGBO","70","70","35490","31240"
"In post","2022","Unknown","30-39","Undeclared","640","620","42710","40650"
"In post","2022","Unknown","30-39","Unknown","17640","16900","34060","30210"
"In post","2022","Unknown","40-49","Heterosexual / straight","770","720","37530","33290"
"In post","2022","Unknown","40-49","LGBO","50","50","46620","37930"
"In post","2022","Unknown","40-49","Undeclared","540","500","44900","40700"
"In post","2022","Unknown","40-49","Unknown","12300","11630","37160","31060"
