"Status","Year","Responsibility_level","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Debt","Tax","940","910","20280","20140"
"In post","2021","AA/AO","Debt","Unknown","70","60","20480","20140"
"In post","2021","AA/AO","Digital, Data & Technology","Digital, Data and Technology","400","380","21820","21440"
"In post","2021","AA/AO","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Finance","1060","890","21310","21170"
"In post","2021","AA/AO","Finance","Operational Delivery","360","310","20570","20140"
"In post","2021","AA/AO","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Grants Management","Operational Delivery","950","860","21010","21050"
"In post","2021","AA/AO","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Human Resources","1120","1020","21530","21130"
"In post","2021","AA/AO","Human Resources","Operational Delivery","280","240","20980","21400"
"In post","2021","AA/AO","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Unknown","210","190","20850","20800"
"In post","2021","AA/AO","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Legal","40","40","[c]","[c]"
"In post","2021","AA/AO","Legal","Operational Delivery","2480","2230","22030","21950"
"In post","2021","AA/AO","Legal","Other","40","40","[c]","[c]"
"In post","2021","AA/AO","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Knowledge and Information Management","100","90","22100","22000"
"In post","2021","AA/AO","No function","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Operational Delivery","64200","57880","23290","21590"
"In post","2021","AA/AO","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Other","480","430","23680","21160"
"In post","2021","AA/AO","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Policy","500","470","23910","23500"
"In post","2021","AA/AO","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Psychology","70","60","21260","20890"
"In post","2021","AA/AO","No function","Science and Engineering","710","670","22000","21580"
"In post","2021","AA/AO","No function","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","No function","Tax","2770","2590","20240","20140"
"In post","2021","AA/AO","No function","Unknown","1580","1490","20600","20140"
"In post","2021","AA/AO","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Operational Delivery","160","140","21430","21400"
"In post","2021","AA/AO","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Project Delivery","290","270","21690","21130"
"In post","2021","AA/AO","Project Delivery","Science and Engineering","60","60","19270","19810"
"In post","2021","AA/AO","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Unknown","90","80","23090","22920"
"In post","2021","AA/AO","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Operational Delivery","780","710","21000","21100"
"In post","2021","AA/AO","Property","Other","170","170","25520","27450"
"In post","2021","AA/AO","Property","Property","1000","940","19590","18800"
"In post","2021","AA/AO","Property","Unknown","400","390","25540","26530"
"In post","2021","AA/AO","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Security","5260","5160","26980","22650"
"In post","2021","AA/AO","Security","Unknown","240","220","20930","20920"
"In post","2021","AA/AO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Counter Fraud","40","40","[c]","[c]"
"In post","2021","AA/AO","Unknown","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Finance","70","60","23210","23830"
"In post","2021","AA/AO","Unknown","Human Resources","80","80","23520","23830"
"In post","2021","AA/AO","Unknown","Intelligence Analysis","100","90","23380","21860"
"In post","2021","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","AA/AO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Medicine","340","320","22110","22640"
"In post","2021","AA/AO","Unknown","Operational Delivery","8440","7460","22020","21430"
"In post","2021","AA/AO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Other","7110","6790","20960","20920"
"In post","2021","AA/AO","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Policy","270","260","22650","23830"
"In post","2021","AA/AO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Science and Engineering","590","580","21710","22080"
"In post","2021","AA/AO","Unknown","Security","150","150","22320","22210"
"In post","2021","AA/AO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Unknown","31670","27330","21290","21010"
"In post","2021","EO","Analysis","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","EO","Analysis","Economics","90","90","27180","27680"
"In post","2021","EO","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Operational Delivery","180","160","24920","24240"
"In post","2021","EO","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Science and Engineering","100","90","25200","24920"
"In post","2021","EO","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Statistics","200","200","27320","27200"
"In post","2021","EO","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","EO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Commercial","540","520","26660","26670"
"In post","2021","EO","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Knowledge and Information Management","180","170","27770","26670"
"In post","2021","EO","Commercial","Operational Delivery","70","60","26710","26410"
"In post","2021","EO","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Unknown","30","30","[c]","[c]"
"In post","2021","EO","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Communications","560","540","27400","26970"
"In post","2021","EO","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Operational Delivery","590","560","25880","25560"
"In post","2021","EO","Communications","Other","170","160","20650","19600"
"In post","2021","EO","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Tax","1590","1530","25660","25560"
"In post","2021","EO","Communications","Unknown","290","280","26000","25560"
"In post","2021","EO","Counter Fraud","Counter Fraud","80","80","27390","26780"
"In post","2021","EO","Counter Fraud","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","EO","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Legal","1560","1490","27190","25560"
"In post","2021","EO","Counter Fraud","Operational Delivery","1120","1040","26560","25560"
"In post","2021","EO","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Other","100","90","27650","27310"
"In post","2021","EO","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Tax","440","410","27190","25560"
"In post","2021","EO","Counter Fraud","Unknown","70","70","26750","25560"
"In post","2021","EO","Debt","Operational Delivery","890","810","26900","25560"
"In post","2021","EO","Debt","Tax","50","50","[c]","[c]"
"In post","2021","EO","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Digital, Data and Technology","1950","1880","27620","26710"
"In post","2021","EO","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Operational Delivery","100","100","25910","25560"
"In post","2021","EO","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Unknown","130","120","27100","27500"
"In post","2021","EO","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Finance","1390","1320","26520","26670"
"In post","2021","EO","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Operational Delivery","180","170","26350","25560"
"In post","2021","EO","Finance","Other","40","30","[c]","[c]"
"In post","2021","EO","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Unknown","40","40","[c]","[c]"
"In post","2021","EO","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Grants Management","Operational Delivery","540","500","25510","25190"
"In post","2021","EO","Human Resources","Human Resources","1210","1140","26920","26670"
"In post","2021","EO","Human Resources","Operational Delivery","220","210","25840","25560"
"In post","2021","EO","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Tax","60","50","26750","25560"
"In post","2021","EO","Human Resources","Unknown","250","240","26410","25760"
"In post","2021","EO","Internal Audit","Internal Audit","50","50","[c]","[c]"
"In post","2021","EO","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Legal","370","360","28330","27130"
"In post","2021","EO","Legal","Operational Delivery","1810","1660","28070","28430"
"In post","2021","EO","Legal","Other","210","200","27500","27350"
"In post","2021","EO","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Digital, Data and Technology","50","40","[c]","[c]"
"In post","2021","EO","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Finance","40","40","[c]","[c]"
"In post","2021","EO","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Intelligence Analysis","350","340","28700","27380"
"In post","2021","EO","No function","International Trade","100","100","26890","26510"
"In post","2021","EO","No function","Knowledge and Information Management","210","200","26510","26210"
"In post","2021","EO","No function","Operational Delivery","25950","24260","28440","27130"
"In post","2021","EO","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Other","580","560","27890","26780"
"In post","2021","EO","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Policy","1860","1820","28230","27850"
"In post","2021","EO","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Psychology","420","410","26890","26330"
"In post","2021","EO","No function","Science and Engineering","690","670","26640","26880"
"In post","2021","EO","No function","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","EO","No function","Tax","1850","1670","27130","25560"
"In post","2021","EO","No function","Unknown","860","840","26450","25560"
"In post","2021","EO","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Commercial","120","120","22680","22900"
"In post","2021","EO","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","EO","Project Delivery","Finance","40","40","[c]","[c]"
"In post","2021","EO","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Operational Delivery","510","460","25730","25560"
"In post","2021","EO","Project Delivery","Other","1110","1050","21730","20770"
"In post","2021","EO","Project Delivery","Policy","90","90","27980","27680"
"In post","2021","EO","Project Delivery","Project Delivery","1720","1650","26480","26670"
"In post","2021","EO","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Science and Engineering","760","750","24530","26070"
"In post","2021","EO","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Tax","30","30","[c]","[c]"
"In post","2021","EO","Project Delivery","Unknown","90","90","29510","29140"
"In post","2021","EO","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Operational Delivery","230","210","25960","25860"
"In post","2021","EO","Property","Other","50","50","27720","28410"
"In post","2021","EO","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Property","1430","1340","27040","26560"
"In post","2021","EO","Property","Unknown","220","210","31720","30160"
"In post","2021","EO","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Security","1010","990","33210","29250"
"In post","2021","EO","Security","Unknown","140","140","26580","26670"
"In post","2021","EO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Communications","40","40","[c]","[c]"
"In post","2021","EO","Unknown","Counter Fraud","100","90","25990","25310"
"In post","2021","EO","Unknown","Digital, Data and Technology","130","130","27910","28850"
"In post","2021","EO","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Finance","120","110","28460","28850"
"In post","2021","EO","Unknown","Human Resources","150","140","28920","28850"
"In post","2021","EO","Unknown","Intelligence Analysis","1150","1090","27470","27370"
"In post","2021","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","EO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Medicine","320","290","30650","30620"
"In post","2021","EO","Unknown","Operational Delivery","12690","11650","26890","26070"
"In post","2021","EO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Other","2830","2710","28180","26930"
"In post","2021","EO","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Policy","670","650","28590","28850"
"In post","2021","EO","Unknown","Project Delivery","150","140","27620","28670"
"In post","2021","EO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Science and Engineering","420","410","27150","26670"
"In post","2021","EO","Unknown","Security","70","60","28380","28850"
"In post","2021","EO","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Statistics","50","40","[c]","[c]"
"In post","2021","EO","Unknown","Unknown","51050","46330","28110","27570"
"In post","2021","G6/G7","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Digital, Data and Technology","70","60","56590","54160"
"In post","2021","G6/G7","Analysis","Economics","510","490","59910","58130"
"In post","2021","G6/G7","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Intelligence Analysis","200","200","57990","54320"
"In post","2021","G6/G7","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Operational Delivery","60","50","53880","49410"
"In post","2021","G6/G7","Analysis","Operational Research","280","260","55120","56350"
"In post","2021","G6/G7","Analysis","Other","120","110","84100","79450"
"In post","2021","G6/G7","Analysis","Policy","130","120","57560","54400"
"In post","2021","G6/G7","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Science and Engineering","150","140","52950","48080"
"In post","2021","G6/G7","Analysis","Social Research","260","240","55560","54780"
"In post","2021","G6/G7","Analysis","Statistics","570","550","56830","57110"
"In post","2021","G6/G7","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Analysis","Unknown","30","30","[c]","[c]"
"In post","2021","G6/G7","Commercial","Commercial","720","700","59350","56950"
"In post","2021","G6/G7","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","G6/G7","Commercial","Operational Delivery","90","90","64410","60930"
"In post","2021","G6/G7","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Unknown","790","780","63300","56860"
"In post","2021","G6/G7","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Communications","810","780","58100","56090"
"In post","2021","G6/G7","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Operational Delivery","60","60","55420","52580"
"In post","2021","G6/G7","Communications","Other","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Unknown","150","150","59090","57670"
"In post","2021","G6/G7","Counter Fraud","Counter Fraud","110","110","61840","58940"
"In post","2021","G6/G7","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Legal","140","140","56640","59160"
"In post","2021","G6/G7","Counter Fraud","Operational Delivery","150","140","55780","52580"
"In post","2021","G6/G7","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Other","90","90","57560","55110"
"In post","2021","G6/G7","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Tax","510","490","57320","52580"
"In post","2021","G6/G7","Counter Fraud","Unknown","50","50","58400","58120"
"In post","2021","G6/G7","Debt","Operational Delivery","40","40","[c]","[c]"
"In post","2021","G6/G7","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data & Technology","Digital, Data and Technology","2680","2630","57610","55190"
"In post","2021","G6/G7","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
