"Status","Year","Profession_of_post","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Debt Management Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Dorset and Somerset","30","30","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Gloucestershire, Wiltshire and Bath/Bristol area","820","790","39670","35270"
"In post","2021","Commercial","Defence Equipment and Support","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Greater Manchester","60","60","38360","36780"
"In post","2021","Commercial","Department for Education (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","South Yorkshire","50","50","38610","38000"
"In post","2021","Commercial","Department for Education (excl. agencies)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Inner London - West","90","90","51000","54110"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Inner London - West","110","100","55070","53360"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","West Yorkshire","80","80","41890","36820"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","West Wales and The Valleys","160","140","32760","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Greater Manchester","30","30","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Tees Valley and Durham","30","30","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","West Midlands","30","30","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Berkshire, Buckinghamshire and Oxfordshire","70","70","43520","40850"
"In post","2021","Commercial","FCDO Services","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Southern Scotland","70","70","40370","39630"
"In post","2021","Commercial","Government Internal Audit Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","East Anglia","50","50","46320","46600"
"In post","2021","Commercial","HM Prison and Probation Service","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Inner London - West","120","110","55410","53670"
"In post","2021","Commercial","HM Prison and Probation Service","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Leicestershire, Rutland and Northamptonshire","40","40","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Outer London - South","100","100","44710","44570"
"In post","2021","Commercial","HM Prison and Probation Service","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Shropshire and Staffordshire","30","30","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Greater Manchester","50","50","38760","38630"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Outer London - South","40","40","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Medicines and Healthcare Products Regulatory Agency","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Devon","180","170","43020","40140"
"In post","2021","Commercial","Met Office","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","70","60","36070","35300"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","East Anglia","40","40","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","350","330","36620","34800"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Hampshire and Isle of Wight","150","140","34320","34500"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Inner London - West","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Overseas","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Shropshire and Staffordshire","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","West Central Scotland","90","80","34770","33300"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of the Public Guardian","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Eastern Scotland","60","60","31730","25870"
"In post","2021","Commercial","Scottish Prison Service","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Serious Fraud Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Gloucestershire, Wiltshire and Bath/Bristol area","110","110","40190","38240"
