"Status","Year","Ethnicity","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Project Delivery","50","50","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","No function","540","520","38320","33640"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","No function","60","60","43730","38520"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Analysis","30","30","[c]","[c]"
"In post","2021","Asian","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Digital, Data & Technology","70","70","36980","36500"
"In post","2021","Asian","Department for Education","Finance","70","70","36520","33880"
"In post","2021","Asian","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","No function","380","370","39390","36780"
"In post","2021","Asian","Department for Education","Project Delivery","40","40","[c]","[c]"
"In post","2021","Asian","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","50","50","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","No function","190","190","37030","32630"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","No function","130","130","43110","38540"
"In post","2021","Asian","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Finance","30","30","[c]","[c]"
"In post","2021","Asian","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","No function","370","360","39580","34710"
"In post","2021","Asian","Department for Transport","Project Delivery","40","40","[c]","[c]"
"In post","2021","Asian","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","No function","50","50","49160","43740"
"In post","2021","Asian","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Unknown","7340","6620","27750","27570"
"In post","2021","Asian","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Digital, Data & Technology","60","50","44580","41010"
"In post","2021","Asian","Department of Health and Social Care","Finance","60","60","38790","36820"
"In post","2021","Asian","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","No function","750","690","42540","32790"
"In post","2021","Asian","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Unknown","220","210","41930","33460"
"In post","2021","Asian","ESTYN","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","No function","40","40","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","No function","230","230","41150","35700"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Project Delivery","110","100","50080","52720"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","No function","160","150","27130","27130"
"In post","2021","Asian","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Analysis","70","70","40580","36350"
"In post","2021","Asian","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Communications","280","270","28660","25560"
"In post","2021","Asian","HM Revenue and Customs","Counter Fraud","570","550","31870","29570"
"In post","2021","Asian","HM Revenue and Customs","Debt","350","300","23540","24120"
"In post","2021","Asian","HM Revenue and Customs","Digital, Data & Technology","160","160","38970","32340"
"In post","2021","Asian","HM Revenue and Customs","Finance","170","160","33280","29570"
"In post","2021","Asian","HM Revenue and Customs","Human Resources","80","80","34760","31810"
"In post","2021","Asian","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Legal","120","110","35360","31810"
"In post","2021","Asian","HM Revenue and Customs","No function","2100","1940","28980","25560"
"In post","2021","Asian","HM Revenue and Customs","Project Delivery","270","270","42450","38630"
"In post","2021","Asian","HM Revenue and Customs","Property","180","170","31940","29450"
"In post","2021","Asian","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Internal Audit","50","50","[c]","[c]"
"In post","2021","Asian","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","No function","140","140","43500","37900"
"In post","2021","Asian","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Unknown","4500","4160","31280","28810"
"In post","2021","Asian","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Commercial","60","50","36540","34320"
"In post","2021","Asian","Ministry of Defence","Communications","70","60","27410","21950"
"In post","2021","Asian","Ministry of Defence","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Finance","100","100","37100","33630"
"In post","2021","Asian","Ministry of Defence","Human Resources","70","60","31220","26670"
"In post","2021","Asian","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","No function","50","50","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Project Delivery","410","400","37770","35980"
"In post","2021","Asian","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Security","110","110","26490","21150"
"In post","2021","Asian","Ministry of Defence","Unknown","410","400","32880","26670"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","No function","160","160","39690","34610"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Analysis","40","40","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Commercial","60","60","38430","34360"
"In post","2021","Asian","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Digital, Data & Technology","100","90","44940","40880"
"In post","2021","Asian","Ministry of Justice","Finance","90","90","39090","36800"
"In post","2021","Asian","Ministry of Justice","Human Resources","60","60","35710","31340"
"In post","2021","Asian","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Legal","140","130","39640","40760"
"In post","2021","Asian","Ministry of Justice","No function","3310","3050","26390","23270"
"In post","2021","Asian","Ministry of Justice","Project Delivery","70","70","37780","35290"
"In post","2021","Asian","Ministry of Justice","Property","30","30","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","No function","190","190","35800","36200"
"In post","2021","Asian","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","No function","60","60","40960","35010"
"In post","2021","Asian","Office for Standards in Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","No function","70","70","40630","36290"
"In post","2021","Asian","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Legal","[c]","[c]","[c]","[c]"
