"Status","Year","Parent_department","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Unknown","Government Actuary's Department","50","40","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Charity Commission","220","210","35240","29160"
"In post","2021","Charity Commission","Unknown","Charity Commission","200","190","34510","29400"
"In post","2021","Competition and Markets Authority","Declared disabled","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Competition and Markets Authority","710","690","59490","56360"
"In post","2021","Competition and Markets Authority","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Competition and Markets Authority","80","70","72500","74650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Advisory, Conciliation and Arbitration Service","110","100","31240","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Companies House","70","60","31950","25100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","470","460","46860","40620"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Insolvency Service","180","170","32860","29940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","Met Office","100","100","36210","33860"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","UK Intellectual Property Office","80","70","37670","37140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Advisory, Conciliation and Arbitration Service","220","210","33990","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Companies House","670","630","32040","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","3690","3600","50020","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Insolvency Service","1080","1020","34600","32060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Met Office","2000","1910","40290","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","UK Intellectual Property Office","1040","970","39780","39120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Declared non-disabled","UK Space Agency","130","120","48490","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Companies House","70","60","30000","25460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","280","270","50500","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Insolvency Service","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Advisory, Conciliation and Arbitration Service","710","660","33090","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Companies House","290","260","27770","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","890","880","44800","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Insolvency Service","520","510","28360","23560"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","UK Intellectual Property Office","400","390","32570","26860"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","UK Space Agency","100","100","45250","40220"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared disabled","Department for Digital, Culture, Media and Sport","120","110","47040","39280"
"In post","2021","Department for Digital, Culture, Media and Sport","Declared non-disabled","Department for Digital, Culture, Media and Sport","1330","1300","49620","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Department for Digital, Culture, Media and Sport","70","70","46060","51440"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Department for Digital, Culture, Media and Sport","260","260","48520","51610"
"In post","2021","Department for Education","Declared disabled","Department for Education (excl. agencies)","520","500","41820","37100"
"In post","2021","Department for Education","Declared disabled","Education and Skills Funding Agency","160","150","39590","36960"
"In post","2021","Department for Education","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Declared non-disabled","Department for Education (excl. agencies)","3860","3700","45890","42660"
"In post","2021","Department for Education","Declared non-disabled","Education and Skills Funding Agency","1390","1350","42730","37100"
"In post","2021","Department for Education","Declared non-disabled","Institute for Apprenticeships and Technical Education","190","180","48750","50260"
"In post","2021","Department for Education","Declared non-disabled","Standards and Testing Agency","100","90","43110","41690"
"In post","2021","Department for Education","Declared non-disabled","Teaching Regulation Agency","50","50","32530","29550"
"In post","2021","Department for Education","Undeclared","Department for Education (excl. agencies)","270","260","44800","40300"
"In post","2021","Department for Education","Undeclared","Education and Skills Funding Agency","80","80","40810","36780"
"In post","2021","Department for Education","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Department for Education (excl. agencies)","1050","1030","39990","36500"
"In post","2021","Department for Education","Unknown","Education and Skills Funding Agency","190","180","37980","36500"
"In post","2021","Department for Education","Unknown","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Animal and Plant Health Agency","350","330","28410","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","590","570","40420","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Rural Payments Agency","180","160","26230","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Animal and Plant Health Agency","2000","1890","31120","28030"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","400","380","32850","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","3770","3630","42700","38640"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Rural Payments Agency","1940","1770","26500","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Declared non-disabled","Veterinary Medicines Directorate","140","140","42880","38790"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Animal and Plant Health Agency","140","130","31510","28740"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","220","210","41230","37240"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Rural Payments Agency","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Animal and Plant Health Agency","190","170","29270","25330"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Centre for Environment, Fisheries and Aquaculture Science","180","160","37780","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","830","790","43190","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Declared disabled","Department for International Trade","200","200","45110","39200"
"In post","2021","Department for International Trade","Declared non-disabled","Department for International Trade","1410","1400","46700","41160"
"In post","2021","Department for International Trade","Undeclared","Department for International Trade","70","70","47320","51710"
"In post","2021","Department for International Trade","Unknown","Department for International Trade","1000","990","44640","38540"
"In post","2021","Department for Transport","Declared disabled","Department for Transport (excl. agencies)","200","190","45810","43360"
"In post","2021","Department for Transport","Declared disabled","Driver and Vehicle Licensing Agency","660","540","24060","21590"
"In post","2021","Department for Transport","Declared disabled","Driver and Vehicle Standards Agency","450","420","29260","26780"
"In post","2021","Department for Transport","Declared disabled","Maritime and Coastguard Agency","70","60","34190","30730"
"In post","2021","Department for Transport","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Declared non-disabled","Department for Transport (excl. agencies)","2360","2290","49650","45130"
"In post","2021","Department for Transport","Declared non-disabled","Driver and Vehicle Licensing Agency","4430","3930","26540","21590"
"In post","2021","Department for Transport","Declared non-disabled","Driver and Vehicle Standards Agency","3250","3040","30110","27680"
"In post","2021","Department for Transport","Declared non-disabled","Maritime and Coastguard Agency","820","790","38850","35860"
"In post","2021","Department for Transport","Declared non-disabled","Vehicle Certification Agency","180","170","37350","34660"
"In post","2021","Department for Transport","Undeclared","Department for Transport (excl. agencies)","730","710","42650","36340"
"In post","2021","Department for Transport","Undeclared","Driver and Vehicle Licensing Agency","470","420","27160","21590"
"In post","2021","Department for Transport","Undeclared","Driver and Vehicle Standards Agency","260","250","29730","27680"
"In post","2021","Department for Transport","Undeclared","Maritime and Coastguard Agency","80","80","37520","35180"
"In post","2021","Department for Transport","Undeclared","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Unknown","Department for Transport (excl. agencies)","230","230","46280","42890"
"In post","2021","Department for Transport","Unknown","Driver and Vehicle Licensing Agency","670","600","24430","21590"
"In post","2021","Department for Transport","Unknown","Driver and Vehicle Standards Agency","830","810","28100","26700"
"In post","2021","Department for Transport","Unknown","Maritime and Coastguard Agency","260","250","32080","29350"
"In post","2021","Department for Transport","Unknown","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Declared disabled","Department for Work and Pensions (excl. agencies)","15220","13360","27040","27570"
"In post","2021","Department for Work and Pensions","Declared disabled","Health and Safety Executive","320","300","39350","35910"
"In post","2021","Department for Work and Pensions","Declared non-disabled","Department for Work and Pensions (excl. agencies)","68510","61280","27750","27570"
"In post","2021","Department for Work and Pensions","Declared non-disabled","Health and Safety Executive","2040","1910","43820","41480"
"In post","2021","Department for Work and Pensions","Undeclared","Department for Work and Pensions (excl. agencies)","4030","3730","27380","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Health and Safety Executive","170","160","45730","45870"
"In post","2021","Department for Work and Pensions","Unknown","Department for Work and Pensions (excl. agencies)","3190","3050","28740","27570"
"In post","2021","Department for Work and Pensions","Unknown","Health and Safety Executive","50","50","[c]","[c]"
"In post","2021","Department of Health and Social Care","Declared disabled","Department of Health and Social Care (excl. agencies)","140","130","46200","40650"
"In post","2021","Department of Health and Social Care","Declared disabled","Medicines and Healthcare Products Regulatory Agency","50","50","[c]","[c]"
"In post","2021","Department of Health and Social Care","Declared disabled","Public Health England","340","310","38640","32650"
"In post","2021","Department of Health and Social Care","Declared non-disabled","Department of Health and Social Care (excl. agencies)","860","830","49900","50620"
"In post","2021","Department of Health and Social Care","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","540","520","51090","50800"
"In post","2021","Department of Health and Social Care","Declared non-disabled","Public Health England","4470","4090","41760","36330"
"In post","2021","Department of Health and Social Care","Undeclared","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Department of Health and Social Care","Undeclared","Public Health England","510","450","46580","40070"
"In post","2021","Department of Health and Social Care","Unknown","Department of Health and Social Care (excl. agencies)","2520","2480","45640","40650"
"In post","2021","Department of Health and Social Care","Unknown","Medicines and Healthcare Products Regulatory Agency","700","680","45880","40850"
"In post","2021","Department of Health and Social Care","Unknown","Public Health England","1590","1470","50190","43220"
"In post","2021","ESTYN","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Declared non-disabled","ESTYN","100","90","58270","74730"
"In post","2021","ESTYN","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Unknown","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Declared disabled","Food Standards Agency","70","70","34990","30810"
"In post","2021","Food Standards Agency","Declared non-disabled","Food Standards Agency","810","780","36740","31240"
"In post","2021","Food Standards Agency","Undeclared","Food Standards Agency","430","420","38670","37350"
"In post","2021","Food Standards Agency","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","FCDO Services","80","80","36780","32810"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","720","700","44370","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","FCDO Services","900","870","40640","37900"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","4940","4850","48970","44770"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Wilton Park","70","60","33280","28640"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","FCDO Services","50","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","300","290","49720","45160"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","FCDO Services","50","50","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","1520","1490","49090","51420"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Declared disabled","HM Land Registry","490","420","30520","27130"
"In post","2021","HM Land Registry","Declared non-disabled","HM Land Registry","3690","3260","33100","30600"
"In post","2021","HM Land Registry","Undeclared","HM Land Registry","230","210","32430","31740"
"In post","2021","HM Land Registry","Unknown","HM Land Registry","1950","1880","27260","22350"
"In post","2021","HM Revenue and Customs","Declared disabled","HM Revenue and Customs (excl. agencies)","5490","4910","30940","27810"
"In post","2021","HM Revenue and Customs","Declared disabled","Valuation Office Agency","250","230","32890","28090"
"In post","2021","HM Revenue and Customs","Declared non-disabled","HM Revenue and Customs (excl. agencies)","35110","32350","32720","29570"
"In post","2021","HM Revenue and Customs","Declared non-disabled","Valuation Office Agency","2290","2120","35080","32100"
"In post","2021","HM Revenue and Customs","Undeclared","HM Revenue and Customs (excl. agencies)","2970","2730","33230","31810"
"In post","2021","HM Revenue and Customs","Undeclared","Valuation Office Agency","300","280","35870","32100"
"In post","2021","HM Revenue and Customs","Unknown","HM Revenue and Customs (excl. agencies)","19370","17820","28130","25560"
"In post","2021","HM Revenue and Customs","Unknown","Valuation Office Agency","690","660","28530","25860"
"In post","2021","HM Treasury","Declared disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Declared disabled","Government Internal Audit Agency","50","50","44710","42720"
"In post","2021","HM Treasury","Declared disabled","HM Treasury (excl. agencies)","190","180","46160","42900"
"In post","2021","HM Treasury","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Declared non-disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Declared non-disabled","Government Internal Audit Agency","360","340","48930","47170"
"In post","2021","HM Treasury","Declared non-disabled","HM Treasury (excl. agencies)","1450","1410","48160","52500"
"In post","2021","HM Treasury","Declared non-disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Government Internal Audit Agency","50","40","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","HM Treasury (excl. agencies)","330","330","43540","35980"
"In post","2021","HM Treasury","Undeclared","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Debt Management Office","110","110","58840","51550"
"In post","2021","HM Treasury","Unknown","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","HM Treasury (excl. agencies)","60","60","48900","52500"
"In post","2021","HM Treasury","Unknown","Office for Budget Responsibility","40","30","[c]","[c]"
"In post","2021","Home Office","Declared disabled","Home Office (incl. agencies)","3060","2810","31320","27370"
"In post","2021","Home Office","Declared non-disabled","Home Office (incl. agencies)","28490","26420","32000","27370"
"In post","2021","Home Office","Undeclared","Home Office (incl. agencies)","1810","1680","32620","28930"
"In post","2021","Home Office","Unknown","Home Office (incl. agencies)","2010","1970","32040","25770"
"In post","2021","Ministry of Defence","Declared disabled","Defence Electronics and Components Agency","30","30","[c]","[c]"
"In post","2021","Ministry of Defence","Declared disabled","Defence Equipment and Support","1090","1040","35460","33070"
"In post","2021","Ministry of Defence","Declared disabled","Defence Science and Technology Laboratory","460","450","37970","37320"
"In post","2021","Ministry of Defence","Declared disabled","Ministry of Defence (excl. agencies)","3460","3320","31720","28190"
"In post","2021","Ministry of Defence","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","Declared disabled","Submarine Delivery Agency","170","170","39470","38380"
"In post","2021","Ministry of Defence","Declared disabled","UK Hydrographic Office","70","60","34970","33290"
"In post","2021","Ministry of Defence","Declared non-disabled","Defence Electronics and Components Agency","210","210","28560","28750"
"In post","2021","Ministry of Defence","Declared non-disabled","Defence Equipment and Support","7840","7580","36570","33740"
"In post","2021","Ministry of Defence","Declared non-disabled","Defence Science and Technology Laboratory","2770","2660","40610","37360"
"In post","2021","Ministry of Defence","Declared non-disabled","Ministry of Defence (excl. agencies)","25530","24690","32180","28390"
"In post","2021","Ministry of Defence","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","Declared non-disabled","Submarine Delivery Agency","1290","1260","41450","39860"
"In post","2021","Ministry of Defence","Declared non-disabled","UK Hydrographic Office","500","480","34870","33290"
"In post","2021","Ministry of Defence","Undeclared","Defence Electronics and Components Agency","190","180","28230","28110"
"In post","2021","Ministry of Defence","Undeclared","Defence Equipment and Support","690","670","38560","37690"
"In post","2021","Ministry of Defence","Undeclared","Defence Science and Technology Laboratory","410","400","42400","46080"
"In post","2021","Ministry of Defence","Undeclared","Ministry of Defence (excl. agencies)","2720","2640","32060","29200"
"In post","2021","Ministry of Defence","Undeclared","Submarine Delivery Agency","120","120","43680","41570"
"In post","2021","Ministry of Defence","Undeclared","UK Hydrographic Office","60","60","35530","33290"
"In post","2021","Ministry of Defence","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","Unknown","Defence Equipment and Support","1080","1040","34560","32290"
"In post","2021","Ministry of Defence","Unknown","Defence Science and Technology Laboratory","740","710","40190","37360"
"In post","2021","Ministry of Defence","Unknown","Ministry of Defence (excl. agencies)","6000","5780","32700","29200"
"In post","2021","Ministry of Defence","Unknown","Royal Fleet Auxiliary","1830","1830","37620","34460"
"In post","2021","Ministry of Defence","Unknown","Submarine Delivery Agency","210","200","42540","40860"
"In post","2021","Ministry of Defence","Unknown","UK Hydrographic Office","210","200","34220","33290"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","280","270","42990","39100"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Planning Inspectorate","60","50","34380","24310"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","1870","1810","46570","42900"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Planning Inspectorate","610","550","44550","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Queen Elizabeth II Centre","40","40","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","130","130","44570","41540"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Planning Inspectorate","30","30","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","230","220","45660","39600"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Planning Inspectorate","160","140","41620","40720"
"In post","2021","Ministry of Justice","Declared disabled","Criminal Injuries Compensation Authority","40","30","[c]","[c]"
"In post","2021","Ministry of Justice","Declared disabled","HM Courts and Tribunals Service","2080","1870","23730","20650"
"In post","2021","Ministry of Justice","Declared disabled","HM Prison and Probation Service","5960","5590","30620","29110"
"In post","2021","Ministry of Justice","Declared disabled","Legal Aid Agency","130","130","25680","21170"
"In post","2021","Ministry of Justice","Declared disabled","Ministry of Justice (excl. agencies)","560","540","40400","36720"
"In post","2021","Ministry of Justice","Declared disabled","Office of the Public Guardian","200","190","22800","20650"
"In post","2021","Ministry of Justice","Declared non-disabled","Criminal Injuries Compensation Authority","160","150","27760","22720"
"In post","2021","Ministry of Justice","Declared non-disabled","HM Courts and Tribunals Service","11710","10490","25200","21270"
"In post","2021","Ministry of Justice","Declared non-disabled","HM Prison and Probation Service","35880","33980","30500","28350"
"In post","2021","Ministry of Justice","Declared non-disabled","Legal Aid Agency","890","840","29240","22990"
"In post","2021","Ministry of Justice","Declared non-disabled","Ministry of Justice (excl. agencies)","3600","3500","42240","37000"
"In post","2021","Ministry of Justice","Declared non-disabled","Office of the Public Guardian","950","880","22150","19930"
"In post","2021","Ministry of Justice","Undeclared","Criminal Injuries Compensation Authority","70","70","23640","22570"
"In post","2021","Ministry of Justice","Undeclared","HM Courts and Tribunals Service","1180","1060","24900","21170"
"In post","2021","Ministry of Justice","Undeclared","HM Prison and Probation Service","7200","6620","31400","31650"
"In post","2021","Ministry of Justice","Undeclared","Legal Aid Agency","100","90","29110","21170"
"In post","2021","Ministry of Justice","Undeclared","Ministry of Justice (excl. agencies)","440","420","41700","37650"
"In post","2021","Ministry of Justice","Undeclared","Office of the Public Guardian","110","100","22230","20420"
"In post","2021","Ministry of Justice","Unknown","Criminal Injuries Compensation Authority","40","40","[c]","[c]"
"In post","2021","Ministry of Justice","Unknown","HM Courts and Tribunals Service","1640","1590","22530","19930"
"In post","2021","Ministry of Justice","Unknown","HM Prison and Probation Service","5000","4840","26120","24920"
"In post","2021","Ministry of Justice","Unknown","Legal Aid Agency","60","60","22510","19930"
"In post","2021","Ministry of Justice","Unknown","Ministry of Justice (excl. agencies)","750","740","42070","36910"
"In post","2021","Ministry of Justice","Unknown","Office of the Public Guardian","160","150","20560","19930"
"In post","2021","National Crime Agency","Declared disabled","National Crime Agency","200","190","38020","36410"
"In post","2021","National Crime Agency","Declared non-disabled","National Crime Agency","1750","1700","43290","40210"
"In post","2021","National Crime Agency","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","National Crime Agency","3520","3450","38560","36720"
"In post","2021","Northern Ireland Office","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Northern Ireland Office","80","80","45530","38980"
"In post","2021","Northern Ireland Office","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Northern Ireland Office","60","60","40830","37030"
"In post","2021","Office for Standards in Education","Declared disabled","Office for Standards in Education, Children's Services and Skills","140","130","45350","42850"
"In post","2021","Office for Standards in Education","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","1480","1420","50470","51360"
"In post","2021","Office for Standards in Education","Unknown","Office for Standards in Education, Children's Services and Skills","170","160","42510","42850"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Office of Gas and Electricity Markets","50","50","39210","31720"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Office of Gas and Electricity Markets","1020","1010","44860","38550"
