"Status","Year","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Project Delivery","2030","2020","34200","33080"
"In post","2022","20-29","Property","840","830","30100","28500"
"In post","2022","20-29","Psychology","400","390","27700","27700"
"In post","2022","20-29","Science and Engineering","2900","2880","29360","28680"
"In post","2022","20-29","Security","1120","1120","27730","26610"
"In post","2022","20-29","Social Research","560","550","35830","33710"
"In post","2022","20-29","Statistics","840","830","35640","33710"
"In post","2022","20-29","Tax","4200","4120","28830","26590"
"In post","2022","20-29","Unknown","8060","7990","32180","29250"
"In post","2022","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Commercial","1530","1480","38810","37400"
"In post","2022","30-39","Communications","1190","1150","43830","40650"
"In post","2022","30-39","Corporate Finance","40","40","[c]","[c]"
"In post","2022","30-39","Counter Fraud","890","830","29040","27570"
"In post","2022","30-39","Digital, Data and Technology","4650","4570","41800","39040"
"In post","2022","30-39","Economics","510","490","56600","55860"
"In post","2022","30-39","Finance","2470","2380","41290","37930"
"In post","2022","30-39","Geography","110","110","32750","33290"
"In post","2022","30-39","Human Resources","2150","2050","37970","34010"
"In post","2022","30-39","Inspector of Education and Training","100","100","58330","51360"
"In post","2022","30-39","Intelligence Analysis","830","800","34120","30980"
"In post","2022","30-39","Internal Audit","140","130","42120","40440"
"In post","2022","30-39","International Trade","520","520","49650","51710"
"In post","2022","30-39","Knowledge and Information Management","440","430","36070","33000"
"In post","2022","30-39","Legal","3130","3020","46760","48830"
"In post","2022","30-39","Medicine","590","520","45860","39030"
"In post","2022","30-39","Operational Delivery","51650","48390","28480","27130"
"In post","2022","30-39","Operational Research","340","320","46470","47010"
"In post","2022","30-39","Other","5350","5070","31990","27570"
"In post","2022","30-39","Planning","70","70","41020","39600"
"In post","2022","30-39","Planning Inspectors","60","50","48420","47660"
"In post","2022","30-39","Policy","9520","9260","48600","50790"
"In post","2022","30-39","Project Delivery","3650","3540","42130","40170"
"In post","2022","30-39","Property","1110","1070","37720","33740"
"In post","2022","30-39","Psychology","610","580","34970","31180"
"In post","2022","30-39","Science and Engineering","3000","2920","38920","38070"
"In post","2022","30-39","Security","1740","1730","33360","32090"
"In post","2022","30-39","Social Research","410","390","44710","41950"
"In post","2022","30-39","Statistics","700","670","44830","42100"
"In post","2022","30-39","Tax","5350","5180","34760","33370"
"In post","2022","30-39","Unknown","8610","8360","41340","37300"
"In post","2022","30-39","Veterinarian","100","100","38790","37240"
"In post","2022","40-49","Commercial","1510","1450","42770","39920"
"In post","2022","40-49","Communications","1110","1050","46950","42850"
"In post","2022","40-49","Corporate Finance","40","40","[c]","[c]"
"In post","2022","40-49","Counter Fraud","1420","1310","29720","27570"
"In post","2022","40-49","Digital, Data and Technology","5500","5380","45350","41230"
"In post","2022","40-49","Economics","240","230","63400","61440"
"In post","2022","40-49","Finance","3200","3080","42640","38400"
"In post","2022","40-49","Geography","100","90","33770","33290"
"In post","2022","40-49","Human Resources","2480","2350","42210","38160"
"In post","2022","40-49","Inspector of Education and Training","310","300","64810","64500"
"In post","2022","40-49","Intelligence Analysis","790","750","35120","30830"
"In post","2022","40-49","Internal Audit","190","180","47040","43710"
"In post","2022","40-49","International Trade","280","270","52930","51970"
"In post","2022","40-49","Knowledge and Information Management","590","570","37190","35000"
"In post","2022","40-49","Legal","3620","3350","51820","53050"
"In post","2022","40-49","Medicine","770","670","57360","47470"
"In post","2022","40-49","Operational Delivery","57010","52500","29970","27570"
"In post","2022","40-49","Operational Research","240","220","50040","47590"
"In post","2022","40-49","Other","6470","6130","33330","27570"
"In post","2022","40-49","Planning","60","50","48080","48200"
"In post","2022","40-49","Planning Inspectors","110","100","53230","47660"
"In post","2022","40-49","Policy","7330","7000","53230","53420"
"In post","2022","40-49","Project Delivery","4160","4020","45990","41380"
"In post","2022","40-49","Property","1680","1620","39950","36560"
"In post","2022","40-49","Psychology","340","310","44570","45830"
"In post","2022","40-49","Science and Engineering","2970","2840","44070","42130"
"In post","2022","40-49","Security","1940","1910","34760","35060"
"In post","2022","40-49","Social Research","230","210","49160","50210"
"In post","2022","40-49","Statistics","500","470","51120","51300"
"In post","2022","40-49","Tax","3820","3670","36750","33370"
"In post","2022","40-49","Unknown","7360","7070","47790","43000"
"In post","2022","40-49","Veterinarian","150","150","44040","40460"
"In post","2022","50-59","Commercial","1660","1610","43100","40000"
"In post","2022","50-59","Communications","770","750","43090","38620"
"In post","2022","50-59","Corporate Finance","40","40","[c]","[c]"
"In post","2022","50-59","Counter Fraud","2490","2310","29700","27570"
"In post","2022","50-59","Digital, Data and Technology","5460","5340","44030","40520"
"In post","2022","50-59","Economics","120","120","68480","66050"
"In post","2022","50-59","Finance","3850","3740","42090","37590"
"In post","2022","50-59","Geography","120","110","33640","33290"
"In post","2022","50-59","Human Resources","2850","2730","41000","37000"
"In post","2022","50-59","Inspector of Education and Training","410","400","66560","70500"
"In post","2022","50-59","Intelligence Analysis","880","860","34070","30920"
"In post","2022","50-59","Internal Audit","310","300","49900","47150"
"In post","2022","50-59","International Trade","270","260","52040","48220"
"In post","2022","50-59","Knowledge and Information Management","770","750","36310","33300"
"In post","2022","50-59","Legal","3620","3400","52010","53050"
"In post","2022","50-59","Medicine","730","660","61740","47470"
"In post","2022","50-59","Operational Delivery","76200","69940","29810","27570"
"In post","2022","50-59","Operational Research","180","170","50720","48090"
"In post","2022","50-59","Other","10270","9850","30930","27570"
"In post","2022","50-59","Planning","50","50","50600","49430"
"In post","2022","50-59","Planning Inspectors","130","120","57610","58810"
"In post","2022","50-59","Policy","6000","5840","50420","47470"
"In post","2022","50-59","Project Delivery","4750","4600","46500","41630"
"In post","2022","50-59","Property","2720","2640","40130","36050"
"In post","2022","50-59","Psychology","160","150","40470","31180"
"In post","2022","50-59","Science and Engineering","3450","3350","43750","42030"
"In post","2022","50-59","Security","3320","3280","33560","33000"
"In post","2022","50-59","Social Research","100","100","53090","55210"
"In post","2022","50-59","Statistics","300","290","50900","51210"
"In post","2022","50-59","Tax","4550","4350","39180","35720"
"In post","2022","50-59","Unknown","6420","6230","48040","40810"
"In post","2022","50-59","Veterinarian","100","90","49040","51300"
"In post","2022","60-64","Commercial","350","310","40480","38410"
"In post","2022","60-64","Communications","150","140","40690","35630"
"In post","2022","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Counter Fraud","830","630","28820","27570"
"In post","2022","60-64","Digital, Data and Technology","1130","1000","41120","37570"
"In post","2022","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Finance","880","790","38490","34290"
"In post","2022","60-64","Geography","40","30","[c]","[c]"
"In post","2022","60-64","Human Resources","620","530","36720","33350"
"In post","2022","60-64","Inspector of Education and Training","90","90","70640","75500"
"In post","2022","60-64","Intelligence Analysis","170","140","34130","30900"
"In post","2022","60-64","Internal Audit","70","60","44300","43430"
"In post","2022","60-64","International Trade","50","50","[c]","[c]"
"In post","2022","60-64","Knowledge and Information Management","220","210","34090","31030"
"In post","2022","60-64","Legal","720","590","52000","54580"
"In post","2022","60-64","Medicine","210","180","65820","49250"
"In post","2022","60-64","Operational Delivery","23710","18850","27830","26780"
"In post","2022","60-64","Operational Research","40","30","[c]","[c]"
"In post","2022","60-64","Other","3480","3150","29120","26160"
"In post","2022","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Planning Inspectors","40","30","[c]","[c]"
"In post","2022","60-64","Policy","1110","1010","49560","44060"
"In post","2022","60-64","Project Delivery","1040","890","43070","40560"
"In post","2022","60-64","Property","890","800","37770","34000"
"In post","2022","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Science and Engineering","1090","980","40590","39250"
"In post","2022","60-64","Security","870","790","28790","22900"
"In post","2022","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Statistics","50","50","46830","40650"
"In post","2022","60-64","Tax","1280","1000","38880","35170"
"In post","2022","60-64","Unknown","1340","1200","42950","35560"
"In post","2022","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","65+","Commercial","90","70","38750","37100"
"In post","2022","65+","Communications","50","40","[c]","[c]"
"In post","2022","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Counter Fraud","300","210","28700","27570"
"In post","2022","65+","Digital, Data and Technology","330","270","38750","35260"
"In post","2022","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2022","65+","Finance","280","240","36330","33300"
"In post","2022","65+","Geography","[c]","[c]","[c]","[c]"
"In post","2022","65+","Human Resources","150","120","35020","31750"
"In post","2022","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","65+","Intelligence Analysis","70","50","32840","30500"
"In post","2022","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","65+","Knowledge and Information Management","60","50","33290","28250"
"In post","2022","65+","Legal","260","180","51920","55610"
"In post","2022","65+","Medicine","70","60","73530","78100"
"In post","2022","65+","Operational Delivery","7340","5410","27040","25460"
"In post","2022","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","65+","Other","1120","970","27820","23120"
"In post","2022","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2022","65+","Planning Inspectors","40","30","[c]","[c]"
"In post","2022","65+","Policy","320","270","45060","38800"
"In post","2022","65+","Project Delivery","250","190","41940","39990"
"In post","2022","65+","Property","330","280","33900","31900"
"In post","2022","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","65+","Science and Engineering","420","340","40140","36990"
"In post","2022","65+","Security","280","240","27660","22460"
"In post","2022","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","65+","Tax","350","240","38020","35980"
"In post","2022","65+","Unknown","360","310","40450","31540"
"In post","2022","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Operational Delivery","40","40","[c]","[c]"
"Leaver CS","2021","16-19","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","20-29","Commercial","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Communications","80","80","29570","28500"
"Leaver CS","2021","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Digital, Data and Technology","110","110","30860","29730"
"Leaver CS","2021","20-29","Economics","90","90","25080","23220"
"Leaver CS","2021","20-29","Finance","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","20-29","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Legal","40","40","[c]","[c]"
"Leaver CS","2021","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Operational Delivery","2090","2040","22940","21460"
"Leaver CS","2021","20-29","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Other","210","210","26180","24260"
