"Status","Year","Ethnicity","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Other Cabinet Office Agencies","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other Cabinet Office Agencies","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","20-29","30","30","[c]","[c]"
"In post","2021","Asian","Scottish Government","30-39","70","70","35130","32540"
"In post","2021","Asian","Scottish Government","40-49","60","50","41270","35110"
"In post","2021","Asian","Scottish Government","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","The National Archives","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Export Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","20-29","50","50","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","20-29","70","70","28470","27000"
"In post","2021","Black","Attorney General's Departments","30-39","90","90","38870","34070"
"In post","2021","Black","Attorney General's Departments","40-49","140","130","42420","39320"
"In post","2021","Black","Attorney General's Departments","50-59","230","220","43460","35000"
"In post","2021","Black","Attorney General's Departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Attorney General's Departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office","20-29","70","70","35190","32000"
"In post","2021","Black","Cabinet Office","30-39","60","60","45340","40600"
"In post","2021","Black","Cabinet Office","40-49","60","60","42280","38500"
"In post","2021","Black","Cabinet Office","50-59","60","60","47700","38220"
"In post","2021","Black","Cabinet Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","20-29","70","70","37420","33570"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","30-39","80","80","40030","36390"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","40-49","80","80","40060","38690"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","50-59","120","120","37890","34550"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","60-64","40","40","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","20-29","40","40","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Education","20-29","40","40","[c]","[c]"
"In post","2021","Black","Department for Education","30-39","80","70","39080","36780"
"In post","2021","Black","Department for Education","40-49","60","60","42270","38470"
"In post","2021","Black","Department for Education","50-59","100","100","42020","39960"
"In post","2021","Black","Department for Education","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","30-39","30","30","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","40-49","40","40","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","50-59","80","80","36100","34500"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for International Trade","20-29","30","30","[c]","[c]"
"In post","2021","Black","Department for International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for International Trade","50-59","40","40","[c]","[c]"
"In post","2021","Black","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Transport","20-29","40","40","[c]","[c]"
"In post","2021","Black","Department for Transport","30-39","50","50","38990","35650"
"In post","2021","Black","Department for Transport","40-49","60","60","36860","35430"
"In post","2021","Black","Department for Transport","50-59","80","70","38510","35240"
"In post","2021","Black","Department for Transport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Transport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Work and Pensions","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Work and Pensions","20-29","570","570","29030","31060"
"In post","2021","Black","Department for Work and Pensions","30-39","720","680","29100","29290"
"In post","2021","Black","Department for Work and Pensions","40-49","880","830","29430","29290"
"In post","2021","Black","Department for Work and Pensions","50-59","1350","1280","29390","30330"
