"Status","Year","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Security","940","920","34500","37880"
"In post","2021","Undeclared","Social Research","60","60","44110","42710"
"In post","2021","Undeclared","Statistics","140","130","41920","38120"
"In post","2021","Undeclared","Tax","1330","1230","38110","32520"
"In post","2021","Undeclared","Unknown","8700","7850","29650","27570"
"In post","2021","Undeclared","Veterinarian","80","70","47920","50320"
"In post","2021","Unknown","Commercial","930","900","40240","38200"
"In post","2021","Unknown","Communications","880","850","42510","38690"
"In post","2021","Unknown","Corporate Finance","40","40","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","210","200","40720","39170"
"In post","2021","Unknown","Digital, Data and Technology","3190","3120","40770","37940"
"In post","2021","Unknown","Economics","480","470","45280","38600"
"In post","2021","Unknown","Finance","1440","1350","37660","33530"
"In post","2021","Unknown","Human Resources","900","860","36450","32730"
"In post","2021","Unknown","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","380","370","41720","37000"
"In post","2021","Unknown","Internal Audit","60","50","42280","40040"
"In post","2021","Unknown","International Trade","460","460","45060","38800"
"In post","2021","Unknown","Knowledge and Information Management","330","310","36950","34240"
"In post","2021","Unknown","Legal","2940","2740","47790","50520"
"In post","2021","Unknown","Medicine","510","460","59690","44500"
"In post","2021","Unknown","Operational Delivery","36190","32990","27260","24920"
"In post","2021","Unknown","Operational Research","150","150","42800","40480"
"In post","2021","Unknown","Other","4640","4510","36280","32700"
"In post","2021","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","40","30","[c]","[c]"
"In post","2021","Unknown","Policy","4860","4730","46600","41950"
"In post","2021","Unknown","Project Delivery","2090","2030","41900","38630"
"In post","2021","Unknown","Property","1160","1100","34070","31050"
"In post","2021","Unknown","Psychology","210","200","36610","33650"
"In post","2021","Unknown","Science and Engineering","3210","3060","39780","39170"
"In post","2021","Unknown","Security","1230","1220","32090","29370"
"In post","2021","Unknown","Social Research","180","170","39140","37020"
"In post","2021","Unknown","Statistics","360","340","40680","37020"
"In post","2021","Unknown","Tax","6240","5920","28790","25560"
"In post","2021","Unknown","Unknown","31980","28760","31180","27570"
"In post","2021","Unknown","Veterinarian","70","60","46320","44340"
"In post","2022","Heterosexual / straight","Commercial","4450","4290","40280","37400"
"In post","2022","Heterosexual / straight","Communications","2750","2650","42500","39020"
"In post","2022","Heterosexual / straight","Corporate Finance","70","70","53890","47570"
"In post","2022","Heterosexual / straight","Counter Fraud","4370","3970","29230","27570"
"In post","2022","Heterosexual / straight","Digital, Data and Technology","13220","12860","42280","38880"
"In post","2022","Heterosexual / straight","Economics","1420","1390","48430","48500"
"In post","2022","Heterosexual / straight","Finance","9110","8760","40600","36500"
"In post","2022","Heterosexual / straight","Geography","310","300","31950","33290"
"In post","2022","Heterosexual / straight","Human Resources","7330","6950","39390","35200"
"In post","2022","Heterosexual / straight","Inspector of Education and Training","810","790","65410","70500"
"In post","2022","Heterosexual / straight","Intelligence Analysis","2380","2270","33610","30820"
"In post","2022","Heterosexual / straight","Internal Audit","600","570","46400","43430"
"In post","2022","Heterosexual / straight","International Trade","970","950","47940","47980"
"In post","2022","Heterosexual / straight","Knowledge and Information Management","1620","1560","35480","32470"
"In post","2022","Heterosexual / straight","Legal","8320","7800","49120","50380"
"In post","2022","Heterosexual / straight","Medicine","1740","1550","53780","40940"
"In post","2022","Heterosexual / straight","Operational Delivery","169340","155560","29040","27570"
"In post","2022","Heterosexual / straight","Operational Research","550","520","46450","44440"
"In post","2022","Heterosexual / straight","Other","21110","19970","30040","26820"
"In post","2022","Heterosexual / straight","Planning","170","160","45730","41560"
"In post","2022","Heterosexual / straight","Planning Inspectors","280","250","56240","58810"
"In post","2022","Heterosexual / straight","Policy","23130","22430","47570","43760"
"In post","2022","Heterosexual / straight","Project Delivery","11470","11040","43760","40520"
"In post","2022","Heterosexual / straight","Property","5370","5160","38500","34000"
"In post","2022","Heterosexual / straight","Psychology","1140","1090","36010","31180"
"In post","2022","Heterosexual / straight","Science and Engineering","8410","8110","38740","37400"
"In post","2022","Heterosexual / straight","Security","6610","6450","31750","28420"
"In post","2022","Heterosexual / straight","Social Research","940","900","42940","38650"
"In post","2022","Heterosexual / straight","Statistics","1700","1630","44880","40520"
"In post","2022","Heterosexual / straight","Tax","11500","10930","36740","33370"
"In post","2022","Heterosexual / straight","Unknown","17790","17210","42680","36730"
"In post","2022","Heterosexual / straight","Veterinarian","280","270","43760","38750"
"In post","2022","LGBO","Commercial","260","260","37580","34500"
"In post","2022","LGBO","Communications","250","240","41030","38160"
"In post","2022","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Counter Fraud","230","210","29010","27570"
"In post","2022","LGBO","Digital, Data and Technology","850","840","40690","36750"
"In post","2022","LGBO","Economics","140","140","44610","39890"
"In post","2022","LGBO","Finance","390","390","41530","36820"
"In post","2022","LGBO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Human Resources","500","490","40090","35310"
"In post","2022","LGBO","Inspector of Education and Training","60","50","70110","75500"
"In post","2022","LGBO","Intelligence Analysis","120","110","34710","30750"
"In post","2022","LGBO","Internal Audit","40","40","[c]","[c]"
"In post","2022","LGBO","International Trade","110","110","48280","46150"
"In post","2022","LGBO","Knowledge and Information Management","110","110","34810","33000"
"In post","2022","LGBO","Legal","490","480","50390","51250"
"In post","2022","LGBO","Medicine","60","60","59180","46950"
"In post","2022","LGBO","Operational Delivery","10380","9990","28740","27570"
"In post","2022","LGBO","Operational Research","70","70","40120","38070"
"In post","2022","LGBO","Other","1020","990","30160","27570"
"In post","2022","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Policy","2380","2340","46640","41970"
"In post","2022","LGBO","Project Delivery","610","600","42940","40040"
"In post","2022","LGBO","Property","230","220","38390","33370"
"In post","2022","LGBO","Psychology","70","70","31490","29060"
"In post","2022","LGBO","Science and Engineering","470","460","35700","32330"
"In post","2022","LGBO","Security","300","300","33920","32260"
"In post","2022","LGBO","Social Research","120","120","40610","37610"
"In post","2022","LGBO","Statistics","180","170","40890","38340"
"In post","2022","LGBO","Tax","880","860","34110","33080"
"In post","2022","LGBO","Unknown","1690","1660","40010","34550"
"In post","2022","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","650","620","41240","39560"
"In post","2022","Undeclared","Communications","460","440","42620","39180"
"In post","2022","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","600","530","28600","27570"
"In post","2022","Undeclared","Digital, Data and Technology","1990","1930","41850","38650"
"In post","2022","Undeclared","Economics","180","180","47630","46050"
"In post","2022","Undeclared","Finance","1300","1250","40530","36820"
"In post","2022","Undeclared","Geography","40","40","[c]","[c]"
"In post","2022","Undeclared","Human Resources","740","700","36490","33300"
"In post","2022","Undeclared","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","410","390","34950","31870"
"In post","2022","Undeclared","Internal Audit","90","90","46900","43160"
"In post","2022","Undeclared","International Trade","90","90","47560","51710"
"In post","2022","Undeclared","Knowledge and Information Management","300","290","35030","32760"
"In post","2022","Undeclared","Legal","970","900","48370","47100"
"In post","2022","Undeclared","Medicine","250","220","66200","61440"
"In post","2022","Undeclared","Operational Delivery","21340","19200","29160","27380"
"In post","2022","Undeclared","Operational Research","60","60","47510","42760"
"In post","2022","Undeclared","Other","2690","2550","30460","26930"
"In post","2022","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","30","30","[c]","[c]"
"In post","2022","Undeclared","Policy","3140","3060","47130","43310"
"In post","2022","Undeclared","Project Delivery","1360","1300","44330","40580"
"In post","2022","Undeclared","Property","710","670","38890","34620"
"In post","2022","Undeclared","Psychology","90","80","35090","31180"
"In post","2022","Undeclared","Science and Engineering","1550","1470","39740","38420"
"In post","2022","Undeclared","Security","960","930","35260","37680"
"In post","2022","Undeclared","Social Research","70","70","43650","38340"
"In post","2022","Undeclared","Statistics","170","160","42370","38340"
"In post","2022","Undeclared","Tax","1360","1270","39490","33680"
"In post","2022","Undeclared","Unknown","1530","1490","44400","40060"
"In post","2022","Undeclared","Veterinarian","70","70","46700","47550"
"In post","2022","Unknown","Commercial","850","810","37570","34900"
"In post","2022","Unknown","Communications","720","700","42480","38750"
"In post","2022","Unknown","Corporate Finance","60","60","42800","38580"
"In post","2022","Unknown","Counter Fraud","1390","1220","29490","27570"
"In post","2022","Unknown","Digital, Data and Technology","3960","3870","41990","38270"
"In post","2022","Unknown","Economics","350","340","44880","37610"
"In post","2022","Unknown","Finance","1520","1450","39230","36050"
"In post","2022","Unknown","Geography","120","120","30400","29200"
"In post","2022","Unknown","Human Resources","1030","980","36950","33000"
"In post","2022","Unknown","Inspector of Education and Training","40","30","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","330","320","34060","31520"
"In post","2022","Unknown","Internal Audit","50","40","[c]","[c]"
"In post","2022","Unknown","International Trade","470","470","45550","40070"
"In post","2022","Unknown","Knowledge and Information Management","350","330","36510","33080"
"In post","2022","Unknown","Legal","2890","2690","48070","48830"
"In post","2022","Unknown","Medicine","470","410","56980","45840"
"In post","2022","Unknown","Operational Delivery","53940","48640","27470","26120"
"In post","2022","Unknown","Operational Research","460","440","43810","47010"
"In post","2022","Unknown","Other","5550","5300","33920","30480"
"In post","2022","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","50","40","57030","58810"
"In post","2022","Unknown","Policy","4310","4190","46580","42390"
"In post","2022","Unknown","Project Delivery","2440","2320","41770","39980"
"In post","2022","Unknown","Property","1290","1230","35400","31900"
"In post","2022","Unknown","Psychology","230","220","36080","34340"
"In post","2022","Unknown","Science and Engineering","3520","3390","40610","38110"
"In post","2022","Unknown","Security","1420","1400","33380","31020"
"In post","2022","Unknown","Social Research","190","190","40580","38340"
"In post","2022","Unknown","Statistics","360","350","40390","37830"
"In post","2022","Unknown","Tax","5860","5570","31320","26820"
"In post","2022","Unknown","Unknown","11240","10900","40480","32040"
"In post","2022","Unknown","Veterinarian","60","50","44070","40600"
"Leaver CS","2021","Heterosexual / straight","Commercial","130","120","39640","37670"
"Leaver CS","2021","Heterosexual / straight","Communications","130","120","37180","33300"
"Leaver CS","2021","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Digital, Data and Technology","230","220","42880","38450"
"Leaver CS","2021","Heterosexual / straight","Economics","60","60","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Finance","170","160","41910","37720"
"Leaver CS","2021","Heterosexual / straight","Human Resources","210","200","39030","33650"
"Leaver CS","2021","Heterosexual / straight","Inspector of Education and Training","60","50","67890","75500"
"Leaver CS","2021","Heterosexual / straight","Intelligence Analysis","60","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Knowledge and Information Management","70","60","32150","28540"
"Leaver CS","2021","Heterosexual / straight","Legal","240","200","53590","54140"
"Leaver CS","2021","Heterosexual / straight","Medicine","180","150","53520","38890"
"Leaver CS","2021","Heterosexual / straight","Operational Delivery","4580","4070","28180","23250"
"Leaver CS","2021","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Other","890","850","29360","26670"
"Leaver CS","2021","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Policy","410","390","47600","40960"
"Leaver CS","2021","Heterosexual / straight","Project Delivery","310","290","41880","37670"
"Leaver CS","2021","Heterosexual / straight","Property","240","220","33490","30780"
"Leaver CS","2021","Heterosexual / straight","Psychology","70","60","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Science and Engineering","500","470","32650","29270"
"Leaver CS","2021","Heterosexual / straight","Security","260","250","30420","26990"
"Leaver CS","2021","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Unknown","3440","2970","29280","26890"
"Leaver CS","2021","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Operational Delivery","270","250","27870","22460"
"Leaver CS","2021","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Other","30","30","[c]","[c]"
"Leaver CS","2021","LGBO","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Policy","50","50","[c]","[c]"
"Leaver CS","2021","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Science and Engineering","30","30","[c]","[c]"
"Leaver CS","2021","LGBO","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","220","210","29410","26780"
"Leaver CS","2021","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data and Technology","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Operational Delivery","840","720","28330","24590"
"Leaver CS","2021","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Other","130","120","27500","26240"
"Leaver CS","2021","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Policy","60","60","47640","46080"
"Leaver CS","2021","Undeclared","Project Delivery","50","50","[c]","[c]"
"Leaver CS","2021","Undeclared","Property","50","50","37700","36100"
"Leaver CS","2021","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Science and Engineering","70","60","38220","37210"
"Leaver CS","2021","Undeclared","Security","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","450","380","30320","27400"
"Leaver CS","2021","Unknown","Commercial","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","Communications","80","70","36780","33120"
"Leaver CS","2021","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data and Technology","160","150","41300","38220"
"Leaver CS","2021","Unknown","Economics","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Finance","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","50","50","38080","31610"
"Leaver CS","2021","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","120","100","53750","55610"
"Leaver CS","2021","Unknown","Medicine","60","50","51600","37890"
"Leaver CS","2021","Unknown","Operational Delivery","2560","2320","27000","22390"
"Leaver CS","2021","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other","420","410","33320","29930"
"Leaver CS","2021","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Policy","300","290","41190","35020"
"Leaver CS","2021","Unknown","Project Delivery","70","70","34380","36030"
"Leaver CS","2021","Unknown","Property","130","110","29280","25500"
"Leaver CS","2021","Unknown","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Science and Engineering","210","190","32190","29750"
"Leaver CS","2021","Unknown","Security","90","80","27940","25250"
"Leaver CS","2021","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","8150","6690","30820","27570"
"Leaver CS","2021","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Commercial","260","230","39310","36670"
"Leaver CS","2022","Heterosexual / straight","Communications","210","180","38800","36840"
"Leaver CS","2022","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Counter Fraud","150","120","28730","27570"
"Leaver CS","2022","Heterosexual / straight","Digital, Data and Technology","790","750","41930","38650"
"Leaver CS","2022","Heterosexual / straight","Economics","100","90","37010","33890"
"Leaver CS","2022","Heterosexual / straight","Finance","440","390","39420","33300"
"Leaver CS","2022","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Human Resources","430","390","38640","33370"
"Leaver CS","2022","Heterosexual / straight","Inspector of Education and Training","100","90","64970","75480"
"Leaver CS","2022","Heterosexual / straight","Intelligence Analysis","90","90","31460","29250"
"Leaver CS","2022","Heterosexual / straight","Internal Audit","50","50","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","International Trade","40","40","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Knowledge and Information Management","280","260","34950","31170"
"Leaver CS","2022","Heterosexual / straight","Legal","330","300","54490","54700"
"Leaver CS","2022","Heterosexual / straight","Medicine","300","260","58230","40880"
"Leaver CS","2022","Heterosexual / straight","Operational Delivery","13540","12090","28400","27230"
"Leaver CS","2022","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Other","1810","1680","28270","23360"
"Leaver CS","2022","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Policy","930","840","46920","41960"
"Leaver CS","2022","Heterosexual / straight","Project Delivery","540","510","41650","38070"
"Leaver CS","2022","Heterosexual / straight","Property","280","250","35390","33300"
"Leaver CS","2022","Heterosexual / straight","Psychology","70","70","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Science and Engineering","980","900","38050","36330"
"Leaver CS","2022","Heterosexual / straight","Security","480","460","32120","28890"
"Leaver CS","2022","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Statistics","60","50","36000","32270"
"Leaver CS","2022","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","Unknown","1720","1570","38470","30720"
"Leaver CS","2022","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
