"Status","Year","Parent_department","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Environment, Food and Rural Affairs","50-59","Female","1400","1310","35770","30580"
"In post","2021","Department for Environment, Food and Rural Affairs","50-59","Male","1280","1260","40170","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","60-64","Female","340","300","29930","25920"
"In post","2021","Department for Environment, Food and Rural Affairs","60-64","Male","310","280","38520","32160"
"In post","2021","Department for Environment, Food and Rural Affairs","65+","Female","90","80","30310","26520"
"In post","2021","Department for Environment, Food and Rural Affairs","65+","Male","120","100","36540","32150"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","20-29","Female","480","480","37560","33360"
"In post","2021","Department for International Trade","20-29","Male","470","470","37100","32130"
"In post","2021","Department for International Trade","30-39","Female","350","340","49230","51970"
"In post","2021","Department for International Trade","30-39","Male","390","390","50200","51970"
"In post","2021","Department for International Trade","40-49","Female","210","200","51320","51970"
"In post","2021","Department for International Trade","40-49","Male","240","240","55140","53030"
"In post","2021","Department for International Trade","50-59","Female","190","190","47420","40840"
"In post","2021","Department for International Trade","50-59","Male","260","250","50050","43560"
"In post","2021","Department for International Trade","60-64","Female","30","30","[c]","[c]"
"In post","2021","Department for International Trade","60-64","Male","50","50","51920","43930"
"In post","2021","Department for International Trade","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","16-19","Female","40","30","[c]","[c]"
"In post","2021","Department for Transport","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","20-29","Female","1120","1080","29240","26470"
"In post","2021","Department for Transport","20-29","Male","1100","1100","31330","29970"
"In post","2021","Department for Transport","30-39","Female","1830","1600","30910","26350"
"In post","2021","Department for Transport","30-39","Male","1860","1840","34980","30730"
"In post","2021","Department for Transport","40-49","Female","1730","1540","32600","26780"
"In post","2021","Department for Transport","40-49","Male","2140","2120","37200","31380"
"In post","2021","Department for Transport","50-59","Female","1790","1600","30520","26700"
"In post","2021","Department for Transport","50-59","Male","2410","2360","36210","30720"
"In post","2021","Department for Transport","60-64","Female","620","450","25290","21590"
"In post","2021","Department for Transport","60-64","Male","840","740","33290","27680"
"In post","2021","Department for Transport","65+","Female","150","100","25090","21590"
"In post","2021","Department for Transport","65+","Male","330","250","31470","26780"
"In post","2021","Department for Work and Pensions","16-19","Female","120","120","22680","21010"
"In post","2021","Department for Work and Pensions","16-19","Male","80","80","22610","21010"
"In post","2021","Department for Work and Pensions","20-29","Female","6070","5900","26810","27570"
"In post","2021","Department for Work and Pensions","20-29","Male","4480","4450","26520","27570"
"In post","2021","Department for Work and Pensions","30-39","Female","9110","7930","27450","27570"
"In post","2021","Department for Work and Pensions","30-39","Male","6050","5970","28530","27570"
"In post","2021","Department for Work and Pensions","40-49","Female","14590","12540","27930","27570"
"In post","2021","Department for Work and Pensions","40-49","Male","7750","7590","30010","27570"
"In post","2021","Department for Work and Pensions","50-59","Female","22700","19900","27780","27570"
"In post","2021","Department for Work and Pensions","50-59","Male","10480","10120","30470","27570"
"In post","2021","Department for Work and Pensions","60-64","Female","6520","4880","26500","27570"
"In post","2021","Department for Work and Pensions","60-64","Male","2940","2450","28840","27570"
"In post","2021","Department for Work and Pensions","65+","Female","1710","1180","25860","26120"
"In post","2021","Department for Work and Pensions","65+","Male","910","690","27550","27570"
"In post","2021","Department for Work and Pensions","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","20-29","Female","1790","1740","32310","31610"
"In post","2021","Department of Health and Social Care","20-29","Male","900","870","33510","31300"
"In post","2021","Department of Health and Social Care","30-39","Female","1840","1710","42460","40070"
"In post","2021","Department of Health and Social Care","30-39","Male","940","920","45190","41010"
"In post","2021","Department of Health and Social Care","40-49","Female","1860","1680","48120","45150"
"In post","2021","Department of Health and Social Care","40-49","Male","990","970","53310","51200"
"In post","2021","Department of Health and Social Care","50-59","Female","1640","1510","49730","42760"
"In post","2021","Department of Health and Social Care","50-59","Male","910","880","57860","53100"
"In post","2021","Department of Health and Social Care","60-64","Female","380","320","49260","39540"
"In post","2021","Department of Health and Social Care","60-64","Male","220","210","63250","52610"
"In post","2021","Department of Health and Social Care","65+","Female","150","110","46190","35350"
"In post","2021","Department of Health and Social Care","65+","Male","100","80","59370","54840"
"In post","2021","Department of Health and Social Care","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","20-29","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","20-29","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","30-39","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","30-39","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","40-49","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","40-49","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","50-59","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","50-59","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","20-29","Female","80","70","32780","32350"
"In post","2021","Food Standards Agency","20-29","Male","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","30-39","Female","150","150","37600","37350"
"In post","2021","Food Standards Agency","30-39","Male","100","100","39310","37910"
"In post","2021","Food Standards Agency","40-49","Female","160","150","42680","39300"
"In post","2021","Food Standards Agency","40-49","Male","200","200","38730","36990"
"In post","2021","Food Standards Agency","50-59","Female","120","120","41470","37910"
"In post","2021","Food Standards Agency","50-59","Male","320","310","35080","29090"
"In post","2021","Food Standards Agency","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","60-64","Male","90","90","31410","28770"
"In post","2021","Food Standards Agency","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","65+","Male","40","30","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","20-29","Female","830","830","35050","34300"
"In post","2021","Foreign, Commonwealth and Development Office","20-29","Male","650","650","34080","33860"
"In post","2021","Foreign, Commonwealth and Development Office","30-39","Female","1180","1150","46900","49920"
"In post","2021","Foreign, Commonwealth and Development Office","30-39","Male","1150","1150","46610","47310"
"In post","2021","Foreign, Commonwealth and Development Office","40-49","Female","1090","1040","52250","54470"
"In post","2021","Foreign, Commonwealth and Development Office","40-49","Male","1140","1130","52650","54370"
"In post","2021","Foreign, Commonwealth and Development Office","50-59","Female","920","880","48690","43320"
"In post","2021","Foreign, Commonwealth and Development Office","50-59","Male","1140","1130","54060","52400"
"In post","2021","Foreign, Commonwealth and Development Office","60-64","Female","140","140","46460","36290"
"In post","2021","Foreign, Commonwealth and Development Office","60-64","Male","240","230","51860","49290"
"In post","2021","Foreign, Commonwealth and Development Office","65+","Female","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","65+","Male","90","70","52670","56590"
"In post","2021","HM Land Registry","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","20-29","Female","630","620","24920","22350"
"In post","2021","HM Land Registry","20-29","Male","480","470","25970","22350"
"In post","2021","HM Land Registry","30-39","Female","510","460","29310","26490"
"In post","2021","HM Land Registry","30-39","Male","390","380","30570","27130"
"In post","2021","HM Land Registry","40-49","Female","790","710","32160","27130"
"In post","2021","HM Land Registry","40-49","Male","470","470","36120","33840"
"In post","2021","HM Land Registry","50-59","Female","1520","1320","31360","27130"
"In post","2021","HM Land Registry","50-59","Male","920","880","34310","33840"
"In post","2021","HM Land Registry","60-64","Female","280","190","30860","27130"
"In post","2021","HM Land Registry","60-64","Male","220","160","34650","33840"
"In post","2021","HM Land Registry","65+","Female","70","40","32100","27130"
"In post","2021","HM Land Registry","65+","Male","60","40","35170","33840"
"In post","2021","HM Revenue and Customs","16-19","Female","130","120","20530","20140"
"In post","2021","HM Revenue and Customs","16-19","Male","120","110","20820","20140"
"In post","2021","HM Revenue and Customs","20-29","Female","4800","4640","26620","25560"
"In post","2021","HM Revenue and Customs","20-29","Male","5540","5460","27070","25560"
"In post","2021","HM Revenue and Customs","30-39","Female","6640","6010","30530","25560"
"In post","2021","HM Revenue and Customs","30-39","Male","7350","7260","31870","31810"
"In post","2021","HM Revenue and Customs","40-49","Female","7760","6870","31520","27230"
"In post","2021","HM Revenue and Customs","40-49","Male","6900","6790","33860","31810"
"In post","2021","HM Revenue and Customs","50-59","Female","11620","10270","31590","28130"
"In post","2021","HM Revenue and Customs","50-59","Male","8450","8170","35460","31810"
"In post","2021","HM Revenue and Customs","60-64","Female","3360","2470","27800","25560"
"In post","2021","HM Revenue and Customs","60-64","Male","2290","1820","33910","29570"
"In post","2021","HM Revenue and Customs","65+","Female","740","520","26290","21440"
"In post","2021","HM Revenue and Customs","65+","Male","800","580","33600","28130"
"In post","2021","HM Treasury","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","20-29","Female","500","500","37750","32750"
"In post","2021","HM Treasury","20-29","Male","550","550","39200","34070"
"In post","2021","HM Treasury","30-39","Female","360","340","54050","55840"
"In post","2021","HM Treasury","30-39","Male","380","380","56270","57000"
"In post","2021","HM Treasury","40-49","Female","210","190","53100","49750"
"In post","2021","HM Treasury","40-49","Male","190","190","61500","60490"
"In post","2021","HM Treasury","50-59","Female","180","170","47280","42830"
"In post","2021","HM Treasury","50-59","Male","190","190","58410","53750"
"In post","2021","HM Treasury","60-64","Female","30","30","[c]","[c]"
"In post","2021","HM Treasury","60-64","Male","50","40","[c]","[c]"
"In post","2021","HM Treasury","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","16-19","Female","40","40","[c]","[c]"
"In post","2021","Home Office","16-19","Male","30","30","[c]","[c]"
"In post","2021","Home Office","20-29","Female","2830","2740","28450","25040"
"In post","2021","Home Office","20-29","Male","2450","2410","28150","24890"
"In post","2021","Home Office","30-39","Female","4450","4010","31750","26200"
"In post","2021","Home Office","30-39","Male","4140","4090","32340","27370"
"In post","2021","Home Office","40-49","Female","4750","4250","33590","28850"
"In post","2021","Home Office","40-49","Male","4290","4220","34190","28850"
"In post","2021","Home Office","50-59","Female","4750","4320","31740","27370"
"In post","2021","Home Office","50-59","Male","4690","4440","34170","29080"
"In post","2021","Home Office","60-64","Female","1130","900","28330","25630"
"In post","2021","Home Office","60-64","Male","1070","870","32380","28350"
"In post","2021","Home Office","65+","Female","370","270","26430","25630"
"In post","2021","Home Office","65+","Male","380","290","29790","27370"
"In post","2021","Ministry of Defence","16-19","Female","50","50","19070","19040"
"In post","2021","Ministry of Defence","16-19","Male","200","200","18670","17780"
"In post","2021","Ministry of Defence","20-29","Female","3020","2980","28390","26670"
"In post","2021","Ministry of Defence","20-29","Male","4560","4550","28610","27540"
"In post","2021","Ministry of Defence","30-39","Female","4780","4430","33710","33040"
"In post","2021","Ministry of Defence","30-39","Male","5730","5700","36260","34850"
"In post","2021","Ministry of Defence","40-49","Female","5490","5120","35060","33300"
"In post","2021","Ministry of Defence","40-49","Male","6650","6610","38360","37320"
"In post","2021","Ministry of Defence","50-59","Female","7240","6930","32110","27560"
"In post","2021","Ministry of Defence","50-59","Male","12170","12070","36680","33630"
"In post","2021","Ministry of Defence","60-64","Female","1730","1560","28400","23580"
"In post","2021","Ministry of Defence","60-64","Male","4080","3830","34060","32670"
"In post","2021","Ministry of Defence","65+","Female","500","430","26730","21630"
"In post","2021","Ministry of Defence","65+","Male","1480","1310","32460","29200"
"In post","2021","Ministry of Defence","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","20-29","Female","380","380","36010","33210"
"In post","2021","Ministry of Housing, Communities and Local Government","20-29","Male","340","340","36620","33210"
"In post","2021","Ministry of Housing, Communities and Local Government","30-39","Female","430","410","44980","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","30-39","Male","430","430","46850","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","40-49","Female","420","380","47960","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","40-49","Male","390","390","50260","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","50-59","Female","370","350","46730","43670"
"In post","2021","Ministry of Housing, Communities and Local Government","50-59","Male","380","380","48660","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","60-64","Female","70","60","46030","43340"
"In post","2021","Ministry of Housing, Communities and Local Government","60-64","Male","100","90","48660","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","65+","Male","60","40","55970","62480"
"In post","2021","Ministry of Justice","16-19","Female","100","100","21610","20880"
"In post","2021","Ministry of Justice","16-19","Male","50","50","22180","20600"
"In post","2021","Ministry of Justice","20-29","Female","8380","8220","25610","24020"
"In post","2021","Ministry of Justice","20-29","Male","5660","5640","26150","25370"
"In post","2021","Ministry of Justice","30-39","Female","10120","9200","28970","26550"
"In post","2021","Ministry of Justice","30-39","Male","8170","8090","29580","27380"
"In post","2021","Ministry of Justice","40-49","Female","9790","8860","31320","27700"
"In post","2021","Ministry of Justice","40-49","Male","7490","7380","32750","31650"
"In post","2021","Ministry of Justice","50-59","Female","11110","10260","29340","24800"
"In post","2021","Ministry of Justice","50-59","Male","10270","9910","33750","31650"
"In post","2021","Ministry of Justice","60-64","Female","3010","2510","26630","23130"
"In post","2021","Ministry of Justice","60-64","Male","2850","2320","30180","28830"
"In post","2021","Ministry of Justice","65+","Female","930","690","25130","22260"
"In post","2021","Ministry of Justice","65+","Male","990","750","27530","23500"
"In post","2021","National Crime Agency","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","20-29","Female","570","560","31690","32260"
"In post","2021","National Crime Agency","20-29","Male","370","370","32400","32770"
"In post","2021","National Crime Agency","30-39","Female","640","610","37310","36410"
"In post","2021","National Crime Agency","30-39","Male","630","630","39120","37560"
"In post","2021","National Crime Agency","40-49","Female","690","650","40330","38440"
"In post","2021","National Crime Agency","40-49","Male","690","690","44830","43380"
"In post","2021","National Crime Agency","50-59","Female","460","440","40870","38880"
"In post","2021","National Crime Agency","50-59","Male","1090","1080","45390","43450"
"In post","2021","National Crime Agency","60-64","Female","70","70","35830","34050"
"In post","2021","National Crime Agency","60-64","Male","220","210","43080","40210"
"In post","2021","National Crime Agency","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","65+","Male","30","30","[c]","[c]"
"In post","2021","Northern Ireland Office","20-29","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","20-29","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","30-39","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","30-39","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","40-49","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","40-49","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","50-59","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","50-59","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","60-64","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","60-64","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","16-19","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","16-19","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","20-29","Female","100","100","28590","25880"
"In post","2021","Office for Standards in Education","20-29","Male","60","60","29030","27250"
"In post","2021","Office for Standards in Education","30-39","Female","250","240","41150","39460"
"In post","2021","Office for Standards in Education","30-39","Male","150","150","42280","33510"
"In post","2021","Office for Standards in Education","40-49","Female","330","310","51110","51360"
"In post","2021","Office for Standards in Education","40-49","Male","180","180","54280","51360"
"In post","2021","Office for Standards in Education","50-59","Female","390","380","55790","51360"
"In post","2021","Office for Standards in Education","50-59","Male","160","150","59800","64500"
"In post","2021","Office for Standards in Education","60-64","Female","90","90","50250","51360"
"In post","2021","Office for Standards in Education","60-64","Male","40","40","[c]","[c]"
"In post","2021","Office for Standards in Education","65+","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","65+","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","20-29","Female","170","170","30080","27000"
"In post","2021","Office of Gas and Electricity Markets","20-29","Male","180","180","31930","30950"
"In post","2021","Office of Gas and Electricity Markets","30-39","Female","180","170","45710","44520"
"In post","2021","Office of Gas and Electricity Markets","30-39","Male","230","230","45110","40160"
"In post","2021","Office of Gas and Electricity Markets","40-49","Female","120","110","53830","51320"
"In post","2021","Office of Gas and Electricity Markets","40-49","Male","140","130","57080","56000"
"In post","2021","Office of Gas and Electricity Markets","50-59","Female","70","60","48280","40720"
"In post","2021","Office of Gas and Electricity Markets","50-59","Male","70","70","60710","61000"
