"Status","Year","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Other Cabinet Office Agencies","170","160","35200","33340"
"In post","2021","London","Attorney General's Departments","4680","4410","49990","51250"
"In post","2021","London","Cabinet Office","6500","6410","49780","42260"
"In post","2021","London","Chancellor's other departments","360","350","59470","50060"
"In post","2021","London","Charity Commission","70","70","42950","37910"
"In post","2021","London","Competition and Markets Authority","790","760","60810","56630"
"In post","2021","London","Department for Business, Energy and Industrial Strategy","5620","5490","48570","46490"
"In post","2021","London","Department for Digital, Culture, Media and Sport","1710","1680","49440","51730"
"In post","2021","London","Department for Education","2630","2540","50280","53420"
"In post","2021","London","Department for Environment, Food and Rural Affairs","2600","2520","44930","39490"
"In post","2021","London","Department for International Trade","2320","2290","45240","38950"
"In post","2021","London","Department for Transport","3440","3350","46600","42890"
"In post","2021","London","Department for Work and Pensions","10180","9530","33840","31060"
"In post","2021","London","Department of Health and Social Care","6420","6100","48000","41030"
"In post","2021","London","Food Standards Agency","470","460","42510","40350"
"In post","2021","London","Foreign, Commonwealth and Development Office","4260","4160","49350","44880"
"In post","2021","London","HM Land Registry","380","360","41430","37290"
"In post","2021","London","HM Revenue and Customs","8720","8290","43160","36270"
"In post","2021","London","HM Treasury","2320","2270","48910","52500"
"In post","2021","London","Home Office","13330","12600","39800","35070"
"In post","2021","London","Ministry of Defence","3910","3820","41300","37640"
"In post","2021","London","Ministry of Housing, Communities and Local Government","1870","1830","48290","53130"
"In post","2021","London","Ministry of Justice","14610","14060","35790","32090"
"In post","2021","London","National Crime Agency","1650","1610","43860","40170"
"In post","2021","London","Northern Ireland Office","80","80","50360","47630"
"In post","2021","London","Office for Standards in Education","450","440","56860","51360"
"In post","2021","London","Office of Gas and Electricity Markets","670","660","51150","47180"
"In post","2021","London","Office of Rail and Road","210","200","55460","55430"
"In post","2021","London","Other Cabinet Office Agencies","150","150","50560","49300"
"In post","2021","London","Scotland Office","40","30","[c]","[c]"
"In post","2021","London","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","London","The National Archives","540","520","35580","33330"
"In post","2021","London","UK Export Finance","400","390","53500","48830"
"In post","2021","London","UK Supreme Court","60","50","38600","35150"
"In post","2021","London","United Kingdom Statistics Authority","390","380","42630","32540"
"In post","2021","London","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Water Services Regulation Authority","70","70","69430","66360"
"In post","2021","London","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Attorney General's Departments","340","310","38010","32370"
"In post","2021","North East (England)","Cabinet Office","420","390","29430","24570"
"In post","2021","North East (England)","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Business, Energy and Industrial Strategy","210","200","31840","30950"
"In post","2021","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Education","790","750","38210","36780"
"In post","2021","North East (England)","Department for Environment, Food and Rural Affairs","550","510","32040","29180"
"In post","2021","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Transport","360","330","27620","26700"
"In post","2021","North East (England)","Department for Work and Pensions","9620","8530","27220","27570"
"In post","2021","North East (England)","Department of Health and Social Care","150","130","45700","38890"
"In post","2021","North East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","HM Land Registry","710","650","28370","27130"
"In post","2021","North East (England)","HM Revenue and Customs","11280","10020","27630","25560"
"In post","2021","North East (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Home Office","1290","1130","25210","21430"
"In post","2021","North East (England)","Ministry of Defence","220","210","24130","21130"
"In post","2021","North East (England)","Ministry of Housing, Communities and Local Government","60","60","40230","36340"
"In post","2021","North East (England)","Ministry of Justice","4450","4110","28310","26300"
"In post","2021","North East (England)","National Crime Agency","100","100","35520","36410"
"In post","2021","North East (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Attorney General's Departments","970","900","39570","34480"
"In post","2021","North West (England)","Cabinet Office","450","450","46810","42410"
"In post","2021","North West (England)","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Charity Commission","310","290","32780","29160"
"In post","2021","North West (England)","Department for Business, Energy and Industrial Strategy","460","440","32760","31000"
"In post","2021","North West (England)","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2021","North West (England)","Department for Education","1140","1120","40360","36780"
"In post","2021","North West (England)","Department for Environment, Food and Rural Affairs","1430","1310","28740","25100"
"In post","2021","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Transport","450","430","29080","26780"
"In post","2021","North West (England)","Department for Work and Pensions","18620","16790","27540","27570"
"In post","2021","North West (England)","Department of Health and Social Care","580","540","37320","31370"
"In post","2021","North West (England)","Food Standards Agency","50","40","[c]","[c]"
"In post","2021","North West (England)","HM Land Registry","900","810","29390","27130"
"In post","2021","North West (England)","HM Revenue and Customs","12890","11900","30180","25560"
"In post","2021","North West (England)","HM Treasury","50","50","45840","42810"
"In post","2021","North West (England)","Home Office","7160","6640","27050","24890"
"In post","2021","North West (England)","Ministry of Defence","1880","1780","29320","26670"
"In post","2021","North West (England)","Ministry of Housing, Communities and Local Government","140","140","36440","33770"
"In post","2021","North West (England)","Ministry of Justice","9560","8860","28220","25790"
"In post","2021","North West (England)","National Crime Agency","1280","1250","36300","36410"
"In post","2021","North West (England)","Office for Standards in Education","500","480","39650","32010"
"In post","2021","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Other Cabinet Office Agencies","410","400","38520","34800"
"In post","2021","Northern Ireland","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Transport","40","40","[c]","[c]"
"In post","2021","Northern Ireland","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Food Standards Agency","80","80","38880","37910"
"In post","2021","Northern Ireland","HM Revenue and Customs","2000","1850","28510","25560"
"In post","2021","Northern Ireland","Home Office","540","490","25380","24890"
"In post","2021","Northern Ireland","Ministry of Defence","920","890","24300","20310"
"In post","2021","Northern Ireland","National Crime Agency","110","110","39890","39200"
"In post","2021","Northern Ireland","Northern Ireland Office","90","80","38110","34990"
"In post","2021","Overseas","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Department for International Trade","160","160","56610","54470"
"In post","2021","Overseas","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Foreign, Commonwealth and Development Office","2280","2270","52030","53470"
"In post","2021","Overseas","Home Office","330","320","28290","27370"
"In post","2021","Overseas","Ministry of Defence","790","790","42510","40580"
"In post","2021","Overseas","National Crime Agency","130","130","66390","64330"
"In post","2021","Overseas","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Cabinet Office","80","80","48190","49700"
"In post","2021","Scotland","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Competition and Markets Authority","50","50","56490","55860"
"In post","2021","Scotland","Department for Business, Energy and Industrial Strategy","400","380","35210","30950"
"In post","2021","Scotland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for Environment, Food and Rural Affairs","150","150","32310","29180"
"In post","2021","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for Transport","460","430","31840","27680"
"In post","2021","Scotland","Department for Work and Pensions","9040","8000","26070","27570"
"In post","2021","Scotland","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Foreign, Commonwealth and Development Office","970","930","40570","34530"
"In post","2021","Scotland","HM Revenue and Customs","7780","7000","27070","25560"
"In post","2021","Scotland","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Home Office","1040","960","27140","25040"
"In post","2021","Scotland","Ministry of Defence","4100","3960","29550","25680"
"In post","2021","Scotland","Ministry of Justice","570","530","25260","22570"
"In post","2021","Scotland","National Crime Agency","60","60","37540","36410"
"In post","2021","Scotland","Office of Gas and Electricity Markets","510","500","36370","31720"
"In post","2021","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Scotland Office","80","80","47970","46600"
"In post","2021","Scotland","Scottish Government","22200","21010","36540","33620"
"In post","2021","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Attorney General's Departments","690","650","42200","37890"
"In post","2021","South East (England)","Cabinet Office","220","210","42660","33950"
"In post","2021","South East (England)","Department for Business, Energy and Industrial Strategy","250","230","34910","36020"
"In post","2021","South East (England)","Department for Environment, Food and Rural Affairs","1380","1310","35800","31900"
"In post","2021","South East (England)","Department for International Trade","120","120","46620","51710"
"In post","2021","South East (England)","Department for Transport","1480","1410","36220","31040"
"In post","2021","South East (England)","Department for Work and Pensions","6750","6100","27590","27570"
"In post","2021","South East (England)","Department of Health and Social Care","520","470","46190","40320"
"In post","2021","South East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Foreign, Commonwealth and Development Office","1130","1090","36650","31390"
"In post","2021","South East (England)","HM Revenue and Customs","2550","2290","30210","28130"
"In post","2021","South East (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Home Office","3790","3450","27740","26250"
"In post","2021","South East (England)","Ministry of Defence","10360","10030","33770","33000"
"In post","2021","South East (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Ministry of Justice","9620","9050","29780","29810"
"In post","2021","South East (England)","National Crime Agency","460","440","39850","39840"
"In post","2021","South East (England)","United Kingdom Statistics Authority","2430","1990","28660","23520"
"In post","2021","South West (England)","Attorney General's Departments","330","310","41720","40050"
"In post","2021","South West (England)","Cabinet Office","190","180","53790","49700"
"In post","2021","South West (England)","Charity Commission","50","50","35580","30350"
"In post","2021","South West (England)","Department for Business, Energy and Industrial Strategy","2070","1980","39770","39650"
"In post","2021","South West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Department for Education","220","210","43730","39780"
"In post","2021","South West (England)","Department for Environment, Food and Rural Affairs","1790","1680","35040","30660"
"In post","2021","South West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Department for Transport","770","730","32930","27880"
"In post","2021","South West (England)","Department for Work and Pensions","5820","5070","26400","27570"
"In post","2021","South West (England)","Department of Health and Social Care","1220","1120","38670","34530"
"In post","2021","South West (England)","Food Standards Agency","50","50","[c]","[c]"
"In post","2021","South West (England)","HM Land Registry","1550","1400","32770","31740"
"In post","2021","South West (England)","HM Revenue and Customs","1840","1720","33290","31810"
"In post","2021","South West (England)","HM Treasury","40","40","[c]","[c]"
"In post","2021","South West (England)","Home Office","390","360","28190","25440"
"In post","2021","South West (England)","Ministry of Defence","22040","21240","36370","33300"
"In post","2021","South West (England)","Ministry of Housing, Communities and Local Government","930","850","43060","41020"
"In post","2021","South West (England)","Ministry of Justice","5090","4700","28140","25400"
"In post","2021","South West (England)","National Crime Agency","470","450","36140","35890"
"In post","2021","South West (England)","Office for Standards in Education","280","270","43010","35010"
"In post","2021","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Cabinet Office","600","600","36250","32000"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions","900","840","30410","27570"
"In post","2021","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence","2060","2050","37190","33570"
"In post","2021","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","100","100","45080","44910"
"In post","2021","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Attorney General's Departments","360","330","41230","38470"
"In post","2021","Wales","Cabinet Office","70","60","38410","30370"
"In post","2021","Wales","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Business, Energy and Industrial Strategy","2780","2600","34630","30170"
"In post","2021","Wales","Department for Environment, Food and Rural Affairs","350","330","28810","25190"
"In post","2021","Wales","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Department for Transport","6900","6130","26500","21590"
"In post","2021","Wales","Department for Work and Pensions","5740","5140","26020","27570"
"In post","2021","Wales","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Wales","ESTYN","110","100","58000","74730"
"In post","2021","Wales","Food Standards Agency","140","130","36990","30840"
"In post","2021","Wales","HM Land Registry","720","650","29080","27130"
"In post","2021","Wales","HM Revenue and Customs","4420","4090","28270","25560"
"In post","2021","Wales","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Home Office","640","590","27400","25040"
"In post","2021","Wales","Ministry of Defence","1130","1080","26680","25200"
"In post","2021","Wales","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","Wales","Ministry of Justice","4000","3730","27970","24920"
"In post","2021","Wales","National Crime Agency","60","60","37280","36410"
"In post","2021","Wales","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Other Cabinet Office Agencies","110","110","33940","31680"
"In post","2021","Wales","United Kingdom Statistics Authority","2710","2570","34510","31090"
"In post","2021","Wales","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Welsh Government","5760","5440","41010","37410"
"In post","2021","West Midlands (England)","Attorney General's Departments","560","520","40000","38000"
"In post","2021","West Midlands (England)","Cabinet Office","50","50","62730","52530"
"In post","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy","670","640","33310","30630"
"In post","2021","West Midlands (England)","Department for Education","1280","1250","40710","36820"
"In post","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs","630","590","32980","29520"
"In post","2021","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Department for Transport","460","440","29160","26780"
"In post","2021","West Midlands (England)","Department for Work and Pensions","7680","6740","26200","27570"
"In post","2021","West Midlands (England)","Department of Health and Social Care","470","420","42070","34700"
"In post","2021","West Midlands (England)","Food Standards Agency","120","110","34690","30350"
"In post","2021","West Midlands (England)","HM Land Registry","600","550","29710","27130"
"In post","2021","West Midlands (England)","HM Revenue and Customs","4100","3820","32890","31810"
"In post","2021","West Midlands (England)","HM Treasury","30","30","[c]","[c]"
"In post","2021","West Midlands (England)","Home Office","1030","960","27940","25310"
"In post","2021","West Midlands (England)","Ministry of Defence","2590","2510","30290","26670"
"In post","2021","West Midlands (England)","Ministry of Housing, Communities and Local Government","130","130","38760","36340"
"In post","2021","West Midlands (England)","Ministry of Justice","8910","8350","27260","23970"
"In post","2021","West Midlands (England)","National Crime Agency","500","490","37790","36740"
"In post","2021","West Midlands (England)","Office for Standards in Education","150","150","55180","51360"
"In post","2021","West Midlands (England)","Office of Qualifications and Examinations Regulation","260","250","45520","40580"
"In post","2021","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Other Cabinet Office Agencies","70","70","38380","34800"
"In post","2021","West Midlands (England)","Water Services Regulation Authority","180","170","50470","47200"
"In post","2021","Yorkshire and The Humber","Attorney General's Departments","980","900","42130","38760"
"In post","2021","Yorkshire and The Humber","Cabinet Office","740","700","36340","33030"
"In post","2021","Yorkshire and The Humber","Department for Business, Energy and Industrial Strategy","200","190","32560","30950"
"In post","2021","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Yorkshire and The Humber","Department for Education","1490","1430","40780","36960"
"In post","2021","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs","1100","1050","34830","30460"
"In post","2021","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Yorkshire and The Humber","Department for Transport","550","520","29850","26780"
"In post","2021","Yorkshire and The Humber","Department for Work and Pensions","9590","8540","29820","27570"
"In post","2021","Yorkshire and The Humber","Department of Health and Social Care","1460","1380","42860","37380"
"In post","2021","Yorkshire and The Humber","Food Standards Agency","300","290","36770","31450"
"In post","2021","Yorkshire and The Humber","HM Land Registry","340","300","29120","27130"
"In post","2021","Yorkshire and The Humber","HM Revenue and Customs","5130","4740","29980","25560"
"In post","2021","Yorkshire and The Humber","HM Treasury","70","70","44660","41720"
"In post","2021","Yorkshire and The Humber","Home Office","3640","3380","27790","25040"
"In post","2021","Yorkshire and The Humber","Ministry of Defence","2060","1990","28140","26670"
"In post","2021","Yorkshire and The Humber","Ministry of Housing, Communities and Local Government","90","80","43720","38160"
"In post","2021","Yorkshire and The Humber","Ministry of Justice","8400","7780","28720","26300"
"In post","2021","Yorkshire and The Humber","National Crime Agency","270","260","37000","36410"
"In post","2021","Yorkshire and The Humber","Office for Standards in Education","130","120","64100","70500"
"In post","2021","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Yorkshire and The Humber","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2022","East Midlands (England)","Attorney General's Departments","490","450","39250","38000"
"In post","2022","East Midlands (England)","Cabinet Office","60","60","53070","51650"
"In post","2022","East Midlands (England)","Department for Business, Energy and Industrial Strategy","230","220","31320","30950"
"In post","2022","East Midlands (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Department for Education","370","360","41720","37100"
"In post","2022","East Midlands (England)","Department for Environment, Food and Rural Affairs","320","310","32200","29180"
"In post","2022","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Department for Levelling Up, Housing and Communities","100","90","48350","47660"
"In post","2022","East Midlands (England)","Department for Transport","660","630","33640","29080"
"In post","2022","East Midlands (England)","Department for Work and Pensions","4920","4370","27250","27570"
"In post","2022","East Midlands (England)","Department of Health and Social Care","230","210","42340","36330"
"In post","2022","East Midlands (England)","Food Standards Agency","90","80","35140","30350"
"In post","2022","East Midlands (England)","HM Land Registry","920","850","31020","27130"
"In post","2022","East Midlands (England)","HM Revenue and Customs","4330","4090","33890","33080"
"In post","2022","East Midlands (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Home Office","270","250","29160","26160"
"In post","2022","East Midlands (England)","Ministry of Defence","1770","1710","28900","26160"
"In post","2022","East Midlands (England)","Ministry of Justice","7830","7290","28190","25210"
"In post","2022","East Midlands (England)","National Crime Agency","190","180","38490","36740"
"In post","2022","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","200","190","47260","51360"
"In post","2022","East Midlands (England)","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Attorney General's Departments","520","470","41490","36240"
"In post","2022","East of England","Cabinet Office","260","250","44000","38980"
"In post","2022","East of England","Department for Business, Energy and Industrial Strategy","210","200","33740","32730"
"In post","2022","East of England","Department for Education","80","80","48970","50630"
"In post","2022","East of England","Department for Environment, Food and Rural Affairs","900","850","34090","30220"
"In post","2022","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Department for Levelling Up, Housing and Communities","130","120","44650","41360"
"In post","2022","East of England","Department for Transport","400","380","29970","26830"
"In post","2022","East of England","Department for Work and Pensions","4620","4150","28650","27570"
"In post","2022","East of England","Department of Health and Social Care","690","650","44150","40060"
"In post","2022","East of England","Food Standards Agency","130","130","34680","31520"
"In post","2022","East of England","HM Land Registry","300","270","30840","27130"
"In post","2022","East of England","HM Revenue and Customs","1460","1340","33980","33080"
"In post","2022","East of England","HM Treasury","70","70","29800","24030"
"In post","2022","East of England","Home Office","1930","1750","27400","25310"
"In post","2022","East of England","Ministry of Defence","3760","3650","32320","30710"
"In post","2022","East of England","Ministry of Justice","7190","6730","29190","27700"
"In post","2022","East of England","National Crime Agency","170","170","38420","36740"
"In post","2022","East of England","Office for Standards in Education, Children's Services and Skills","100","100","60200","51360"
"In post","2022","East of England","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","East of England","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","London","Attorney General's Departments","4800","4520","49870","51250"
"In post","2022","London","Cabinet Office","6600","6510","50210","49700"
"In post","2022","London","Chancellor's other departments","360","340","60480","53090"
"In post","2022","London","Charity Commission","80","80","44120","37910"
"In post","2022","London","Competition and Markets Authority","800","770","61480","57060"
"In post","2022","London","Department for Business, Energy and Industrial Strategy","5960","5830","48850","46880"
"In post","2022","London","Department for Digital, Culture, Media and Sport","1780","1750","47680","51730"
"In post","2022","London","Department for Education","2540","2440","50280","53420"
"In post","2022","London","Department for Environment, Food and Rural Affairs","2900","2810","44250","38750"
"In post","2022","London","Department for International Trade","2500","2480","46310","41250"
"In post","2022","London","Department for Levelling Up, Housing and Communities","2280","2230","48590","53130"
"In post","2022","London","Department for Transport","3390","3300","47700","42890"
"In post","2022","London","Department for Work and Pensions","10120","9460","34190","31060"
"In post","2022","London","Department of Health and Social Care","6310","6050","47770","40810"
"In post","2022","London","Food Standards Agency","240","240","44260","40350"
"In post","2022","London","Foreign, Commonwealth and Development Office","4060","3960","50150","47730"
"In post","2022","London","HM Land Registry","410","390","41440","37290"
"In post","2022","London","HM Revenue and Customs","9740","9300","44850","37930"
"In post","2022","London","HM Treasury","2320","2260","49320","52500"
"In post","2022","London","Home Office","13510","12870","40310","35070"
"In post","2022","London","Ministry of Defence","4060","3970","42210","39000"
"In post","2022","London","Ministry of Justice","15560","14960","37110","34100"
"In post","2022","London","National Crime Agency","1620","1580","44700","40170"
"In post","2022","London","Northern Ireland Office","90","80","51790","47580"
"In post","2022","London","Office for Standards in Education, Children's Services and Skills","270","270","51800","46360"
"In post","2022","London","Office of Gas and Electricity Markets","740","730","48610","43170"
"In post","2022","London","Office of Rail and Road","210","200","55810","55430"
"In post","2022","London","Office of the Secretary of State for Scotland","40","40","[c]","[c]"
"In post","2022","London","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","London","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","London","The National Archives","570","550","35690","33260"
"In post","2022","London","UK Export Finance","470","470","53170","49000"
"In post","2022","London","UK Statistics Authority","340","330","45480","39840"
"In post","2022","London","UK Supreme Court","50","50","38660","31960"
"In post","2022","London","Water Services Regulation Authority","80","80","65430","63240"
"In post","2022","London","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Attorney General's Departments","360","330","39240","34480"
"In post","2022","North East (England)","Cabinet Office","480","450","30580","25550"
"In post","2022","North East (England)","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Department for Business, Energy and Industrial Strategy","220","210","32890","30950"
"In post","2022","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Department for Education","950","920","38420","36500"
"In post","2022","North East (England)","Department for Environment, Food and Rural Affairs","800","750","31230","26520"
"In post","2022","North East (England)","Department for International Trade","50","50","[c]","[c]"
"In post","2022","North East (England)","Department for Levelling Up, Housing and Communities","130","120","45010","47660"
"In post","2022","North East (England)","Department for Transport","380","350","27620","26580"
"In post","2022","North East (England)","Department for Work and Pensions","10250","9180","28360","27570"
