"Status","Year","Profession_of_post","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","Commercial","North East (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Crown Commercial Service","190","180","33650","34800"
"In post","2021","Commercial","North West (England)","Department for Education (excl. agencies)","60","60","38360","36780"
"In post","2021","Commercial","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Commercial","North West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","HM Prison and Probation Service","70","70","50940","48580"
"In post","2021","Commercial","North West (England)","HM Revenue and Customs (excl. agencies)","50","50","38760","38630"
"In post","2021","Commercial","North West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","Scotland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","40370","39630"
"In post","2021","Commercial","Scotland","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Ministry of Defence (excl. agencies)","90","90","34840","33300"
"In post","2021","Commercial","Scotland","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Scottish Prison Service","80","80","30640","25870"
"In post","2021","Commercial","Scotland","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Defence Science and Technology Laboratory","30","30","[c]","[c]"
"In post","2021","Commercial","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","FCDO Services","70","70","43520","40850"
"In post","2021","Commercial","South East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","HM Prison and Probation Service","60","60","46430","46550"
"In post","2021","Commercial","South East (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Ministry of Defence (excl. agencies)","220","210","34850","34800"
"In post","2021","Commercial","South East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Defence Equipment and Support","860","820","39530","35110"
"In post","2021","Commercial","South West (England)","Defence Science and Technology Laboratory","40","40","[c]","[c]"
"In post","2021","Commercial","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","South West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Commercial","South West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Met Office","180","170","43020","40140"
"In post","2021","Commercial","South West (England)","Ministry of Defence (excl. agencies)","350","330","36570","34800"
"In post","2021","Commercial","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Submarine Delivery Agency","120","120","40240","38240"
"In post","2021","Commercial","South West (England)","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Crown Commercial Service","70","60","31160","28540"
"In post","2021","Commercial","Wales","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Driver and Vehicle Licensing Agency","160","140","32760","31040"
"In post","2021","Commercial","Wales","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","HM Prison and Probation Service","60","60","48680","48710"
"In post","2021","Commercial","West Midlands (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Ministry of Defence (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Department for Education (excl. agencies)","50","50","38830","38000"
"In post","2021","Commercial","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","80","80","41890","36820"
"In post","2021","Commercial","Yorkshire and The Humber","Education and Skills Funding Agency","50","50","40120","36780"
"In post","2021","Commercial","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","HM Prison and Probation Service","60","60","47120","47240"
"In post","2021","Commercial","Yorkshire and The Humber","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Communications","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Communications","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Communications","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","130","130","48060","45270"
"In post","2021","Communications","London","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Communications","London","Department for Education (excl. agencies)","130","130","42420","37760"
"In post","2021","Communications","London","Department for Environment, Food and Rural Affairs (excl. agencies)","130","130","44540","39910"
"In post","2021","Communications","London","Department for International Trade","140","130","43380","38540"
"In post","2021","Communications","London","Department for Transport (excl. agencies)","110","110","47780","43360"
"In post","2021","Communications","London","Department of Health and Social Care (excl. agencies)","160","160","41300","32790"
"In post","2021","Communications","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Foreign, Commonwealth and Development Office (excl. agencies)","130","130","48800","45840"
"In post","2021","Communications","London","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","HM Revenue and Customs (excl. agencies)","100","100","49640","42540"
"In post","2021","Communications","London","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Communications","London","Home Office (incl. agencies)","160","160","49610","44220"
"In post","2021","Communications","London","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Medicines and Healthcare Products Regulatory Agency","50","50","[c]","[c]"
"In post","2021","Communications","London","Ministry of Defence (excl. agencies)","110","110","48720","45200"
"In post","2021","Communications","London","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","42390","39600"
"In post","2021","Communications","London","Ministry of Justice (excl. agencies)","90","90","45860","44290"
"In post","2021","Communications","London","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Public Health England","60","50","48410","42630"
"In post","2021","Communications","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Communications","North East (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
