"Status","Year","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","Declared non-disabled","8180","6890","29770","26890"
"Leaver CS","2021","Unknown","Undeclared","710","620","30580","27570"
"Leaver CS","2021","Unknown","Unknown","3650","3140","32430","28120"
"Leaver CS","2022","Analysis","Declared disabled","40","30","[c]","[c]"
"Leaver CS","2022","Analysis","Declared non-disabled","300","280","39160","35900"
"Leaver CS","2022","Analysis","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","170","120","33600","30220"
"Leaver CS","2022","Commercial","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2022","Commercial","Declared non-disabled","210","200","43840","38200"
"Leaver CS","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","260","190","63880","61710"
"Leaver CS","2022","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Declared non-disabled","220","200","41330","37960"
"Leaver CS","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","160","130","42250","37520"
"Leaver CS","2022","Counter Fraud","Declared disabled","60","40","26840","27570"
"Leaver CS","2022","Counter Fraud","Declared non-disabled","260","200","29810","27570"
"Leaver CS","2022","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Declared disabled","30","20","[c]","[c]"
"Leaver CS","2022","Debt","Declared non-disabled","160","130","22600","21260"
"Leaver CS","2022","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Declared disabled","120","110","39330","35740"
"Leaver CS","2022","Digital, Data & Technology","Declared non-disabled","800","760","42880","39650"
"Leaver CS","2022","Digital, Data & Technology","Undeclared","80","80","40020","36850"
"Leaver CS","2022","Digital, Data & Technology","Unknown","410","360","39490","36500"
"Leaver CS","2022","Finance","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2022","Finance","Declared non-disabled","310","280","40310","36570"
"Leaver CS","2022","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","130","80","39280","34530"
"Leaver CS","2022","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Declared non-disabled","150","130","23950","21300"
"Leaver CS","2022","Human Resources","Declared disabled","90","80","34180","29160"
"Leaver CS","2022","Human Resources","Declared non-disabled","410","380","36540","33300"
"Leaver CS","2022","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","150","130","33250","27570"
"Leaver CS","2022","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2022","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Declared disabled","70","60","46110","50230"
"Leaver CS","2022","Legal","Declared non-disabled","470","420","48100","51250"
"Leaver CS","2022","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","190","180","42100","40000"
"Leaver CS","2022","No function","Declared disabled","2680","2340","28620","27570"
"Leaver CS","2022","No function","Declared non-disabled","14970","13480","31590","27570"
"Leaver CS","2022","No function","Undeclared","1310","1140","30530","27570"
"Leaver CS","2022","No function","Unknown","5510","4950","32730","27550"
"Leaver CS","2022","Project Delivery","Declared disabled","130","120","38560","34690"
"Leaver CS","2022","Project Delivery","Declared non-disabled","860","810","39340","36460"
"Leaver CS","2022","Project Delivery","Undeclared","70","60","38440","37530"
"Leaver CS","2022","Project Delivery","Unknown","250","230","39850","35100"
"Leaver CS","2022","Property","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2022","Property","Declared non-disabled","360","320","35100","31650"
"Leaver CS","2022","Property","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","Property","Unknown","170","160","27410","22040"
"Leaver CS","2022","Security","Declared disabled","70","60","32430","30950"
"Leaver CS","2022","Security","Declared non-disabled","460","440","32440","29250"
"Leaver CS","2022","Security","Undeclared","60","50","33050","35530"
"Leaver CS","2022","Security","Unknown","230","220","30820","27680"
"Leaver CS","2022","Unknown","Declared disabled","1040","850","29490","26410"
"Leaver CS","2022","Unknown","Declared non-disabled","6270","5350","32100","27370"
"Leaver CS","2022","Unknown","Undeclared","520","450","31570","27570"
"Leaver CS","2022","Unknown","Unknown","3620","3190","31630","27570"
"Leaver Dept.","2021","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Declared non-disabled","170","160","41920","37320"
"Leaver Dept.","2021","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","Unknown","70","70","40600","36780"
"Leaver Dept.","2021","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Declared non-disabled","80","70","39920","38060"
"Leaver Dept.","2021","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","60","60","45410","41980"
"Leaver Dept.","2021","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Declared non-disabled","110","110","43280","37240"
"Leaver Dept.","2021","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Unknown","80","80","40310","38690"
"Leaver Dept.","2021","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Declared non-disabled","140","140","45980","40600"
"Leaver Dept.","2021","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","70","70","45330","43570"
"Leaver Dept.","2021","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Declared non-disabled","130","130","46510","43290"
"Leaver Dept.","2021","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Unknown","50","40","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Declared disabled","60","60","40500","34620"
"Leaver Dept.","2021","Human Resources","Declared non-disabled","300","290","37670","32560"
"Leaver Dept.","2021","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Unknown","90","90","40600","36210"
"Leaver Dept.","2021","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Declared non-disabled","140","140","44970","40950"
"Leaver Dept.","2021","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Unknown","60","60","40510","35230"
"Leaver Dept.","2021","No function","Declared disabled","310","300","35840","32120"
"Leaver Dept.","2021","No function","Declared non-disabled","2040","1980","39030","33210"
"Leaver Dept.","2021","No function","Undeclared","200","190","35440","32120"
"Leaver Dept.","2021","No function","Unknown","1470","1440","37060","32240"
"Leaver Dept.","2021","Project Delivery","Declared disabled","60","60","38860","33300"
"Leaver Dept.","2021","Project Delivery","Declared non-disabled","340","340","40960","36360"
"Leaver Dept.","2021","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Unknown","100","100","42950","38600"
"Leaver Dept.","2021","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Declared non-disabled","70","70","40050","34610"
"Leaver Dept.","2021","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Declared non-disabled","30","30","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","430","390","33970","29330"
"Leaver Dept.","2021","Unknown","Declared non-disabled","3390","3110","34420","29640"
"Leaver Dept.","2021","Unknown","Undeclared","300","280","35490","31060"
"Leaver Dept.","2021","Unknown","Unknown","1260","990","36710","31990"
"Leaver Dept.","2022","Analysis","Declared disabled","40","30","[c]","[c]"
"Leaver Dept.","2022","Analysis","Declared non-disabled","270","260","43440","39850"
"Leaver Dept.","2022","Analysis","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2022","Analysis","Unknown","200","70","36810","33780"
"Leaver Dept.","2022","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Declared non-disabled","200","190","42980","40000"
"Leaver Dept.","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Unknown","230","80","49180","49110"
"Leaver Dept.","2022","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Declared non-disabled","250","240","42180","37290"
"Leaver Dept.","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Communications","Unknown","190","90","42160","37860"
"Leaver Dept.","2022","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Declared non-disabled","100","100","32020","27570"
"Leaver Dept.","2022","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Debt","Declared non-disabled","40","40","[c]","[c]"
"Leaver Dept.","2022","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Declared disabled","50","50","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Declared non-disabled","440","430","42290","37930"
"Leaver Dept.","2022","Digital, Data & Technology","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Unknown","250","150","42190","38250"
"Leaver Dept.","2022","Finance","Declared disabled","50","40","[c]","[c]"
"Leaver Dept.","2022","Finance","Declared non-disabled","320","310","41960","37640"
"Leaver Dept.","2022","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Unknown","210","70","41100","38200"
"Leaver Dept.","2022","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Grants Management","Declared non-disabled","50","50","24630","21300"
"Leaver Dept.","2022","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Declared disabled","80","80","40770","35520"
"Leaver Dept.","2022","Human Resources","Declared non-disabled","500","480","37570","32330"
"Leaver Dept.","2022","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Unknown","150","100","37240","32000"
"Leaver Dept.","2022","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Declared non-disabled","130","130","44460","36950"
"Leaver Dept.","2022","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Unknown","80","80","43670","39560"
"Leaver Dept.","2022","No function","Declared disabled","1170","1100","34720","30190"
"Leaver Dept.","2022","No function","Declared non-disabled","9140","8620","37650","31990"
"Leaver Dept.","2022","No function","Undeclared","530","510","34730","31060"
"Leaver Dept.","2022","No function","Unknown","3950","3340","42530","34550"
"Leaver Dept.","2022","Project Delivery","Declared disabled","80","80","36180","33930"
"Leaver Dept.","2022","Project Delivery","Declared non-disabled","470","470","39890","36390"
"Leaver Dept.","2022","Project Delivery","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","90","90","43830","40580"
"Leaver Dept.","2022","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Declared non-disabled","100","100","40900","36640"
"Leaver Dept.","2022","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Unknown","50","40","[c]","[c]"
"Leaver Dept.","2022","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Declared non-disabled","100","100","38530","34970"
"Leaver Dept.","2022","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","270","240","35640","30780"
"Leaver Dept.","2022","Unknown","Declared non-disabled","2290","2060","35840","29290"
"Leaver Dept.","2022","Unknown","Undeclared","120","100","34050","30730"
"Leaver Dept.","2022","Unknown","Unknown","1070","860","35210","30820"
"New entrant CS","2021","Analysis","Declared disabled","70","60","31190","30870"
"New entrant CS","2021","Analysis","Declared non-disabled","600","590","34330","31980"
"New entrant CS","2021","Analysis","Undeclared","50","50","33190","29970"
"New entrant CS","2021","Analysis","Unknown","510","500","34390","32540"
"New entrant CS","2021","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Declared non-disabled","290","290","36640","34000"
"New entrant CS","2021","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Unknown","440","430","57340","53360"
"New entrant CS","2021","Communications","Declared disabled","40","40","[c]","[c]"
"New entrant CS","2021","Communications","Declared non-disabled","490","480","31090","25560"
"New entrant CS","2021","Communications","Undeclared","40","40","[c]","[c]"
"New entrant CS","2021","Communications","Unknown","740","730","30190","25560"
"New entrant CS","2021","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Declared non-disabled","90","80","31540","26840"
"New entrant CS","2021","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Unknown","90","90","28740","25560"
"New entrant CS","2021","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","Declared non-disabled","260","250","20550","20140"
"New entrant CS","2021","Debt","Undeclared","[c]","[c]","[c]","[c]"
