"Status","Year","Disability","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Female","Social Research","530","500","44670","43760"
"In post","2021","Declared non-disabled","Female","Statistics","630","600","44090","40640"
"In post","2021","Declared non-disabled","Female","Tax","4670","4290","34400","31810"
"In post","2021","Declared non-disabled","Female","Unknown","53190","46450","29370","27570"
"In post","2021","Declared non-disabled","Female","Veterinarian","190","180","45840","45110"
"In post","2021","Declared non-disabled","Male","Commercial","1640","1620","42930","40000"
"In post","2021","Declared non-disabled","Male","Communications","1030","1020","42060","38620"
"In post","2021","Declared non-disabled","Male","Corporate Finance","60","60","50400","47140"
"In post","2021","Declared non-disabled","Male","Counter Fraud","330","320","41080","39490"
"In post","2021","Declared non-disabled","Male","Digital, Data and Technology","5360","5290","43200","39750"
"In post","2021","Declared non-disabled","Male","Economics","870","860","49170","48370"
"In post","2021","Declared non-disabled","Male","Finance","2820","2780","44640","40580"
"In post","2021","Declared non-disabled","Male","Human Resources","1550","1520","40570","36500"
"In post","2021","Declared non-disabled","Male","Inspector of Education and Training","220","220","73860","75500"
"In post","2021","Declared non-disabled","Male","Intelligence Analysis","1270","1240","35090","31810"
"In post","2021","Declared non-disabled","Male","Internal Audit","280","270","48660","46770"
"In post","2021","Declared non-disabled","Male","International Trade","460","460","47970","44030"
"In post","2021","Declared non-disabled","Male","Knowledge and Information Management","730","720","37790","36060"
"In post","2021","Declared non-disabled","Male","Legal","3340","3240","48850","50500"
"In post","2021","Declared non-disabled","Male","Medicine","450","420","64690","66570"
"In post","2021","Declared non-disabled","Male","Operational Delivery","49470","47450","30320","27280"
"In post","2021","Declared non-disabled","Male","Operational Research","500","480","45470","46080"
"In post","2021","Declared non-disabled","Male","Other","6690","6540","33410","28240"
"In post","2021","Declared non-disabled","Male","Planning","80","80","49040","43360"
"In post","2021","Declared non-disabled","Male","Planning Inspectors","160","140","58370","58810"
"In post","2021","Declared non-disabled","Male","Policy","9120","9020","49930","49860"
"In post","2021","Declared non-disabled","Male","Project Delivery","5740","5650","44730","40580"
"In post","2021","Declared non-disabled","Male","Property","2910","2840","38640","34770"
"In post","2021","Declared non-disabled","Male","Psychology","120","120","36070","30450"
"In post","2021","Declared non-disabled","Male","Science and Engineering","6530","6370","39060","37360"
"In post","2021","Declared non-disabled","Male","Security","4060","3990","30900","26610"
"In post","2021","Declared non-disabled","Male","Social Research","210","200","46330","47000"
"In post","2021","Declared non-disabled","Male","Statistics","720","710","44730","41540"
"In post","2021","Declared non-disabled","Male","Tax","5090","4890","36870","31810"
"In post","2021","Declared non-disabled","Male","Unknown","31230","30210","32140","27570"
"In post","2021","Declared non-disabled","Male","Veterinarian","150","140","46530","47550"
"In post","2021","Declared non-disabled","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Commercial","160","150","39630","36110"
"In post","2021","Undeclared","Female","Communications","100","100","42020","38600"
"In post","2021","Undeclared","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Digital, Data and Technology","210","200","40280","38450"
"In post","2021","Undeclared","Female","Economics","30","30","[c]","[c]"
"In post","2021","Undeclared","Female","Finance","270","250","37960","34740"
"In post","2021","Undeclared","Female","Human Resources","280","270","38060","34030"
"In post","2021","Undeclared","Female","Intelligence Analysis","130","120","31820","28850"
"In post","2021","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Knowledge and Information Management","80","80","35580","33800"
"In post","2021","Undeclared","Female","Legal","250","220","47650","46210"
"In post","2021","Undeclared","Female","Medicine","80","70","59420","51200"
"In post","2021","Undeclared","Female","Operational Delivery","5680","5020","28150","25770"
"In post","2021","Undeclared","Female","Operational Research","30","30","[c]","[c]"
"In post","2021","Undeclared","Female","Other","580","550","28260","23890"
"In post","2021","Undeclared","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Policy","800","780","44030","39580"
"In post","2021","Undeclared","Female","Project Delivery","420","400","40100","37890"
"In post","2021","Undeclared","Female","Property","200","180","34190","31100"
"In post","2021","Undeclared","Female","Psychology","110","110","37640","31180"
"In post","2021","Undeclared","Female","Science and Engineering","260","240","39950","37910"
"In post","2021","Undeclared","Female","Security","120","120","36150","32980"
"In post","2021","Undeclared","Female","Social Research","30","30","[c]","[c]"
"In post","2021","Undeclared","Female","Statistics","30","30","[c]","[c]"
"In post","2021","Undeclared","Female","Tax","340","310","36580","31980"
"In post","2021","Undeclared","Female","Unknown","2810","2530","28670","27570"
"In post","2021","Undeclared","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Commercial","190","190","44960","42080"
"In post","2021","Undeclared","Male","Communications","100","100","41900","38810"
"In post","2021","Undeclared","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Undeclared","Male","Digital, Data and Technology","510","500","41460","38630"
"In post","2021","Undeclared","Male","Economics","90","90","45020","37000"
"In post","2021","Undeclared","Male","Finance","250","250","41680","38630"
"In post","2021","Undeclared","Male","Human Resources","130","120","39250","36600"
"In post","2021","Undeclared","Male","Intelligence Analysis","160","160","35850","33300"
"In post","2021","Undeclared","Male","Internal Audit","30","30","[c]","[c]"
"In post","2021","Undeclared","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Knowledge and Information Management","90","80","41170","36460"
"In post","2021","Undeclared","Male","Legal","290","280","43730","36590"
"In post","2021","Undeclared","Male","Medicine","50","40","[c]","[c]"
"In post","2021","Undeclared","Male","Operational Delivery","7070","6630","30810","31650"
"In post","2021","Undeclared","Male","Operational Research","70","70","46160","46080"
"In post","2021","Undeclared","Male","Other","780","750","31230","27500"
"In post","2021","Undeclared","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Policy","850","840","47880","44170"
"In post","2021","Undeclared","Male","Project Delivery","510","500","43610","40580"
"In post","2021","Undeclared","Male","Property","330","320","38750","35480"
"In post","2021","Undeclared","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Science and Engineering","800","770","38760","37320"
"In post","2021","Undeclared","Male","Security","560","550","34030","35750"
"In post","2021","Undeclared","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Statistics","60","60","42710","40920"
"In post","2021","Undeclared","Male","Tax","530","500","39050","35000"
"In post","2021","Undeclared","Male","Unknown","2060","2000","30700","27570"
"In post","2021","Undeclared","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Commercial","510","480","37560","35760"
"In post","2021","Unknown","Female","Communications","550","530","41400","37880"
"In post","2021","Unknown","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Counter Fraud","50","50","40140","34050"
"In post","2021","Unknown","Female","Digital, Data and Technology","990","950","40280","36780"
"In post","2021","Unknown","Female","Economics","190","180","41270","35060"
"In post","2021","Unknown","Female","Finance","780","730","36880","32950"
"In post","2021","Unknown","Female","Human Resources","820","770","34950","30940"
"In post","2021","Unknown","Female","Inspector of Education and Training","70","60","57140","51360"
"In post","2021","Unknown","Female","Intelligence Analysis","150","150","46000","48060"
"In post","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","International Trade","260","250","43930","38540"
"In post","2021","Unknown","Female","Knowledge and Information Management","200","170","37210","33790"
"In post","2021","Unknown","Female","Legal","1400","1290","44650","43550"
"In post","2021","Unknown","Female","Medicine","480","430","55510","39680"
"In post","2021","Unknown","Female","Operational Delivery","17300","15600","26410","22920"
"In post","2021","Unknown","Female","Operational Research","50","50","42410","37020"
"In post","2021","Unknown","Female","Other","1790","1690","32710","28650"
"In post","2021","Unknown","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Policy","2940","2850","44900","40220"
"In post","2021","Unknown","Female","Project Delivery","1060","1020","41030","38600"
"In post","2021","Unknown","Female","Property","400","370","31130","28700"
"In post","2021","Unknown","Female","Psychology","130","130","32980","30930"
"In post","2021","Unknown","Female","Science and Engineering","810","750","40610","38940"
"In post","2021","Unknown","Female","Security","290","280","31180","28080"
"In post","2021","Unknown","Female","Social Research","160","160","36270","36940"
"In post","2021","Unknown","Female","Statistics","200","190","39280","37010"
"In post","2021","Unknown","Female","Tax","2710","2540","27030","25560"
"In post","2021","Unknown","Female","Unknown","7370","7000","36350","29250"
"In post","2021","Unknown","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Commercial","480","470","39740","36500"
"In post","2021","Unknown","Male","Communications","400","400","42400","38620"
"In post","2021","Unknown","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Counter Fraud","90","80","41330","37380"
"In post","2021","Unknown","Male","Digital, Data and Technology","2170","2140","41130","38050"
"In post","2021","Unknown","Male","Economics","350","350","43440","36160"
"In post","2021","Unknown","Male","Finance","640","630","39840","35000"
"In post","2021","Unknown","Male","Human Resources","350","350","34980","31810"
"In post","2021","Unknown","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Intelligence Analysis","260","250","43010","39420"
"In post","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","International Trade","290","280","47300","39070"
"In post","2021","Unknown","Male","Knowledge and Information Management","150","150","41080","38510"
"In post","2021","Unknown","Male","Legal","1090","1070","42630","38000"
"In post","2021","Unknown","Male","Medicine","220","210","69180","67170"
"In post","2021","Unknown","Male","Operational Delivery","15620","15030","28730","25790"
"In post","2021","Unknown","Male","Operational Research","110","110","42940","40000"
"In post","2021","Unknown","Male","Other","3550","3490","35320","32700"
"In post","2021","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Planning Inspectors","40","40","[c]","[c]"
"In post","2021","Unknown","Male","Policy","2330","2310","47460","43350"
"In post","2021","Unknown","Male","Project Delivery","1090","1070","43850","40000"
"In post","2021","Unknown","Male","Property","640","630","33540","30270"
"In post","2021","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Science and Engineering","1530","1490","39360","37320"
"In post","2021","Unknown","Male","Security","1510","1490","31160","28890"
"In post","2021","Unknown","Male","Social Research","100","100","36200","34800"
"In post","2021","Unknown","Male","Statistics","200","200","40550","37020"
"In post","2021","Unknown","Male","Tax","3110","3010","29340","25560"
"In post","2021","Unknown","Male","Unknown","6510","6420","38550","31810"
"In post","2021","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Female","Commercial","350","330","37610","36530"
"In post","2022","Declared disabled","Female","Communications","200","190","39730","36960"
"In post","2022","Declared disabled","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Female","Counter Fraud","620","540","28320","27570"
"In post","2022","Declared disabled","Female","Digital, Data and Technology","700","660","38870","35970"
"In post","2022","Declared disabled","Female","Economics","50","40","[c]","[c]"
"In post","2022","Declared disabled","Female","Finance","660","620","37340","33300"
"In post","2022","Declared disabled","Female","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Female","Human Resources","900","840","39680","35070"
"In post","2022","Declared disabled","Female","Inspector of Education and Training","50","50","59630","51360"
"In post","2022","Declared disabled","Female","Intelligence Analysis","150","140","31410","28760"
"In post","2022","Declared disabled","Female","Internal Audit","50","50","44610","41230"
"In post","2022","Declared disabled","Female","International Trade","70","70","45290","39810"
"In post","2022","Declared disabled","Female","Knowledge and Information Management","170","160","33750","31990"
"In post","2022","Declared disabled","Female","Legal","640","570","49090","50500"
"In post","2022","Declared disabled","Female","Medicine","80","70","51840","40880"
"In post","2022","Declared disabled","Female","Operational Delivery","19970","17410","27540","27350"
"In post","2022","Declared disabled","Female","Operational Research","40","30","[c]","[c]"
"In post","2022","Declared disabled","Female","Other","1990","1800","27890","26820"
"In post","2022","Declared disabled","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Female","Policy","1800","1720","44400","40050"
"In post","2022","Declared disabled","Female","Project Delivery","890","830","39870","36970"
"In post","2022","Declared disabled","Female","Property","280","260","36850","33300"
"In post","2022","Declared disabled","Female","Psychology","110","100","32910","29750"
"In post","2022","Declared disabled","Female","Science and Engineering","360","330","35290","32330"
"In post","2022","Declared disabled","Female","Security","200","190","32240","29060"
"In post","2022","Declared disabled","Female","Social Research","90","80","41680","38340"
"In post","2022","Declared disabled","Female","Statistics","120","110","42950","38670"
"In post","2022","Declared disabled","Female","Tax","820","750","35960","33370"
"In post","2022","Declared disabled","Female","Unknown","1470","1400","39080","34550"
"In post","2022","Declared disabled","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Male","Commercial","250","240","39140","36500"
"In post","2022","Declared disabled","Male","Communications","120","120","37320","34360"
"In post","2022","Declared disabled","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Male","Counter Fraud","370","340","28390","27570"
"In post","2022","Declared disabled","Male","Digital, Data and Technology","1040","1010","40860","36970"
"In post","2022","Declared disabled","Male","Economics","70","70","47860","41840"
"In post","2022","Declared disabled","Male","Finance","460","440","40040","36050"
"In post","2022","Declared disabled","Male","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Male","Human Resources","370","360","40210","36190"
"In post","2022","Declared disabled","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Male","Intelligence Analysis","150","140","35260","33080"
"In post","2022","Declared disabled","Male","Internal Audit","40","40","[c]","[c]"
"In post","2022","Declared disabled","Male","International Trade","60","60","49820","51710"
"In post","2022","Declared disabled","Male","Knowledge and Information Management","130","130","36730","33220"
"In post","2022","Declared disabled","Male","Legal","410","390","49450","50510"
"In post","2022","Declared disabled","Male","Medicine","40","40","[c]","[c]"
"In post","2022","Declared disabled","Male","Operational Delivery","11360","10670","28530","27570"
"In post","2022","Declared disabled","Male","Operational Research","50","50","44730","41320"
"In post","2022","Declared disabled","Male","Other","1330","1280","29200","27040"
"In post","2022","Declared disabled","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Male","Policy","1290","1270","46130","40740"
"In post","2022","Declared disabled","Male","Project Delivery","620","600","42330","40180"
"In post","2022","Declared disabled","Male","Property","320","310","37530","33310"
"In post","2022","Declared disabled","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Male","Science and Engineering","660","640","37590","37220"
"In post","2022","Declared disabled","Male","Security","510","490","32770","31230"
"In post","2022","Declared disabled","Male","Social Research","40","40","[c]","[c]"
"In post","2022","Declared disabled","Male","Statistics","120","120","41950","38340"
"In post","2022","Declared disabled","Male","Tax","750","710","37140","33370"
"In post","2022","Declared disabled","Male","Unknown","1110","1090","40550","34550"
"In post","2022","Declared disabled","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Female","Commercial","2210","2090","38590","36050"
"In post","2022","Declared non-disabled","Female","Communications","1570","1490","42580","39580"
"In post","2022","Declared non-disabled","Female","Corporate Finance","70","60","42490","38590"
"In post","2022","Declared non-disabled","Female","Counter Fraud","2950","2570","28120","27570"
"In post","2022","Declared non-disabled","Female","Digital, Data and Technology","4660","4420","41120","37930"
"In post","2022","Declared non-disabled","Female","Economics","540","520","48470","50810"
"In post","2022","Declared non-disabled","Female","Finance","4840","4560","38870","34520"
"In post","2022","Declared non-disabled","Female","Geography","110","100","31280","33000"
"In post","2022","Declared non-disabled","Female","Human Resources","4560","4260","38920","34290"
"In post","2022","Declared non-disabled","Female","Inspector of Education and Training","570","550","63570","64500"
"In post","2022","Declared non-disabled","Female","Intelligence Analysis","1090","1020","32010","29080"
"In post","2022","Declared non-disabled","Female","Internal Audit","310","290","44530","42230"
"In post","2022","Declared non-disabled","Female","International Trade","370","360","47970","48220"
"In post","2022","Declared non-disabled","Female","Knowledge and Information Management","930","870","34360","31880"
"In post","2022","Declared non-disabled","Female","Legal","5130","4670","50350","51250"
"In post","2022","Declared non-disabled","Female","Medicine","1120","980","49810","39630"
"In post","2022","Declared non-disabled","Female","Operational Delivery","100750","88960","27990","26840"
"In post","2022","Declared non-disabled","Female","Operational Research","340","320","44080","41750"
"In post","2022","Declared non-disabled","Female","Other","11140","10240","29170","26670"
"In post","2022","Declared non-disabled","Female","Planning","80","70","45320","41560"
"In post","2022","Declared non-disabled","Female","Planning Inspectors","100","90","55230","58810"
"In post","2022","Declared non-disabled","Female","Policy","12090","11540","46950","42500"
"In post","2022","Declared non-disabled","Female","Project Delivery","5870","5530","41710","39000"
"In post","2022","Declared non-disabled","Female","Property","2150","2000","36590","33300"
"In post","2022","Declared non-disabled","Female","Psychology","980","940","36160","31180"
"In post","2022","Declared non-disabled","Female","Science and Engineering","3160","2960","38020","36580"
"In post","2022","Declared non-disabled","Female","Security","1460","1410","33170","31180"
"In post","2022","Declared non-disabled","Female","Social Research","580","550","43650","40180"
"In post","2022","Declared non-disabled","Female","Statistics","720","670","45190","41860"
"In post","2022","Declared non-disabled","Female","Tax","5590","5210","35580","33370"
"In post","2022","Declared non-disabled","Female","Unknown","9210","8770","41580","36130"
"In post","2022","Declared non-disabled","Female","Veterinarian","170","160","44260","40810"
"In post","2022","Declared non-disabled","Male","Commercial","1790","1760","42080","38800"
"In post","2022","Declared non-disabled","Male","Communications","1060","1040","43000","39580"
"In post","2022","Declared non-disabled","Male","Corporate Finance","60","60","57180","48090"
"In post","2022","Declared non-disabled","Male","Counter Fraud","1990","1870","30530","27570"
"In post","2022","Declared non-disabled","Male","Digital, Data and Technology","8340","8220","43170","40060"
"In post","2022","Declared non-disabled","Male","Economics","850","840","49500","51210"
"In post","2022","Declared non-disabled","Male","Finance","3750","3700","43620","40000"
"In post","2022","Declared non-disabled","Male","Geography","180","180","32140","33290"
"In post","2022","Declared non-disabled","Male","Human Resources","1880","1840","40610","36740"
"In post","2022","Declared non-disabled","Male","Inspector of Education and Training","230","230","73150","75500"
"In post","2022","Declared non-disabled","Male","Intelligence Analysis","1220","1190","35090","31810"
"In post","2022","Declared non-disabled","Male","Internal Audit","280","270","47750","45390"
"In post","2022","Declared non-disabled","Male","International Trade","510","500","48110","47070"
"In post","2022","Declared non-disabled","Male","Knowledge and Information Management","730","720","36720","33570"
"In post","2022","Declared non-disabled","Male","Legal","3430","3330","49820","50500"
"In post","2022","Declared non-disabled","Male","Medicine","430","390","63590","61440"
"In post","2022","Declared non-disabled","Male","Operational Delivery","67040","64420","29930","27570"
"In post","2022","Declared non-disabled","Male","Operational Research","540","530","46400","47010"
"In post","2022","Declared non-disabled","Male","Other","8520","8350","32030","27570"
"In post","2022","Declared non-disabled","Male","Planning","100","90","46540","41500"
"In post","2022","Declared non-disabled","Male","Planning Inspectors","170","150","56950","58810"
"In post","2022","Declared non-disabled","Male","Policy","10320","10180","49520","48770"
"In post","2022","Declared non-disabled","Male","Project Delivery","5600","5490","45800","41330"
"In post","2022","Declared non-disabled","Male","Property","3080","2990","40410","36630"
