"Status","Year","Region_ITL1","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Legal","50-59","150","140","45540","46210"
"In post","2021","East Midlands (England)","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","30-39","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","40-49","60","50","46800","40890"
"In post","2021","East Midlands (England)","Medicine","50-59","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","20-29","1660","1620","23920","23470"
"In post","2021","East Midlands (England)","Operational Delivery","30-39","2110","1960","26440","25400"
"In post","2021","East Midlands (England)","Operational Delivery","40-49","2260","2090","28490","26410"
"In post","2021","East Midlands (England)","Operational Delivery","50-59","3060","2840","29160","27130"
"In post","2021","East Midlands (England)","Operational Delivery","60-64","800","660","26230","23050"
"In post","2021","East Midlands (England)","Operational Delivery","65+","200","140","25510","22160"
"In post","2021","East Midlands (England)","Operational Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","20-29","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Other","30-39","110","100","26410","21130"
"In post","2021","East Midlands (England)","Other","40-49","160","150","26380","21160"
"In post","2021","East Midlands (England)","Other","50-59","350","340","25440","21130"
"In post","2021","East Midlands (England)","Other","60-64","140","130","24710","21130"
"In post","2021","East Midlands (England)","Other","65+","50","50","22550","20720"
"In post","2021","East Midlands (England)","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","30-39","70","70","40570","37030"
"In post","2021","East Midlands (England)","Policy","40-49","80","70","41640","38630"
"In post","2021","East Midlands (England)","Policy","50-59","60","60","47220","42520"
"In post","2021","East Midlands (England)","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","30-39","60","60","35070","33300"
"In post","2021","East Midlands (England)","Project Delivery","40-49","100","100","41030","39390"
"In post","2021","East Midlands (England)","Project Delivery","50-59","150","150","40860","38550"
"In post","2021","East Midlands (England)","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","20-29","60","50","22790","18760"
"In post","2021","East Midlands (England)","Property","30-39","70","60","32060","26500"
"In post","2021","East Midlands (England)","Property","40-49","100","90","33960","31810"
"In post","2021","East Midlands (England)","Property","50-59","190","190","36950","33630"
"In post","2021","East Midlands (England)","Property","60-64","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","20-29","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","30-39","70","70","34690","31180"
"In post","2021","East Midlands (England)","Psychology","40-49","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","20-29","60","50","29450","28590"
"In post","2021","East Midlands (England)","Science and Engineering","30-39","80","80","37240","34730"
"In post","2021","East Midlands (England)","Science and Engineering","40-49","120","110","41870","39390"
"In post","2021","East Midlands (England)","Science and Engineering","50-59","210","200","41650","39870"
"In post","2021","East Midlands (England)","Science and Engineering","60-64","60","50","39980","38930"
"In post","2021","East Midlands (England)","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","30-39","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Security","40-49","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Security","50-59","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","20-29","290","290","27790","25560"
"In post","2021","East Midlands (England)","Tax","30-39","330","320","31110","31810"
"In post","2021","East Midlands (England)","Tax","40-49","280","270","35630","31810"
"In post","2021","East Midlands (England)","Tax","50-59","360","350","36160","31870"
"In post","2021","East Midlands (England)","Tax","60-64","80","60","35340","31870"
"In post","2021","East Midlands (England)","Tax","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","20-29","560","550","25960","27570"
"In post","2021","East Midlands (England)","Unknown","30-39","850","770","26490","27570"
"In post","2021","East Midlands (England)","Unknown","40-49","1140","1020","26730","27570"
"In post","2021","East Midlands (England)","Unknown","50-59","1750","1570","26710","27570"
"In post","2021","East Midlands (England)","Unknown","60-64","450","350","25700","27570"
"In post","2021","East Midlands (England)","Unknown","65+","110","80","24740","21010"
"In post","2021","East Midlands (England)","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","30-39","60","60","36410","34800"
"In post","2021","East of England","Commercial","40-49","60","50","38760","37250"
"In post","2021","East of England","Commercial","50-59","90","80","44220","40670"
"In post","2021","East of England","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","20-29","50","50","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","30-39","70","70","32910","31810"
"In post","2021","East of England","Digital, Data and Technology","40-49","140","130","39040","35820"
"In post","2021","East of England","Digital, Data and Technology","50-59","180","170","38430","36970"
"In post","2021","East of England","Digital, Data and Technology","60-64","50","40","36890","35000"
"In post","2021","East of England","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","20-29","40","40","[c]","[c]"
"In post","2021","East of England","Finance","30-39","60","60","35990","33300"
"In post","2021","East of England","Finance","40-49","90","80","40680","36970"
"In post","2021","East of England","Finance","50-59","160","150","38060","35010"
"In post","2021","East of England","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","30-39","40","40","[c]","[c]"
"In post","2021","East of England","Human Resources","40-49","40","30","[c]","[c]"
"In post","2021","East of England","Human Resources","50-59","80","70","36390","33490"
"In post","2021","East of England","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","50-59","50","50","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","20-29","70","70","29210","26670"
"In post","2021","East of England","Intelligence Analysis","30-39","110","110","32810","33300"
"In post","2021","East of England","Intelligence Analysis","40-49","100","100","33960","33300"
"In post","2021","East of England","Intelligence Analysis","50-59","110","110","32530","33300"
"In post","2021","East of England","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","30-39","30","30","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","40-49","50","40","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","50-59","40","40","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","20-29","70","70","28120","25560"
"In post","2021","East of England","Legal","30-39","120","110","36870","35230"
"In post","2021","East of England","Legal","40-49","190","170","40950","36240"
"In post","2021","East of England","Legal","50-59","240","220","39960","34480"
"In post","2021","East of England","Legal","60-64","50","40","[c]","[c]"
"In post","2021","East of England","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","30-39","40","30","[c]","[c]"
"In post","2021","East of England","Medicine","40-49","40","30","[c]","[c]"
"In post","2021","East of England","Medicine","50-59","60","60","69470","41720"
"In post","2021","East of England","Medicine","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","16-19","40","30","[c]","[c]"
"In post","2021","East of England","Operational Delivery","20-29","1620","1580","25470","24890"
"In post","2021","East of England","Operational Delivery","30-39","1990","1870","27760","26850"
"In post","2021","East of England","Operational Delivery","40-49","2330","2170","29500","27370"
"In post","2021","East of England","Operational Delivery","50-59","3060","2870","29720","27370"
"In post","2021","East of England","Operational Delivery","60-64","870","710","27770","26520"
"In post","2021","East of England","Operational Delivery","65+","300","220","26090","23270"
"In post","2021","East of England","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other","20-29","70","70","22030","20920"
"In post","2021","East of England","Other","30-39","120","110","25750","21130"
"In post","2021","East of England","Other","40-49","240","230","25340","21580"
"In post","2021","East of England","Other","50-59","500","480","24870","21580"
"In post","2021","East of England","Other","60-64","200","190","24180","21130"
"In post","2021","East of England","Other","65+","60","50","23020","21130"
"In post","2021","East of England","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","30-39","60","50","46830","45200"
"In post","2021","East of England","Policy","40-49","50","50","45460","44500"
"In post","2021","East of England","Policy","50-59","60","60","41670","38630"
"In post","2021","East of England","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","20-29","50","50","32870","33000"
"In post","2021","East of England","Project Delivery","30-39","110","100","37490","33710"
"In post","2021","East of England","Project Delivery","40-49","150","140","38790","37920"
"In post","2021","East of England","Project Delivery","50-59","220","220","42400","38980"
"In post","2021","East of England","Project Delivery","60-64","50","50","38800","38510"
"In post","2021","East of England","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","20-29","40","40","[c]","[c]"
"In post","2021","East of England","Property","30-39","60","60","32950","33000"
"In post","2021","East of England","Property","40-49","100","100","34340","33300"
"In post","2021","East of England","Property","50-59","200","190","33490","33250"
"In post","2021","East of England","Property","60-64","80","70","33840","33300"
"In post","2021","East of England","Property","65+","30","30","[c]","[c]"
"In post","2021","East of England","Psychology","20-29","50","50","[c]","[c]"
"In post","2021","East of England","Psychology","30-39","70","70","33480","31180"
"In post","2021","East of England","Psychology","40-49","30","30","[c]","[c]"
"In post","2021","East of England","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Science and Engineering","20-29","100","100","27280","25130"
"In post","2021","East of England","Science and Engineering","30-39","220","210","35980","33170"
"In post","2021","East of England","Science and Engineering","40-49","230","210","39760","37960"
"In post","2021","East of England","Science and Engineering","50-59","250","240","39180","34570"
"In post","2021","East of England","Science and Engineering","60-64","90","80","36640","32670"
"In post","2021","East of England","Science and Engineering","65+","30","30","[c]","[c]"
"In post","2021","East of England","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","20-29","60","60","25010","24610"
"In post","2021","East of England","Security","30-39","110","110","30360","26750"
"In post","2021","East of England","Security","40-49","110","110","33580","34470"
"In post","2021","East of England","Security","50-59","210","200","37990","39070"
"In post","2021","East of England","Security","60-64","60","50","29930","22650"
"In post","2021","East of England","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Tax","40-49","70","60","34940","31810"
"In post","2021","East of England","Tax","50-59","130","120","34410","31870"
"In post","2021","East of England","Tax","60-64","30","20","[c]","[c]"
"In post","2021","East of England","Tax","65+","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","20-29","520","510","27520","27570"
"In post","2021","East of England","Unknown","30-39","710","640","28670","27570"
"In post","2021","East of England","Unknown","40-49","1220","1090","29140","27570"
"In post","2021","East of England","Unknown","50-59","1800","1650","29400","28100"
"In post","2021","East of England","Unknown","60-64","510","430","28770","27570"
"In post","2021","East of England","Unknown","65+","150","110","27520","27570"
"In post","2021","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Commercial","20-29","140","140","37910","35500"
"In post","2021","London","Commercial","30-39","190","180","46590","42470"
"In post","2021","London","Commercial","40-49","230","220","52470","47150"
"In post","2021","London","Commercial","50-59","250","240","49490","46250"
"In post","2021","London","Commercial","60-64","60","60","51980","44980"
"In post","2021","London","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Communications","20-29","600","590","36620","35430"
"In post","2021","London","Communications","30-39","680","670","48060","45250"
"In post","2021","London","Communications","40-49","470","450","53970","53130"
"In post","2021","London","Communications","50-59","280","270","50070","45200"
"In post","2021","London","Communications","60-64","40","40","[c]","[c]"
"In post","2021","London","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","30-39","30","30","[c]","[c]"
"In post","2021","London","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","London","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","20-29","60","60","32430","33100"
"In post","2021","London","Counter Fraud","30-39","110","110","41370","40000"
"In post","2021","London","Counter Fraud","40-49","80","70","46190","41970"
"In post","2021","London","Counter Fraud","50-59","110","110","48580","41580"
"In post","2021","London","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","London","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Digital, Data and Technology","20-29","540","530","38690","36800"
"In post","2021","London","Digital, Data and Technology","30-39","830","820","49950","48900"
"In post","2021","London","Digital, Data and Technology","40-49","910","890","53640","52500"
"In post","2021","London","Digital, Data and Technology","50-59","810","800","51360","47730"
"In post","2021","London","Digital, Data and Technology","60-64","150","150","50440","44410"
"In post","2021","London","Digital, Data and Technology","65+","60","50","49720","46140"
"In post","2021","London","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Economics","20-29","1020","1010","38230","34330"
"In post","2021","London","Economics","30-39","440","420","58460","57980"
"In post","2021","London","Economics","40-49","170","160","67690","66280"
"In post","2021","London","Economics","50-59","100","100","67770","68880"
"In post","2021","London","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","London","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Finance","20-29","410","400","39600","36120"
"In post","2021","London","Finance","30-39","570","560","51270","53420"
"In post","2021","London","Finance","40-49","700","680","52940","50420"
"In post","2021","London","Finance","50-59","670","660","50790","45200"
"In post","2021","London","Finance","60-64","150","140","46760","41760"
"In post","2021","London","Finance","65+","60","60","39160","36570"
"In post","2021","London","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","20-29","450","440","36330","32730"
"In post","2021","London","Human Resources","30-39","520","510","46400","42190"
"In post","2021","London","Human Resources","40-49","620","600","50890","46070"
"In post","2021","London","Human Resources","50-59","670","660","50410","45960"
"In post","2021","London","Human Resources","60-64","110","100","48600","44770"
"In post","2021","London","Human Resources","65+","40","30","[c]","[c]"
"In post","2021","London","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"In post","2021","London","Inspector of Education and Training","40-49","70","70","64000","64500"
"In post","2021","London","Inspector of Education and Training","50-59","100","90","68010","64500"
"In post","2021","London","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
