"Status","Year","Sex","Region_ITL3","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Antrim and Newtownabbey","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Operational Delivery","100","90","27440","24080"
"In post","2021","Female","Barking & Dagenham and Havering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Unknown","290","250","30770","31060"
"In post","2021","Female","Barnet","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Female","Barnet","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Operational Delivery","340","310","34430","32090"
"In post","2021","Female","Barnet","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Science and Engineering","390","360","40300","38940"
"In post","2021","Female","Barnet","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Unknown","220","200","30620","31060"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Operational Delivery","700","630","26240","23840"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Psychology","30","30","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Unknown","1030","830","25040","27570"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","580","540","37690","34270"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","30","30","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","100","90","36960","33300"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","430","410","39740","34720"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","330","290","33560","28840"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","70","70","36080","33980"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Operational Delivery","750","680","29480","27250"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","1110","1020","31010","28230"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","60","60","38700","36660"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","1120","1060","37320","35630"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","40","40","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Science and Engineering","290","280","36970","33740"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","50","40","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","300","260","33050","27570"
"In post","2021","Female","Bedford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Operational Delivery","310","290","28760","26410"
"In post","2021","Female","Bedford","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Unknown","120","100","28020","27570"
"In post","2021","Female","Belfast","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Legal","70","70","29880","27540"
"In post","2021","Female","Belfast","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Operational Delivery","820","710","25820","24890"
"In post","2021","Female","Belfast","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Other","30","30","[c]","[c]"
"In post","2021","Female","Belfast","Policy","40","40","[c]","[c]"
"In post","2021","Female","Belfast","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Tax","310","280","31400","31810"
"In post","2021","Female","Belfast","Unknown","60","50","28850","25560"
"In post","2021","Female","Belfast","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2021","Female","Berkshire","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Human Resources","30","30","[c]","[c]"
"In post","2021","Female","Berkshire","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Legal","100","90","47240","50520"
"In post","2021","Female","Berkshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Operational Delivery","440","410","28480","25630"
"In post","2021","Female","Berkshire","Other","90","90","26110","21580"
"In post","2021","Female","Berkshire","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Security","60","60","32510","28750"
"In post","2021","Female","Berkshire","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Tax","90","80","36820","35000"
"In post","2021","Female","Berkshire","Unknown","330","300","29930","29290"
"In post","2021","Female","Bexley and Greenwich","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Operational Delivery","560","530","29790","28590"
"In post","2021","Female","Bexley and Greenwich","Other","30","30","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Unknown","280","250","31040","31060"
"In post","2021","Female","Birmingham","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Birmingham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Digital, Data and Technology","70","70","41700","38370"
"In post","2021","Female","Birmingham","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Finance","50","40","[c]","[c]"
"In post","2021","Female","Birmingham","Human Resources","70","70","40510","39670"
"In post","2021","Female","Birmingham","Inspector of Education and Training","70","70","62880","51360"
"In post","2021","Female","Birmingham","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Female","Birmingham","Legal","220","200","47640","49080"
"In post","2021","Female","Birmingham","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Operational Delivery","3200","2880","26390","22720"
"In post","2021","Female","Birmingham","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Other","100","90","27010","21580"
"In post","2021","Female","Birmingham","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Policy","140","140","37870","30780"
"In post","2021","Female","Birmingham","Project Delivery","140","130","40400","38630"
"In post","2021","Female","Birmingham","Property","90","80","32070","28650"
"In post","2021","Female","Birmingham","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Science and Engineering","130","120","37420","36330"
"In post","2021","Female","Birmingham","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Tax","560","520","32430","31810"
"In post","2021","Female","Birmingham","Unknown","1510","1300","27420","27570"
"In post","2021","Female","Birmingham","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Operational Delivery","80","70","25720","22920"
"In post","2021","Female","Blackburn with Darwen","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Unknown","210","180","26650","27570"
"In post","2021","Female","Blackpool","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Operational Delivery","110","100","25500","22920"
"In post","2021","Female","Blackpool","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Unknown","3060","2700","28210","27570"
"In post","2021","Female","Bournemouth and Poole","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Operational Delivery","180","160","25980","22920"
"In post","2021","Female","Bournemouth and Poole","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Unknown","190","150","27290","27570"
"In post","2021","Female","Bradford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Digital, Data and Technology","90","80","36530","31810"
"In post","2021","Female","Bradford","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Finance","160","130","23570","21440"
"In post","2021","Female","Bradford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Operational Delivery","790","650","24930","21440"
"In post","2021","Female","Bradford","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Project Delivery","50","50","45600","38630"
"In post","2021","Female","Bradford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Tax","130","120","28630","27250"
"In post","2021","Female","Bradford","Unknown","600","500","26040","27570"
"In post","2021","Female","Breckland and South Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Operational Delivery","150","140","26690","23970"
"In post","2021","Female","Breckland and South Norfolk","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Unknown","40","30","[c]","[c]"
"In post","2021","Female","Brent","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","Operational Delivery","160","150","28160","23500"
"In post","2021","Female","Brent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","Property","60","50","33970","29890"
"In post","2021","Female","Brent","Unknown","170","150","30230","31060"
"In post","2021","Female","Bridgend and Neath Port Talbot","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Operational Delivery","150","140","27340","23350"
"In post","2021","Female","Bridgend and Neath Port Talbot","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Unknown","330","280","25950","27570"
"In post","2021","Female","Brighton and Hove","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Legal","40","40","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Operational Delivery","200","170","27230","23520"
"In post","2021","Female","Brighton and Hove","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Unknown","170","150","27460","27570"
"In post","2021","Female","Bristol, City of","Commercial","50","50","38230","36970"
"In post","2021","Female","Bristol, City of","Communications","50","50","36580","35900"
"In post","2021","Female","Bristol, City of","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Digital, Data and Technology","130","120","40730","38630"
"In post","2021","Female","Bristol, City of","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Finance","80","70","37880","36500"
"In post","2021","Female","Bristol, City of","Human Resources","110","100","40630","38590"
"In post","2021","Female","Bristol, City of","Inspector of Education and Training","60","60","62380","51360"
"In post","2021","Female","Bristol, City of","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Female","Bristol, City of","Legal","130","120","39520","34480"
"In post","2021","Female","Bristol, City of","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Operational Delivery","1110","1000","28470","24920"
"In post","2021","Female","Bristol, City of","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Other","70","60","30790","25880"
"In post","2021","Female","Bristol, City of","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Planning Inspectors","120","100","57830","58810"
"In post","2021","Female","Bristol, City of","Policy","290","260","39400","36500"
