"Status","Year","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Male","Unknown","1490","1370","38070","33120"
"Leaver Dept.","2021","Male","White","2810","2710","39040","33440"
"Leaver Dept.","2021","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Asian","1400","1290","36590","31060"
"Leaver Dept.","2022","Female","Black","870","810","35350","31060"
"Leaver Dept.","2022","Female","Mixed","400","360","36020","32330"
"Leaver Dept.","2022","Female","Other ethnicity","120","110","38470","32560"
"Leaver Dept.","2022","Female","Undeclared","560","500","40790","36330"
"Leaver Dept.","2022","Female","Unknown","2340","1670","36270","32000"
"Leaver Dept.","2022","Female","White","8270","7600","38270","32790"
"Leaver Dept.","2022","Male","Asian","1030","980","36080","31060"
"Leaver Dept.","2022","Male","Black","370","360","38140","32330"
"Leaver Dept.","2022","Male","Mixed","240","230","39280","34640"
"Leaver Dept.","2022","Male","Other ethnicity","70","70","44930","36830"
"Leaver Dept.","2022","Male","Undeclared","520","500","41910","36740"
"Leaver Dept.","2022","Male","Unknown","1980","1470","38060","32000"
"Leaver Dept.","2022","Male","White","5500","5240","40970","34710"
"Leaver Dept.","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","White","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Asian","2140","2050","29410","27570"
"New entrant CS","2021","Female","Black","1770","1720","29720","29290"
"New entrant CS","2021","Female","Chinese","80","80","32500","29540"
"New entrant CS","2021","Female","Mixed","960","930","29460","27570"
"New entrant CS","2021","Female","Other ethnicity","230","220","30330","28000"
"New entrant CS","2021","Female","Undeclared","440","420","29810","27570"
"New entrant CS","2021","Female","Unknown","8890","8570","28800","25560"
"New entrant CS","2021","Female","White","17160","16520","28590","27570"
"New entrant CS","2021","Male","Asian","1960","1940","30710","27570"
"New entrant CS","2021","Male","Black","880","870","30320","29290"
"New entrant CS","2021","Male","Chinese","50","50","31110","29290"
"New entrant CS","2021","Male","Mixed","570","570","30250","27570"
"New entrant CS","2021","Male","Other ethnicity","160","150","32550","31030"
"New entrant CS","2021","Male","Undeclared","540","530","31700","27570"
"New entrant CS","2021","Male","Unknown","7910","7780","30200","25560"
"New entrant CS","2021","Male","White","13390","13240","30100","27570"
"New entrant CS","2021","Unknown","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","White","30","30","[c]","[c]"
"New entrant CS","2022","Female","Asian","2730","2620","29500","27570"
"New entrant CS","2022","Female","Black","1700","1640","29860","27980"
"New entrant CS","2022","Female","Mixed","1020","980","29590","27570"
"New entrant CS","2022","Female","Other ethnicity","240","240","29060","27270"
"New entrant CS","2022","Female","Undeclared","420","400","30650","27570"
"New entrant CS","2022","Female","Unknown","11910","11160","28400","25480"
"New entrant CS","2022","Female","White","21400","20530","29200","26590"
"New entrant CS","2022","Male","Asian","2390","2340","29980","27570"
"New entrant CS","2022","Male","Black","1020","1000","30900","29010"
"New entrant CS","2022","Male","Mixed","610","600","30090","27570"
"New entrant CS","2022","Male","Other ethnicity","180","180","31070","28650"
"New entrant CS","2022","Male","Undeclared","570","550","33190","29360"
"New entrant CS","2022","Male","Unknown","9700","9300","29830","26590"
"New entrant CS","2022","Male","White","15520","15290","30790","27430"
"New entrant CS","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Ethnicity","Self reported ethnicity. For consistency with Civil Service Statistics, 'Chinese' is shown separately in the 2021 figures, but counted within 'Asian' for 2022.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
