"Status","Year","Organisation","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Office","Heterosexual / straight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Commercial","300","290","72280","64500"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Communications","190","180","47440","42210"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Counter Fraud","70","70","48510","50730"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Digital, Data & Technology","660","650","51890","54700"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Finance","60","60","48280","43090"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Human Resources","870","820","39480","35590"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Legal","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","No function","1520","1500","47360","41760"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Project Delivery","150","150","70290","64500"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Property","80","80","50370","53000"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Security","470","450","34980","33300"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Digital, Data & Technology","90","90","49320","54700"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Human Resources","70","70","38240","35820"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","No function","180","170","46130","40600"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Security","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Commercial","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Digital, Data & Technology","100","90","52380","54700"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Human Resources","50","50","41150","35670"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","No function","190","180","45420","40600"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Security","60","60","35870","33300"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Commercial","1070","1060","70560","64500"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Communications","120","120","47830","42320"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Digital, Data & Technology","130","130","49140","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Human Resources","130","120","36850","34550"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","No function","2280","2280","35460","29250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Security","310","300","29810","26670"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Analysis","170","160","32880","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Analysis","270","260","34420","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Project Delivery","30","30","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Unknown","120","110","32660","29160"
"In post","2021","Charity Commission","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","120","110","32430","29160"
"In post","2021","Companies House","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Digital, Data & Technology","170","170","39590","38000"
"In post","2021","Companies House","Heterosexual / straight","Finance","50","40","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Human Resources","70","60","32790","27460"
"In post","2021","Companies House","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","No function","370","340","26300","22490"
"In post","2021","Companies House","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","No function","50","50","25720","22490"
"In post","2021","Companies House","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Digital, Data & Technology","50","50","36310","36530"
"In post","2021","Companies House","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","No function","180","150","23840","22490"
"In post","2021","Companies House","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Analysis","100","100","59350","56360"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Digital, Data & Technology","60","60","56130","51270"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Human Resources","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Legal","130","130","68500","72430"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Project Delivery","310","290","59990","56360"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","No function","180","170","26030","22570"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","No function","70","60","24300","22570"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Commercial","250","240","34760","34800"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Digital, Data & Technology","80","80","42190","38600"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","No function","130","130","41390","36740"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Commercial","90","90","31730","30150"
"In post","2021","Crown Commercial Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","No function","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
