"Status","Year","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","2600","2300","34340","30660"
"In post","2021","Declared non-disabled","Wales Office","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","170","160","57080","51120"
"In post","2021","Declared non-disabled","Welsh Government","4920","4660","41290","37410"
"In post","2021","Undeclared","Attorney General's Departments","140","130","54320","54090"
"In post","2021","Undeclared","Cabinet Office","290","280","44640","38890"
"In post","2021","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy","410","400","45100","40220"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","70","70","46060","51440"
"In post","2021","Undeclared","Department for Education","370","360","44130","39760"
"In post","2021","Undeclared","Department for Environment, Food and Rural Affairs","430","410","36850","33290"
"In post","2021","Undeclared","Department for International Trade","70","70","47320","51710"
"In post","2021","Undeclared","Department for Transport","1550","1460","35490","32180"
"In post","2021","Undeclared","Department for Work and Pensions","4200","3890","28120","27570"
"In post","2021","Undeclared","Department of Health and Social Care","550","490","47040","40320"
"In post","2021","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Food Standards Agency","430","420","38670","37350"
"In post","2021","Undeclared","Foreign, Commonwealth and Development Office","350","340","48560","43550"
"In post","2021","Undeclared","HM Land Registry","230","210","32430","31740"
"In post","2021","Undeclared","HM Revenue and Customs","3280","3010","33470","31810"
"In post","2021","Undeclared","HM Treasury","390","380","44400","38000"
"In post","2021","Undeclared","Home Office","1810","1680","32620","28930"
"In post","2021","Undeclared","Ministry of Defence","4190","4070","34360","33300"
"In post","2021","Undeclared","Ministry of Housing, Communities and Local Government","170","160","45110","42980"
"In post","2021","Undeclared","Ministry of Justice","9090","8370","30850","31650"
"In post","2021","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other Cabinet Office Agencies","40","30","[c]","[c]"
"In post","2021","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Government","310","300","39090","34150"
"In post","2021","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","United Kingdom Statistics Authority","130","100","29030","25550"
"In post","2021","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Welsh Government","180","170","42290","37410"
"In post","2021","Unknown","Attorney General's Departments","2000","1900","41800","39750"
"In post","2021","Unknown","Cabinet Office","3970","3920","44660","32240"
"In post","2021","Unknown","Chancellor's other departments","50","40","[c]","[c]"
"In post","2021","Unknown","Charity Commission","200","190","34510","29400"
"In post","2021","Unknown","Competition and Markets Authority","80","70","72500","74650"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy","2910","2790","35640","33570"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","260","260","48520","51610"
"In post","2021","Unknown","Department for Education","1260","1240","39560","36500"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs","1220","1160","40080","36520"
"In post","2021","Unknown","Department for International Trade","1000","990","44640","38540"
"In post","2021","Unknown","Department for Transport","2010","1910","29460","26520"
"In post","2021","Unknown","Department for Work and Pensions","3240","3090","28880","27570"
"In post","2021","Unknown","Department of Health and Social Care","4810","4630","47180","40650"
"In post","2021","Unknown","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","1590","1550","48670","49370"
"In post","2021","Unknown","HM Land Registry","1950","1880","27260","22350"
"In post","2021","Unknown","HM Revenue and Customs","20060","18480","28140","25560"
"In post","2021","Unknown","HM Treasury","210","200","54740","52500"
"In post","2021","Unknown","Home Office","2010","1970","32040","25770"
"In post","2021","Unknown","Ministry of Defence","10070","9770","34570","32700"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","380","370","44010","40720"
"In post","2021","Unknown","Ministry of Justice","7660","7410","26780","24440"
"In post","2021","Unknown","National Crime Agency","3520","3450","38560","36720"
"In post","2021","Unknown","Northern Ireland Office","60","60","40830","37030"
"In post","2021","Unknown","Office for Standards in Education","170","160","42510","42850"
"In post","2021","Unknown","Office of Gas and Electricity Markets","110","100","46990","41320"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","70","60","50580","46660"
"In post","2021","Unknown","Other Cabinet Office Agencies","530","520","36550","34800"
"In post","2021","Unknown","Scotland Office","60","60","46210","43960"
"In post","2021","Unknown","Scottish Government","10350","9730","34110","30930"
"In post","2021","Unknown","The National Archives","170","160","36230","32200"
"In post","2021","Unknown","United Kingdom Statistics Authority","2290","2090","30870","29540"
"In post","2021","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","70","70","54170","47860"
"In post","2021","Unknown","Welsh Government","350","330","39240","34490"
"In post","2022","Declared disabled","Attorney General's Departments","1070","990","43890","43390"
"In post","2022","Declared disabled","Cabinet Office","910","880","44220","38930"
"In post","2022","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","50","50","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","1260","1210","39930","36740"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","170","170","46210","38020"
"In post","2022","Declared disabled","Department for Education","780","740","41570","37030"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","1420","1350","35080","30730"
"In post","2022","Declared disabled","Department for International Trade","240","240","46100","41760"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","430","420","41110","36340"
"In post","2022","Declared disabled","Department for Transport","1390","1220","30030","26780"
"In post","2022","Declared disabled","Department for Work and Pensions","16130","14190","27570","27570"
"In post","2022","Declared disabled","Department of Health and Social Care","600","570","41710","36820"
"In post","2022","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","110","100","37940","33400"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","790","760","44390","38860"
"In post","2022","Declared disabled","HM Land Registry","670","590","29970","27130"
"In post","2022","Declared disabled","HM Revenue and Customs","6400","5790","32990","28920"
"In post","2022","Declared disabled","HM Treasury","280","270","45760","41250"
"In post","2022","Declared disabled","Home Office","3030","2810","32180","28650"
"In post","2022","Declared disabled","Ministry of Defence","4930","4740","33710","32480"
"In post","2022","Declared disabled","Ministry of Justice","10350","9640","30270","28140"
"In post","2022","Declared disabled","National Crime Agency","250","240","38600","36740"
"In post","2022","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","150","140","46630","46360"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","80","80","36830","32560"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scottish Government","1980","1880","36660","34040"
"In post","2022","Declared disabled","The National Archives","40","40","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Statistics Authority","590","520","33030","30760"
"In post","2022","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Welsh Government","350","330","39710","38160"
"In post","2022","Declared non-disabled","Attorney General's Departments","6980","6500","45640","48830"
"In post","2022","Declared non-disabled","Cabinet Office","5210","5090","48360","41460"
"In post","2022","Declared non-disabled","Chancellor's other departments","340","330","59730","49480"
"In post","2022","Declared non-disabled","Charity Commission","230","220","35650","29160"
"In post","2022","Declared non-disabled","Competition and Markets Authority","730","700","60380","56360"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","9970","9560","42860","40050"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","1560","1530","47220","51730"
"In post","2022","Declared non-disabled","Department for Education","5350","5140","45740","42750"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","9600","9130","35410","31900"
"In post","2022","Declared non-disabled","Department for International Trade","1530","1520","47150","44000"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","2920","2810","45920","42900"
"In post","2022","Declared non-disabled","Department for Transport","11280","10490","34040","27930"
"In post","2022","Declared non-disabled","Department for Work and Pensions","70360","63260","28640","27570"
"In post","2022","Declared non-disabled","Department of Health and Social Care","5160","4800","42990","37830"
"In post","2022","Declared non-disabled","Estyn","100","90","58880","75480"
"In post","2022","Declared non-disabled","Food Standards Agency","920","890","37630","32400"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","5670","5530","47970","43590"
"In post","2022","Declared non-disabled","HM Land Registry","4150","3720","32730","27130"
"In post","2022","Declared non-disabled","HM Revenue and Customs","41850","39030","34770","33080"
"In post","2022","Declared non-disabled","HM Treasury","1910","1850","48540","49510"
"In post","2022","Declared non-disabled","Home Office","26120","24320","32690","28650"
"In post","2022","Declared non-disabled","Ministry of Defence","39530","38200","34980","33000"
"In post","2022","Declared non-disabled","Ministry of Justice","57240","53760","30800","28010"
"In post","2022","Declared non-disabled","National Crime Agency","1630","1570","43870","41530"
"In post","2022","Declared non-disabled","Northern Ireland Office","100","100","46450","41750"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","1520","1470","51440","51360"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","1180","1160","43790","37230"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","190","180","44130","38760"
"In post","2022","Declared non-disabled","Office of Rail and Road","320","310","54480","54890"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland","50","40","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","11980","11480","39350","34600"
"In post","2022","Declared non-disabled","The National Archives","360","350","36680","34480"
"In post","2022","Declared non-disabled","UK Export Finance","430","420","52710","47650"
"In post","2022","Declared non-disabled","UK Statistics Authority","2930","2620","35120","30810"
"In post","2022","Declared non-disabled","UK Supreme Court","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","210","200","54540","49160"
"In post","2022","Declared non-disabled","Welsh Government","5040","4770","42250","38160"
"In post","2022","Undeclared","Attorney General's Departments","160","150","51930","51980"
"In post","2022","Undeclared","Cabinet Office","320","310","44480","40600"
"In post","2022","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","470","460","44430","40050"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","90","90","45140","47070"
"In post","2022","Undeclared","Department for Education","360","350","44000","40230"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","520","500","37300","35900"
"In post","2022","Undeclared","Department for International Trade","60","60","47740","51710"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","200","190","44430","39990"
"In post","2022","Undeclared","Department for Transport","1100","1030","33750","29970"
"In post","2022","Undeclared","Department for Work and Pensions","4300","3970","28640","27570"
"In post","2022","Undeclared","Department of Health and Social Care","120","110","45010","40830"
"In post","2022","Undeclared","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","350","340","37950","37350"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","330","320","49020","43970"
"In post","2022","Undeclared","HM Land Registry","300","260","33470","33840"
"In post","2022","Undeclared","HM Revenue and Customs","3450","3190","35290","33370"
"In post","2022","Undeclared","HM Treasury","410","400","45650","42070"
"In post","2022","Undeclared","Home Office","1660","1540","33300","29160"
"In post","2022","Undeclared","Ministry of Defence","3970","3840","34120","33000"
"In post","2022","Undeclared","Ministry of Justice","8530","7830","31560","31650"
"In post","2022","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","380","360","40120","36130"
"In post","2022","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","140","120","30180","27570"
"In post","2022","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","190","180","42680","40100"
"In post","2022","Unknown","Attorney General's Departments","1990","1890","43050","40800"
"In post","2022","Unknown","Cabinet Office","4610","4560","45710","34550"
"In post","2022","Unknown","Chancellor's other departments","50","50","[c]","[c]"
"In post","2022","Unknown","Charity Commission","210","200","32270","29160"
"In post","2022","Unknown","Competition and Markets Authority","70","70","73200","74650"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy","2370","2280","36290","33570"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","190","180","46480","47540"
"In post","2022","Unknown","Department for Education","2210","2170","38920","36500"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","1250","1190","38990","35900"
"In post","2022","Unknown","Department for International Trade","1040","1040","45810","40300"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities","610","580","44450","40600"
"In post","2022","Unknown","Department for Transport","2630","2510","31200","26700"
"In post","2022","Unknown","Department for Work and Pensions","3370","3230","29930","27570"
"In post","2022","Unknown","Department of Health and Social Care","5930","5700","47480","41020"
"In post","2022","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","80","80","35290","32640"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office","1460","1430","49210","51500"
"In post","2022","Unknown","HM Land Registry","1530","1470","27610","22600"
"In post","2022","Unknown","HM Revenue and Customs","19670","18310","30290","26820"
"In post","2022","Unknown","HM Treasury","180","180","55520","52500"
"In post","2022","Unknown","Home Office","5720","5560","32590","27370"
"In post","2022","Unknown","Ministry of Defence","9400","9130","34400","32670"
"In post","2022","Unknown","Ministry of Justice","10780","10250","27950","25210"
"In post","2022","Unknown","National Crime Agency","3670","3590","39420","36740"
"In post","2022","Unknown","Northern Ireland Office","60","50","46160","41750"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","160","150","42760","42660"
"In post","2022","Unknown","Office of Gas and Electricity Markets","90","90","45270","42810"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","60","60","49000","46660"
"In post","2022","Unknown","Office of the Secretary of State for Scotland","60","60","46020","42200"
"In post","2022","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Government","10990","10370","35190","31670"
"In post","2022","Unknown","The National Archives","170","170","35120","30820"
"In post","2022","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Statistics Authority","2220","2010","32450","30210"
"In post","2022","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Water Services Regulation Authority","40","30","[c]","[c]"
"In post","2022","Unknown","Welsh Government","390","370","39770","35180"
"Leaver CS","2021","Declared disabled","Attorney General's Departments","30","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Education","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Transport","80","60","24930","21590"
"Leaver CS","2021","Declared disabled","Department for Work and Pensions","670","540","26730","26890"
"Leaver CS","2021","Declared disabled","Department of Health and Social Care","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Foreign, Commonwealth and Development Office","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Revenue and Customs","640","520","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Home Office","150","120","29820","26410"
"Leaver CS","2021","Declared disabled","Ministry of Defence","370","350","30500","26670"
"Leaver CS","2021","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Ministry of Justice","640","570","24510","20280"
"Leaver CS","2021","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Scottish Government","70","70","30810","30790"
"Leaver CS","2021","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Attorney General's Departments","270","240","48080","51250"
"Leaver CS","2021","Declared non-disabled","Cabinet Office","150","140","52750","41860"
"Leaver CS","2021","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Competition and Markets Authority","70","70","51800","46140"
"Leaver CS","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","290","270","43800","39340"
"Leaver CS","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Department for Education","240","230","44920","40510"
"Leaver CS","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Department for International Trade","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Department for Transport","430","360","31360","26380"
"Leaver CS","2021","Declared non-disabled","Department for Work and Pensions","3010","2500","26860","25490"
"Leaver CS","2021","Declared non-disabled","Department of Health and Social Care","540","470","40140","33190"
"Leaver CS","2021","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Food Standards Agency","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","170","90","43800","39190"
"Leaver CS","2021","Declared non-disabled","HM Land Registry","150","120","33290","27130"
"Leaver CS","2021","Declared non-disabled","HM Revenue and Customs","2830","2350","31010","26350"
"Leaver CS","2021","Declared non-disabled","HM Treasury","80","70","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Home Office","970","840","30530","25630"
"Leaver CS","2021","Declared non-disabled","Ministry of Defence","1840","1730","32650","29930"
"Leaver CS","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","90","90","42930","41020"
"Leaver CS","2021","Declared non-disabled","Ministry of Justice","3280","2950","27000","21180"
"Leaver CS","2021","Declared non-disabled","National Crime Agency","60","50","46190","43710"
"Leaver CS","2021","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Office for Standards in Education","110","100","52620","51360"
"Leaver CS","2021","Declared non-disabled","Office of Gas and Electricity Markets","80","70","44890","38000"
"Leaver CS","2021","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
