"Status","Year","Organisation","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office (excl. agencies)","City of Edinburgh","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Coventry","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Croydon","London","50","50","43890","32000"
"In post","2021","Cabinet Office (excl. agencies)","Darlington","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Devon CC","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Dorset CC","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Merseyside","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Glasgow City","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South East","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester South West","North West (England)","170","170","45200","38890"
"In post","2021","Cabinet Office (excl. agencies)","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lancaster and Wyre","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Leeds","Yorkshire and The Humber","190","180","47110","40250"
"In post","2021","Cabinet Office (excl. agencies)","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Liverpool","North West (England)","120","120","49230","49700"
"In post","2021","Cabinet Office (excl. agencies)","Manchester","North West (England)","100","90","46350","37300"
"In post","2021","Cabinet Office (excl. agencies)","Medway","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Mid Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Milton Keynes","South East (England)","90","90","29950","33000"
"In post","2021","Cabinet Office (excl. agencies)","Monmouthshire and Newport","Wales","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Yorkshire CC","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Norwich and East Norfolk","East of England","90","90","46130","40250"
"In post","2021","Cabinet Office (excl. agencies)","Nottingham","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Oxfordshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Peterborough","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Plymouth","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Portsmouth","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sefton","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Sheffield","Yorkshire and The Humber","100","100","46980","49700"
"In post","2021","Cabinet Office (excl. agencies)","South Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South Lanarkshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South Teesside","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","South West Wales","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Suffolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Swansea","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Telford and Wrekin","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Tower Hamlets","London","870","850","51680","54700"
"In post","2021","Cabinet Office (excl. agencies)","Tyneside","North East (England)","400","380","28460","23850"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","600","600","36250","32000"
"In post","2021","Cabinet Office (excl. agencies)","Warrington","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","West Sussex (North East)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Westminster","London","5450","5380","49380","40600"
"In post","2021","Cabinet Office (excl. agencies)","Wiltshire","South West (England)","70","60","61990","54700"
"In post","2021","Cabinet Office (excl. agencies)","York","Yorkshire and The Humber","440","420","29190","26670"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","South West (England)","140","130","33130","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","East of England","460","440","34620","30220"
"In post","2021","Charity Commission","Monmouthshire and Newport","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Sefton","North West (England)","310","290","32780","29160"
"In post","2021","Charity Commission","Somerset","South West (England)","50","50","35580","30350"
"In post","2021","Charity Commission","Westminster","London","70","70","42950","37910"
"In post","2021","Companies House","Belfast","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Cardiff and Vale of Glamorgan","Wales","1030","950","31130","27460"
"In post","2021","Companies House","City of Edinburgh","Scotland","40","40","[c]","[c]"
"In post","2021","Companies House","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Belfast","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Cardiff and Vale of Glamorgan","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","City of Edinburgh","Scotland","50","50","56490","55860"
"In post","2021","Competition and Markets Authority","Tower Hamlets","London","790","760","60810","56630"
"In post","2021","Criminal Injuries Compensation Authority","Glasgow City","Scotland","300","280","26120","22640"
"In post","2021","Crown Commercial Service","Birmingham","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Bristol, City of","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Liverpool","North West (England)","400","390","38230","34800"
"In post","2021","Crown Commercial Service","Monmouthshire and Newport","Wales","110","110","33670","31680"
"In post","2021","Crown Commercial Service","Norwich and East Norfolk","East of England","170","160","35020","33340"
"In post","2021","Crown Commercial Service","South and West Derbyshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Tower Hamlets","London","70","70","50350","49300"
"In post","2021","Crown Commercial Service","Wakefield","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Aberdeen City and Aberdeenshire","Scotland","100","90","33070","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Angus and Dundee City","Scotland","90","80","35220","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Caithness and Sutherland and Ross and Cromarty","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","City of Edinburgh","Scotland","490","460","38430","32930"
"In post","2021","Crown Office and Procurator Fiscal Service","Clackmannanshire and Fife","Scotland","80","70","32830","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Dumfries and Galloway","Scotland","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","East Ayrshire and North Ayrshire mainland","Scotland","50","50","32600","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","70","60","25650","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Falkirk","Scotland","60","60","34040","27810"
"In post","2021","Crown Office and Procurator Fiscal Service","Glasgow City","Scotland","570","520","35620","30500"
"In post","2021","Crown Office and Procurator Fiscal Service","Inverclyde, East Renfrewshire and Renfrewshire","Scotland","100","90","37300","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","50","50","35530","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Na h-Eileanan Siar","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","North Lanarkshire","Scotland","80","70","39460","32930"
"In post","2021","Crown Office and Procurator Fiscal Service","Orkney Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Perth and Kinross and Stirling","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Borders","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Shetland Islands","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","South Ayrshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","South Lanarkshire","Scotland","140","130","38270","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","West Lothian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Berkshire","South East (England)","140","130","43310","40000"
"In post","2021","Crown Prosecution Service","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Birmingham","West Midlands (England)","490","460","39820","38000"
"In post","2021","Crown Prosecution Service","Bridgend and Neath Port Talbot","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Brighton and Hove","South East (England)","110","100","42660","36240"
"In post","2021","Crown Prosecution Service","Bristol, City of","South West (England)","150","140","40450","38000"
"In post","2021","Crown Prosecution Service","Cambridgeshire CC","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Cardiff and Vale of Glamorgan","Wales","210","200","41090","38760"
"In post","2021","Crown Prosecution Service","Central Valleys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Croydon","London","40","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Derby","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Devon CC","South West (England)","100","90","39950","36240"
"In post","2021","Crown Prosecution Service","East Cumbria","North West (England)","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Derbyshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","East Kent","South East (England)","120","120","39460","30110"
"In post","2021","Crown Prosecution Service","Flintshire and Wrexham","Wales","70","70","41500","38000"
"In post","2021","Crown Prosecution Service","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heart of Essex","East of England","190","170","41150","35020"
"In post","2021","Crown Prosecution Service","Hertfordshire","East of England","170","150","42490","40000"
"In post","2021","Crown Prosecution Service","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Kingston upon Hull, City of","Yorkshire and The Humber","70","70","38580","28430"
"In post","2021","Crown Prosecution Service","Leeds","Yorkshire and The Humber","350","320","40440","38000"
"In post","2021","Crown Prosecution Service","Leicester","East Midlands (England)","140","130","39010","38180"
"In post","2021","Crown Prosecution Service","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Liverpool","North West (England)","360","350","37570","30930"
"In post","2021","Crown Prosecution Service","Manchester","North West (England)","360","330","40750","38000"
"In post","2021","Crown Prosecution Service","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Mid Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Mid Lancashire","North West (England)","180","170","40040","38000"
"In post","2021","Crown Prosecution Service","Northumberland","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Norwich and East Norfolk","East of England","80","70","35640","28430"
"In post","2021","Crown Prosecution Service","Nottingham","East Midlands (England)","270","250","37300","30130"
"In post","2021","Crown Prosecution Service","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Peterborough","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Portsmouth","South East (England)","110","100","38780","30110"
"In post","2021","Crown Prosecution Service","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Sheffield","Yorkshire and The Humber","140","120","35940","28430"
"In post","2021","Crown Prosecution Service","Shropshire CC","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","South Hampshire","South East (England)","150","140","45830","50520"
"In post","2021","Crown Prosecution Service","South Teesside","North East (England)","100","90","38060","32370"
"In post","2021","Crown Prosecution Service","Staffordshire CC","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Stoke-on-Trent","West Midlands (England)","60","60","41930","48080"
"In post","2021","Crown Prosecution Service","Suffolk","East of England","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Swansea","Wales","70","60","41460","38180"
"In post","2021","Crown Prosecution Service","Tyneside","North East (England)","240","220","38030","32420"
"In post","2021","Crown Prosecution Service","Wakefield","Yorkshire and The Humber","70","70","36100","30130"
"In post","2021","Crown Prosecution Service","Warrington","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Warwickshire","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","West Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","West Northamptonshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","West Surrey","South East (England)","60","50","41400","40000"
"In post","2021","Crown Prosecution Service","West Sussex (North East)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Westminster","London","1560","1470","45280","40530"
"In post","2021","Crown Prosecution Service","Wiltshire","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Wolverhampton","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Worcestershire","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","York","Yorkshire and The Humber","310","280","46790","53350"
"In post","2021","Crown Prosecution Service Inspectorate","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","York","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Camden and City of London","London","110","110","58680","51550"
"In post","2021","Defence Electronics and Components Agency","Flintshire and Wrexham","Wales","380","360","28840","28750"
"In post","2021","Defence Electronics and Components Agency","Staffordshire CC","West Midlands (England)","60","60","25770","25950"
"In post","2021","Defence Electronics and Components Agency","Telford and Wrekin","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","8120","7830","38100","35650"
"In post","2021","Defence Equipment and Support","Belfast","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Berkshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Cambridgeshire CC","East of England","50","50","35010","34370"
"In post","2021","Defence Equipment and Support","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Central Bedfordshire","East of England","60","60","36290","35210"
"In post","2021","Defence Equipment and Support","Central Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Clackmannanshire and Fife","Scotland","70","70","34510","32350"
"In post","2021","Defence Equipment and Support","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Derby","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Dorset CC","South West (England)","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","East Ayrshire and North Ayrshire mainland","Scotland","250","240","25160","23910"
"In post","2021","Defence Equipment and Support","East Cumbria","North West (England)","90","90","23680","21560"
"In post","2021","Defence Equipment and Support","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","80","80","26920","22420"
"In post","2021","Defence Equipment and Support","East Riding of Yorkshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Essex Haven Gateway","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Flintshire and Wrexham","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Glasgow City","Scotland","100","90","36180","33200"
"In post","2021","Defence Equipment and Support","Gloucestershire","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Harrow and Hillingdon","London","180","170","24050","21530"
"In post","2021","Defence Equipment and Support","Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Isle of Anglesey","Wales","[c]","[c]","[c]","[c]"
