"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Other","Digital, Data & Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","Ministry of Defence","120","100","40450","32860"
"In post","2021","Other","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Other","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Other","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Other","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Other","Legal","Attorney General's Departments","360","350","31000","27580"
"In post","2021","Other","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Other","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","Chancellor's other departments","80","80","53670","44000"
"In post","2021","Other","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","Department for Digital, Culture, Media and Sport","90","90","40850","34330"
"In post","2021","Other","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Other","No function","Department for International Trade","150","150","40210","33320"
"In post","2021","Other","No function","Department for Transport","500","470","42620","32740"
"In post","2021","Other","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Other","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","Ministry of Justice","70","70","35560","33520"
"In post","2021","Other","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","Office for Standards in Education","250","240","28530","25880"
"In post","2021","Other","No function","Office of Gas and Electricity Markets","510","500","43690","36890"
"In post","2021","Other","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","No function","Scottish Government","390","340","32250","30930"
"In post","2021","Other","No function","The National Archives","80","80","43040","35000"
"In post","2021","Other","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Other","Project Delivery","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Other","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Other","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other","Project Delivery","Foreign, Commonwealth and Development Office","250","240","67040","67370"
"In post","2021","Other","Project Delivery","HM Revenue and Customs","100","90","39860","38630"
"In post","2021","Other","Project Delivery","Ministry of Defence","2970","2850","31360","28180"
"In post","2021","Other","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","Property","Ministry of Defence","60","60","37690","35230"
"In post","2021","Other","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","Property","Scottish Government","250","240","30070","28870"
"In post","2021","Other","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Other","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Other","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Department of Health and Social Care","300","280","50080","46200"
"In post","2021","Other","Unknown","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Other","Unknown","Home Office","1790","1680","34890","30830"
"In post","2021","Other","Unknown","Ministry of Defence","12380","11990","27270","22080"
"In post","2021","Other","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Welsh Government","620","580","42660","37410"
"In post","2021","Planning","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Planning","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Planning","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Planning","No function","Ministry of Housing, Communities and Local Government","130","120","47040","40940"
"In post","2021","Planning","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","No function","Ministry of Housing, Communities and Local Government","340","300","57920","58810"
"In post","2021","Policy","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Analysis","Department for Education","260","250","44540","45250"
"In post","2021","Policy","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Analysis","HM Treasury","40","40","[c]","[c]"
"In post","2021","Policy","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Human Resources","United Kingdom Statistics Authority","60","50","37220","36030"
"In post","2021","Policy","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Legal","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Policy","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Policy","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","No function","Department for Business, Energy and Industrial Strategy","3770","3680","49450","53380"
"In post","2021","Policy","No function","Department for Digital, Culture, Media and Sport","1080","1060","48480","51730"
"In post","2021","Policy","No function","Department for Education","2100","2010","44650","40510"
"In post","2021","Policy","No function","Department for Environment, Food and Rural Affairs","2470","2390","43010","38750"
"In post","2021","Policy","No function","Department for International Trade","210","200","45390","38540"
"In post","2021","Policy","No function","Department for Transport","1360","1320","44470","42470"
"In post","2021","Policy","No function","Department for Work and Pensions","80","80","47780","43780"
"In post","2021","Policy","No function","Department of Health and Social Care","1820","1780","47250","41890"
"In post","2021","Policy","No function","Food Standards Agency","190","180","42590","38120"
"In post","2021","Policy","No function","Foreign, Commonwealth and Development Office","3190","3160","49630","43300"
"In post","2021","Policy","No function","HM Treasury","1350","1330","48940","52500"
"In post","2021","Policy","No function","Ministry of Housing, Communities and Local Government","1260","1240","48360","48450"
"In post","2021","Policy","No function","Ministry of Justice","1290","1250","40670","36800"
"In post","2021","Policy","No function","Northern Ireland Office","90","90","46600","41000"
"In post","2021","Policy","No function","Office for Standards in Education","70","60","51530","42850"
"In post","2021","Policy","No function","Office of Gas and Electricity Markets","80","80","37760","34240"
"In post","2021","Policy","No function","Office of Qualifications and Examinations Regulation","40","30","[c]","[c]"
"In post","2021","Policy","No function","Office of Rail and Road","70","60","57300","55500"
"In post","2021","Policy","No function","Scottish Government","30","30","[c]","[c]"
"In post","2021","Policy","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Policy","No function","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","No function","Water Services Regulation Authority","60","50","62140","60800"
"In post","2021","Policy","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Project Delivery","Department for Business, Energy and Industrial Strategy","220","210","49580","52080"
"In post","2021","Policy","Project Delivery","Department for Education","200","190","44380","40480"
"In post","2021","Policy","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Project Delivery","Foreign, Commonwealth and Development Office","860","830","54400","55060"
"In post","2021","Policy","Project Delivery","HM Revenue and Customs","1120","1060","52510","52580"
"In post","2021","Policy","Project Delivery","Ministry of Defence","50","40","[c]","[c]"
"In post","2021","Policy","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Policy","Unknown","Department for Education","470","460","53640","49860"
"In post","2021","Policy","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Home Office","2120","2060","49990","45350"
"In post","2021","Policy","Unknown","Ministry of Defence","1060","1040","44090","41500"
"In post","2021","Policy","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Welsh Government","1600","1530","43130","37410"
"In post","2021","Project Delivery","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","Ministry of Defence","60","60","47010","42610"
"In post","2021","Project Delivery","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Finance","Ministry of Defence","60","60","43660","39960"
"In post","2021","Project Delivery","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Project Delivery","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Project Delivery","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Ministry of Justice","80","80","36610","31150"
"In post","2021","Project Delivery","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Competition and Markets Authority","380","360","60880","56360"
"In post","2021","Project Delivery","Project Delivery","Department for Business, Energy and Industrial Strategy","360","350","42380","40050"
"In post","2021","Project Delivery","Project Delivery","Department for Digital, Culture, Media and Sport","210","210","48530","51730"
"In post","2021","Project Delivery","Project Delivery","Department for Education","60","50","46840","49860"
"In post","2021","Project Delivery","Project Delivery","Department for Environment, Food and Rural Affairs","410","390","40140","36520"
"In post","2021","Project Delivery","Project Delivery","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Department for Transport","620","600","49850","44030"
"In post","2021","Project Delivery","Project Delivery","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Foreign, Commonwealth and Development Office","450","430","41780","38600"
"In post","2021","Project Delivery","Project Delivery","HM Land Registry","140","140","40870","38550"
"In post","2021","Project Delivery","Project Delivery","HM Revenue and Customs","2570","2460","42830","38630"
"In post","2021","Project Delivery","Project Delivery","HM Treasury","30","30","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Ministry of Defence","7680","7470","40020","38010"
"In post","2021","Project Delivery","Project Delivery","Ministry of Housing, Communities and Local Government","120","120","45320","40720"
"In post","2021","Project Delivery","Project Delivery","Ministry of Justice","410","400","42260","36800"
"In post","2021","Project Delivery","Project Delivery","National Crime Agency","90","90","46620","45480"
"In post","2021","Project Delivery","Project Delivery","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Project Delivery","United Kingdom Statistics Authority","230","220","40440","36030"
"In post","2021","Project Delivery","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Home Office","1330","1300","45140","41950"
"In post","2021","Project Delivery","Unknown","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Welsh Government","70","70","42540","41560"
"In post","2021","Property","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Property","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Property","Project Delivery","Department for Education","220","220","53970","61010"
"In post","2021","Property","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","Project Delivery","Ministry of Defence","80","80","37060","33900"
"In post","2021","Property","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Property","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Department for Education","270","260","49500","50630"
"In post","2021","Property","Property","Department for Environment, Food and Rural Affairs","390","370","36760","32560"
"In post","2021","Property","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Department for Transport","160","150","33580","31040"
"In post","2021","Property","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Property","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Foreign, Commonwealth and Development Office","450","450","41620","39410"
"In post","2021","Property","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","HM Revenue and Customs","2230","2070","36380","32110"
"In post","2021","Property","Property","Ministry of Defence","2530","2460","31600","33300"
"In post","2021","Property","Property","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Ministry of Justice","180","180","41800","35300"
"In post","2021","Property","Property","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Property","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Department for Education","70","70","47290","41450"
"In post","2021","Property","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Welsh Government","70","60","39700","37410"
"In post","2021","Psychology","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","No function","Ministry of Justice","1300","1240","35180","30450"
"In post","2021","Psychology","No function","Scottish Government","70","70","38790","33650"
"In post","2021","Psychology","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Analysis","Department for Environment, Food and Rural Affairs","480","450","33720","29750"
"In post","2021","Science and Engineering","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Analysis","Ministry of Defence","160","150","37330","37320"
"In post","2021","Science and Engineering","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Commercial","Ministry of Defence","90","90","42150","41970"
"In post","2021","Science and Engineering","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","530","490","42260","39750"
"In post","2021","Science and Engineering","Digital, Data & Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","No function","Department for Business, Energy and Industrial Strategy","800","770","42640","40800"
"In post","2021","Science and Engineering","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","No function","Department for Environment, Food and Rural Affairs","800","750","34110","30130"
"In post","2021","Science and Engineering","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","No function","Department for Transport","150","140","44440","42890"
"In post","2021","Science and Engineering","No function","Department for Work and Pensions","460","430","39990","39330"
"In post","2021","Science and Engineering","No function","Department of Health and Social Care","2320","2140","40840","38040"
"In post","2021","Science and Engineering","No function","Food Standards Agency","90","90","41910","37910"
"In post","2021","Science and Engineering","No function","Ministry of Defence","2320","2250","40080","37360"
"In post","2021","Science and Engineering","No function","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Project Delivery","Ministry of Defence","3430","3350","37010","35040"
"In post","2021","Science and Engineering","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
