"Status","Year","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","LGBO","Department for Education","420","410","43030","37100"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","510","500","36560","32560"
"In post","2021","LGBO","Department for International Trade","190","180","47150","42160"
"In post","2021","LGBO","Department for Transport","580","560","35460","30730"
"In post","2021","LGBO","Department for Work and Pensions","3740","3580","28160","27570"
"In post","2021","LGBO","Department of Health and Social Care","470","450","42960","36820"
"In post","2021","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","410","410","47700","44760"
"In post","2021","LGBO","HM Land Registry","140","140","29310","27130"
"In post","2021","LGBO","HM Revenue and Customs","2220","2130","32240","28130"
"In post","2021","LGBO","HM Treasury","170","170","48300","52500"
"In post","2021","LGBO","Home Office","1170","1130","32850","27370"
"In post","2021","LGBO","Ministry of Defence","1400","1380","32620","29250"
"In post","2021","LGBO","Ministry of Housing, Communities and Local Government","240","230","45820","42980"
"In post","2021","LGBO","Ministry of Justice","3560","3470","30080","27150"
"In post","2021","LGBO","National Crime Agency","190","190","37170","36410"
"In post","2021","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office for Standards in Education","130","130","48150","41350"
"In post","2021","LGBO","Office of Gas and Electricity Markets","60","60","39040","33200"
"In post","2021","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scottish Government","790","780","36770","32140"
"In post","2021","LGBO","The National Archives","30","30","[c]","[c]"
"In post","2021","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","United Kingdom Statistics Authority","230","220","33700","29540"
"In post","2021","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Welsh Government","210","200","41760","37410"
"In post","2021","Undeclared","Attorney General's Departments","380","360","47330","50520"
"In post","2021","Undeclared","Cabinet Office","510","490","47740","40600"
"In post","2021","Undeclared","Chancellor's other departments","90","80","59060","50480"
"In post","2021","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","60","60","61350","59020"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy","920","890","44750","40220"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","110","110","48480","51730"
"In post","2021","Undeclared","Department for Education","540","520","44200","40780"
"In post","2021","Undeclared","Department for Environment, Food and Rural Affairs","840","800","36490","33510"
"In post","2021","Undeclared","Department for International Trade","140","140","45790","40050"
"In post","2021","Undeclared","Department for Transport","2920","2550","29600","26780"
"In post","2021","Undeclared","Department for Work and Pensions","7620","6780","28030","27570"
"In post","2021","Undeclared","Department of Health and Social Care","1000","900","45980","40070"
"In post","2021","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Food Standards Agency","120","120","39740","37910"
"In post","2021","Undeclared","Foreign, Commonwealth and Development Office","680","670","48140","42420"
"In post","2021","Undeclared","HM Land Registry","700","610","32910","27130"
"In post","2021","Undeclared","HM Revenue and Customs","4920","4460","33420","31810"
"In post","2021","Undeclared","HM Treasury","320","310","44490","39980"
"In post","2021","Undeclared","Home Office","4230","3880","32750","28650"
"In post","2021","Undeclared","Ministry of Defence","6580","6340","35180","33300"
"In post","2021","Undeclared","Ministry of Housing, Communities and Local Government","250","240","45550","46060"
"In post","2021","Undeclared","Ministry of Justice","6780","6290","30490","28080"
"In post","2021","Undeclared","National Crime Agency","340","330","38030","36410"
"In post","2021","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office for Standards in Education","110","100","48020","41910"
"In post","2021","Undeclared","Office of Gas and Electricity Markets","60","60","43420","36290"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Government","2380","2190","31340","29350"
"In post","2021","Undeclared","The National Archives","50","50","[c]","[c]"
"In post","2021","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","United Kingdom Statistics Authority","200","170","32260","29540"
"In post","2021","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Welsh Government","680","650","42710","37410"
"In post","2021","Unknown","Attorney General's Departments","2250","2040","47290","51510"
"In post","2021","Unknown","Cabinet Office","4100","4050","45320","33250"
"In post","2021","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Charity Commission","180","170","35400","30000"
"In post","2021","Unknown","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy","4550","4350","37020","35580"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","240","230","48270","48580"
"In post","2021","Unknown","Department for Education","1470","1420","44200","40300"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs","2730","2560","33260","29270"
"In post","2021","Unknown","Department for International Trade","820","810","44360","38540"
"In post","2021","Unknown","Department for Transport","2510","2380","31470","26700"
"In post","2021","Unknown","Department for Work and Pensions","21610","18710","27290","27570"
"In post","2021","Unknown","Department of Health and Social Care","3480","3330","48030","41330"
"In post","2021","Unknown","Food Standards Agency","290","280","32930","28520"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office","1560","1530","47340","45490"
"In post","2021","Unknown","HM Land Registry","1960","1810","28750","27130"
"In post","2021","Unknown","HM Revenue and Customs","22640","20660","28240","25560"
"In post","2021","Unknown","HM Treasury","230","230","53680","49590"
"In post","2021","Unknown","Home Office","1780","1740","31790","25770"
"In post","2021","Unknown","Ministry of Defence","7460","7250","35020","33000"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government","360","340","40320","34580"
"In post","2021","Unknown","Ministry of Justice","13410","12480","28630","26550"
"In post","2021","Unknown","National Crime Agency","850","820","41510","39840"
"In post","2021","Unknown","Northern Ireland Office","70","70","40730","36800"
"In post","2021","Unknown","Office for Standards in Education","110","100","40920","39850"
"In post","2021","Unknown","Office of Gas and Electricity Markets","600","590","46890","41000"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","70","60","50260","46660"
"In post","2021","Unknown","Office of Rail and Road","130","120","59620","60020"
"In post","2021","Unknown","Other Cabinet Office Agencies","190","180","35660","32000"
"In post","2021","Unknown","Scotland Office","60","60","45700","41250"
"In post","2021","Unknown","Scottish Government","7410","6980","34380","30930"
"In post","2021","Unknown","The National Archives","240","230","35140","32560"
"In post","2021","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","United Kingdom Statistics Authority","1600","1440","31720","29540"
"In post","2021","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","150","140","55860","49180"
"In post","2021","Unknown","Welsh Government","220","210","41240","37410"
"In post","2022","Heterosexual / straight","Attorney General's Departments","7240","6810","44190","48080"
"In post","2022","Heterosexual / straight","Cabinet Office","5520","5380","47120","40600"
"In post","2022","Heterosexual / straight","Chancellor's other departments","310","290","59810","51150"
"In post","2022","Heterosexual / straight","Charity Commission","240","230","34960","29160"
"In post","2022","Heterosexual / straight","Competition and Markets Authority","700","680","60890","56630"
"In post","2022","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","9780","9380","42500","40040"
"In post","2022","Heterosexual / straight","Department for Digital, Culture, Media and Sport","1490","1470","47390","51730"
"In post","2022","Heterosexual / straight","Department for Education","6320","6080","43580","40230"
"In post","2022","Heterosexual / straight","Department for Environment, Food and Rural Affairs","8270","7890","36880","33090"
"In post","2022","Heterosexual / straight","Department for International Trade","1740","1720","47330","44030"
"In post","2022","Heterosexual / straight","Department for Levelling Up, Housing and Communities","2970","2860","45750","42130"
"In post","2022","Heterosexual / straight","Department for Transport","10430","9780","34350","29460"
"In post","2022","Heterosexual / straight","Department for Work and Pensions","64140","58070","28760","27570"
"In post","2022","Heterosexual / straight","Department of Health and Social Care","6830","6430","43910","40060"
"In post","2022","Heterosexual / straight","Estyn","100","90","59530","75480"
"In post","2022","Heterosexual / straight","Food Standards Agency","1030","1000","38430","37350"
"In post","2022","Heterosexual / straight","Foreign, Commonwealth and Development Office","5760","5620","47820","43300"
"In post","2022","Heterosexual / straight","HM Land Registry","3970","3600","32240","27130"
"In post","2022","Heterosexual / straight","HM Revenue and Customs","41800","38960","34750","33080"
"In post","2022","Heterosexual / straight","HM Treasury","2090","2030","48280","49500"
"In post","2022","Heterosexual / straight","Home Office","27010","25200","32580","28650"
"In post","2022","Heterosexual / straight","Ministry of Defence","40310","38940","34130","32630"
"In post","2022","Heterosexual / straight","Ministry of Justice","60730","57000","30660","27980"
"In post","2022","Heterosexual / straight","National Crime Agency","4260","4150","40750","37790"
"In post","2022","Heterosexual / straight","Northern Ireland Office","100","100","46390","41750"
"In post","2022","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","1510","1450","51180","51360"
"In post","2022","Heterosexual / straight","Office of Gas and Electricity Markets","700","690","41730","35050"
"In post","2022","Heterosexual / straight","Office of Qualifications and Examinations Regulation","200","190","43980","38760"
"In post","2022","Heterosexual / straight","Office of Rail and Road","220","210","52910","51660"
"In post","2022","Heterosexual / straight","Office of the Secretary of State for Scotland","50","50","50770","49860"
"In post","2022","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Scottish Government","13760","13150","39560","35000"
"In post","2022","Heterosexual / straight","The National Archives","250","240","37280","34260"
"In post","2022","Heterosexual / straight","UK Export Finance","410","410","52180","47190"
"In post","2022","Heterosexual / straight","UK Statistics Authority","3960","3530","34020","30710"
"In post","2022","Heterosexual / straight","UK Supreme Court","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Water Services Regulation Authority","160","160","55160","49970"
"In post","2022","Heterosexual / straight","Welsh Government","4800","4530","41770","38160"
"In post","2022","LGBO","Attorney General's Departments","480","460","44240","43920"
"In post","2022","LGBO","Cabinet Office","570","570","44150","40600"
"In post","2022","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Competition and Markets Authority","60","60","59140","56110"
"In post","2022","LGBO","Department for Business, Energy and Industrial Strategy","860","850","41740","40050"
"In post","2022","LGBO","Department for Digital, Culture, Media and Sport","210","210","45920","51400"
"In post","2022","LGBO","Department for Education","520","510","42940","37100"
"In post","2022","LGBO","Department for Environment, Food and Rural Affairs","690","680","36210","32560"
"In post","2022","LGBO","Department for International Trade","200","200","45830","40600"
"In post","2022","LGBO","Department for Levelling Up, Housing and Communities","330","330","43760","39600"
"In post","2022","LGBO","Department for Transport","660","640","35560","30730"
"In post","2022","LGBO","Department for Work and Pensions","4030","3850","28470","27570"
"In post","2022","LGBO","Department of Health and Social Care","600","590","42660","38020"
"In post","2022","LGBO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Food Standards Agency","70","70","40540","37350"
"In post","2022","LGBO","Foreign, Commonwealth and Development Office","410","400","47880","44770"
"In post","2022","LGBO","HM Land Registry","180","170","30220","27130"
"In post","2022","LGBO","HM Revenue and Customs","2820","2720","33880","31900"
"In post","2022","LGBO","HM Treasury","210","210","46210","44940"
"In post","2022","LGBO","Home Office","1190","1150","33810","28670"
"In post","2022","LGBO","Ministry of Defence","1450","1430","33580","31600"
"In post","2022","LGBO","Ministry of Justice","4250","4140","30890","28010"
"In post","2022","LGBO","National Crime Agency","220","220","37860","36410"
"In post","2022","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office for Standards in Education, Children's Services and Skills","120","120","49730","46360"
"In post","2022","LGBO","Office of Gas and Electricity Markets","100","90","36120","30950"
"In post","2022","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Scottish Government","1130","1100","36430","31540"
"In post","2022","LGBO","The National Archives","40","40","[c]","[c]"
"In post","2022","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","UK Statistics Authority","280","270","34390","30710"
"In post","2022","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Welsh Government","240","230","42590","38160"
"In post","2022","Undeclared","Attorney General's Departments","430","410","46370","50500"
"In post","2022","Undeclared","Cabinet Office","570","560","47770","42040"
"In post","2022","Undeclared","Chancellor's other departments","80","70","61080","53500"
"In post","2022","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","70","70","63140","60850"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","1320","1260","43450","40050"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","150","140","44510","38020"
"In post","2022","Undeclared","Department for Education","610","590","44030","40300"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","980","930","36520","33720"
"In post","2022","Undeclared","Department for International Trade","150","150","46560","44030"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","280","270","45190","42060"
"In post","2022","Undeclared","Department for Transport","2720","2380","30360","26780"
"In post","2022","Undeclared","Department for Work and Pensions","7810","6980","28370","27570"
"In post","2022","Undeclared","Department of Health and Social Care","2270","2160","45910","40650"
"In post","2022","Undeclared","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","130","120","38870","37350"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","630","620","48970","44640"
"In post","2022","Undeclared","HM Land Registry","650","570","33080","31740"
"In post","2022","Undeclared","HM Revenue and Customs","4950","4530","35250","33370"
"In post","2022","Undeclared","HM Treasury","290","280","45810","43160"
"In post","2022","Undeclared","Home Office","3910","3590","33220","28850"
"In post","2022","Undeclared","Ministry of Defence","5910","5690","35430","33300"
"In post","2022","Undeclared","Ministry of Justice","6800","6310","31580","28800"
"In post","2022","Undeclared","National Crime Agency","360","350","39640","37390"
"In post","2022","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office for Standards in Education, Children's Services and Skills","100","90","47480","39850"
"In post","2022","Undeclared","Office of Gas and Electricity Markets","80","80","42610","38500"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","30","30","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","870","830","40760","36130"
"In post","2022","Undeclared","The National Archives","60","60","35260","30830"
"In post","2022","Undeclared","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Undeclared","UK Statistics Authority","250","230","33690","30810"
"In post","2022","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","700","660","43120","38160"
"In post","2022","Unknown","Attorney General's Departments","2060","1860","47990","52100"
"In post","2022","Unknown","Cabinet Office","4390","4340","46610","34550"
"In post","2022","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Charity Commission","190","180","32890","29160"
"In post","2022","Unknown","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy","2120","2020","35850","31880"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","160","160","46680","49300"
"In post","2022","Unknown","Department for Education","1250","1210","43510","40230"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","2840","2670","32240","28270"
"In post","2022","Unknown","Department for International Trade","790","790","45180","39440"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities","570","540","42740","38330"
"In post","2022","Unknown","Department for Transport","2580","2450","31080","26700"
"In post","2022","Unknown","Department for Work and Pensions","18180","15760","27660","27570"
"In post","2022","Unknown","Department of Health and Social Care","2110","2020","49330","42480"
"In post","2022","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","240","220","32490","27990"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office","1440","1410","47730","48500"
"In post","2022","Unknown","HM Land Registry","1840","1700","28790","27130"
"In post","2022","Unknown","HM Revenue and Customs","21790","20120","30330","26820"
"In post","2022","Unknown","HM Treasury","180","170","55110","50440"
"In post","2022","Unknown","Home Office","4430","4290","32340","27370"
"In post","2022","Unknown","Ministry of Defence","10150","9840","36810","34460"
"In post","2022","Unknown","Ministry of Justice","15130","14030","29020","26950"
"In post","2022","Unknown","National Crime Agency","710","680","41710","39840"
"In post","2022","Unknown","Northern Ireland Office","60","60","45090","39230"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","100","90","40710","35010"
"In post","2022","Unknown","Office of Gas and Electricity Markets","470","460","47720","43650"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","60","60","49740","46660"
"In post","2022","Unknown","Office of Rail and Road","70","70","59670","60020"
"In post","2022","Unknown","Office of the Secretary of State for Scotland","60","50","45540","41750"
"In post","2022","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Government","9570","9000","33950","30450"
"In post","2022","Unknown","The National Archives","220","210","34990","32640"
"In post","2022","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","UK Statistics Authority","1390","1240","33000","30210"
"In post","2022","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Water Services Regulation Authority","60","60","53260","48270"
"In post","2022","Unknown","Welsh Government","230","220","41670","35180"
"Leaver CS","2021","Heterosexual / straight","Attorney General's Departments","270","240","45310","50520"
"Leaver CS","2021","Heterosexual / straight","Cabinet Office","140","130","47890","38700"
"Leaver CS","2021","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Competition and Markets Authority","70","70","51530","46160"
"Leaver CS","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","210","200","41960","37720"
"Leaver CS","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Department for Education","230","220","43800","40220"
"Leaver CS","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Department for International Trade","50","50","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Department for Transport","390","330","30450","26380"
"Leaver CS","2021","Heterosexual / straight","Department for Work and Pensions","2410","2070","26770","25600"
"Leaver CS","2021","Heterosexual / straight","Department of Health and Social Care","600","530","39990","33090"
"Leaver CS","2021","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Food Standards Agency","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","90","80","44830","38600"
"Leaver CS","2021","Heterosexual / straight","HM Land Registry","140","110","31140","27130"
"Leaver CS","2021","Heterosexual / straight","HM Revenue and Customs","130","100","31060","26000"
"Leaver CS","2021","Heterosexual / straight","HM Treasury","90","80","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Home Office","960","830","30120","25350"
"Leaver CS","2021","Heterosexual / straight","Ministry of Defence","2160","2030","32200","29200"
"Leaver CS","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","100","90","41590","38880"
"Leaver CS","2021","Heterosexual / straight","Ministry of Justice","3300","2980","26430","21170"
"Leaver CS","2021","Heterosexual / straight","National Crime Agency","120","120","45040","43030"
"Leaver CS","2021","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Office for Standards in Education","100","90","53030","51360"
"Leaver CS","2021","Heterosexual / straight","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Scottish Government","330","300","38480","33650"
"Leaver CS","2021","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","United Kingdom Statistics Authority","150","120","29170","23050"
"Leaver CS","2021","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Welsh Government","120","100","43830","37410"
"Leaver CS","2021","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Department for Work and Pensions","150","140","26310","25110"
"Leaver CS","2021","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Home Office","40","40","[c]","[c]"
