"Status","Year","Profession_of_post","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","No function","Asian","40","40","[c]","[c]"
"In post","2021","Commercial","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","No function","White","180","180","45310","39680"
"In post","2021","Commercial","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Undeclared","30","30","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Unknown","50","50","36180","33400"
"In post","2021","Commercial","Project Delivery","White","660","640","38800","35150"
"In post","2021","Commercial","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","White","30","30","[c]","[c]"
"In post","2021","Commercial","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","White","70","70","40470","41940"
"In post","2021","Communications","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Asian","150","150","39860","35270"
"In post","2021","Communications","Communications","Black","100","90","37550","34970"
"In post","2021","Communications","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Mixed","100","90","39570","37190"
"In post","2021","Communications","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Undeclared","90","90","40890","37360"
"In post","2021","Communications","Communications","Unknown","650","640","42500","38720"
"In post","2021","Communications","Communications","White","2310","2220","41330","37840"
"In post","2021","Communications","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","White","80","70","41540","39440"
"In post","2021","Communications","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","White","280","270","44060","42070"
"In post","2021","Corporate Finance","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","White","90","90","45720","42390"
"In post","2021","Corporate Finance","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","White","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Asian","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Unknown","160","150","41130","38510"
"In post","2021","Counter Fraud","Counter Fraud","White","420","410","41130","39170"
"In post","2021","Counter Fraud","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","White","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","White","150","130","26780","25310"
"In post","2021","Digital, Data and Technology","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","White","180","170","42220","42220"
"In post","2021","Digital, Data and Technology","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Asian","610","600","40620","36800"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Black","280","280","38390","36030"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Chinese","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Mixed","160","160","42190","38000"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Other ethnicity","70","60","42320","38900"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Undeclared","550","540","41320","38630"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Unknown","2010","1980","39950","36500"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","White","7140","6910","41280","38450"
"In post","2021","Digital, Data and Technology","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","White","150","140","39790","36870"
"In post","2021","Digital, Data and Technology","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Undeclared","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","White","340","330","42470","41550"
"In post","2021","Digital, Data and Technology","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","White","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Asian","190","190","47800","45110"
"In post","2021","Digital, Data and Technology","Unknown","Black","90","90","46550","42170"
"In post","2021","Digital, Data and Technology","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","90","80","46700","45160"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","120","120","49090","46070"
"In post","2021","Digital, Data and Technology","Unknown","White","900","890","48630","44970"
"In post","2021","Economics","Analysis","Asian","110","110","44960","42020"
"In post","2021","Economics","Analysis","Black","40","40","[c]","[c]"
"In post","2021","Economics","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","Mixed","50","50","43190","39250"
"In post","2021","Economics","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","Undeclared","50","50","[c]","[c]"
"In post","2021","Economics","Analysis","Unknown","220","220","40250","34880"
"In post","2021","Economics","Analysis","White","790","770","48530","44000"
"In post","2021","Economics","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","White","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","White","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Unknown","40","40","[c]","[c]"
"In post","2021","Economics","Finance","White","40","30","[c]","[c]"
"In post","2021","Economics","No function","Asian","40","40","[c]","[c]"
"In post","2021","Economics","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Unknown","60","60","49870","52290"
"In post","2021","Economics","No function","White","300","300","49490","52500"
"In post","2021","Economics","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","Unknown","30","30","[c]","[c]"
