"Status","Year","Age","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Unknown","Other","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Commercial","50","50","21070","20920"
"In post","2021","20-29","AA/AO","Communications","80","80","22740","22680"
"In post","2021","20-29","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Digital, Data and Technology","120","120","21620","21540"
"In post","2021","20-29","AA/AO","Economics","90","80","22510","22500"
"In post","2021","20-29","AA/AO","Finance","160","150","21190","20810"
"In post","2021","20-29","AA/AO","Human Resources","220","210","21660","20920"
"In post","2021","20-29","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Knowledge and Information Management","70","70","21880","20920"
"In post","2021","20-29","AA/AO","Legal","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Medicine","40","40","[c]","[c]"
"In post","2021","20-29","AA/AO","Operational Delivery","16430","15970","23040","21590"
"In post","2021","20-29","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Other","640","620","21410","20920"
"In post","2021","20-29","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Policy","210","210","23190","23060"
"In post","2021","20-29","AA/AO","Project Delivery","80","80","21610","21230"
"In post","2021","20-29","AA/AO","Property","100","100","19920","19220"
"In post","2021","20-29","AA/AO","Psychology","30","30","[c]","[c]"
"In post","2021","20-29","AA/AO","Science and Engineering","370","360","21560","21050"
"In post","2021","20-29","AA/AO","Security","810","810","24940","25370"
"In post","2021","20-29","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Tax","1640","1570","20170","20140"
"In post","2021","20-29","AA/AO","Unknown","5210","5070","21440","21010"
"In post","2021","20-29","EO","Commercial","240","240","24630","25000"
"In post","2021","20-29","EO","Communications","220","210","27200","27270"
"In post","2021","20-29","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Digital, Data and Technology","620","610","26620","26130"
"In post","2021","20-29","EO","Economics","70","70","27150","27120"
"In post","2021","20-29","EO","Finance","360","350","25310","25560"
"In post","2021","20-29","EO","Human Resources","290","290","26100","26530"
"In post","2021","20-29","EO","Intelligence Analysis","260","260","27270","26670"
"In post","2021","20-29","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","International Trade","50","50","[c]","[c]"
"In post","2021","20-29","EO","Knowledge and Information Management","90","90","25700","26410"
"In post","2021","20-29","EO","Legal","570","560","27370","25560"
"In post","2021","20-29","EO","Medicine","50","50","27820","27400"
"In post","2021","20-29","EO","Operational Delivery","6290","6220","26760","25560"
"In post","2021","20-29","EO","Operational Research","40","40","[c]","[c]"
"In post","2021","20-29","EO","Other","860","840","25030","26290"
"In post","2021","20-29","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Policy","1020","1010","27690","27850"
"In post","2021","20-29","EO","Project Delivery","540","530","25500","25560"
"In post","2021","20-29","EO","Property","250","240","26180","25860"
"In post","2021","20-29","EO","Psychology","170","170","26050","25830"
"In post","2021","20-29","EO","Science and Engineering","810","800","25220","26350"
"In post","2021","20-29","EO","Security","110","110","27530","26620"
"In post","2021","20-29","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Statistics","130","130","27310","27570"
"In post","2021","20-29","EO","Tax","1010","1000","25590","25560"
"In post","2021","20-29","EO","Unknown","7500","7410","28110","27570"
"In post","2021","20-29","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Commercial","30","30","[c]","[c]"
"In post","2021","20-29","G6/G7","Communications","60","60","55130","54110"
"In post","2021","20-29","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Digital, Data and Technology","150","150","54200","52910"
"In post","2021","20-29","G6/G7","Economics","250","250","54550","54740"
"In post","2021","20-29","G6/G7","Finance","120","120","55360","54240"
"In post","2021","20-29","G6/G7","Human Resources","100","100","55220","54090"
"In post","2021","20-29","G6/G7","Intelligence Analysis","60","60","55680","53360"
"In post","2021","20-29","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","International Trade","110","110","51610","51970"
"In post","2021","20-29","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Legal","180","180","51550","50870"
"In post","2021","20-29","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Operational Delivery","200","200","53470","53380"
"In post","2021","20-29","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Other","110","110","53100","52360"
"In post","2021","20-29","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Policy","1650","1640","54740","53380"
"In post","2021","20-29","G6/G7","Project Delivery","150","150","54020","54110"
"In post","2021","20-29","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Social Research","40","40","[c]","[c]"
"In post","2021","20-29","G6/G7","Statistics","70","70","52210","52580"
"In post","2021","20-29","G6/G7","Tax","290","290","54130","52580"
"In post","2021","20-29","G6/G7","Unknown","710","710","55770","54700"
"In post","2021","20-29","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Commercial","470","470","33750","33300"
"In post","2021","20-29","SEO/HEO","Communications","480","480","36810","36660"
"In post","2021","20-29","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Counter Fraud","50","50","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Digital, Data and Technology","1050","1050","35630","35050"
"In post","2021","20-29","SEO/HEO","Economics","770","770","34260","33880"
"In post","2021","20-29","SEO/HEO","Finance","540","530","35550","33930"
"In post","2021","20-29","SEO/HEO","Human Resources","460","450","33370","32120"
"In post","2021","20-29","SEO/HEO","Intelligence Analysis","210","210","36270","36140"
"In post","2021","20-29","SEO/HEO","Internal Audit","40","40","[c]","[c]"
"In post","2021","20-29","SEO/HEO","International Trade","300","300","34510","32410"
"In post","2021","20-29","SEO/HEO","Knowledge and Information Management","110","110","33640","33000"
"In post","2021","20-29","SEO/HEO","Legal","440","440","35360","36160"
"In post","2021","20-29","SEO/HEO","Medicine","50","50","34270","33180"
"In post","2021","20-29","SEO/HEO","Operational Delivery","2550","2520","33560","31930"
"In post","2021","20-29","SEO/HEO","Operational Research","260","260","34200","34000"
"In post","2021","20-29","SEO/HEO","Other","650","650","33470","33900"
"In post","2021","20-29","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Policy","4660","4640","35540","34240"
"In post","2021","20-29","SEO/HEO","Project Delivery","1210","1210","34570","33570"
"In post","2021","20-29","SEO/HEO","Property","240","230","34430","33300"
"In post","2021","20-29","SEO/HEO","Psychology","160","160","30470","29750"
"In post","2021","20-29","SEO/HEO","Science and Engineering","1320","1310","32580","31710"
"In post","2021","20-29","SEO/HEO","Security","130","130","35260","34350"
"In post","2021","20-29","SEO/HEO","Social Research","340","340","34440","32540"
"In post","2021","20-29","SEO/HEO","Statistics","430","420","35370","35490"
"In post","2021","20-29","SEO/HEO","Tax","800","790","32980","31810"
"In post","2021","20-29","SEO/HEO","Unknown","4240","4220","33010","32000"
"In post","2021","20-29","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Commercial","60","60","28200","26670"
"In post","2021","20-29","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Operational Delivery","2150","2100","25280","22920"
"In post","2021","20-29","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Other","370","370","29130","28980"
"In post","2021","20-29","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Project Delivery","70","70","28410","27720"
"In post","2021","20-29","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Science and Engineering","220","220","29210","27800"
"In post","2021","20-29","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Commercial","30","30","[c]","[c]"
"In post","2021","30-39","AA/AO","Communications","30","30","[c]","[c]"
"In post","2021","30-39","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Digital, Data and Technology","90","90","21590","21590"
"In post","2021","30-39","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Finance","140","120","21340","20920"
"In post","2021","30-39","AA/AO","Human Resources","240","220","21500","20920"
"In post","2021","30-39","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Knowledge and Information Management","50","50","21680","20920"
"In post","2021","30-39","AA/AO","Legal","40","30","[c]","[c]"
"In post","2021","30-39","AA/AO","Medicine","120","110","22180","22640"
"In post","2021","30-39","AA/AO","Operational Delivery","16560","15120","23210","21590"
"In post","2021","30-39","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Other","920","870","21220","20920"
"In post","2021","30-39","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Policy","120","110","22770","23500"
"In post","2021","30-39","AA/AO","Project Delivery","50","40","[c]","[c]"
"In post","2021","30-39","AA/AO","Property","90","80","19990","18800"
"In post","2021","30-39","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Science and Engineering","180","170","21730","21460"
"In post","2021","30-39","AA/AO","Security","960","950","28680","26750"
"In post","2021","30-39","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Tax","830","780","20190","20140"
"In post","2021","30-39","AA/AO","Unknown","5330","4660","21310","21010"
"In post","2021","30-39","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Commercial","140","130","25630","26330"
"In post","2021","30-39","EO","Communications","120","110","26730","26670"
"In post","2021","30-39","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","30-39","EO","Digital, Data and Technology","490","480","27140","26670"
"In post","2021","30-39","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Finance","290","270","26320","26410"
"In post","2021","30-39","EO","Human Resources","300","280","26670","26670"
"In post","2021","30-39","EO","Intelligence Analysis","370","350","27190","26670"
"In post","2021","30-39","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Knowledge and Information Management","80","80","26350","26670"
"In post","2021","30-39","EO","Legal","530","520","26940","25560"
"In post","2021","30-39","EO","Medicine","80","70","29740","30620"
"In post","2021","30-39","EO","Operational Delivery","9970","9480","27300","25820"
"In post","2021","30-39","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Other","770","730","25750","26670"
"In post","2021","30-39","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Policy","450","430","28150","28670"
"In post","2021","30-39","EO","Project Delivery","370","350","26300","26670"
"In post","2021","30-39","EO","Property","220","210","26350","26000"
"In post","2021","30-39","EO","Psychology","130","130","27770","27380"
"In post","2021","30-39","EO","Science and Engineering","290","280","26480","26670"
"In post","2021","30-39","EO","Security","200","190","34030","30750"
"In post","2021","30-39","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Statistics","40","40","[c]","[c]"
"In post","2021","30-39","EO","Tax","940","910","25700","25560"
"In post","2021","30-39","EO","Unknown","9770","9160","28050","27570"
"In post","2021","30-39","G6/G7","Commercial","200","200","54400","53300"
"In post","2021","30-39","G6/G7","Communications","340","330","57320","56120"
"In post","2021","30-39","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Digital, Data and Technology","890","870","57320","55230"
"In post","2021","30-39","G6/G7","Economics","430","410","59610","58030"
"In post","2021","30-39","G6/G7","Finance","560","540","58230","57110"
"In post","2021","30-39","G6/G7","Human Resources","360","340","57610","56470"
"In post","2021","30-39","G6/G7","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","30-39","G6/G7","Intelligence Analysis","130","120","57440","55650"
"In post","2021","30-39","G6/G7","Internal Audit","40","30","[c]","[c]"
"In post","2021","30-39","G6/G7","International Trade","240","240","55470","51970"
"In post","2021","30-39","G6/G7","Knowledge and Information Management","80","80","56020","54000"
"In post","2021","30-39","G6/G7","Legal","1630","1560","56410","52580"
"In post","2021","30-39","G6/G7","Medicine","120","110","65660","66830"
"In post","2021","30-39","G6/G7","Operational Delivery","1170","1140","55760","53610"
"In post","2021","30-39","G6/G7","Operational Research","180","170","52490","52280"
"In post","2021","30-39","G6/G7","Other","470","460","60150","57460"
"In post","2021","30-39","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Planning Inspectors","50","40","[c]","[c]"
"In post","2021","30-39","G6/G7","Policy","4160","4050","57790","56090"
"In post","2021","30-39","G6/G7","Project Delivery","970","950","55760","54540"
"In post","2021","30-39","G6/G7","Property","170","160","56330","54590"
"In post","2021","30-39","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Science and Engineering","570","550","51970","49580"
"In post","2021","30-39","G6/G7","Security","70","70","58330","57010"
"In post","2021","30-39","G6/G7","Social Research","130","120","55300","54760"
"In post","2021","30-39","G6/G7","Statistics","240","230","55550","54990"
"In post","2021","30-39","G6/G7","Tax","710","700","54810","52580"
"In post","2021","30-39","G6/G7","Unknown","2510","2450","58300","56120"
"In post","2021","30-39","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Economics","30","30","[c]","[c]"
"In post","2021","30-39","SCS","Finance","40","40","[c]","[c]"
"In post","2021","30-39","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","International Trade","40","40","[c]","[c]"
"In post","2021","30-39","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Medicine","40","40","[c]","[c]"
"In post","2021","30-39","SCS","Operational Delivery","70","60","82180","75970"
"In post","2021","30-39","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Policy","410","390","76960","74100"
"In post","2021","30-39","SCS","Project Delivery","50","50","84550","77890"
"In post","2021","30-39","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS","Unknown","300","300","77790","72730"
"In post","2021","30-39","SEO/HEO","Commercial","830","800","36760","36720"
"In post","2021","30-39","SEO/HEO","Communications","650","630","38250","38000"
"In post","2021","30-39","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SEO/HEO","Counter Fraud","120","120","36920","36480"
"In post","2021","30-39","SEO/HEO","Digital, Data and Technology","1810","1780","37220","36820"
"In post","2021","30-39","SEO/HEO","Economics","90","90","37890","36920"
"In post","2021","30-39","SEO/HEO","Finance","850","820","37030","36820"
"In post","2021","30-39","SEO/HEO","Human Resources","800","770","35830","35070"
"In post","2021","30-39","SEO/HEO","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","30-39","SEO/HEO","Intelligence Analysis","390","380","36430","35450"
"In post","2021","30-39","SEO/HEO","Internal Audit","90","80","37890","38630"
"In post","2021","30-39","SEO/HEO","International Trade","140","140","35830","34990"
"In post","2021","30-39","SEO/HEO","Knowledge and Information Management","250","240","36100","36330"
"In post","2021","30-39","SEO/HEO","Legal","760","730","37510","36160"
"In post","2021","30-39","SEO/HEO","Medicine","210","190","37700","37890"
"In post","2021","30-39","SEO/HEO","Operational Delivery","6940","6740","35460","34150"
"In post","2021","30-39","SEO/HEO","Operational Research","170","160","38730","37510"
"In post","2021","30-39","SEO/HEO","Other","1170","1130","35360","35070"
"In post","2021","30-39","SEO/HEO","Planning","40","40","[c]","[c]"
"In post","2021","30-39","SEO/HEO","Policy","3070","2990","37420","36970"
"In post","2021","30-39","SEO/HEO","Project Delivery","2140","2080","36350","36520"
"In post","2021","30-39","SEO/HEO","Property","540","530","36220","35300"
"In post","2021","30-39","SEO/HEO","Psychology","420","400","36690","31180"
"In post","2021","30-39","SEO/HEO","Science and Engineering","1750","1680","36910","37320"
"In post","2021","30-39","SEO/HEO","Security","290","280","38500","38150"
"In post","2021","30-39","SEO/HEO","Social Research","220","200","37550","37020"
"In post","2021","30-39","SEO/HEO","Statistics","320","310","37390","37020"
"In post","2021","30-39","SEO/HEO","Tax","1880","1830","33160","31810"
"In post","2021","30-39","SEO/HEO","Unknown","4290","4160","35920","35110"
"In post","2021","30-39","SEO/HEO","Veterinarian","90","80","37540","37240"
"In post","2021","30-39","Unknown","Commercial","60","60","37800","37480"
"In post","2021","30-39","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Finance","30","30","[c]","[c]"
"In post","2021","30-39","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Operational Delivery","2890","2660","29140","30210"
"In post","2021","30-39","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Other","440","440","37990","34460"
"In post","2021","30-39","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Project Delivery","130","130","39710","39860"
"In post","2021","30-39","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Science and Engineering","180","180","41670","39950"
"In post","2021","30-39","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","80","80","[c]","[c]"
"In post","2021","40-49","AA/AO","Commercial","60","60","22770","21640"
"In post","2021","40-49","AA/AO","Communications","40","40","[c]","[c]"
"In post","2021","40-49","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Digital, Data and Technology","80","80","21940","21580"
"In post","2021","40-49","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Finance","200","170","21500","21440"
"In post","2021","40-49","AA/AO","Human Resources","230","200","21700","21130"
"In post","2021","40-49","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","40-49","AA/AO","Legal","60","50","21150","21440"
"In post","2021","40-49","AA/AO","Medicine","90","80","21890","22640"
"In post","2021","40-49","AA/AO","Operational Delivery","15560","13970","23070","21440"
"In post","2021","40-49","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Other","1420","1340","21280","20920"
"In post","2021","40-49","AA/AO","Policy","130","130","23840","23830"
"In post","2021","40-49","AA/AO","Project Delivery","50","50","[c]","[c]"
"In post","2021","40-49","AA/AO","Property","180","170","20380","20090"
"In post","2021","40-49","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Science and Engineering","180","170","21840","21950"
"In post","2021","40-49","AA/AO","Security","1020","1020","28570","23540"
"In post","2021","40-49","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","AA/AO","Tax","540","500","20320","20140"
"In post","2021","40-49","AA/AO","Unknown","7290","6200","21240","21010"
"In post","2021","40-49","EO","Commercial","120","110","26730","26670"
"In post","2021","40-49","EO","Communications","120","110","27590","26930"
"In post","2021","40-49","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","40-49","EO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","40-49","EO","Digital, Data and Technology","450","440","27800","26780"
"In post","2021","40-49","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","EO","Finance","340","320","26890","26670"
"In post","2021","40-49","EO","Human Resources","310","290","27480","26710"
"In post","2021","40-49","EO","Intelligence Analysis","390","370","27680","27370"
"In post","2021","40-49","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","40-49","EO","Knowledge and Information Management","100","90","27350","26780"
"In post","2021","40-49","EO","Legal","370","350","27290","25560"
"In post","2021","40-49","EO","Medicine","70","70","31420","30620"
"In post","2021","40-49","EO","Operational Delivery","10290","9640","27680","26780"
"In post","2021","40-49","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","40-49","EO","Other","920","880","26470","26670"
"In post","2021","40-49","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","40-49","EO","Policy","420","400","28380","28670"
"In post","2021","40-49","EO","Project Delivery","360","350","26750","26670"
"In post","2021","40-49","EO","Property","310","290","27170","26540"
"In post","2021","40-49","EO","Psychology","60","50","27020","26850"
"In post","2021","40-49","EO","Science and Engineering","260","240","26790","26670"
"In post","2021","40-49","EO","Security","230","230","33800","30110"
"In post","2021","40-49","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","40-49","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","40-49","EO","Tax","680","640","26350","25560"
"In post","2021","40-49","EO","Unknown","12480","11420","28030","27570"
"In post","2021","40-49","EO","Veterinarian","[c]","[c]","[c]","[c]"
