"Status","Year","Sex","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","LGBO","Security","110","110","32010","28990"
"In post","2021","Female","LGBO","Social Research","50","50","41890","37020"
"In post","2021","Female","LGBO","Statistics","60","60","38870","37020"
"In post","2021","Female","LGBO","Tax","250","240","32820","31810"
"In post","2021","Female","LGBO","Unknown","2250","2140","30210","27570"
"In post","2021","Female","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Commercial","250","230","38420","36290"
"In post","2021","Female","Undeclared","Communications","170","150","38970","37390"
"In post","2021","Female","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Digital, Data and Technology","440","420","39980","37410"
"In post","2021","Female","Undeclared","Economics","50","50","[c]","[c]"
"In post","2021","Female","Undeclared","Finance","520","470","37710","33300"
"In post","2021","Female","Undeclared","Human Resources","400","370","35880","32890"
"In post","2021","Female","Undeclared","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Intelligence Analysis","190","180","32790","30100"
"In post","2021","Female","Undeclared","Internal Audit","50","50","45460","42140"
"In post","2021","Female","Undeclared","International Trade","50","40","[c]","[c]"
"In post","2021","Female","Undeclared","Knowledge and Information Management","160","150","34910","32440"
"In post","2021","Female","Undeclared","Legal","550","490","47940","45480"
"In post","2021","Female","Undeclared","Medicine","150","130","59100","45100"
"In post","2021","Female","Undeclared","Operational Delivery","9690","8400","27620","25560"
"In post","2021","Female","Undeclared","Operational Research","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Other","1040","970","29340","25610"
"In post","2021","Female","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Policy","1280","1240","45250","40580"
"In post","2021","Female","Undeclared","Project Delivery","690","660","41310","38630"
"In post","2021","Female","Undeclared","Property","290","270","34990","33300"
"In post","2021","Female","Undeclared","Psychology","80","70","34770","31180"
"In post","2021","Female","Undeclared","Science and Engineering","420","390","40410","38130"
"In post","2021","Female","Undeclared","Security","170","160","31380","29080"
"In post","2021","Female","Undeclared","Social Research","50","40","[c]","[c]"
"In post","2021","Female","Undeclared","Statistics","60","60","41480","37750"
"In post","2021","Female","Undeclared","Tax","590","530","36420","31870"
"In post","2021","Female","Undeclared","Unknown","5300","4590","28530","27570"
"In post","2021","Female","Undeclared","Veterinarian","40","40","[c]","[c]"
"In post","2021","Female","Unknown","Commercial","480","460","38680","37300"
"In post","2021","Female","Unknown","Communications","510","490","42160","38640"
"In post","2021","Female","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Counter Fraud","90","80","38890","35240"
"In post","2021","Female","Unknown","Digital, Data and Technology","980","940","40200","36890"
"In post","2021","Female","Unknown","Economics","170","160","45120","40170"
"In post","2021","Female","Unknown","Finance","790","730","35740","32790"
"In post","2021","Female","Unknown","Human Resources","610","580","36090","32140"
"In post","2021","Female","Unknown","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Female","Unknown","Intelligence Analysis","160","150","41640","36290"
"In post","2021","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","International Trade","210","210","43580","38540"
"In post","2021","Female","Unknown","Knowledge and Information Management","190","170","36200","33280"
"In post","2021","Female","Unknown","Legal","1660","1490","48780","51990"
"In post","2021","Female","Unknown","Medicine","360","310","56840","40890"
"In post","2021","Female","Unknown","Operational Delivery","18570","16290","26130","22920"
"In post","2021","Female","Unknown","Operational Research","50","50","[c]","[c]"
"In post","2021","Female","Unknown","Other","1500","1420","34550","30150"
"In post","2021","Female","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Policy","2660","2560","45770","40650"
"In post","2021","Female","Unknown","Project Delivery","1080","1030","40820","38630"
"In post","2021","Female","Unknown","Property","470","430","31650","29450"
"In post","2021","Female","Unknown","Psychology","180","170","36260","33300"
"In post","2021","Female","Unknown","Science and Engineering","1090","1000","38730","37420"
"In post","2021","Female","Unknown","Security","240","230","33580","30630"
"In post","2021","Female","Unknown","Social Research","100","90","39220","37020"
"In post","2021","Female","Unknown","Statistics","140","130","39270","36160"
"In post","2021","Female","Unknown","Tax","2950","2750","27590","25560"
"In post","2021","Female","Unknown","Unknown","19490","16730","29720","27570"
"In post","2021","Female","Unknown","Veterinarian","40","40","[c]","[c]"
"In post","2021","Male","Heterosexual / straight","Commercial","1700","1680","42790","40080"
"In post","2021","Male","Heterosexual / straight","Communications","1000","990","41560","37660"
"In post","2021","Male","Heterosexual / straight","Corporate Finance","60","60","52090","47140"
"In post","2021","Male","Heterosexual / straight","Counter Fraud","320","310","40380","37910"
"In post","2021","Male","Heterosexual / straight","Digital, Data and Technology","5290","5230","43090","39310"
"In post","2021","Male","Heterosexual / straight","Economics","870","860","47940","46240"
"In post","2021","Male","Heterosexual / straight","Finance","2860","2820","43830","39910"
"In post","2021","Male","Heterosexual / straight","Human Resources","1610","1580","40000","35760"
"In post","2021","Male","Heterosexual / straight","Inspector of Education and Training","210","200","73650","75500"
"In post","2021","Male","Heterosexual / straight","Intelligence Analysis","1320","1290","35380","31920"
"In post","2021","Male","Heterosexual / straight","Internal Audit","300","290","48820","46500"
"In post","2021","Male","Heterosexual / straight","International Trade","460","460","48430","50010"
"In post","2021","Male","Heterosexual / straight","Knowledge and Information Management","740","730","37940","35070"
"In post","2021","Male","Heterosexual / straight","Legal","3080","2990","47300","48080"
"In post","2021","Male","Heterosexual / straight","Medicine","500","460","65160","64380"
"In post","2021","Male","Heterosexual / straight","Operational Delivery","50970","48930","30420","27370"
"In post","2021","Male","Heterosexual / straight","Operational Research","540","520","45310","46080"
"In post","2021","Male","Heterosexual / straight","Other","7310","7150","32050","26930"
"In post","2021","Male","Heterosexual / straight","Planning","80","80","48270","41020"
"In post","2021","Male","Heterosexual / straight","Planning Inspectors","160","150","58050","58810"
"In post","2021","Male","Heterosexual / straight","Policy","8720","8630","49450","48400"
"In post","2021","Male","Heterosexual / straight","Project Delivery","5830","5740","44410","40580"
"In post","2021","Male","Heterosexual / straight","Property","2930","2860","37940","33570"
"In post","2021","Male","Heterosexual / straight","Psychology","120","120","36780","31180"
"In post","2021","Male","Heterosexual / straight","Science and Engineering","6100","5970","38510","37320"
"In post","2021","Male","Heterosexual / straight","Security","4670","4590","30520","26610"
"In post","2021","Male","Heterosexual / straight","Social Research","240","240","43850","40960"
"In post","2021","Male","Heterosexual / straight","Statistics","710","700","44500","40640"
"In post","2021","Male","Heterosexual / straight","Tax","4960","4770","36830","31810"
"In post","2021","Male","Heterosexual / straight","Unknown","27190","26360","32460","27570"
"In post","2021","Male","Heterosexual / straight","Veterinarian","120","120","46760","46450"
"In post","2021","Male","LGBO","Commercial","110","100","38190","34710"
"In post","2021","Male","LGBO","Communications","130","130","43110","40960"
"In post","2021","Male","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Digital, Data and Technology","280","270","42290","38040"
"In post","2021","Male","LGBO","Economics","70","70","47610","40050"
"In post","2021","Male","LGBO","Finance","140","140","47040","45070"
"In post","2021","Male","LGBO","Human Resources","200","200","42860","39580"
"In post","2021","Male","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Intelligence Analysis","60","60","39640","33900"
"In post","2021","Male","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","International Trade","60","60","51900","51970"
"In post","2021","Male","LGBO","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","Male","LGBO","Legal","270","270","52250","51830"
"In post","2021","Male","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Operational Delivery","2820","2730","29410","26220"
"In post","2021","Male","LGBO","Operational Research","40","40","[c]","[c]"
"In post","2021","Male","LGBO","Other","330","320","32510","28660"
"In post","2021","Male","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Policy","1100","1090","49130","50870"
"In post","2021","Male","LGBO","Project Delivery","320","320","43220","39310"
"In post","2021","Male","LGBO","Property","100","100","37670","33300"
"In post","2021","Male","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Science and Engineering","240","230","37080","31710"
"In post","2021","Male","LGBO","Security","140","140","33660","32860"
"In post","2021","Male","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Statistics","80","70","42790","37800"
"In post","2021","Male","LGBO","Tax","390","380","33670","31810"
"In post","2021","Male","LGBO","Unknown","2710","2640","31630","27570"
"In post","2021","Male","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Commercial","240","240","41620","39750"
"In post","2021","Male","Undeclared","Communications","140","140","38520","36660"
"In post","2021","Male","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Male","Undeclared","Digital, Data and Technology","890","870","41570","38980"
"In post","2021","Male","Undeclared","Economics","110","110","48310","48180"
"In post","2021","Male","Undeclared","Finance","380","380","44010","41800"
"In post","2021","Male","Undeclared","Human Resources","210","200","37890","35130"
"In post","2021","Male","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Intelligence Analysis","240","230","35480","32670"
"In post","2021","Male","Undeclared","Internal Audit","30","30","[c]","[c]"
"In post","2021","Male","Undeclared","International Trade","50","50","[c]","[c]"
"In post","2021","Male","Undeclared","Knowledge and Information Management","170","160","40210","37410"
"In post","2021","Male","Undeclared","Legal","470","450","45670","41760"
"In post","2021","Male","Undeclared","Medicine","80","70","71920","82100"
"In post","2021","Male","Undeclared","Operational Delivery","7800","7360","30340","27380"
"In post","2021","Male","Undeclared","Operational Research","80","70","46200","46080"
"In post","2021","Male","Undeclared","Other","1130","1100","33180","27880"
"In post","2021","Male","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Policy","1340","1320","49160","47300"
"In post","2021","Male","Undeclared","Project Delivery","800","780","45970","41790"
"In post","2021","Male","Undeclared","Property","460","450","38750","36140"
"In post","2021","Male","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Science and Engineering","1160","1110","39250","37360"
"In post","2021","Male","Undeclared","Security","770","760","35170","39070"
"In post","2021","Male","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Statistics","80","80","42260","38500"
"In post","2021","Male","Undeclared","Tax","740","700","39460","35000"
"In post","2021","Male","Undeclared","Unknown","3400","3260","31420","27570"
"In post","2021","Male","Undeclared","Veterinarian","30","30","[c]","[c]"
"In post","2021","Male","Unknown","Commercial","450","440","41890","39620"
"In post","2021","Male","Unknown","Communications","370","360","42990","38970"
"In post","2021","Male","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Counter Fraud","120","110","42130","39740"
"In post","2021","Male","Unknown","Digital, Data and Technology","2210","2180","41030","38160"
"In post","2021","Male","Unknown","Economics","320","310","45390","37890"
"In post","2021","Male","Unknown","Finance","640","620","40030","36180"
"In post","2021","Male","Unknown","Human Resources","290","280","37230","33300"
"In post","2021","Male","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Intelligence Analysis","220","220","41770","37400"
"In post","2021","Male","Unknown","Internal Audit","30","30","[c]","[c]"
"In post","2021","Male","Unknown","International Trade","250","250","46290","39110"
"In post","2021","Male","Unknown","Knowledge and Information Management","140","140","37920","35370"
"In post","2021","Male","Unknown","Legal","1280","1240","46500","41760"
"In post","2021","Male","Unknown","Medicine","160","140","66210","56450"
"In post","2021","Male","Unknown","Operational Delivery","17620","16700","28440","25930"
"In post","2021","Male","Unknown","Operational Research","110","100","42980","40480"
"In post","2021","Male","Unknown","Other","3140","3090","37110","33280"
"In post","2021","Male","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Policy","2190","2170","47580","43360"
"In post","2021","Male","Unknown","Project Delivery","1010","990","43060","39450"
"In post","2021","Male","Unknown","Property","700","680","35700","32100"
"In post","2021","Male","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Science and Engineering","2120","2050","40320","39650"
"In post","2021","Male","Unknown","Security","990","990","31730","28890"
"In post","2021","Male","Unknown","Social Research","70","70","39190","37020"
"In post","2021","Male","Unknown","Statistics","200","200","41970","37020"
"In post","2021","Male","Unknown","Tax","3290","3170","29860","25560"
"In post","2021","Male","Unknown","Unknown","12490","12030","33450","27570"
"In post","2021","Male","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Female","Heterosexual / straight","Commercial","2500","2370","38960","36510"
"In post","2022","Female","Heterosexual / straight","Communications","1710","1620","42400","39250"
"In post","2022","Female","Heterosexual / straight","Corporate Finance","30","30","[c]","[c]"
"In post","2022","Female","Heterosexual / straight","Counter Fraud","2620","2320","28320","27570"
"In post","2022","Female","Heterosexual / straight","Digital, Data and Technology","4750","4510","40910","37590"
"In post","2022","Female","Heterosexual / straight","Economics","540","520","48240","45260"
"In post","2022","Female","Heterosexual / straight","Finance","5210","4920","38780","34290"
"In post","2022","Female","Heterosexual / straight","Geography","110","100","31310","33000"
"In post","2022","Female","Heterosexual / straight","Human Resources","5370","5030","39070","34710"
"In post","2022","Female","Heterosexual / straight","Inspector of Education and Training","590","580","62630","51360"
"In post","2022","Female","Heterosexual / straight","Intelligence Analysis","1100","1030","31920","28990"
"In post","2022","Female","Heterosexual / straight","Internal Audit","310","290","44500","42510"
"In post","2022","Female","Heterosexual / straight","International Trade","460","450","47630","47240"
"In post","2022","Female","Heterosexual / straight","Knowledge and Information Management","930","870","34320","31840"
"In post","2022","Female","Heterosexual / straight","Legal","5090","4660","49550","50500"
"In post","2022","Female","Heterosexual / straight","Medicine","1240","1090","49700","39630"
"In post","2022","Female","Heterosexual / straight","Operational Delivery","101240","90120","28250","27130"
"In post","2022","Female","Heterosexual / straight","Operational Research","240","220","45320","42470"
"In post","2022","Female","Heterosexual / straight","Other","11930","10980","29040","26670"
"In post","2022","Female","Heterosexual / straight","Planning","80","80","45650","41650"
"In post","2022","Female","Heterosexual / straight","Planning Inspectors","110","100","55090","58810"
"In post","2022","Female","Heterosexual / straight","Policy","12940","12360","46460","41970"
"In post","2022","Female","Heterosexual / straight","Project Delivery","5930","5610","41960","39600"
"In post","2022","Female","Heterosexual / straight","Property","2230","2090","36560","33300"
"In post","2022","Female","Heterosexual / straight","Psychology","1010","970","35900","30790"
"In post","2022","Female","Heterosexual / straight","Science and Engineering","2640","2460","38410","36330"
"In post","2022","Female","Heterosexual / straight","Security","1480","1430","32920","30860"
"In post","2022","Female","Heterosexual / straight","Social Research","660","620","42520","38340"
"In post","2022","Female","Heterosexual / straight","Statistics","780","730","45340","41340"
"In post","2022","Female","Heterosexual / straight","Tax","5620","5230","35590","33370"
"In post","2022","Female","Heterosexual / straight","Unknown","9990","9500","41800","36130"
"In post","2022","Female","Heterosexual / straight","Veterinarian","160","150","43520","38390"
"In post","2022","Female","LGBO","Commercial","120","120","35670","33000"
"In post","2022","Female","LGBO","Communications","110","110","40190","37350"
"In post","2022","Female","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","LGBO","Counter Fraud","120","110","28780","27570"
"In post","2022","Female","LGBO","Digital, Data and Technology","370","360","39410","36120"
"In post","2022","Female","LGBO","Economics","60","60","42430","37810"
"In post","2022","Female","LGBO","Finance","170","170","39120","34670"
"In post","2022","Female","LGBO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Female","LGBO","Human Resources","230","220","37920","33290"
"In post","2022","Female","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Female","LGBO","Intelligence Analysis","70","60","31410","29250"
"In post","2022","Female","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","LGBO","International Trade","30","30","[c]","[c]"
"In post","2022","Female","LGBO","Knowledge and Information Management","50","50","31700","28050"
"In post","2022","Female","LGBO","Legal","210","200","47050","48440"
"In post","2022","Female","LGBO","Medicine","40","30","[c]","[c]"
"In post","2022","Female","LGBO","Operational Delivery","5690","5450","28500","27120"
"In post","2022","Female","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Female","LGBO","Other","490","470","29290","26950"
"In post","2022","Female","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Female","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Female","LGBO","Policy","1060","1040","43880","40050"
"In post","2022","Female","LGBO","Project Delivery","270","270","41010","37280"
"In post","2022","Female","LGBO","Property","100","90","35940","33300"
"In post","2022","Female","LGBO","Psychology","60","60","30870","28380"
"In post","2022","Female","LGBO","Science and Engineering","210","200","34060","30930"
"In post","2022","Female","LGBO","Security","140","140","33090","30810"
"In post","2022","Female","LGBO","Social Research","90","80","40970","37490"
"In post","2022","Female","LGBO","Statistics","90","80","40410","38340"
"In post","2022","Female","LGBO","Tax","350","340","34150","33080"
"In post","2022","Female","LGBO","Unknown","790","770","38290","33720"
"In post","2022","Female","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Commercial","340","320","39870","37860"
"In post","2022","Female","Undeclared","Communications","260","240","42530","39000"
"In post","2022","Female","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Counter Fraud","360","300","27660","27570"
"In post","2022","Female","Undeclared","Digital, Data and Technology","640","620","41350","38450"
"In post","2022","Female","Undeclared","Economics","70","60","44490","40650"
"In post","2022","Female","Undeclared","Finance","720","680","38190","33370"
"In post","2022","Female","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Human Resources","480","450","35480","32790"
"In post","2022","Female","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Intelligence Analysis","180","160","33460","30500"
"In post","2022","Female","Undeclared","Internal Audit","50","50","46770","43070"
"In post","2022","Female","Undeclared","International Trade","40","40","[c]","[c]"
"In post","2022","Female","Undeclared","Knowledge and Information Management","150","140","33230","31860"
"In post","2022","Female","Undeclared","Legal","510","460","48870","47100"
"In post","2022","Female","Undeclared","Medicine","160","140","63190","54340"
"In post","2022","Female","Undeclared","Operational Delivery","12130","10500","28160","26820"
"In post","2022","Female","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Other","1390","1290","29270","26670"
"In post","2022","Female","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Policy","1610","1550","45680","41100"
"In post","2022","Female","Undeclared","Project Delivery","630","590","40990","39420"
"In post","2022","Female","Undeclared","Property","280","260","37740","33370"
"In post","2022","Female","Undeclared","Psychology","60","60","34940","31180"
"In post","2022","Female","Undeclared","Science and Engineering","440","400","39680","38680"
"In post","2022","Female","Undeclared","Security","200","190","33240","31020"
"In post","2022","Female","Undeclared","Social Research","60","50","43070","38340"
"In post","2022","Female","Undeclared","Statistics","80","70","41440","38340"
"In post","2022","Female","Undeclared","Tax","600","550","37760","33370"
"In post","2022","Female","Undeclared","Unknown","760","730","43070","39660"
"In post","2022","Female","Undeclared","Veterinarian","40","40","[c]","[c]"
"In post","2022","Female","Unknown","Commercial","440","410","35760","33370"
"In post","2022","Female","Unknown","Communications","410","400","42230","38750"
"In post","2022","Female","Unknown","Corporate Finance","40","40","[c]","[c]"
"In post","2022","Female","Unknown","Counter Fraud","810","680","28670","27570"
"In post","2022","Female","Unknown","Digital, Data and Technology","1240","1190","41260","37930"
"In post","2022","Female","Unknown","Economics","110","100","43150","37160"
"In post","2022","Female","Unknown","Finance","790","730","37970","34290"
"In post","2022","Female","Unknown","Geography","40","30","[c]","[c]"
"In post","2022","Female","Unknown","Human Resources","710","670","36500","32290"
"In post","2022","Female","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Intelligence Analysis","140","140","33170","29680"
"In post","2022","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","International Trade","220","220","44260","39210"
"In post","2022","Female","Unknown","Knowledge and Information Management","180","170","36560","33080"
"In post","2022","Female","Unknown","Legal","1650","1480","48980","51470"
"In post","2022","Female","Unknown","Medicine","330","280","53300","40730"
"In post","2022","Female","Unknown","Operational Delivery","31030","26950","26710","24920"
"In post","2022","Female","Unknown","Operational Research","150","140","41850","38070"
"In post","2022","Female","Unknown","Other","2260","2060","31310","27570"
"In post","2022","Female","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Policy","2330","2230","46250","41950"
"In post","2022","Female","Unknown","Project Delivery","1310","1210","40260","38070"
"In post","2022","Female","Unknown","Property","510","470","32500","29750"
"In post","2022","Female","Unknown","Psychology","200","190","35850","34340"
"In post","2022","Female","Unknown","Science and Engineering","1080","1020","39530","38070"
"In post","2022","Female","Unknown","Security","320","310","34060","31600"
