"Status","Year","Sexual_orientation","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Intelligence Analysis","50","50","39300","35130"
"In post","2021","Heterosexual / straight","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","International Trade","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Legal","210","200","50440","51250"
"In post","2021","Heterosexual / straight","Mixed","Medicine","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Operational Delivery","2170","2040","29650","26810"
"In post","2021","Heterosexual / straight","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Other","230","220","33060","28670"
"In post","2021","Heterosexual / straight","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Policy","690","670","45300","41950"
"In post","2021","Heterosexual / straight","Mixed","Project Delivery","210","200","42210","38630"
"In post","2021","Heterosexual / straight","Mixed","Property","70","70","35160","32560"
"In post","2021","Heterosexual / straight","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Science and Engineering","140","140","36440","33300"
"In post","2021","Heterosexual / straight","Mixed","Security","70","70","34390","31490"
"In post","2021","Heterosexual / straight","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Statistics","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Mixed","Tax","160","150","35760","31810"
"In post","2021","Heterosexual / straight","Mixed","Unknown","1530","1450","31160","27570"
"In post","2021","Heterosexual / straight","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Digital, Data and Technology","60","60","42700","39850"
"In post","2021","Heterosexual / straight","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Finance","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Human Resources","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Legal","70","60","54680","53710"
"In post","2021","Heterosexual / straight","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Operational Delivery","590","560","30240","26810"
"In post","2021","Heterosexual / straight","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Other","80","70","31740","26950"
"In post","2021","Heterosexual / straight","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Policy","210","200","45070","39320"
"In post","2021","Heterosexual / straight","Other ethnicity","Project Delivery","70","60","41410","38630"
"In post","2021","Heterosexual / straight","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Tax","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Other ethnicity","Unknown","390","370","32290","30130"
"In post","2021","Heterosexual / straight","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Commercial","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Digital, Data and Technology","70","70","40900","38870"
"In post","2021","Heterosexual / straight","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Legal","70","60","49190","49670"
"In post","2021","Heterosexual / straight","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Operational Delivery","1280","1200","28920","27260"
"In post","2021","Heterosexual / straight","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Other","100","90","34220","30000"
"In post","2021","Heterosexual / straight","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Policy","170","170","46430","39990"
"In post","2021","Heterosexual / straight","Undeclared","Project Delivery","70","70","44370","43370"
"In post","2021","Heterosexual / straight","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Science and Engineering","70","60","41280","41250"
"In post","2021","Heterosexual / straight","Undeclared","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Undeclared","Tax","70","70","35180","31980"
"In post","2021","Heterosexual / straight","Undeclared","Unknown","690","630","29380","27570"
"In post","2021","Heterosexual / straight","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Commercial","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Digital, Data and Technology","90","90","38780","35990"
"In post","2021","Heterosexual / straight","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Finance","50","50","37890","36070"
"In post","2021","Heterosexual / straight","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Legal","130","120","48880","49210"
"In post","2021","Heterosexual / straight","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Operational Delivery","1670","1520","27800","25910"
"In post","2021","Heterosexual / straight","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Other","70","70","34180","31000"
"In post","2021","Heterosexual / straight","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Policy","190","180","46840","42830"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","80","80","43700","39420"
"In post","2021","Heterosexual / straight","Unknown","Property","60","50","39530","35900"
"In post","2021","Heterosexual / straight","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Science and Engineering","60","50","41330","38260"
"In post","2021","Heterosexual / straight","Unknown","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Tax","130","110","36890","32100"
"In post","2021","Heterosexual / straight","Unknown","Unknown","460","420","32900","27570"
"In post","2021","Heterosexual / straight","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","White","Commercial","3230","3120","40940","37560"
"In post","2021","Heterosexual / straight","White","Communications","2190","2110","41730","38310"
"In post","2021","Heterosexual / straight","White","Corporate Finance","90","90","47620","46080"
"In post","2021","Heterosexual / straight","White","Counter Fraud","490","460","37760","34820"
"In post","2021","Heterosexual / straight","White","Digital, Data and Technology","6820","6610","42440","38630"
"In post","2021","Heterosexual / straight","White","Economics","1060","1030","48900","49280"
"In post","2021","Heterosexual / straight","White","Finance","5280","5010","41010","36980"
"In post","2021","Heterosexual / straight","White","Human Resources","5140","4850","39220","34270"
"In post","2021","Heterosexual / straight","White","Inspector of Education and Training","670","650","66650","74730"
"In post","2021","Heterosexual / straight","White","Intelligence Analysis","2140","2050","34240","30980"
"In post","2021","Heterosexual / straight","White","Internal Audit","480","460","45970","43230"
"In post","2021","Heterosexual / straight","White","International Trade","620","610","48670","50500"
"In post","2021","Heterosexual / straight","White","Knowledge and Information Management","1400","1340","36920","33300"
"In post","2021","Heterosexual / straight","White","Legal","6190","5760","48230","49780"
"In post","2021","Heterosexual / straight","White","Medicine","1430","1280","52080","38490"
"In post","2021","Heterosexual / straight","White","Operational Delivery","96630","89010","29170","26160"
"In post","2021","Heterosexual / straight","White","Operational Research","770","730","44980","46080"
"In post","2021","Heterosexual / straight","White","Other","13590","13010","30390","26090"
"In post","2021","Heterosexual / straight","White","Planning","140","130","48170","42980"
"In post","2021","Heterosexual / straight","White","Planning Inspectors","260","230","57630","58810"
"In post","2021","Heterosexual / straight","White","Policy","15710","15220","48830","47000"
"In post","2021","Heterosexual / straight","White","Project Delivery","10260","9930","42630","39370"
"In post","2021","Heterosexual / straight","White","Property","4390","4210","36690","33300"
"In post","2021","Heterosexual / straight","White","Psychology","950","900","35790","31180"
"In post","2021","Heterosexual / straight","White","Science and Engineering","7860","7570","38550","37320"
"In post","2021","Heterosexual / straight","White","Security","5350","5230","30720","26670"
"In post","2021","Heterosexual / straight","White","Social Research","760","720","43560","42020"
"In post","2021","Heterosexual / straight","White","Statistics","1150","1100","44750","41160"
"In post","2021","Heterosexual / straight","White","Tax","7770","7300","36200","31810"
"In post","2021","Heterosexual / straight","White","Unknown","61970","56520","31050","27570"
"In post","2021","Heterosexual / straight","White","Veterinarian","260","250","45820","44370"
"In post","2021","LGBO","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Operational Delivery","180","160","26660","24640"
"In post","2021","LGBO","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Policy","70","70","44830","40050"
"In post","2021","LGBO","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Asian","Tax","50","40","[c]","[c]"
"In post","2021","LGBO","Asian","Unknown","150","140","30410","27570"
"In post","2021","LGBO","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Operational Delivery","90","90","27400","25630"
"In post","2021","LGBO","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Policy","40","30","[c]","[c]"
"In post","2021","LGBO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Black","Unknown","110","110","31090","29930"
"In post","2021","LGBO","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Mixed","Commercial","[c]","[c]","[c]","[c]"
